case_id,feedback_id,fault_type,fault_position,true_reason_id,true_reason_type,true_stage,top1_candidate_id,top1_candidate_type,top1_stage,top1_score,top1_hit,top3_hit,top6_hit,type_hit,stage_hit,mrr,primary_stage,primary_stage_name,feedback_target_subsystem,top6_ids,top6_types,top6_scopes,top6_score_sum,root_component_different,has_rca_root_candidate,error
HFB-02465,HFB-02465,oil_leakage,管路总成,HASM-02465,AssemblyRecord,assembly,HASM-02465,AssemblyRecord,assembly,0.8395,True,True,True,True,True,1.0,assembly,装配阶段,装配子系统,HASM-02465|HMAN-00458|HMAT-00468|HSUP-037|HOPR-01735|ST-H-28,AssemblyRecord|ManufacturingBatch|MaterialBatch|Supplier|MaintenanceRecord|Station,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|expanded_candidate|global_same_type_candidate|expanded_candidate,3.177168,False,False,
HFB-00229,HFB-00229,flow_abnormal,管路总成,HOPR-00229,MaintenanceRecord,operation,HOPR-00229,MaintenanceRecord,operation,0.8605,True,True,True,True,True,1.0,operation,使用/运维阶段,运维保障子系统,HOPR-00229|HMAT-00347|HOPR-04630|HOPR-01228|HOPR-03563|HOPR-03549,MaintenanceRecord|MaterialBatch|MaintenanceRecord|MaintenanceRecord|MaintenanceRecord|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|global_same_type_candidate|global_same_type_candidate|global_same_type_candidate,3.1640420000000002,False,False,
HFB-00916,HFB-00916,oil_leakage,液压泵总成,HASM-00916,AssemblyRecord,assembly,HASM-00916,AssemblyRecord,assembly,0.8395,True,True,True,True,False,1.0,operation,使用/运维阶段,运维保障子系统,HASM-00916|OP-H-099|HMAN-00601|HOPR-00916|HOPR-01070|HPIP-00200,AssemblyRecord|Operator|ManufacturingBatch|MaintenanceRecord|MaintenanceRecord|PipeDesignParam,lifecycle_candidate|expanded_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|global_same_type_candidate,3.043508,False,False,
HFB-00795,HFB-00795,vibration_abnormal,作动筒,HOPR-00795,MaintenanceRecord,operation,HOPR-00795,MaintenanceRecord,operation,0.8605,True,True,True,True,True,1.0,operation,使用/运维阶段,运维保障子系统,HOPR-00795|HMAN-00167|OP-H-082|HOPR-04697|HASM-00795|HOPR-04557,MaintenanceRecord|ManufacturingBatch|Operator|MaintenanceRecord|AssemblyRecord|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|expanded_candidate|global_same_type_candidate|lifecycle_candidate|global_same_type_candidate,3.266703,False,False,
HFB-03022,HFB-03022,pressure_abnormal,溢流阀,HOPR-03022,MaintenanceRecord,operation,HOPR-03022,MaintenanceRecord,operation,0.8605,True,True,True,True,True,1.0,operation,使用/运维阶段,运维保障子系统,HOPR-03022|OP-H-072|HMAN-00145|HMAT-00138|HDES-00718|HPIP-00300,MaintenanceRecord|Operator|ManufacturingBatch|MaterialBatch|DesignSpec|PipeDesignParam,lifecycle_candidate|expanded_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate,3.2564699999999998,False,False,
HFB-03544,HFB-03544,oil_leakage,冷却器,HDES-01153,DesignSpec,design,HDES-01153,DesignSpec,design,0.8425,True,True,True,True,False,1.0,material,材料阶段,材料/供应商管理子系统,HDES-01153|HMAT-00515|HMAN-00397|HOPR-03101|HSUP-021|HOPR-00574,DesignSpec|MaterialBatch|ManufacturingBatch|MaintenanceRecord|Supplier|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|expanded_candidate|global_same_type_candidate,3.3902970000000003,False,False,
HFB-01074,HFB-01074,valve_stuck,节流阀,HMAN-00437,ManufacturingBatch,manufacturing,HMAN-00437,ManufacturingBatch,manufacturing,0.8425,True,True,True,True,True,1.0,manufacturing,制造阶段,制造工艺子系统,HMAN-00437|HMAT-00055|HMAN-00430|HMAN-00740|HOPR-02987|ST-H-31,ManufacturingBatch|MaterialBatch|ManufacturingBatch|ManufacturingBatch|MaintenanceRecord|Station,lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|global_same_type_candidate|global_same_type_candidate|expanded_candidate,3.3635810000000004,False,False,
HFB-03352,HFB-03352,valve_stuck,液压泵总成,HASM-03352,AssemblyRecord,assembly,HASM-03352,AssemblyRecord,assembly,0.8305,True,True,True,True,False,1.0,operation,使用/运维阶段,运维保障子系统,HASM-03352|HMAN-00064|OP-H-009|PROCESS_heat_treatment|HOPR-04240|HOPR-03352,AssemblyRecord|ManufacturingBatch|Operator|ManufacturingProcess|MaintenanceRecord|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|expanded_candidate|expanded_candidate|global_same_type_candidate|lifecycle_candidate,3.1826000000000003,False,False,
HFB-01745,HFB-01745,temperature_abnormal,过滤器,HOPR-01745,MaintenanceRecord,operation,HOPR-01745,MaintenanceRecord,operation,0.8785,True,True,True,True,True,1.0,operation,使用/运维阶段,运维保障子系统,HOPR-01745|HDES-00998|HOPR-04575|HOPR-02526|HOPR-02965|OP-H-177,MaintenanceRecord|DesignSpec|MaintenanceRecord|MaintenanceRecord|MaintenanceRecord|Operator,lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|global_same_type_candidate|global_same_type_candidate|expanded_candidate,3.554496,False,False,
HFB-01085,HFB-01085,oil_leakage,管路总成,HMAT-00315,MaterialBatch,material,HMAT-00315,MaterialBatch,material,0.8335,True,True,True,True,False,1.0,assembly,装配阶段,装配子系统,HMAT-00315|HASM-01085|ST-H-09|HMAN-00845|HOPR-04824|HOPR-01085,MaterialBatch|AssemblyRecord|Station|ManufacturingBatch|MaintenanceRecord|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|expanded_candidate|lifecycle_candidate|global_same_type_candidate|lifecycle_candidate,3.250256,False,False,
