time,ch1,ch2,,,,
4.00E-06,0,0.0032,,,,
4.00E-06,0,0.0064,,,,
4.10E-06,0,-0.0192,,,,
4.10E-06,0,0.0096,,,,
4.20E-06,0,0.0032,,,,
4.20E-06,0,-0.0184,,,,
4.30E-06,0.04,0.0144,,,,
4.30E-06,0,-0.008,,,,
4.40E-06,0,-0.0096,,,,
4.40E-06,0,0.0176,,,,
4.50E-06,0,-0.012,,,,
4.50E-06,0,-0.0056,,,,
4.60E-06,0,0.0112,,,,
4.60E-06,0,-0.012,,,,
4.70E-06,0,0,,,,
4.70E-06,0,0.0112,,,,
4.80E-06,0,-0.0168,,,,
4.80E-06,0,0.0048,,,,
4.90E-06,0,0.004,,,,
4.90E-06,0,-0.0144,,,,
5.00E-06,0,0.0072,,,,
5.00E-06,0,0,,,,
5.10E-06,0,-0.0128,,,,
5.10E-06,0,0.008,,,,
5.20E-06,0,-0.0056,,,,
5.20E-06,0,-0.0088,,,,
5.30E-06,0,0.0072,,,,
5.30E-06,0,-0.0064,,,,
5.40E-06,0,-0.012,,,,
5.40E-06,0,0.0112,,,,
5.50E-06,0,-0.012,,,,
5.50E-06,0,-0.0024,,,,
5.60E-06,0,0.008,,,,
5.60E-06,0,-0.0152,,,,
5.70E-06,0,0,,,,
5.70E-06,0,0.0048,,,,
5.80E-06,0,-0.0152,,,,
5.80E-06,0,0.0104,,,,
5.90E-06,0,-0.0048,,,,
5.90E-06,0,-0.0112,,,,
6.00E-06,0.04,0.0176,,,,
6.00E-06,0,-0.0152,,,,
6.10E-06,0,0.0016,,,,
6.10E-06,0,0.0072,,,,
6.20E-06,0,-0.0144,,,,
6.20E-06,0,0.004,,,,
6.30E-06,0,0.0064,,,,
6.30E-06,0,-0.016,,,,
6.40E-06,0,0.0104,,,,
6.40E-06,0,-0.0048,,,,
6.50E-06,0,-0.0088,,,,
6.50E-06,0,0.0048,,,,
6.60E-06,0,0,,,,
6.60E-06,0,-0.0072,,,,
6.70E-06,0,0.0072,,,,
6.70E-06,0,-0.008,,,,
6.80E-06,0,-0.0016,,,,
6.80E-06,0,0.0048,,,,
6.90E-06,0,-0.0048,,,,
6.90E-06,0,0,,,,
7.00E-06,0,0,,,,
7.00E-06,0,0,,,,
7.10E-06,0,-0.0016,,,,
7.10E-06,0,0,,,,
7.20E-06,0,-0.0024,,,,
7.20E-06,0,-0.0024,,,,
7.30E-06,0,0,,,,
7.30E-06,0,-0.0024,,,,
7.40E-06,0,-0.0032,,,,
7.40E-06,0,0,,,,
7.50E-06,0,0,,,,
7.50E-06,0,-0.0152,,,,
7.60E-06,0,0.0136,,,,
7.60E-06,0,-0.012,,,,
7.70E-06,0,0,,,,
7.70E-06,0,0,,,,
7.80E-06,0,-0.0056,,,,
7.80E-06,0,-0.0072,,,,
7.90E-06,0,0.0128,,,,
7.90E-06,0,-0.0152,,,,
8.00E-06,0,0.0032,,,,
8.00E-06,0,0.0016,,,,
8.10E-06,0,-0.0112,,,,
8.10E-06,0,0,,,,
8.20E-06,0,0.004,,,,
8.20E-06,0,-0.0096,,,,
8.30E-06,0,0.0048,,,,
8.30E-06,0,-0.0024,,,,
8.40E-06,0,-0.0032,,,,
8.40E-06,0,0,,,,
8.50E-06,0,0,,,,
8.50E-06,0,-0.008,,,,
8.60E-06,0,0.004,,,,
8.60E-06,0,-0.0032,,,,
8.70E-06,0,-0.0024,,,,
8.70E-06,0,0.0032,,,,
8.80E-06,0,-0.0056,,,,
8.80E-06,0,-0.0024,,,,
8.90E-06,0,0.0016,,,,
8.90E-06,0,-0.0048,,,,
9.00E-06,0,0.0016,,,,
9.00E-06,0,0.0024,,,,
9.10E-06,0,-0.0056,,,,
9.10E-06,0,0,,,,
9.20E-06,0,0,,,,
9.20E-06,0,-0.0048,,,,
9.30E-06,0,0.0024,,,,
9.30E-06,0,-0.0032,,,,
9.40E-06,0,-0.0032,,,,
9.40E-06,0,-0.0016,,,,
9.50E-06,0,0,,,,
9.50E-06,0,-0.0064,,,,
9.60E-06,0,0.0016,,,,
9.60E-06,0,-0.0048,,,,
9.70E-06,0,-0.0016,,,,
9.70E-06,0,-0.0016,,,,
9.80E-06,0,-0.0016,,,,
9.80E-06,0,0,,,,
9.90E-06,0,-0.0016,,,,
9.90E-06,0,-0.0024,,,,
1.00E-05,0,-0.0024,,,,
1.00E-05,0,0,,,,
1.01E-05,0,-0.0016,,,,
1.01E-05,0,-0.004,,,,
1.02E-05,0,-0.0016,,,,
1.02E-05,0,-0.0032,,,,
1.03E-05,0,0,,,,
1.03E-05,0,-0.0024,,,,
1.04E-05,0,0,,,,
1.04E-05,0,-0.0056,,,,
1.05E-05,0,0,,,,
1.05E-05,0,-0.0056,,,,
1.06E-05,0,0,,,,
1.06E-05,0,-0.0032,,,,
1.07E-05,0,-0.0016,,,,
1.07E-05,0,-0.0024,,,,
1.08E-05,0,0,,,,
1.08E-05,0,-0.0024,,,,
1.09E-05,0,0,,,,
1.09E-05,0,-0.0032,,,,
1.10E-05,0,-0.0024,,,,
1.10E-05,0,0,,,,
1.11E-05,0,0,,,,
1.11E-05,0,-0.0024,,,,
1.12E-05,0,0,,,,
1.12E-05,0,-0.0048,,,,
1.13E-05,0,0,,,,
1.13E-05,0,-0.0024,,,,
1.14E-05,0,0,,,,
1.14E-05,0,0,,,,
1.15E-05,0,-0.0032,,,,
1.15E-05,0,-0.0048,,,,
1.16E-05,0,0.0016,,,,
1.16E-05,0,-0.0064,,,,
1.17E-05,0,-0.0024,,,,
1.17E-05,0,-0.0032,,,,
1.18E-05,0,-0.0056,,,,
1.18E-05,0,-0.0024,,,,
1.19E-05,0,0,,,,
1.19E-05,0,-0.0072,,,,
1.20E-05,0,-0.0016,,,,
1.20E-05,0,-0.0032,,,,
1.21E-05,0,-0.0024,,,,
1.21E-05,0,0.0056,,,,
1.22E-05,0,0.0048,,,,
1.22E-05,0,-0.0048,,,,
1.23E-05,0,0.0032,,,,
1.23E-05,0,0.0016,,,,
1.24E-05,0,0.0064,,,,
1.24E-05,0,0.0048,,,,
1.25E-05,0,0.008,,,,
1.25E-05,0,-0.0016,,,,
1.26E-05,0,0.0032,,,,
1.26E-05,0,0,,,,
1.27E-05,0,0.0032,,,,
1.27E-05,0,0,,,,
1.28E-05,0,-0.0024,,,,
1.28E-05,0,-0.0064,,,,
1.29E-05,0,-0.0056,,,,
1.29E-05,0,-0.012,,,,
1.30E-05,0,-0.0064,,,,
1.30E-05,0,-0.0128,,,,
1.31E-05,0,-0.008,,,,
1.31E-05,0,-0.0144,,,,
1.32E-05,0,-0.0048,,,,
1.32E-05,0,-0.012,,,,
1.33E-05,0,-0.0056,,,,
1.33E-05,0,-0.0064,,,,
1.34E-05,0,-0.0056,,,,
1.34E-05,0,0,,,,
1.35E-05,0,0,,,,
1.35E-05,0,0.0016,,,,
1.36E-05,0,0.0048,,,,
1.36E-05,0,0.0048,,,,
1.37E-05,0,0.0056,,,,
1.37E-05,0,0.0064,,,,
1.38E-05,0,0.0096,,,,
1.38E-05,0,0.0064,,,,
1.39E-05,0,0.0048,,,,
1.39E-05,0,0,,,,
1.40E-05,0,0.0032,,,,
1.40E-05,0,-0.0016,,,,
1.41E-05,0,0,,,,
1.41E-05,0,-0.0056,,,,
1.42E-05,0,-0.0056,,,,
1.42E-05,0,-0.0064,,,,
1.43E-05,0,-0.0064,,,,
1.43E-05,0,-0.0112,,,,
1.44E-05,0,-0.0088,,,,
1.44E-05,0,-0.0088,,,,
1.45E-05,0,-0.0088,,,,
1.45E-05,0,-0.008,,,,
1.46E-05,0,-0.0064,,,,
1.46E-05,0,-0.0032,,,,
1.47E-05,0,-0.0056,,,,
1.47E-05,0,0.0016,,,,
1.48E-05,0,0,,,,
1.48E-05,0,0,,,,
1.49E-05,0,0.0024,,,,
1.49E-05,0,-0.0016,,,,
1.50E-05,0,0.0024,,,,
1.50E-05,0,0.0032,,,,
1.51E-05,0,0.0032,,,,
1.51E-05,0,0,,,,
1.52E-05,0,-0.004,,,,
1.52E-05,0.04,-0.0024,,,,
1.53E-05,0,-0.0032,,,,
1.53E-05,0,-0.004,,,,
1.54E-05,0,-0.0016,,,,
1.54E-05,0,-0.0048,,,,
1.55E-05,0,-0.0056,,,,
1.55E-05,0,-0.0048,,,,
1.56E-05,0,-0.0048,,,,
1.56E-05,0,-0.0032,,,,
1.57E-05,0,0,,,,
1.57E-05,0,-0.0032,,,,
1.58E-05,0,0,,,,
1.58E-05,0,0,,,,
1.59E-05,0,0,,,,
1.59E-05,0,-0.0016,,,,
1.60E-05,0.04,0.0032,,,,
1.60E-05,0,0,,,,
1.61E-05,0,0,,,,
1.61E-05,0,0,,,,
1.62E-05,0,0,,,,
1.62E-05,0,0,,,,
1.63E-05,0,-0.0024,,,,
1.63E-05,0,-0.004,,,,
1.64E-05,0,-0.0032,,,,
1.64E-05,0,-0.0048,,,,
1.65E-05,0,-0.0048,,,,
1.65E-05,0,-0.0048,,,,
1.66E-05,0,-0.0024,,,,
1.66E-05,0,-0.0088,,,,
1.67E-05,0,-0.0016,,,,
1.67E-05,0,-0.0016,,,,
1.68E-05,0,-0.0032,,,,
1.68E-05,0,-0.0064,,,,
1.69E-05,0.04,0,,,,
1.69E-05,0,0.0032,,,,
1.70E-05,0,0,,,,
1.70E-05,0,-0.0016,,,,
1.71E-05,0,0,,,,
1.71E-05,0,0,,,,
1.72E-05,0,0.0016,,,,
1.72E-05,0,0.0016,,,,
1.73E-05,0,0,,,,
1.73E-05,0,-0.0048,,,,
1.74E-05,0,-0.0032,,,,
1.74E-05,0,-0.0032,,,,
1.75E-05,0,0,,,,
1.75E-05,0,-0.0024,,,,
1.76E-05,0,-0.0032,,,,
1.76E-05,0,-0.0064,,,,
1.77E-05,0,-0.0032,,,,
1.77E-05,0,-0.0056,,,,
1.78E-05,0,-0.004,,,,
1.78E-05,0,-0.0016,,,,
1.79E-05,0,-0.0016,,,,
1.79E-05,0,-0.0024,,,,
1.80E-05,0,-0.0024,,,,
1.80E-05,0,0,,,,
1.81E-05,0,0,,,,
1.81E-05,0,0,,,,
1.82E-05,0,0,,,,
1.82E-05,0,0.0016,,,,
1.83E-05,0,0,,,,
1.83E-05,0,-0.0032,,,,
1.84E-05,0,0,,,,
1.84E-05,0,-0.0016,,,,
1.85E-05,0,-0.0016,,,,
1.85E-05,0,-0.0024,,,,
1.86E-05,0,-0.0024,,,,
1.86E-05,0,-0.0048,,,,
1.87E-05,0,-0.0056,,,,
1.87E-05,0,-0.0048,,,,
1.88E-05,0,-0.0048,,,,
1.88E-05,0,-0.0024,,,,
1.89E-05,0,-0.0032,,,,
1.89E-05,0,-0.004,,,,
1.90E-05,0,-0.0056,,,,
1.90E-05,0,0,,,,
1.91E-05,0,-0.0024,,,,
1.91E-05,0,-0.0024,,,,
1.92E-05,0,0,,,,
1.92E-05,0,0,,,,
1.93E-05,0,0,,,,
1.93E-05,0,0,,,,
1.94E-05,0,0,,,,
1.94E-05,0,0,,,,
1.95E-05,0,0,,,,
1.95E-05,0,-0.0024,,,,
1.96E-05,0,-0.0016,,,,
1.96E-05,0,0,,,,
1.97E-05,0,-0.004,,,,
1.97E-05,0,-0.0048,,,,
1.98E-05,0,-0.0048,,,,
1.98E-05,0,0,,,,
1.99E-05,0,-0.0064,,,,
1.99E-05,0,-0.0056,,,,
2.00E-05,0,-0.0048,,,,
2.00E-05,0,0,,,,
2.01E-05,0,0,,,,
2.01E-05,0,-0.0048,,,,
2.02E-05,0,-0.0048,,,,
2.02E-05,0,0,,,,
2.03E-05,0,0,,,,
2.03E-05,0,-0.0032,,,,
2.04E-05,0,0,,,,
2.04E-05,0,0,,,,
2.05E-05,0,-0.0016,,,,
2.05E-05,0,-0.0016,,,,
2.06E-05,0,-0.0016,,,,
2.06E-05,0,0,,,,
2.07E-05,0,-0.0024,,,,
2.07E-05,0,-0.0024,,,,
2.08E-05,0,-0.0048,,,,
2.08E-05,0,-0.0016,,,,
2.09E-05,0,-0.0032,,,,
2.09E-05,0,0,,,,
2.10E-05,0,-0.0024,,,,
2.10E-05,0,-0.0048,,,,
2.11E-05,0,-0.0024,,,,
2.11E-05,0,-0.0024,,,,
2.12E-05,0,-0.0024,,,,
2.12E-05,0,-0.0016,,,,
2.13E-05,0,0,,,,
2.13E-05,0,-0.0056,,,,
2.14E-05,0,0.0032,,,,
2.14E-05,0,-0.0016,,,,
2.15E-05,0,-0.0016,,,,
2.15E-05,0,-0.0016,,,,
2.16E-05,0,-0.0024,,,,
2.16E-05,0,-0.0016,,,,
2.17E-05,0,-0.0016,,,,
2.17E-05,0,-0.0032,,,,
2.18E-05,0,-0.0024,,,,
2.18E-05,0,-0.004,,,,
2.19E-05,0,-0.0016,,,,
2.19E-05,0,-0.0032,,,,
2.20E-05,0,-0.0032,,,,
2.20E-05,0.04,-0.0032,,,,
2.21E-05,0,0,,,,
2.21E-05,0,-0.008,,,,
2.22E-05,0,0.0016,,,,
2.22E-05,0,-0.0032,,,,
2.23E-05,0,-0.0032,,,,
2.23E-05,0,-0.0024,,,,
2.24E-05,0,0,,,,
2.24E-05,0,-0.0048,,,,
2.25E-05,0,0.0016,,,,
2.25E-05,0.04,-0.0032,,,,
2.26E-05,0,-0.0016,,,,
2.26E-05,0,-0.0016,,,,
2.27E-05,0,-0.0016,,,,
2.27E-05,0,-0.0048,,,,
2.28E-05,0,0,,,,
2.28E-05,0,-0.0024,,,,
2.29E-05,0,-0.0024,,,,
2.29E-05,0,-0.0032,,,,
2.30E-05,0,-0.0024,,,,
2.30E-05,0,-0.0032,,,,
2.31E-05,0,-0.0024,,,,
2.31E-05,0,-0.0024,,,,
2.32E-05,0,-0.0024,,,,
2.32E-05,0,0,,,,
2.33E-05,0,-0.0016,,,,
2.33E-05,0,-0.0048,,,,
2.34E-05,0,0,,,,
2.34E-05,0,0,,,,
2.35E-05,0,-0.0016,,,,
2.35E-05,0,-0.0016,,,,
2.36E-05,0,-0.0024,,,,
2.36E-05,0,0,,,,
2.37E-05,0,-0.0024,,,,
2.37E-05,0,-0.0024,,,,
2.38E-05,0,-0.0016,,,,
2.38E-05,0,-0.0016,,,,
2.39E-05,0.04,-0.0016,,,,
2.39E-05,0,-0.0056,,,,
2.40E-05,0,0,,,,
2.40E-05,0,-0.0048,,,,
2.41E-05,0,-0.0024,,,,
2.41E-05,0.04,-0.0056,,,,
2.42E-05,0,-0.0024,,,,
2.42E-05,0,-0.0024,,,,
2.43E-05,0,-0.0024,,,,
2.43E-05,0,-0.0024,,,,
2.44E-05,0,-0.0024,,,,
2.44E-05,0,-0.0016,,,,
2.45E-05,0,-0.0016,,,,
2.45E-05,0,-0.0024,,,,
2.46E-05,0,0,,,,
2.46E-05,0,0,,,,
2.47E-05,0,0,,,,
2.47E-05,0,-0.0024,,,,
2.48E-05,0,0,,,,
2.48E-05,0,-0.0024,,,,
2.49E-05,0,-0.0016,,,,
2.49E-05,0,-0.0016,,,,
2.50E-05,0,0.0016,,,,
2.50E-05,0,-0.0016,,,,
2.51E-05,0,-0.0016,,,,
2.51E-05,0,0,,,,
2.52E-05,0,0.0016,,,,
2.52E-05,0,-0.0032,,,,
2.53E-05,0,0,,,,
2.53E-05,0,0,,,,
2.54E-05,0,0,,,,
2.54E-05,0,0,,,,
2.55E-05,0,-0.0016,,,,
2.55E-05,0,-0.0016,,,,
2.56E-05,0,-0.0024,,,,
2.56E-05,0,0,,,,
2.57E-05,0,-0.0024,,,,
2.57E-05,0,-0.0016,,,,
2.58E-05,0,0,,,,
2.58E-05,0,0.0016,,,,
2.59E-05,0,-0.0048,,,,
2.59E-05,0,-0.0056,,,,
2.60E-05,0,0.0056,,,,
2.60E-05,0.04,-0.0048,,,,
2.61E-05,0,0,,,,
2.61E-05,0,-0.0056,,,,
2.62E-05,0,-0.008,,,,
2.62E-05,0,0.0072,,,,
2.63E-05,0,-0.0016,,,,
2.63E-05,0,-0.0048,,,,
2.64E-05,0,-0.0024,,,,
2.64E-05,0,-0.0024,,,,
2.65E-05,0,0,,,,
2.65E-05,0,-0.0032,,,,
2.66E-05,0,0,,,,
2.66E-05,0,-0.0024,,,,
2.67E-05,0,-0.004,,,,
2.67E-05,0,0,,,,
2.68E-05,0,-0.0032,,,,
2.68E-05,0,0.0024,,,,
2.69E-05,0,-0.0016,,,,
2.69E-05,0,-0.0032,,,,
2.70E-05,0,-0.0032,,,,
2.70E-05,0,-0.0024,,,,
2.71E-05,0,0,,,,
2.71E-05,0,0.0024,,,,
2.72E-05,0,-0.0056,,,,
2.72E-05,0,-0.0032,,,,
2.73E-05,0.04,-0.0032,,,,
2.73E-05,0,-0.0024,,,,
2.74E-05,0,0.0016,,,,
2.74E-05,0,-0.0048,,,,
2.75E-05,0,-0.0016,,,,
2.75E-05,0,-0.0032,,,,
2.76E-05,0,0.0016,,,,
2.76E-05,0,0,,,,
2.77E-05,0,0.0032,,,,
2.77E-05,0,-0.0016,,,,
2.78E-05,0,-0.0032,,,,
2.78E-05,0,0.0032,,,,
2.79E-05,0,0,,,,
2.79E-05,0,-0.0032,,,,
2.80E-05,0,-0.0032,,,,
2.80E-05,0,0.0032,,,,
2.81E-05,0,-0.0056,,,,
2.81E-05,0,-0.0032,,,,
2.82E-05,0,-0.0024,,,,
2.82E-05,0,0.0032,,,,
2.83E-05,0,-0.0056,,,,
2.83E-05,0,-0.0016,,,,
2.84E-05,0,-0.0024,,,,
2.84E-05,0,-0.0032,,,,
2.85E-05,0,-0.0016,,,,
2.85E-05,0,-0.0024,,,,
2.86E-05,0,0,,,,
2.86E-05,0,0,,,,
2.87E-05,0,0,,,,
2.87E-05,0,-0.0056,,,,
2.88E-05,0,0,,,,
2.88E-05,0,0,,,,
2.89E-05,0,0,,,,
2.89E-05,0,-0.0032,,,,
2.90E-05,0,0,,,,
2.90E-05,0,-0.0048,,,,
2.91E-05,0,0,,,,
2.91E-05,0,-0.0024,,,,
2.92E-05,0,0.0032,,,,
2.92E-05,0,-0.0016,,,,
2.93E-05,0,0.0048,,,,
2.93E-05,0,-0.0088,,,,
2.94E-05,0,-0.0016,,,,
2.94E-05,0,0.0016,,,,
2.95E-05,0,0.008,,,,
2.95E-05,0,-0.004,,,,
2.96E-05,0,0,,,,
2.96E-05,0,-0.0064,,,,
2.97E-05,0,-0.0032,,,,
2.97E-05,0,0,,,,
2.98E-05,0.04,-0.0056,,,,
2.98E-05,0,0,,,,
2.99E-05,0,-0.0088,,,,
2.99E-05,0,-0.0096,,,,
3.00E-05,0,-0.004,,,,
3.00E-05,0,-0.008,,,,
3.01E-05,0,-0.0064,,,,
3.01E-05,0,-0.0032,,,,
3.02E-05,0,-0.0048,,,,
3.02E-05,0,-0.0056,,,,
3.03E-05,0,-0.0016,,,,
3.03E-05,0,-0.0016,,,,
3.04E-05,0,0,,,,
3.04E-05,0,0.0048,,,,
3.05E-05,0,0,,,,
3.05E-05,0,0.0064,,,,
3.06E-05,0.04,0.008,,,,
3.06E-05,0,0.0072,,,,
3.07E-05,0,0.004,,,,
3.07E-05,0,0.008,,,,
3.08E-05,0,0.0032,,,,
3.08E-05,0,0.0072,,,,
3.09E-05,0,0.0016,,,,
3.09E-05,0.04,0,,,,
3.10E-05,0,-0.0016,,,,
3.10E-05,0,-0.0024,,,,
3.11E-05,0,-0.0048,,,,
3.11E-05,0,-0.008,,,,
3.12E-05,0,-0.0072,,,,
3.12E-05,0,-0.0096,,,,
3.13E-05,0,-0.0104,,,,
3.13E-05,0,-0.0112,,,,
3.14E-05,0,-0.0088,,,,
3.14E-05,0,-0.008,,,,
3.15E-05,0,-0.0088,,,,
3.15E-05,0,-0.0048,,,,
3.16E-05,0,-0.0048,,,,
3.16E-05,0,-0.0024,,,,
3.17E-05,0,0,,,,
3.17E-05,0.04,0,,,,
3.18E-05,0,0.0016,,,,
3.18E-05,0,0.0048,,,,
3.19E-05,0,0.0048,,,,
3.19E-05,0,0.0048,,,,
3.20E-05,0,0.004,,,,
3.20E-05,0,0.0032,,,,
3.21E-05,0,0,,,,
3.21E-05,0,0.0016,,,,
3.22E-05,0,0.0016,,,,
3.22E-05,0,-0.0016,,,,
3.23E-05,0,-0.0016,,,,
3.23E-05,0,-0.0024,,,,
3.24E-05,0,-0.0016,,,,
3.24E-05,0,-0.0048,,,,
3.25E-05,0,-0.0056,,,,
3.25E-05,0,-0.0056,,,,
3.26E-05,0,-0.0064,,,,
3.26E-05,0,-0.0024,,,,
3.27E-05,0,-0.0056,,,,
3.27E-05,0,-0.0016,,,,
3.28E-05,0,-0.0048,,,,
3.28E-05,0,-0.0024,,,,
3.29E-05,0,-0.0048,,,,
3.29E-05,0,0,,,,
3.30E-05,0,0,,,,
3.30E-05,0,0.0016,,,,
3.31E-05,0,-0.0016,,,,
3.31E-05,0,0,,,,
3.32E-05,0,0,,,,
3.32E-05,0,0,,,,
3.33E-05,0,-0.0016,,,,
3.33E-05,0,-0.0016,,,,
3.34E-05,0,-0.004,,,,
3.34E-05,0,-0.0024,,,,
3.35E-05,0,0,,,,
3.35E-05,0,-0.0048,,,,
3.36E-05,0,-0.0024,,,,
3.36E-05,0,-0.0032,,,,
3.37E-05,0,-0.0032,,,,
3.37E-05,0,-0.004,,,,
3.38E-05,0,0,,,,
3.38E-05,0.04,-0.0032,,,,
3.39E-05,0,0,,,,
3.39E-05,0,-0.0016,,,,
3.40E-05,0,0,,,,
3.40E-05,0,0,,,,
3.41E-05,0,0,,,,
3.41E-05,0,0,,,,
3.42E-05,0,-0.0024,,,,
3.42E-05,0,0,,,,
3.43E-05,0,0,,,,
3.43E-05,0,-0.0016,,,,
3.44E-05,0,0,,,,
3.44E-05,0,-0.0024,,,,
3.45E-05,0,-0.004,,,,
3.45E-05,0,-0.0032,,,,
3.46E-05,0,-0.0016,,,,
3.46E-05,0,-0.0048,,,,
3.47E-05,0,-0.0016,,,,
3.47E-05,0,-0.0056,,,,
3.48E-05,0,0,,,,
3.48E-05,0,-0.0048,,,,
3.49E-05,0,0,,,,
3.49E-05,0,-0.0056,,,,
3.50E-05,0,0.0016,,,,
3.50E-05,0,-0.0024,,,,
3.51E-05,0,0,,,,
3.51E-05,0,0,,,,
3.52E-05,0,-0.0024,,,,
3.52E-05,0,0,,,,
3.53E-05,0,0,,,,
3.53E-05,0,-0.0032,,,,
3.54E-05,0,0.0016,,,,
3.54E-05,0,0,,,,
3.55E-05,0,-0.0064,,,,
3.55E-05,0,-0.0016,,,,
3.56E-05,0,0,,,,
3.56E-05,0,-0.0048,,,,
3.57E-05,0,0,,,,
3.57E-05,0,-0.0056,,,,
3.58E-05,0,-0.0056,,,,
3.58E-05,0,-0.0024,,,,
3.59E-05,0,-0.0016,,,,
3.59E-05,0,-0.0048,,,,
3.60E-05,0,0,,,,
3.60E-05,0,-0.0016,,,,
3.61E-05,0,-0.0016,,,,
3.61E-05,0,0,,,,
3.62E-05,0,0,,,,
3.62E-05,0,0,,,,
3.63E-05,0,-0.0016,,,,
3.63E-05,0.04,0,,,,
3.64E-05,0,-0.0016,,,,
3.64E-05,0,0,,,,
3.65E-05,0,0,,,,
3.65E-05,0,-0.0032,,,,
3.66E-05,0,-0.0016,,,,
3.66E-05,0,-0.0032,,,,
3.67E-05,0,0,,,,
3.67E-05,0,-0.0024,,,,
3.68E-05,0,-0.0048,,,,
3.68E-05,0,-0.004,,,,
3.69E-05,0,-0.0064,,,,
3.69E-05,0,-0.0032,,,,
3.70E-05,0,-0.0032,,,,
3.70E-05,0,-0.0032,,,,
3.71E-05,0,-0.0032,,,,
3.71E-05,0,-0.0024,,,,
3.72E-05,0,-0.0016,,,,
3.72E-05,0,0,,,,
3.73E-05,0,-0.0016,,,,
3.73E-05,0,-0.0016,,,,
3.74E-05,0,0,,,,
3.74E-05,0,0,,,,
3.75E-05,0,0,,,,
3.75E-05,0,0,,,,
3.76E-05,0,0,,,,
3.76E-05,0,-0.0016,,,,
3.77E-05,0,-0.0016,,,,
3.77E-05,0,-0.0016,,,,
3.78E-05,0,-0.0016,,,,
3.78E-05,0,0,,,,
3.79E-05,0,-0.0064,,,,
3.79E-05,0,-0.0016,,,,
3.80E-05,0,-0.0032,,,,
3.80E-05,0,-0.0024,,,,
3.81E-05,0,-0.004,,,,
3.81E-05,0,-0.0024,,,,
3.82E-05,0,-0.0048,,,,
3.82E-05,0,-0.0016,,,,
3.83E-05,0,0,,,,
3.83E-05,0,-0.0048,,,,
3.84E-05,0,-0.0016,,,,
3.84E-05,0,-0.0016,,,,
3.85E-05,0,-0.0016,,,,
3.85E-05,0,-0.0024,,,,
3.86E-05,0,0,,,,
3.86E-05,0,-0.0024,,,,
3.87E-05,0,0,,,,
3.87E-05,0.04,-0.0024,,,,
3.88E-05,0,-0.0016,,,,
3.88E-05,0,0,,,,
3.89E-05,0,-0.0016,,,,
3.89E-05,0,-0.0032,,,,
3.90E-05,0,-0.0032,,,,
