bearing_id,design_id,material_batch_id,manufacturing_batch_id,assembly_id,maintenance_record_id,operation_hours,lubrication_age_ratio,design_risk_score,material_risk_score,manufacturing_risk_score,assembly_risk_score,operation_risk_score,inspection_id,inspection_risk_score,overall_lifecycle_risk,overall_lifecycle_risk_level
BRG-00029,BDES-00222,BMAT-00437,BMAN-00663,BASM-00029,BOPR-00029,4385.5,0.2919,0.0729,0.499,0.5243,0.2604,0.162,BINSP-00029,0.2565,0.3293,medium
BRG-00030,BDES-00117,BMAT-00362,BMAN-00429,BASM-00030,BOPR-00030,5545.9,0.3755,0.2992,0.5187,0.18,0.2361,0.2648,BINSP-00030,0.2442,0.2935,medium
BRG-00031,BDES-00623,BMAT-00075,BMAN-00217,BASM-00031,BOPR-00031,3630.0,0.2297,0.1091,0.1352,0.2045,0.4624,0.0857,BINSP-00031,0.2088,0.208,low
BRG-00032,BDES-00067,BMAT-00170,BMAN-01051,BASM-00032,BOPR-00032,3192.0,0.3858,0.1396,0.409,0.3896,0.2708,0.2811,BINSP-00032,0.2302,0.3031,medium
BRG-00033,BDES-00078,BMAT-00210,BMAN-00284,BASM-00033,BOPR-00033,3567.5,0.5085,0.0899,0.3078,0.2667,0.5923,0.2552,BINSP-00033,0.2774,0.3049,medium
BRG-00034,BDES-00027,BMAT-00284,BMAN-00581,BASM-00034,BOPR-00034,4066.2,1.0,0.1053,0.3283,0.3313,0.5106,0.4748,BINSP-00034,0.2311,0.334,medium
BRG-00035,BDES-00513,BMAT-00149,BMAN-00554,BASM-00035,BOPR-00035,3268.6,0.3962,0.1108,0.1917,0.3843,0.1443,0.2715,BINSP-00035,0.2148,0.2283,low
BRG-00036,BDES-00589,BMAT-00431,BMAN-01200,BASM-00036,BOPR-00036,1268.8,0.6233,0.0778,0.0667,0.3763,0.339,0.2511,BINSP-00036,0.1902,0.2263,low
BRG-00037,BDES-00370,BMAT-00378,BMAN-00005,BASM-00037,BOPR-00037,3987.9,0.1152,0.0204,0.2192,0.3088,0.1676,0.1966,BINSP-00037,0.1537,0.1903,low
BRG-00038,BDES-00307,BMAT-00293,BMAN-01020,BASM-00038,BOPR-00038,6597.1,0.0728,0.1166,0.4417,0.3139,0.2329,0.2908,BINSP-00038,0.2244,0.2816,medium
BRG-00039,BDES-00471,BMAT-00039,BMAN-00698,BASM-00039,BOPR-00039,4794.2,0.3693,0.2451,0.1155,0.3336,0.3787,0.3202,BINSP-00039,0.2609,0.2751,medium
BRG-00040,BDES-00019,BMAT-00469,BMAN-00925,BASM-00040,BOPR-00040,2309.2,1.0,0.2028,0.3418,0.3689,0.3088,0.3778,BINSP-00040,0.2235,0.3126,medium
BRG-00041,BDES-00197,BMAT-00355,BMAN-01046,BASM-00041,BOPR-00041,6258.5,0.1587,0.1259,0.0797,0.3144,0.2058,0.3485,BINSP-00041,0.2112,0.2115,low
BRG-00042,BDES-00473,BMAT-00350,BMAN-00435,BASM-00042,BOPR-00042,7522.6,0.2794,0.5624,0.1903,0.2436,0.3479,0.3243,BINSP-00042,0.2404,0.3121,medium
BRG-00043,BDES-00529,BMAT-00119,BMAN-00243,BASM-00043,BOPR-00043,2090.8,0.0537,0.0369,0.186,0.3751,0.2819,0.0713,BINSP-00043,0.1721,0.2096,low
BRG-00044,BDES-00028,BMAT-00184,BMAN-01006,BASM-00044,BOPR-00044,3121.6,0.5113,0.1412,0.1191,0.2402,0.431,0.2817,BINSP-00044,0.2001,0.2355,low
BRG-00045,BDES-00638,BMAT-00239,BMAN-00704,BASM-00045,BOPR-00045,1108.1,0.1476,0.0679,0.2626,0.3057,0.4014,0.0561,BINSP-00045,0.2043,0.2362,low
BRG-00046,BDES-00447,BMAT-00103,BMAN-01185,BASM-00046,BOPR-00046,5944.3,0.1791,0.22,0.0856,0.3542,0.1617,0.2862,BINSP-00046,0.2072,0.2215,low
BRG-00047,BDES-00173,BMAT-00128,BMAN-01092,BASM-00047,BOPR-00047,5277.6,0.0719,0.1496,0.249,0.2108,0.2768,0.2097,BINSP-00047,0.1875,0.2181,low
BRG-00048,BDES-00174,BMAT-00231,BMAN-00652,BASM-00048,BOPR-00048,4596.2,0.3864,0.0022,0.1018,0.1774,0.4287,0.337,BINSP-00048,0.1539,0.1963,low
BRG-00049,BDES-00100,BMAT-00331,BMAN-00836,BASM-00049,BOPR-00049,4627.3,0.7152,0.0485,0.0039,0.4796,0.3208,0.4686,BINSP-00049,0.2094,0.2586,medium
BRG-00050,BDES-00684,BMAT-00317,BMAN-00138,BASM-00050,BOPR-00050,2042.8,0.0899,0.2506,0.3328,0.3884,0.24,0.0643,BINSP-00050,0.16,0.2668,medium
BRG-00051,BDES-00641,BMAT-00048,BMAN-00253,BASM-00051,BOPR-00051,6428.1,0.7882,0.0,0.2233,0.5247,0.3795,0.4862,BINSP-00051,0.2314,0.3204,medium
BRG-00052,BDES-00196,BMAT-00164,BMAN-00526,BASM-00052,BOPR-00052,6120.6,0.3244,0.2869,0.4233,0.3457,0.3843,0.3244,BINSP-00052,0.2813,0.3498,medium
BRG-00053,BDES-00710,BMAT-00218,BMAN-00475,BASM-00053,BOPR-00053,3782.4,0.8343,0.1827,0.1455,0.4611,0.6351,0.381,BINSP-00053,0.2889,0.3579,medium
BRG-00054,BDES-00257,BMAT-00395,BMAN-00615,BASM-00054,BOPR-00054,4924.9,0.3666,0.0829,0.1519,0.3144,0.4841,0.3079,BINSP-00054,0.2324,0.2664,medium
BRG-00055,BDES-00544,BMAT-00368,BMAN-01104,BASM-00055,BOPR-00055,3074.8,0.1656,0.3121,0.4713,0.2066,0.3686,0.165,BINSP-00055,0.1702,0.2969,medium
BRG-00056,BDES-00563,BMAT-00199,BMAN-00471,BASM-00056,BOPR-00056,1982.7,0.2756,0.3471,0.1537,0.3034,0.3657,0.1802,BINSP-00056,0.1937,0.2659,medium
BRG-00057,BDES-00210,BMAT-00052,BMAN-00736,BASM-00057,BOPR-00057,1540.5,0.5642,0.0871,0.361,0.2419,0.2724,0.2448,BINSP-00057,0.153,0.2379,low
BRG-00058,BDES-00059,BMAT-00446,BMAN-00243,BASM-00058,BOPR-00058,3027.7,0.253,0.2928,0.1619,0.3751,0.2499,0.2784,BINSP-00058,0.2444,0.2721,medium
BRG-00059,BDES-00385,BMAT-00141,BMAN-00371,BASM-00059,BOPR-00059,1850.3,0.3855,0.0352,0.2194,0.2988,0.1322,0.1938,BINSP-00059,0.1629,0.1846,low
BRG-00060,BDES-00291,BMAT-00301,BMAN-00441,BASM-00060,BOPR-00060,2959.9,0.8335,0.0991,0.3413,0.39,0.4313,0.4128,BINSP-00060,0.2536,0.3302,medium
BRG-00061,BDES-00200,BMAT-00159,BMAN-00726,BASM-00061,BOPR-00061,9037.2,0.4523,0.2129,0.2058,0.3069,0.2329,0.4235,BINSP-00061,0.251,0.2667,medium
BRG-00062,BDES-00408,BMAT-00081,BMAN-00790,BASM-00062,BOPR-00062,5909.0,0.2716,0.1321,0.0827,0.2098,0.3425,0.3054,BINSP-00062,0.2341,0.2097,low
BRG-00063,BDES-00001,BMAT-00162,BMAN-00457,BASM-00063,BOPR-00063,1935.2,0.5864,0.0743,0.408,0.35,0.3652,0.3072,BINSP-00063,0.2461,0.3047,medium
BRG-00064,BDES-00081,BMAT-00275,BMAN-00283,BASM-00064,BOPR-00064,5219.7,0.7495,0.1598,0.0203,0.4345,0.2761,0.5025,BINSP-00064,0.2279,0.2667,medium
BRG-00065,BDES-00380,BMAT-00151,BMAN-00220,BASM-00065,BOPR-00065,2828.1,0.294,0.1104,0.328,0.343,0.2499,0.181,BINSP-00065,0.1948,0.2518,medium
BRG-00066,BDES-00624,BMAT-00070,BMAN-00519,BASM-00066,BOPR-00066,7528.6,0.421,0.2269,0.223,0.3344,0.4243,0.4471,BINSP-00066,0.3277,0.324,medium
BRG-00067,BDES-00754,BMAT-00037,BMAN-00647,BASM-00067,BOPR-00067,3625.4,0.3754,0.1691,0.1888,0.5545,0.0876,0.2501,BINSP-00067,0.2303,0.2667,medium
BRG-00068,BDES-00520,BMAT-00239,BMAN-00995,BASM-00068,BOPR-00068,4242.4,0.4211,0.1819,0.2626,0.2339,0.4357,0.2916,BINSP-00068,0.193,0.2705,medium
BRG-00069,BDES-00355,BMAT-00483,BMAN-00865,BASM-00069,BOPR-00069,1694.8,0.0469,0.3849,0.1093,0.2957,0.4587,0.0684,BINSP-00069,0.2235,0.2675,medium
BRG-00070,BDES-00541,BMAT-00088,BMAN-00956,BASM-00070,BOPR-00070,2754.3,0.1615,0.06,0.2221,0.2238,0.2445,0.1071,BINSP-00070,0.1639,0.181,low
BRG-00071,BDES-00485,BMAT-00403,BMAN-00677,BASM-00071,BOPR-00071,1914.8,0.2984,0.2106,0.2199,0.3139,0.5001,0.1777,BINSP-00071,0.1999,0.2843,medium
BRG-00072,BDES-00536,BMAT-00015,BMAN-00951,BASM-00072,BOPR-00072,3024.4,0.3227,0.2923,0.6155,0.2606,0.5557,0.2656,BINSP-00072,0.3026,0.3946,medium
BRG-00073,BDES-00260,BMAT-00469,BMAN-01021,BASM-00073,BOPR-00073,2962.5,0.6011,0.1553,0.3418,0.2431,0.4675,0.3344,BINSP-00073,0.3017,0.306,medium
BRG-00074,BDES-00531,BMAT-00213,BMAN-00320,BASM-00074,BOPR-00074,2316.5,0.4452,0.2566,0.1396,0.352,0.5057,0.1941,BINSP-00074,0.2802,0.2958,medium
BRG-00075,BDES-00037,BMAT-00046,BMAN-00394,BASM-00075,BOPR-00075,2415.0,1.0,0.0574,0.331,0.2804,0.472,0.4368,BINSP-00075,0.2467,0.3047,medium
BRG-00076,BDES-00453,BMAT-00278,BMAN-00550,BASM-00076,BOPR-00076,2538.5,0.2883,0.342,0.2636,0.3288,0.3232,0.1954,BINSP-00076,0.2451,0.2925,medium
BRG-00077,BDES-00519,BMAT-00210,BMAN-00678,BASM-00077,BOPR-00077,4846.4,0.5069,0.0037,0.3078,0.3448,0.4727,0.4128,BINSP-00077,0.262,0.3057,medium
BRG-00078,BDES-00630,BMAT-00004,BMAN-00063,BASM-00078,BOPR-00078,5638.8,0.3601,0.3643,0.1538,0.2765,0.3304,0.2872,BINSP-00078,0.2819,0.2775,medium
BRG-00079,BDES-00419,BMAT-00215,BMAN-01133,BASM-00079,BOPR-00079,2739.0,0.1937,0.1108,0.1263,0.4687,0.3124,0.2848,BINSP-00079,0.2248,0.2684,medium
BRG-00080,BDES-00378,BMAT-00058,BMAN-01080,BASM-00080,BOPR-00080,4384.6,0.5354,0.21,0.0822,0.1493,0.3538,0.309,BINSP-00080,0.2179,0.2084,low
BRG-00081,BDES-00252,BMAT-00082,BMAN-01184,BASM-00081,BOPR-00081,2074.7,0.6287,0.1349,0.1916,0.1521,0.3323,0.3272,BINSP-00081,0.2267,0.2182,low
BRG-00082,BDES-00217,BMAT-00232,BMAN-00270,BASM-00082,BOPR-00082,2698.7,0.566,0.1155,0.2369,0.322,0.1242,0.3155,BINSP-00082,0.1993,0.2233,low
BRG-00083,BDES-00272,BMAT-00479,BMAN-00572,BASM-00083,BOPR-00083,4144.9,0.4349,0.2486,0.2665,0.1257,0.4979,0.2994,BINSP-00083,0.2124,0.27,medium
BRG-00084,BDES-00140,BMAT-00034,BMAN-00293,BASM-00084,BOPR-00084,5349.0,0.4482,0.1069,0.3267,0.3958,0.4022,0.3778,BINSP-00084,0.2452,0.3197,medium
BRG-00085,BDES-00637,BMAT-00181,BMAN-00551,BASM-00085,BOPR-00085,2104.1,0.2108,0.0408,0.2171,0.3329,0.4252,0.1501,BINSP-00085,0.1632,0.2407,low
BRG-00086,BDES-00134,BMAT-00465,BMAN-00912,BASM-00086,BOPR-00086,1459.0,1.0,0.2047,0.4305,0.2288,0.303,0.4212,BINSP-00086,0.3103,0.3099,medium
BRG-00087,BDES-00190,BMAT-00090,BMAN-00610,BASM-00087,BOPR-00087,5094.3,0.5994,0.0824,0.3152,0.2783,0.5681,0.3889,BINSP-00087,0.2018,0.3121,medium
BRG-00088,BDES-00176,BMAT-00332,BMAN-00372,BASM-00088,BOPR-00088,1478.1,1.0,0.2345,0.3472,0.3366,0.5492,0.5005,BINSP-00088,0.2669,0.3733,medium
BRG-00089,BDES-00558,BMAT-00304,BMAN-00784,BASM-00089,BOPR-00089,1265.0,0.372,0.0935,0.226,0.3831,0.2649,0.2438,BINSP-00089,0.2019,0.2492,low
BRG-00090,BDES-00033,BMAT-00285,BMAN-00955,BASM-00090,BOPR-00090,3651.1,0.3918,0.1121,0.1481,0.1973,0.2877,0.2218,BINSP-00090,0.1367,0.187,low
BRG-00091,BDES-00085,BMAT-00261,BMAN-00579,BASM-00091,BOPR-00091,4942.4,0.7692,0.1578,0.0371,0.3482,0.5688,0.4473,BINSP-00091,0.296,0.3019,medium
BRG-00092,BDES-00502,BMAT-00151,BMAN-00749,BASM-00092,BOPR-00092,2696.5,0.3571,0.1259,0.328,0.2386,0.4005,0.2521,BINSP-00092,0.2131,0.2667,medium
BRG-00093,BDES-00497,BMAT-00122,BMAN-00502,BASM-00093,BOPR-00093,1131.2,0.4291,0.2273,0.4586,0.2709,0.1247,0.2197,BINSP-00093,0.2161,0.2635,medium
BRG-00094,BDES-00298,BMAT-00081,BMAN-00505,BASM-00094,BOPR-00094,2865.2,0.4584,0.2052,0.0827,0.3567,0.38,0.246,BINSP-00094,0.2261,0.2555,medium
BRG-00095,BDES-00592,BMAT-00239,BMAN-00901,BASM-00095,BOPR-00095,4608.4,0.085,0.1721,0.2626,0.3493,0.3295,0.1916,BINSP-00095,0.2249,0.2687,medium
BRG-00096,BDES-00255,BMAT-00382,BMAN-00944,BASM-00096,BOPR-00096,7071.4,0.2516,0.2748,0.1098,0.4024,0.443,0.33,BINSP-00096,0.2522,0.3071,medium
BRG-00097,BDES-00312,BMAT-00047,BMAN-00251,BASM-00097,BOPR-00097,3233.6,0.4583,0.0,0.4705,0.4115,0.2734,0.265,BINSP-00097,0.2108,0.295,medium
BRG-00098,BDES-00222,BMAT-00305,BMAN-00611,BASM-00098,BOPR-00098,2883.1,0.2723,0.0729,0.2837,0.4639,0.4726,0.1817,BINSP-00098,0.1798,0.3046,medium
BRG-00099,BDES-00256,BMAT-00242,BMAN-00038,BASM-00099,BOPR-00099,4534.8,0.2654,0.1611,0.366,0.2219,0.3323,0.2412,BINSP-00099,0.2535,0.2663,medium
BRG-00100,BDES-00128,BMAT-00307,BMAN-00159,BASM-00100,BOPR-00100,3817.7,0.4602,0.1776,0.3671,0.2482,0.4588,0.2747,BINSP-00100,0.288,0.3058,medium
BRG-00101,BDES-00255,BMAT-00441,BMAN-00661,BASM-00101,BOPR-00101,4504.4,0.6437,0.2748,0.3685,0.264,0.2633,0.3735,BINSP-00101,0.2614,0.2994,medium
BRG-00102,BDES-00012,BMAT-00147,BMAN-00941,BASM-00102,BOPR-00102,3401.8,0.256,0.0818,0.165,0.2848,0.1454,0.201,BINSP-00102,0.214,0.1861,low
BRG-00103,BDES-00414,BMAT-00232,BMAN-00146,BASM-00103,BOPR-00103,2980.6,0.3728,0.1065,0.2369,0.4073,0.3806,0.268,BINSP-00103,0.2199,0.2848,medium
BRG-00104,BDES-00422,BMAT-00142,BMAN-00105,BASM-00104,BOPR-00104,5521.7,0.527,0.1009,0.3588,0.4116,0.2137,0.294,BINSP-00104,0.2558,0.286,medium
BRG-00105,BDES-00312,BMAT-00098,BMAN-00285,BASM-00105,BOPR-00105,1833.1,0.3541,0.0,0.367,0.2454,0.1953,0.1726,BINSP-00105,0.1392,0.2021,low
BRG-00106,BDES-00309,BMAT-00237,BMAN-01018,BASM-00106,BOPR-00106,4102.5,0.225,0.0421,0.3231,0.3915,0.2049,0.216,BINSP-00106,0.1856,0.2467,low
BRG-00107,BDES-00585,BMAT-00337,BMAN-00071,BASM-00107,BOPR-00107,3791.7,0.2233,0.2872,0.1446,0.2815,0.36,0.2025,BINSP-00107,0.2321,0.2547,medium
BRG-00108,BDES-00449,BMAT-00268,BMAN-00034,BASM-00108,BOPR-00108,4876.5,0.3788,0.1566,0.315,0.5319,0.4138,0.2543,BINSP-00108,0.2678,0.3475,medium
BRG-00109,BDES-00385,BMAT-00231,BMAN-00043,BASM-00109,BOPR-00109,3413.9,0.1507,0.0352,0.1018,0.2365,0.1739,0.1941,BINSP-00109,0.1634,0.1537,low
BRG-00110,BDES-00152,BMAT-00186,BMAN-00990,BASM-00110,BOPR-00110,2705.9,0.4879,0.0832,0.0867,0.2211,0.2961,0.2453,BINSP-00110,0.1664,0.1831,low
BRG-00111,BDES-00733,BMAT-00249,BMAN-00580,BASM-00111,BOPR-00111,2890.9,0.0543,0.129,0.1113,0.4883,0.2943,0.097,BINSP-00111,0.1803,0.2427,low
BRG-00112,BDES-00660,BMAT-00257,BMAN-00202,BASM-00112,BOPR-00112,5366.0,0.3074,0.1704,0.4765,0.3068,0.2581,0.3384,BINSP-00112,0.2365,0.3069,medium
BRG-00113,BDES-00778,BMAT-00221,BMAN-00408,BASM-00113,BOPR-00113,4020.0,0.7877,0.2741,0.157,0.6165,0.2426,0.4464,BINSP-00113,0.2402,0.3445,medium
BRG-00114,BDES-00663,BMAT-00340,BMAN-00799,BASM-00114,BOPR-00114,5411.6,0.3151,0.2382,0.0904,0.2633,0.227,0.3296,BINSP-00114,0.203,0.2201,low
BRG-00115,BDES-00648,BMAT-00123,BMAN-00356,BASM-00115,BOPR-00115,2742.4,0.2087,0.1456,0.1358,0.2987,0.0934,0.1641,BINSP-00115,0.1581,0.1745,low
BRG-00116,BDES-00312,BMAT-00139,BMAN-00402,BASM-00116,BOPR-00116,3808.0,1.0,0.0,0.4088,0.3816,0.2263,0.5614,BINSP-00116,0.2475,0.3062,medium
BRG-00117,BDES-00760,BMAT-00211,BMAN-00497,BASM-00117,BOPR-00117,1617.4,0.6178,0.2498,0.4874,0.3023,0.4024,0.2808,BINSP-00117,0.2426,0.3404,medium
BRG-00118,BDES-00083,BMAT-00167,BMAN-01150,BASM-00118,BOPR-00118,2423.5,0.1209,0.3471,0.1316,0.4816,0.3235,0.0836,BINSP-00118,0.3024,0.2959,medium
BRG-00119,BDES-00134,BMAT-00023,BMAN-00865,BASM-00119,BOPR-00119,3837.7,0.0805,0.2047,0.169,0.2957,0.2567,0.1208,BINSP-00119,0.1763,0.2159,low
BRG-00120,BDES-00486,BMAT-00121,BMAN-00419,BASM-00120,BOPR-00120,5352.8,0.2618,0.0,0.1312,0.1323,0.2828,0.2865,BINSP-00120,0.186,0.1619,low
BRG-00121,BDES-00765,BMAT-00016,BMAN-00598,BASM-00121,BOPR-00121,1969.7,0.4786,0.0984,0.3781,0.3748,0.3696,0.2798,BINSP-00121,0.2159,0.303,medium
BRG-00122,BDES-00797,BMAT-00070,BMAN-00852,BASM-00122,BOPR-00122,6232.1,1.0,0.3831,0.223,0.2653,0.2557,0.5939,BINSP-00122,0.3161,0.3185,medium
BRG-00123,BDES-00527,BMAT-00207,BMAN-01067,BASM-00123,BOPR-00123,2831.3,0.5452,0.5174,0.2932,0.373,0.2871,0.2131,BINSP-00123,0.2415,0.3323,medium
BRG-00124,BDES-00745,BMAT-00304,BMAN-00483,BASM-00124,BOPR-00124,3222.2,0.3294,0.0,0.226,0.3293,0.3557,0.2061,BINSP-00124,0.2216,0.2352,low
BRG-00125,BDES-00790,BMAT-00347,BMAN-00817,BASM-00125,BOPR-00125,3842.8,0.4528,0.0333,0.2629,0.2912,0.1411,0.3016,BINSP-00125,0.1877,0.2082,low
BRG-00126,BDES-00263,BMAT-00245,BMAN-01190,BASM-00126,BOPR-00126,6412.9,0.3054,0.2261,0.3026,0.2857,0.2806,0.3354,BINSP-00126,0.1464,0.2707,medium
BRG-00127,BDES-00102,BMAT-00063,BMAN-00545,BASM-00127,BOPR-00127,2276.1,0.3294,0.0435,0.213,0.3983,0.236,0.2178,BINSP-00127,0.1961,0.2334,low
BRG-00128,BDES-00403,BMAT-00350,BMAN-00421,BASM-00128,BOPR-00128,5722.2,0.4368,0.1631,0.1903,0.2132,0.432,0.3355,BINSP-00128,0.2248,0.2558,medium
BRG-00129,BDES-00012,BMAT-00251,BMAN-00283,BASM-00129,BOPR-00129,9357.4,0.127,0.0818,0.3674,0.4345,0.5545,0.3698,BINSP-00129,0.3429,0.3693,medium
BRG-00130,BDES-00347,BMAT-00318,BMAN-00467,BASM-00130,BOPR-00130,3953.4,0.2953,0.4314,0.2022,0.1449,0.2682,0.2118,BINSP-00130,0.2228,0.2402,low
BRG-00131,BDES-00770,BMAT-00311,BMAN-01142,BASM-00131,BOPR-00131,3872.1,0.098,0.1553,0.1402,0.2421,0.3638,0.1717,BINSP-00131,0.1722,0.2143,low
BRG-00132,BDES-00317,BMAT-00491,BMAN-00219,BASM-00132,BOPR-00132,777.2,0.2116,0.2339,0.1478,0.3645,0.221,0.1291,BINSP-00132,0.1489,0.2246,low
BRG-00133,BDES-00258,BMAT-00484,BMAN-01010,BASM-00133,BOPR-00133,4227.6,1.0,0.2527,0.3411,0.3331,0.1309,0.5509,BINSP-00133,0.226,0.3009,medium
BRG-00134,BDES-00141,BMAT-00081,BMAN-00807,BASM-00134,BOPR-00134,2844.3,0.4921,0.1567,0.0827,0.256,0.6098,0.3451,BINSP-00134,0.2043,0.2747,medium
BRG-00135,BDES-00013,BMAT-00331,BMAN-01050,BASM-00135,BOPR-00135,3037.8,0.3154,0.122,0.0039,0.3201,0.2354,0.2153,BINSP-00135,0.1873,0.1841,low
BRG-00136,BDES-00171,BMAT-00365,BMAN-00630,BASM-00136,BOPR-00136,7071.0,0.3139,0.1242,0.2427,0.3087,0.2201,0.351,BINSP-00136,0.2448,0.2487,low
BRG-00137,BDES-00385,BMAT-00180,BMAN-01122,BASM-00137,BOPR-00137,3156.7,0.4484,0.0352,0.147,0.1715,0.134,0.2484,BINSP-00137,0.1342,0.1435,low
