manufacturing_batch_id,heat_treatment_temp,tempering_temp,grinding_quality,roundness_error,roughness,equipment_id,manufacturing_risk_score,manufacturing_risk_level
BMAN-00022,832.3,180.1,0.7258,0.903,0.108,EQ-GR-102,0.1441,low
BMAN-00023,853.2,171.6,0.7117,1.914,0.341,EQ-GR-041,0.2842,medium
BMAN-00024,871.5,185.0,0.8272,3.961,0.11,EQ-GR-107,0.313,medium
BMAN-00025,824.2,193.2,0.5262,3.667,0.28,EQ-GR-088,0.3759,medium
BMAN-00026,838.8,185.8,0.7828,3.06,0.448,EQ-GR-050,0.2591,medium
BMAN-00027,821.5,199.3,0.9173,3.355,0.145,EQ-GR-028,0.2329,low
BMAN-00028,832.2,165.0,0.4734,0.343,0.609,EQ-GR-021,0.3487,medium
BMAN-00029,862.1,176.9,0.653,2.119,0.218,EQ-GR-094,0.2695,medium
BMAN-00030,772.8,168.3,0.67,1.787,0.493,EQ-GR-033,0.4689,medium
BMAN-00031,845.2,157.6,0.8149,1.344,0.164,EQ-GR-011,0.2214,low
BMAN-00032,817.7,197.5,0.6933,0.2,0.269,EQ-GR-075,0.286,medium
BMAN-00033,844.0,167.6,0.8532,1.961,0.05,EQ-GR-054,0.1179,low
BMAN-00034,877.9,140.8,0.6447,3.935,0.323,EQ-GR-103,0.5319,high
BMAN-00035,836.8,153.0,0.7256,1.853,0.271,EQ-GR-096,0.1869,low
BMAN-00036,833.4,161.7,0.7217,4.381,0.316,EQ-GR-089,0.3204,medium
BMAN-00037,890.1,140.5,0.6587,1.137,0.295,EQ-GR-068,0.399,medium
BMAN-00038,848.6,158.2,0.7734,0.835,0.311,EQ-GR-116,0.2219,low
BMAN-00039,849.9,202.3,0.7776,4.777,0.05,EQ-GR-064,0.2966,medium
BMAN-00040,848.9,159.4,0.7772,0.489,0.163,EQ-GR-112,0.1644,low
BMAN-00041,859.6,211.6,0.6453,3.788,0.846,EQ-GR-071,0.5563,high
BMAN-00042,806.5,186.2,0.7978,3.572,0.05,EQ-GR-089,0.3246,medium
BMAN-00043,817.8,180.8,0.543,0.641,0.068,EQ-GR-106,0.2365,low
BMAN-00044,869.0,182.9,0.5767,2.77,0.296,EQ-GR-052,0.4118,medium
BMAN-00045,815.5,163.1,0.7261,1.157,0.052,EQ-GR-032,0.2315,low
BMAN-00046,844.6,162.6,0.7657,0.22,0.246,EQ-GR-061,0.1357,low
BMAN-00047,839.3,199.4,0.7147,2.702,0.789,EQ-GR-093,0.348,medium
BMAN-00048,842.3,168.0,0.8261,0.575,0.188,EQ-GR-007,0.1973,low
BMAN-00049,832.1,176.8,0.5044,3.569,0.316,EQ-GR-116,0.2111,low
BMAN-00050,841.2,180.9,0.821,4.434,0.221,EQ-GR-051,0.2808,medium
BMAN-00051,871.9,194.5,0.76,0.812,0.475,EQ-GR-050,0.388,medium
BMAN-00052,800.1,153.2,0.9757,2.758,1.032,EQ-GR-061,0.5156,high
BMAN-00053,828.5,162.3,0.7418,0.676,0.183,EQ-GR-111,0.149,low
BMAN-00054,832.5,169.2,0.68,0.741,0.281,EQ-GR-072,0.1923,low
BMAN-00055,850.1,186.8,0.7675,4.168,0.136,EQ-GR-078,0.2774,medium
BMAN-00056,830.9,200.9,0.714,2.281,1.019,EQ-GR-094,0.4627,medium
BMAN-00057,817.5,184.7,0.8659,1.412,0.49,EQ-GR-078,0.3145,medium
BMAN-00058,828.7,157.7,0.3,1.156,0.239,EQ-GR-083,0.2936,medium
BMAN-00059,797.4,170.8,0.7111,2.302,0.169,EQ-GR-106,0.3916,medium
BMAN-00060,840.9,164.9,0.518,2.148,0.165,EQ-GR-068,0.2528,medium
BMAN-00061,829.5,169.0,0.604,1.085,0.811,EQ-GR-026,0.4147,medium
BMAN-00062,832.4,172.6,0.6505,1.036,0.253,EQ-GR-046,0.1835,low
BMAN-00063,825.4,177.1,0.7676,5.382,0.208,EQ-GR-011,0.2765,medium
BMAN-00064,837.7,193.4,0.9382,2.613,0.134,EQ-GR-003,0.1673,low
BMAN-00065,824.8,132.0,0.7897,3.597,0.189,EQ-GR-070,0.3408,medium
BMAN-00066,803.2,190.6,0.7393,4.546,0.406,EQ-GR-095,0.4057,medium
BMAN-00067,820.2,173.5,0.5784,0.925,0.577,EQ-GR-028,0.3161,medium
BMAN-00068,851.9,166.7,0.9274,2.768,0.477,EQ-GR-111,0.2735,medium
BMAN-00069,848.4,164.1,0.7511,3.06,0.583,EQ-GR-031,0.3383,medium
BMAN-00070,803.0,186.7,0.8739,0.576,0.231,EQ-GR-118,0.1965,low
BMAN-00071,857.1,174.4,0.809,1.322,0.649,EQ-GR-038,0.2815,medium
BMAN-00072,879.0,164.4,0.6602,1.643,0.726,EQ-GR-109,0.4447,medium
BMAN-00073,816.2,205.9,0.7674,3.135,0.416,EQ-GR-095,0.3616,medium
BMAN-00074,823.4,198.7,0.8002,7.923,0.22,EQ-GR-047,0.3889,medium
BMAN-00075,832.8,163.3,0.6123,1.518,0.439,EQ-GR-093,0.2915,medium
BMAN-00076,817.0,161.2,0.6105,3.109,0.145,EQ-GR-061,0.3254,medium
BMAN-00077,805.1,156.7,0.9604,4.745,0.695,EQ-GR-040,0.3995,medium
BMAN-00078,842.4,169.5,0.7016,0.393,0.501,EQ-GR-112,0.1663,low
BMAN-00079,809.1,192.1,0.7467,1.295,0.179,EQ-GR-055,0.3292,medium
BMAN-00080,820.1,188.3,0.8766,1.475,0.442,EQ-GR-070,0.2664,medium
BMAN-00081,833.3,171.5,0.6083,2.596,0.075,EQ-GR-103,0.278,medium
BMAN-00082,803.0,181.2,0.8195,3.443,0.409,EQ-GR-036,0.3803,medium
BMAN-00083,862.0,174.2,0.7982,4.309,0.411,EQ-GR-031,0.3684,medium
BMAN-00084,797.2,181.6,0.6816,0.804,0.671,EQ-GR-015,0.363,medium
BMAN-00085,817.6,137.4,0.7919,0.528,0.248,EQ-GR-012,0.2816,medium
BMAN-00086,866.4,145.8,0.7607,5.342,0.081,EQ-GR-008,0.4412,medium
BMAN-00087,832.6,168.6,0.3859,3.597,0.178,EQ-GR-026,0.2708,medium
BMAN-00088,840.2,165.4,0.6184,2.094,0.164,EQ-GR-036,0.2113,low
BMAN-00089,812.1,172.7,0.7824,2.848,0.447,EQ-GR-060,0.295,medium
BMAN-00090,874.9,154.4,0.8828,2.021,0.328,EQ-GR-053,0.3034,medium
BMAN-00091,856.3,166.2,0.913,3.973,0.178,EQ-GR-015,0.2648,medium
BMAN-00092,816.5,192.7,0.7169,2.676,0.767,EQ-GR-048,0.403,medium
BMAN-00093,831.9,156.3,0.6116,2.502,0.073,EQ-GR-120,0.1688,low
BMAN-00094,831.6,166.4,0.7635,3.125,0.526,EQ-GR-096,0.2988,medium
BMAN-00095,847.4,164.1,0.6866,0.918,0.161,EQ-GR-012,0.2281,low
BMAN-00096,858.0,176.7,0.7858,2.044,0.688,EQ-GR-036,0.3627,medium
BMAN-00097,832.1,168.3,0.8444,3.287,1.25,EQ-GR-062,0.3261,medium
BMAN-00098,811.7,185.4,0.72,0.991,0.675,EQ-GR-091,0.335,medium
BMAN-00099,863.9,171.7,0.9099,0.844,0.187,EQ-GR-008,0.2279,low
BMAN-00100,828.8,160.1,0.6181,4.592,0.266,EQ-GR-108,0.3073,medium
BMAN-00101,835.0,204.1,0.5882,6.241,0.178,EQ-GR-116,0.3486,medium
BMAN-00102,833.0,183.8,0.8867,8.085,0.198,EQ-GR-073,0.2865,medium
BMAN-00103,839.1,203.3,0.7944,2.216,0.063,EQ-GR-045,0.148,low
BMAN-00104,858.2,164.8,0.7756,1.091,0.166,EQ-GR-116,0.2553,medium
BMAN-00105,801.8,181.4,0.8563,3.24,0.3,EQ-GR-095,0.4116,medium
BMAN-00106,785.7,216.2,0.7469,2.681,0.05,EQ-GR-071,0.4439,medium
BMAN-00107,832.0,188.6,0.682,2.911,0.643,EQ-GR-095,0.3364,medium
BMAN-00108,826.1,143.5,0.8916,3.272,0.372,EQ-GR-090,0.2942,medium
BMAN-00109,821.8,179.7,0.7466,3.485,0.632,EQ-GR-008,0.3771,medium
BMAN-00110,805.4,179.3,0.8827,0.231,0.401,EQ-GR-088,0.1824,low
BMAN-00111,881.3,169.7,0.6371,4.862,0.211,EQ-GR-074,0.5213,high
BMAN-00112,816.7,167.8,0.7903,3.029,0.135,EQ-GR-044,0.2992,medium
BMAN-00113,807.6,183.3,0.8225,2.238,0.356,EQ-GR-090,0.3072,medium
BMAN-00114,837.6,169.1,0.4611,2.571,0.531,EQ-GR-117,0.3173,medium
BMAN-00115,820.2,189.5,0.7139,1.155,0.286,EQ-GR-006,0.2658,medium
BMAN-00116,826.3,168.2,0.8536,2.951,0.184,EQ-GR-086,0.2027,low
BMAN-00117,820.3,175.1,0.846,5.295,0.474,EQ-GR-065,0.3104,medium
BMAN-00118,830.7,173.3,0.4018,0.973,0.263,EQ-GR-101,0.2584,medium
BMAN-00119,804.8,181.9,0.7929,3.084,0.295,EQ-GR-098,0.3281,medium
BMAN-00120,841.8,140.0,0.8821,5.085,0.448,EQ-GR-021,0.3403,medium
BMAN-00121,833.8,196.2,0.8422,5.366,0.561,EQ-GR-119,0.3844,medium
BMAN-00122,808.3,188.6,0.9143,4.004,0.395,EQ-GR-119,0.3392,medium
BMAN-00123,898.4,205.2,0.9414,0.294,0.291,EQ-GR-043,0.4291,medium
BMAN-00124,830.1,166.2,0.4101,3.671,0.201,EQ-GR-118,0.3277,medium
BMAN-00125,871.8,188.1,0.7997,1.983,0.398,EQ-GR-068,0.3956,medium
BMAN-00126,824.0,184.5,0.7033,3.758,0.45,EQ-GR-110,0.3037,medium
BMAN-00127,835.0,150.0,0.6289,2.855,0.616,EQ-GR-055,0.3396,medium
BMAN-00128,830.6,166.8,0.7069,6.874,0.313,EQ-GR-012,0.4079,medium
BMAN-00129,812.7,166.2,0.963,1.099,0.06,EQ-GR-023,0.1619,low
BMAN-00130,829.1,185.2,0.7438,1.038,0.56,EQ-GR-090,0.2458,low
BMAN-00131,837.4,160.8,0.7832,4.414,0.639,EQ-GR-080,0.3405,medium
BMAN-00132,807.6,174.7,0.6421,3.797,0.241,EQ-GR-043,0.2935,medium
BMAN-00133,847.2,200.2,0.6956,3.56,0.299,EQ-GR-091,0.2707,medium
BMAN-00134,818.4,193.8,0.7353,3.283,0.301,EQ-GR-006,0.3519,medium
BMAN-00135,860.3,173.7,0.7932,0.922,0.246,EQ-GR-057,0.2449,low
BMAN-00136,833.3,187.4,0.7467,3.922,0.05,EQ-GR-113,0.2218,low
BMAN-00137,831.5,157.8,0.567,0.372,0.247,EQ-GR-001,0.2547,medium
BMAN-00138,822.6,180.4,0.6653,4.784,0.604,EQ-GR-004,0.3884,medium
BMAN-00139,825.6,156.8,0.8913,3.129,0.155,EQ-GR-087,0.2348,low
BMAN-00140,837.8,217.9,0.8171,3.037,0.599,EQ-GR-114,0.3036,medium
BMAN-00141,865.1,182.2,0.3,3.92,0.496,EQ-GR-013,0.6004,high
BMAN-00142,828.8,185.2,0.7461,2.859,0.277,EQ-GR-084,0.2985,medium
BMAN-00143,839.1,185.5,0.7747,4.741,0.074,EQ-GR-116,0.2353,low
BMAN-00144,862.7,184.4,0.6776,7.555,0.205,EQ-GR-003,0.4128,medium
BMAN-00145,827.6,194.0,0.8211,2.12,0.121,EQ-GR-022,0.16,low
BMAN-00146,864.5,126.4,0.6524,1.45,0.156,EQ-GR-025,0.4073,medium
BMAN-00147,858.1,160.0,0.7507,1.948,0.351,EQ-GR-015,0.3065,medium
BMAN-00148,839.1,193.0,0.9424,4.939,0.05,EQ-GR-058,0.1897,low
BMAN-00149,851.2,180.2,0.3583,2.951,0.18,EQ-GR-033,0.3712,medium
BMAN-00150,835.9,166.7,0.4409,0.526,0.098,EQ-GR-080,0.2156,low
BMAN-00151,820.2,132.6,0.8173,4.517,0.118,EQ-GR-042,0.3856,medium
BMAN-00152,837.6,175.1,0.8515,5.923,0.128,EQ-GR-051,0.255,medium
BMAN-00153,827.3,138.1,0.4741,0.97,0.964,EQ-GR-031,0.4664,medium
BMAN-00154,850.1,155.1,0.836,2.12,0.225,EQ-GR-031,0.2717,medium
BMAN-00155,831.8,173.0,0.8057,1.687,0.302,EQ-GR-009,0.21,low
BMAN-00156,846.5,165.3,0.9448,1.464,0.311,EQ-GR-023,0.1808,low
BMAN-00157,835.4,194.3,0.3,4.676,0.357,EQ-GR-102,0.413,medium
BMAN-00158,815.4,187.5,0.7645,1.245,0.339,EQ-GR-025,0.2982,medium
BMAN-00159,843.4,163.5,0.6344,1.662,0.144,EQ-GR-065,0.2482,low
BMAN-00160,864.7,208.5,0.5353,1.486,0.294,EQ-GR-109,0.4217,medium
BMAN-00161,850.1,182.3,0.8745,4.167,0.175,EQ-GR-112,0.222,low
BMAN-00162,852.2,163.8,0.9384,6.775,0.314,EQ-GR-021,0.3516,medium
BMAN-00163,859.6,179.7,0.874,1.882,0.123,EQ-GR-092,0.1922,low
BMAN-00164,842.5,191.4,0.6672,1.581,0.244,EQ-GR-095,0.2522,medium
BMAN-00165,838.5,177.9,0.8105,1.605,0.176,EQ-GR-086,0.1331,low
BMAN-00166,855.2,170.6,0.6219,2.738,0.176,EQ-GR-014,0.2596,medium
BMAN-00167,820.9,166.4,0.8853,1.493,0.34,EQ-GR-044,0.1928,low
BMAN-00168,877.6,177.1,0.9181,4.573,0.31,EQ-GR-038,0.3296,medium
BMAN-00169,832.6,175.6,0.6436,1.899,0.741,EQ-GR-047,0.3239,medium
BMAN-00170,822.9,172.2,0.4403,7.305,0.604,EQ-GR-111,0.4944,medium
BMAN-00171,772.2,173.0,0.7017,1.492,0.357,EQ-GR-083,0.3683,medium
BMAN-00172,804.3,194.0,0.7026,8.902,1.126,EQ-GR-062,0.684,high
BMAN-00173,822.3,186.0,0.8973,1.875,0.897,EQ-GR-046,0.3426,medium
BMAN-00174,838.6,196.4,0.7075,4.365,0.461,EQ-GR-100,0.3207,medium
BMAN-00175,859.2,161.2,0.6245,0.468,0.946,EQ-GR-099,0.414,medium
BMAN-00176,826.2,170.7,0.5666,0.553,0.45,EQ-GR-035,0.2474,low
BMAN-00177,823.3,151.9,0.3552,3.118,0.276,EQ-GR-006,0.3878,medium
BMAN-00178,818.6,145.6,0.38,0.923,0.675,EQ-GR-029,0.4977,medium
BMAN-00179,865.9,170.9,0.9081,1.565,0.466,EQ-GR-079,0.2929,medium
BMAN-00180,823.0,174.9,0.9807,0.538,0.107,EQ-GR-044,0.0651,low
BMAN-00181,842.0,169.8,0.6104,0.32,0.763,EQ-GR-052,0.3647,medium
BMAN-00182,819.1,179.4,0.877,3.401,0.291,EQ-GR-030,0.239,low
BMAN-00183,813.1,168.7,0.8251,2.387,0.083,EQ-GR-105,0.2027,low
BMAN-00184,824.3,147.3,0.4142,0.343,0.3,EQ-GR-043,0.3741,medium
BMAN-00185,818.9,157.4,0.7678,0.921,0.377,EQ-GR-034,0.2452,low
BMAN-00186,859.8,156.8,0.8586,3.096,0.204,EQ-GR-075,0.2722,medium
BMAN-00187,845.5,163.9,0.6916,0.746,0.29,EQ-GR-052,0.2752,medium
BMAN-00188,833.3,171.4,0.3845,3.529,0.689,EQ-GR-116,0.404,medium
BMAN-00189,856.8,174.8,0.8996,3.897,0.144,EQ-GR-042,0.2101,low
BMAN-00190,809.1,174.4,0.7239,1.255,0.739,EQ-GR-075,0.3131,medium
BMAN-00191,816.4,205.3,0.5842,4.827,0.221,EQ-GR-082,0.4596,medium
BMAN-00192,828.8,150.9,0.6627,1.609,0.225,EQ-GR-106,0.1906,low
BMAN-00193,826.8,146.8,0.9408,0.2,0.263,EQ-GR-025,0.2478,low
BMAN-00194,818.5,165.2,0.8539,3.29,0.474,EQ-GR-087,0.3292,medium
BMAN-00195,853.4,139.3,0.6994,0.484,0.503,EQ-GR-077,0.4376,medium
BMAN-00196,879.9,170.5,0.9181,2.309,0.337,EQ-GR-104,0.3578,medium
BMAN-00197,833.1,186.2,0.9362,0.494,0.467,EQ-GR-056,0.1945,low
BMAN-00198,836.6,169.3,0.7198,3.218,0.287,EQ-GR-116,0.2679,medium
BMAN-00199,828.6,184.7,0.6836,3.22,0.133,EQ-GR-022,0.2149,low
BMAN-00200,845.0,190.4,0.5446,2.576,0.944,EQ-GR-010,0.4234,medium
BMAN-00201,835.7,171.6,0.9482,1.088,0.318,EQ-GR-088,0.0879,low
BMAN-00202,822.7,195.6,0.5122,1.523,0.145,EQ-GR-100,0.3068,medium
BMAN-00203,815.5,207.3,0.5,2.368,0.719,EQ-GR-011,0.4969,medium
BMAN-00204,832.3,171.9,0.7269,6.191,0.102,EQ-GR-075,0.2448,low
BMAN-00205,823.2,186.7,0.6955,1.213,0.257,EQ-GR-072,0.2754,medium
BMAN-00206,827.1,180.3,0.8317,1.762,0.226,EQ-GR-116,0.1837,low
BMAN-00207,842.1,194.5,0.7313,1.996,0.395,EQ-GR-003,0.3174,medium
BMAN-00208,838.6,175.3,0.644,0.84,0.156,EQ-GR-105,0.1644,low
BMAN-00209,825.9,157.0,0.8733,1.469,0.452,EQ-GR-023,0.2253,low
BMAN-00210,829.8,222.6,0.6741,1.825,0.296,EQ-GR-065,0.3862,medium
BMAN-00211,887.9,181.6,0.7388,4.418,0.709,EQ-GR-047,0.6036,high
BMAN-00212,890.0,176.8,0.5235,0.2,0.266,EQ-GR-088,0.3774,medium
BMAN-00213,842.1,158.8,0.7709,0.234,0.776,EQ-GR-109,0.254,medium
BMAN-00214,835.1,198.4,0.4805,2.571,0.287,EQ-GR-025,0.4149,medium
BMAN-00215,851.8,187.6,0.6805,2.036,0.188,EQ-GR-044,0.217,low
BMAN-00216,814.3,191.1,0.3631,2.13,0.555,EQ-GR-038,0.471,medium
BMAN-00217,849.6,184.8,0.6714,2.623,0.156,EQ-GR-043,0.2045,low
BMAN-00218,874.0,142.0,0.4788,1.427,0.979,EQ-GR-099,0.6216,high
BMAN-00219,854.6,177.2,0.7361,4.143,0.706,EQ-GR-096,0.3645,medium
BMAN-00220,819.6,140.3,0.5618,2.682,0.128,EQ-GR-086,0.343,medium
BMAN-00221,834.7,203.4,0.6754,6.684,0.106,EQ-GR-018,0.3314,medium
BMAN-00222,857.6,180.6,0.8474,3.566,0.051,EQ-GR-091,0.2587,medium
BMAN-00223,844.6,194.1,0.565,2.791,0.1,EQ-GR-116,0.2579,medium
BMAN-00224,830.3,218.0,0.5812,1.579,0.442,EQ-GR-078,0.357,medium
BMAN-00225,835.2,140.5,0.7639,2.607,0.301,EQ-GR-117,0.2514,medium
BMAN-00226,829.3,171.8,0.8815,5.988,0.331,EQ-GR-082,0.2934,medium
BMAN-00227,836.0,169.1,0.922,2.872,1.016,EQ-GR-113,0.273,medium
BMAN-00228,839.5,161.4,0.7288,1.85,0.256,EQ-GR-076,0.2404,low
BMAN-00229,794.4,155.9,0.6204,2.033,0.271,EQ-GR-102,0.4305,medium
BMAN-00230,878.1,179.8,0.7845,3.639,0.242,EQ-GR-021,0.3806,medium
BMAN-00231,850.0,162.9,0.7884,2.422,0.149,EQ-GR-069,0.2244,low
BMAN-00232,830.0,160.3,0.6984,0.642,0.265,EQ-GR-033,0.1721,low
BMAN-00233,851.9,146.1,0.9047,2.021,0.107,EQ-GR-116,0.2901,medium
BMAN-00234,862.0,175.8,0.6603,2.472,0.197,EQ-GR-006,0.2938,medium
BMAN-00235,808.7,186.3,0.8339,2.284,0.084,EQ-GR-084,0.2778,medium
BMAN-00236,791.0,172.2,0.5125,0.413,0.303,EQ-GR-020,0.3926,medium
BMAN-00237,835.1,193.7,0.6401,3.978,0.232,EQ-GR-104,0.2685,medium
BMAN-00238,811.9,173.2,0.7352,3.044,0.066,EQ-GR-047,0.1975,low
BMAN-00239,842.2,165.9,0.6184,1.747,0.459,EQ-GR-021,0.2747,medium
BMAN-00240,875.9,165.1,0.6849,0.2,0.193,EQ-GR-052,0.345,medium
BMAN-00241,829.2,167.2,0.6302,1.943,0.249,EQ-GR-103,0.2572,medium
BMAN-00242,840.2,186.1,0.8795,0.388,0.05,EQ-GR-099,0.1268,low
BMAN-00243,862.3,162.3,0.6789,2.239,0.189,EQ-GR-070,0.3751,medium
BMAN-00244,869.4,195.2,0.6227,0.721,0.398,EQ-GR-084,0.3871,medium
BMAN-00245,826.3,145.3,0.7021,3.701,0.939,EQ-GR-033,0.498,medium
BMAN-00246,853.9,189.8,0.8514,0.564,0.188,EQ-GR-076,0.1775,low
BMAN-00247,811.4,173.3,0.866,0.272,0.295,EQ-GR-069,0.2012,low
BMAN-00248,838.2,166.1,0.5312,0.907,0.092,EQ-GR-047,0.1661,low
BMAN-00249,805.9,148.5,0.6369,1.773,0.119,EQ-GR-077,0.364,medium
BMAN-00250,834.6,158.5,0.6868,3.021,0.266,EQ-GR-024,0.3238,medium
BMAN-00251,822.3,204.9,0.4365,1.21,0.442,EQ-GR-042,0.4115,medium
BMAN-00252,771.8,183.3,0.8478,2.752,0.526,EQ-GR-001,0.5066,high
BMAN-00253,900.0,171.6,0.7215,7.717,0.079,EQ-GR-071,0.5247,high
BMAN-00254,805.1,143.8,0.8596,3.317,0.22,EQ-GR-077,0.4348,medium
BMAN-00255,831.0,173.4,0.8168,0.779,0.22,EQ-GR-015,0.1297,low
BMAN-00256,841.0,163.3,0.7878,1.148,0.356,EQ-GR-047,0.2503,medium
BMAN-00257,835.5,186.3,0.5894,3.841,0.17,EQ-GR-032,0.2747,medium
BMAN-00258,842.0,198.3,0.7937,3.238,0.168,EQ-GR-005,0.2952,medium
BMAN-00259,826.2,181.0,0.7066,1.945,0.943,EQ-GR-103,0.3325,medium
BMAN-00260,824.0,178.4,0.7378,1.862,0.236,EQ-GR-001,0.2749,medium
BMAN-00261,865.8,185.0,0.936,5.587,0.11,EQ-GR-117,0.3006,medium
BMAN-00262,855.1,183.8,0.5465,2.106,0.209,EQ-GR-061,0.359,medium
BMAN-00263,843.4,191.8,0.5463,2.862,0.261,EQ-GR-117,0.3194,medium
BMAN-00264,799.8,160.6,0.3798,0.277,0.536,EQ-GR-055,0.4583,medium
BMAN-00265,796.9,154.1,0.9185,4.2,0.417,EQ-GR-089,0.4273,medium
BMAN-00266,853.8,165.9,0.6131,1.584,0.115,EQ-GR-066,0.2607,medium
BMAN-00267,836.2,202.1,0.6343,1.733,0.161,EQ-GR-032,0.254,medium
BMAN-00268,849.8,185.3,0.477,0.536,0.118,EQ-GR-046,0.2169,low
BMAN-00269,819.6,152.9,0.7481,1.528,0.466,EQ-GR-061,0.3229,medium
BMAN-00270,854.7,148.2,0.7696,4.841,0.18,EQ-GR-090,0.322,medium
BMAN-00271,806.1,150.3,0.9012,1.645,0.477,EQ-GR-014,0.3952,medium
BMAN-00272,871.6,183.3,0.7399,2.554,0.264,EQ-GR-016,0.3548,medium
BMAN-00273,845.5,150.6,0.8916,3.611,0.56,EQ-GR-090,0.3198,medium
BMAN-00274,801.6,162.1,0.912,1.482,0.563,EQ-GR-056,0.3459,medium
BMAN-00275,820.0,139.2,0.701,1.088,0.05,EQ-GR-043,0.3363,medium
BMAN-00276,837.8,176.2,0.8676,0.338,0.647,EQ-GR-070,0.187,low
BMAN-00277,830.2,144.4,0.5741,2.225,0.12,EQ-GR-071,0.3276,medium
BMAN-00278,799.1,173.5,0.735,0.236,0.053,EQ-GR-078,0.2751,medium
BMAN-00279,833.5,189.4,0.6534,4.236,0.162,EQ-GR-038,0.2718,medium
BMAN-00280,801.8,169.9,0.8401,1.763,0.234,EQ-GR-086,0.2554,medium
BMAN-00281,896.0,175.2,0.5992,3.992,0.21,EQ-GR-077,0.483,medium
BMAN-00282,818.6,188.6,0.7386,4.593,0.05,EQ-GR-059,0.2433,low
BMAN-00283,783.5,153.4,0.634,1.26,0.068,EQ-GR-001,0.4345,medium
BMAN-00284,875.3,177.5,0.8923,0.669,0.382,EQ-GR-026,0.2667,medium
BMAN-00285,846.8,164.1,0.8612,1.856,0.104,EQ-GR-120,0.2454,low
BMAN-00286,859.0,203.6,0.7902,1.065,0.15,EQ-GR-024,0.3143,medium
BMAN-00287,881.6,179.2,0.6411,0.837,0.084,EQ-GR-050,0.3361,medium
BMAN-00288,866.4,200.6,0.6261,3.578,0.221,EQ-GR-006,0.451,medium
BMAN-00289,821.3,155.8,0.6168,1.016,0.142,EQ-GR-079,0.266,medium
BMAN-00290,786.4,199.6,0.6671,1.798,0.24,EQ-GR-040,0.4643,medium
BMAN-00291,821.0,151.9,0.8998,1.074,0.171,EQ-GR-008,0.2106,low
BMAN-00292,835.7,187.5,0.7182,0.719,0.167,EQ-GR-011,0.1382,low
BMAN-00293,804.4,166.7,0.3,0.224,0.42,EQ-GR-008,0.3958,medium
BMAN-00294,855.5,179.6,0.8353,4.01,0.451,EQ-GR-072,0.2811,medium
BMAN-00295,832.3,156.7,0.7261,2.158,0.185,EQ-GR-012,0.2107,low
BMAN-00296,865.8,197.1,0.7452,1.597,0.458,EQ-GR-067,0.4595,medium
BMAN-00297,893.2,160.8,0.9511,1.275,0.7,EQ-GR-023,0.4211,medium
BMAN-00298,843.3,161.9,0.7668,2.69,0.468,EQ-GR-052,0.3407,medium
BMAN-00299,871.6,215.1,0.3084,5.518,0.134,EQ-GR-032,0.5739,high
BMAN-00300,828.8,162.9,0.8999,1.36,0.542,EQ-GR-095,0.2699,medium
BMAN-00301,802.8,166.8,0.6107,1.147,0.33,EQ-GR-006,0.3926,medium
BMAN-00302,834.2,161.6,0.7951,3.171,0.3,EQ-GR-014,0.2323,low
BMAN-00303,838.8,190.4,0.5829,0.83,0.28,EQ-GR-027,0.2761,medium
BMAN-00304,882.5,161.0,0.6974,2.757,0.212,EQ-GR-039,0.4504,medium
