head,relation,tail,head_type,tail_type,domain,source_table,weight
BRG-00004,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.2358
BRG-00005,designed_by,BDES-00611,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00005,uses_material_batch,BMAT-00429,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00005,manufactured_in,BMAN-01161,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00005,assembled_in,BASM-00005,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00005,inspected_by,BINSP-00005,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00005,maintained_by,BOPR-00005,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00005,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00005,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2586
BRG-00006,designed_by,BDES-00095,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00006,uses_material_batch,BMAT-00156,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00006,manufactured_in,BMAN-00852,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00006,assembled_in,BASM-00006,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00006,inspected_by,BINSP-00006,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00006,maintained_by,BOPR-00006,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00006,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00006,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.2436
BRG-00007,designed_by,BDES-00761,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00007,uses_material_batch,BMAT-00182,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00007,manufactured_in,BMAN-00194,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00007,assembled_in,BASM-00007,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00007,inspected_by,BINSP-00007,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00007,maintained_by,BOPR-00007,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00007,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00007,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.2314
BRG-00008,designed_by,BDES-00247,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00008,uses_material_batch,BMAT-00448,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00008,manufactured_in,BMAN-00524,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00008,assembled_in,BASM-00008,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00008,inspected_by,BINSP-00008,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00008,maintained_by,BOPR-00008,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00008,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00008,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2548
BRG-00009,designed_by,BDES-00265,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00009,uses_material_batch,BMAT-00327,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00009,manufactured_in,BMAN-00226,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00009,assembled_in,BASM-00009,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00009,inspected_by,BINSP-00009,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00009,maintained_by,BOPR-00009,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00009,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00009,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2686
BRG-00010,designed_by,BDES-00597,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00010,uses_material_batch,BMAT-00322,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00010,manufactured_in,BMAN-00361,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00010,assembled_in,BASM-00010,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00010,inspected_by,BINSP-00010,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00010,maintained_by,BOPR-00010,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00010,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00010,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2723
BRG-00011,designed_by,BDES-00632,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00011,uses_material_batch,BMAT-00109,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00011,manufactured_in,BMAN-00841,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00011,assembled_in,BASM-00011,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00011,inspected_by,BINSP-00011,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00011,maintained_by,BOPR-00011,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00011,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00011,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2918
BRG-00012,designed_by,BDES-00759,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00012,uses_material_batch,BMAT-00022,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00012,manufactured_in,BMAN-01034,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00012,assembled_in,BASM-00012,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00012,inspected_by,BINSP-00012,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00012,maintained_by,BOPR-00012,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00012,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00012,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.2358
BRG-00013,designed_by,BDES-00266,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00013,uses_material_batch,BMAT-00257,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00013,manufactured_in,BMAN-00250,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00013,assembled_in,BASM-00013,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00013,inspected_by,BINSP-00013,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00013,maintained_by,BOPR-00013,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00013,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00013,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.3173
BRG-00014,designed_by,BDES-00017,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00014,uses_material_batch,BMAT-00442,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00014,manufactured_in,BMAN-00467,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00014,assembled_in,BASM-00014,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00014,inspected_by,BINSP-00014,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00014,maintained_by,BOPR-00014,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00014,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00014,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.3031
BRG-00015,designed_by,BDES-00155,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00015,uses_material_batch,BMAT-00131,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00015,manufactured_in,BMAN-00158,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00015,assembled_in,BASM-00015,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00015,inspected_by,BINSP-00015,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00015,maintained_by,BOPR-00015,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00015,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00015,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2652
BRG-00016,designed_by,BDES-00125,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00016,uses_material_batch,BMAT-00112,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00016,manufactured_in,BMAN-00821,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00016,assembled_in,BASM-00016,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00016,inspected_by,BINSP-00016,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00016,maintained_by,BOPR-00016,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00016,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00016,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.2366
BRG-00017,designed_by,BDES-00150,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00017,uses_material_batch,BMAT-00223,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00017,manufactured_in,BMAN-01192,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00017,assembled_in,BASM-00017,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00017,inspected_by,BINSP-00017,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00017,maintained_by,BOPR-00017,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00017,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00017,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.3026
BRG-00018,designed_by,BDES-00657,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00018,uses_material_batch,BMAT-00090,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00018,manufactured_in,BMAN-00722,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00018,assembled_in,BASM-00018,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00018,inspected_by,BINSP-00018,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00018,maintained_by,BOPR-00018,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00018,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00018,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2579
BRG-00019,designed_by,BDES-00007,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00019,uses_material_batch,BMAT-00309,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00019,manufactured_in,BMAN-01017,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00019,assembled_in,BASM-00019,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00019,inspected_by,BINSP-00019,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00019,maintained_by,BOPR-00019,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00019,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00019,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2909
BRG-00020,designed_by,BDES-00027,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00020,uses_material_batch,BMAT-00099,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00020,manufactured_in,BMAN-00032,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00020,assembled_in,BASM-00020,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00020,inspected_by,BINSP-00020,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00020,maintained_by,BOPR-00020,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00020,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00020,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2906
BRG-00021,designed_by,BDES-00231,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00021,uses_material_batch,BMAT-00125,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00021,manufactured_in,BMAN-00040,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00021,assembled_in,BASM-00021,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00021,inspected_by,BINSP-00021,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00021,maintained_by,BOPR-00021,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00021,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00021,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.1887
BRG-00022,designed_by,BDES-00363,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00022,uses_material_batch,BMAT-00402,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00022,manufactured_in,BMAN-00930,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00022,assembled_in,BASM-00022,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00022,inspected_by,BINSP-00022,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00022,maintained_by,BOPR-00022,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00022,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00022,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.215
BRG-00023,designed_by,BDES-00122,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00023,uses_material_batch,BMAT-00035,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00023,manufactured_in,BMAN-00893,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00023,assembled_in,BASM-00023,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00023,inspected_by,BINSP-00023,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00023,maintained_by,BOPR-00023,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00023,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00023,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.252
BRG-00024,designed_by,BDES-00058,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00024,uses_material_batch,BMAT-00212,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00024,manufactured_in,BMAN-00796,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00024,assembled_in,BASM-00024,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00024,inspected_by,BINSP-00024,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00024,maintained_by,BOPR-00024,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00024,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00024,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.245
BRG-00025,designed_by,BDES-00520,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00025,uses_material_batch,BMAT-00298,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00025,manufactured_in,BMAN-00206,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00025,assembled_in,BASM-00025,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00025,inspected_by,BINSP-00025,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00025,maintained_by,BOPR-00025,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00025,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00025,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2543
BRG-00026,designed_by,BDES-00318,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00026,uses_material_batch,BMAT-00479,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00026,manufactured_in,BMAN-00319,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00026,assembled_in,BASM-00026,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00026,inspected_by,BINSP-00026,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00026,maintained_by,BOPR-00026,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00026,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00026,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.2298
BRG-00027,designed_by,BDES-00549,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00027,uses_material_batch,BMAT-00011,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00027,manufactured_in,BMAN-00863,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00027,assembled_in,BASM-00027,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00027,inspected_by,BINSP-00027,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00027,maintained_by,BOPR-00027,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00027,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00027,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.292
BRG-00028,designed_by,BDES-00245,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00028,uses_material_batch,BMAT-00048,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00028,manufactured_in,BMAN-01019,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00028,assembled_in,BASM-00028,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00028,inspected_by,BINSP-00028,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00028,maintained_by,BOPR-00028,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00028,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00028,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.2083
BRG-00029,designed_by,BDES-00222,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00029,uses_material_batch,BMAT-00437,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00029,manufactured_in,BMAN-00663,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00029,assembled_in,BASM-00029,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00029,inspected_by,BINSP-00029,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00029,maintained_by,BOPR-00029,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00029,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00029,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.3293
BRG-00030,designed_by,BDES-00117,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00030,uses_material_batch,BMAT-00362,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00030,manufactured_in,BMAN-00429,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00030,assembled_in,BASM-00030,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00030,inspected_by,BINSP-00030,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00030,maintained_by,BOPR-00030,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00030,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00030,has_overall_lifecycle_risk_score,RISK_25_50,Bearing,RiskScore,bearing,bearing_component.csv,0.2935
BRG-00031,designed_by,BDES-00623,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00031,uses_material_batch,BMAT-00075,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00031,manufactured_in,BMAN-00217,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00031,assembled_in,BASM-00031,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00031,inspected_by,BINSP-00031,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00031,maintained_by,BOPR-00031,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00031,has_overall_lifecycle_risk_level,RISK_LEVEL_low,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
BRG-00031,has_overall_lifecycle_risk_score,RISK_0_25,Bearing,RiskScore,bearing,bearing_component.csv,0.208
BRG-00032,designed_by,BDES-00067,Bearing,BearingDesignSpec,bearing,bearing_component.csv,1.0
BRG-00032,uses_material_batch,BMAT-00170,Bearing,MaterialBatch,bearing,bearing_component.csv,1.0
BRG-00032,manufactured_in,BMAN-01051,Bearing,ManufacturingBatch,bearing,bearing_component.csv,1.0
BRG-00032,assembled_in,BASM-00032,Bearing,AssemblyRecord,bearing,bearing_component.csv,1.0
BRG-00032,inspected_by,BINSP-00032,Bearing,InspectionRecord,bearing,bearing_component.csv,1.0
BRG-00032,maintained_by,BOPR-00032,Bearing,MaintenanceRecord,bearing,bearing_component.csv,1.0
BRG-00032,has_overall_lifecycle_risk_level,RISK_LEVEL_medium,Bearing,RiskLevel,bearing,bearing_component.csv,1.0
