material_batch_id,material_grade,supplier_id,hardness,inclusion_level,fatigue_strength,material_risk_score,material_risk_level
BMAT-00074,GCr15,SUP-007,57.46,3.182,1210.2,0.3724,medium
BMAT-00075,GCr15SiMn,SUP-015,59.47,1.267,1228.1,0.1352,low
BMAT-00076,GCr15,SUP-048,57.21,1.071,1408.6,0.2298,low
BMAT-00077,GCr15SiMn,SUP-055,60.14,2.094,1045.9,0.3369,medium
BMAT-00078,SUJ2,SUP-003,55.35,1.296,1267.3,0.2471,low
BMAT-00079,GCr15,SUP-019,56.95,1.964,1358.6,0.3423,medium
BMAT-00080,M50,SUP-026,64.33,1.028,1286.0,0.1636,low
BMAT-00081,GCr15SiMn,SUP-002,60.59,2.141,1428.9,0.0827,low
BMAT-00082,GCr15,SUP-013,61.9,2.423,1518.0,0.1916,low
BMAT-00083,GCr15,SUP-006,55.21,2.077,1354.8,0.4239,medium
BMAT-00084,GCr15SiMn,SUP-023,62.51,4.256,1247.3,0.3836,medium
BMAT-00085,GCr15,SUP-021,56.61,0.825,1171.0,0.2602,medium
BMAT-00086,GCr15,SUP-015,60.42,0.412,1435.0,0.0709,low
BMAT-00087,GCr15,SUP-011,64.1,0.568,1326.6,0.1981,low
BMAT-00088,SUJ2,SUP-022,57.67,1.818,1335.6,0.2221,low
BMAT-00089,GCr15,SUP-058,59.2,1.171,1349.5,0.1336,low
BMAT-00090,GCr15SiMn,SUP-043,62.05,2.973,1187.5,0.3152,medium
BMAT-00091,SUJ2,SUP-011,54.73,2.408,1373.4,0.3806,medium
BMAT-00092,GCr15SiMn,SUP-027,66.09,0.841,1313.9,0.2878,medium
BMAT-00093,GCr15,SUP-043,62.6,2.192,1453.9,0.2573,medium
BMAT-00094,GCr15SiMn,SUP-060,55.15,1.309,1251.6,0.2543,medium
BMAT-00095,GCr15,SUP-027,64.42,1.48,1404.2,0.2409,low
BMAT-00096,GCr15,SUP-021,62.61,0.65,1238.1,0.0542,low
BMAT-00097,GCr15,SUP-017,62.0,0.39,1140.4,0.1363,low
BMAT-00098,GCr15,SUP-011,60.43,1.643,1127.0,0.367,medium
BMAT-00099,GCr15,SUP-030,58.54,1.356,1155.6,0.2965,medium
BMAT-00100,GCr15SiMn,SUP-030,60.47,1.073,1384.9,0.0587,low
BMAT-00101,GCr15SiMn,SUP-016,57.85,0.729,1340.2,0.1345,low
BMAT-00102,M50,SUP-007,64.74,0.189,1503.3,0.2313,low
BMAT-00103,GCr15,SUP-014,59.48,0.575,1179.7,0.0856,low
BMAT-00104,GCr15,SUP-008,57.89,1.189,1108.1,0.331,medium
BMAT-00105,GCr15,SUP-013,56.92,1.62,1204.5,0.294,medium
BMAT-00106,GCr15,SUP-051,62.64,0.954,1499.4,0.1211,low
BMAT-00107,GCr15,SUP-049,60.76,0.281,1150.6,0.1156,low
BMAT-00108,GCr15,SUP-056,60.93,1.01,1243.0,0.0688,low
BMAT-00109,GCr15,SUP-014,66.39,4.548,1465.2,0.4809,medium
BMAT-00110,GCr15,SUP-034,60.32,2.62,1082.3,0.3977,medium
BMAT-00111,M50,SUP-006,57.01,1.809,1398.0,0.324,medium
BMAT-00112,GCr15SiMn,SUP-028,63.4,0.1,1285.0,0.1472,low
BMAT-00113,SUJ2,SUP-001,60.79,0.683,1197.2,0.0,low
BMAT-00114,GCr15,SUP-014,61.89,0.88,1377.4,0.0749,low
BMAT-00115,GCr15,SUP-002,64.64,2.484,1471.7,0.3427,medium
BMAT-00116,GCr15,SUP-045,62.17,0.97,1186.5,0.1359,low
BMAT-00117,GCr15,SUP-060,63.56,0.768,1512.7,0.2378,low
BMAT-00118,GCr15,SUP-015,65.15,1.727,1530.0,0.2752,medium
BMAT-00119,GCr15SiMn,SUP-059,56.87,0.376,1383.3,0.186,low
BMAT-00120,GCr15,SUP-027,60.27,2.466,1596.3,0.1599,low
BMAT-00121,SUJ2,SUP-011,60.95,2.642,1411.5,0.1312,low
BMAT-00122,GCr15,SUP-013,67.92,0.638,1060.9,0.4586,medium
BMAT-00123,GCr15,SUP-054,61.3,1.544,1430.9,0.1358,low
BMAT-00124,GCr15SiMn,SUP-025,60.92,1.087,1650.0,0.067,low
BMAT-00125,M50,SUP-021,59.23,0.761,1475.9,0.1554,low
BMAT-00126,GCr15SiMn,SUP-006,59.81,0.377,1295.3,0.1398,low
BMAT-00127,M50,SUP-031,65.19,0.362,1164.7,0.2316,low
BMAT-00128,GCr15SiMn,SUP-001,62.53,2.181,1473.7,0.249,low
BMAT-00129,M50,SUP-009,60.65,0.532,1338.8,0.0378,low
BMAT-00130,SUJ2,SUP-030,64.02,0.242,1348.8,0.1381,low
BMAT-00131,SUJ2,SUP-018,64.46,1.147,1236.7,0.1667,low
BMAT-00132,GCr15SiMn,SUP-013,57.3,1.943,1302.5,0.246,low
BMAT-00133,GCr15,SUP-007,58.11,0.59,1282.8,0.1192,low
BMAT-00134,GCr15,SUP-010,60.23,0.883,1241.5,0.1011,low
BMAT-00135,GCr15,SUP-028,63.85,2.218,1321.9,0.3242,medium
BMAT-00136,GCr15,SUP-010,61.41,2.692,899.3,0.5667,high
BMAT-00137,GCr15SiMn,SUP-021,57.88,0.997,1207.3,0.2564,medium
BMAT-00138,GCr15,SUP-002,58.76,0.997,1320.9,0.1126,low
BMAT-00139,GCr15,SUP-047,58.13,3.927,1454.9,0.4088,medium
BMAT-00140,GCr15,SUP-001,59.96,0.965,1096.4,0.3102,medium
BMAT-00141,GCr15,SUP-025,57.18,0.391,1117.8,0.2194,low
BMAT-00142,GCr15,SUP-003,62.11,1.546,1070.8,0.3588,medium
BMAT-00143,GCr15,SUP-055,61.03,1.01,1405.4,0.0878,low
BMAT-00144,M50,SUP-028,63.6,1.616,1141.5,0.334,medium
BMAT-00145,GCr15,SUP-051,66.98,1.783,1078.3,0.4867,medium
BMAT-00146,GCr15,SUP-050,57.73,0.337,1297.7,0.1079,low
BMAT-00147,GCr15,SUP-002,63.77,0.276,1323.2,0.165,low
BMAT-00148,GCr15,SUP-038,56.35,1.451,1123.2,0.4307,medium
BMAT-00149,GCr15,SUP-050,60.45,2.038,1233.2,0.1917,low
BMAT-00150,GCr15,SUP-029,61.85,0.599,1107.3,0.1331,low
BMAT-00151,GCr15SiMn,SUP-045,61.22,2.217,989.4,0.328,medium
BMAT-00152,GCr15,SUP-014,64.81,1.246,1445.5,0.2279,low
BMAT-00153,GCr15,SUP-009,64.95,0.865,1336.1,0.2942,medium
BMAT-00154,SUJ2,SUP-025,57.87,3.535,1282.4,0.3211,medium
BMAT-00155,GCr15,SUP-005,61.11,2.394,1363.7,0.1343,low
BMAT-00156,GCr15,SUP-053,58.81,4.659,1571.9,0.388,medium
BMAT-00157,GCr15,SUP-059,62.25,1.441,1080.6,0.3427,medium
BMAT-00158,SUJ2,SUP-043,62.23,3.355,992.6,0.5505,high
BMAT-00159,GCr15SiMn,SUP-041,64.93,0.612,1250.3,0.2058,low
BMAT-00160,GCr15SiMn,SUP-033,64.37,0.361,1362.6,0.1413,low
BMAT-00161,GCr15,SUP-003,62.84,0.919,1194.5,0.189,low
BMAT-00162,SUJ2,SUP-042,56.84,2.16,1425.5,0.408,medium
BMAT-00163,GCr15,SUP-050,63.78,1.802,1255.9,0.2181,low
BMAT-00164,GCr15,SUP-037,63.15,1.755,1011.3,0.4233,medium
BMAT-00165,GCr15,SUP-018,61.65,3.848,1143.9,0.4462,medium
BMAT-00166,GCr15,SUP-031,61.91,0.605,1327.1,0.0725,low
BMAT-00167,GCr15,SUP-008,61.72,1.413,1329.6,0.1316,low
BMAT-00168,GCr15,SUP-022,61.08,3.797,1429.9,0.208,low
BMAT-00169,GCr15,SUP-057,59.4,0.373,1356.5,0.151,low
BMAT-00170,M50,SUP-011,64.37,3.97,1448.8,0.409,medium
BMAT-00171,GCr15,SUP-001,63.18,0.192,1307.5,0.1006,low
BMAT-00172,GCr15,SUP-043,60.79,3.885,1275.9,0.2716,medium
BMAT-00173,GCr15,SUP-009,59.88,0.855,1282.5,0.0945,low
BMAT-00174,M50,SUP-032,57.98,0.858,1597.8,0.128,low
BMAT-00175,GCr15,SUP-042,61.5,0.879,1434.2,0.0021,low
BMAT-00176,GCr15,SUP-012,58.66,0.892,1438.9,0.1042,low
BMAT-00177,GCr15,SUP-023,63.53,0.987,1298.8,0.1686,low
BMAT-00178,GCr15SiMn,SUP-012,63.83,1.666,1288.8,0.2548,medium
BMAT-00179,GCr15,SUP-011,59.58,1.028,1215.4,0.1059,low
BMAT-00180,GCr15,SUP-013,62.63,1.984,1211.9,0.147,low
BMAT-00181,M50,SUP-025,66.49,0.827,1251.1,0.2171,low
BMAT-00182,M50,SUP-046,57.58,2.155,1303.3,0.2755,medium
BMAT-00183,GCr15SiMn,SUP-026,60.46,2.007,1448.4,0.1077,low
BMAT-00184,M50,SUP-059,58.74,0.841,1369.1,0.1191,low
BMAT-00185,GCr15,SUP-056,64.92,2.027,1507.9,0.2146,low
BMAT-00186,GCr15,SUP-039,62.4,0.467,1242.8,0.0867,low
BMAT-00187,M50,SUP-002,61.83,2.308,1492.6,0.214,low
BMAT-00188,GCr15,SUP-056,57.4,2.442,1091.0,0.3868,medium
BMAT-00189,M50,SUP-023,63.03,2.393,1398.6,0.2351,low
BMAT-00190,M50,SUP-024,66.21,2.306,1460.6,0.3343,medium
BMAT-00191,GCr15SiMn,SUP-045,61.89,0.655,1400.3,0.0483,low
BMAT-00192,GCr15,SUP-038,60.7,0.63,1190.9,0.1062,low
BMAT-00193,GCr15,SUP-024,64.5,0.844,1428.6,0.2435,low
BMAT-00194,GCr15,SUP-042,59.29,0.817,1141.2,0.2043,low
BMAT-00195,M50,SUP-050,60.4,0.705,1449.1,0.1306,low
BMAT-00196,M50,SUP-055,63.45,0.36,1418.0,0.1274,low
BMAT-00197,M50,SUP-041,60.97,1.3,1650.0,0.1501,low
BMAT-00198,GCr15,SUP-012,60.32,1.168,1373.0,0.1244,low
BMAT-00199,GCr15,SUP-023,63.58,0.173,1465.1,0.1537,low
BMAT-00200,GCr15,SUP-002,56.16,1.898,1545.2,0.2473,low
BMAT-00201,GCr15,SUP-010,60.77,1.628,1313.7,0.1296,low
BMAT-00202,GCr15SiMn,SUP-001,60.15,0.61,1309.5,0.091,low
BMAT-00203,GCr15,SUP-031,59.46,2.228,1367.7,0.2049,low
BMAT-00204,GCr15SiMn,SUP-051,62.7,0.64,1030.9,0.2964,medium
BMAT-00205,SUJ2,SUP-015,60.31,1.555,1057.1,0.2702,medium
BMAT-00206,GCr15,SUP-050,60.66,3.326,1168.6,0.2968,medium
BMAT-00207,GCr15,SUP-018,60.25,3.463,1285.0,0.2932,medium
BMAT-00208,SUJ2,SUP-024,61.74,0.887,1319.0,0.058,low
BMAT-00209,GCr15,SUP-030,57.49,1.291,1629.3,0.2573,medium
BMAT-00210,GCr15SiMn,SUP-020,62.84,2.49,1224.9,0.3078,medium
BMAT-00211,M50,SUP-034,58.72,1.604,1056.4,0.4874,medium
BMAT-00212,M50,SUP-001,57.86,0.608,1424.1,0.149,low
BMAT-00213,M50,SUP-026,62.25,2.11,1362.0,0.1396,low
BMAT-00214,GCr15,SUP-039,59.55,0.726,1384.3,0.0847,low
BMAT-00215,M50,SUP-024,62.65,0.638,1378.0,0.1263,low
BMAT-00216,GCr15SiMn,SUP-015,58.44,3.55,1376.1,0.3547,medium
BMAT-00217,GCr15,SUP-024,65.09,1.555,1470.6,0.3069,medium
BMAT-00218,GCr15,SUP-016,59.38,0.946,1237.1,0.1455,low
BMAT-00219,GCr15,SUP-029,53.34,0.409,1650.0,0.3835,medium
BMAT-00220,GCr15SiMn,SUP-033,60.87,2.048,1447.2,0.1646,low
BMAT-00221,M50,SUP-009,61.92,1.614,1420.6,0.157,low
BMAT-00222,GCr15,SUP-058,64.09,3.428,1610.5,0.3262,medium
BMAT-00223,GCr15,SUP-042,62.03,4.658,1128.0,0.3829,medium
BMAT-00224,GCr15,SUP-042,63.79,1.917,1340.2,0.2641,medium
BMAT-00225,GCr15SiMn,SUP-007,56.1,1.263,1650.0,0.2972,medium
BMAT-00226,SUJ2,SUP-037,60.1,1.583,1194.5,0.1787,low
BMAT-00227,SUJ2,SUP-050,60.83,0.59,1296.1,0.0127,low
BMAT-00228,GCr15,SUP-018,62.21,1.135,910.2,0.4178,medium
BMAT-00229,GCr15SiMn,SUP-028,60.88,2.81,1259.5,0.1963,low
BMAT-00230,GCr15,SUP-038,58.55,0.503,1364.2,0.2024,low
BMAT-00231,SUJ2,SUP-050,60.23,1.117,1568.1,0.1018,low
BMAT-00232,GCr15,SUP-004,66.65,0.354,1191.7,0.2369,low
BMAT-00233,GCr15SiMn,SUP-009,61.91,2.928,1298.3,0.2783,medium
BMAT-00234,GCr15,SUP-015,63.02,0.415,1326.2,0.0775,low
BMAT-00235,SUJ2,SUP-035,64.58,2.607,1220.8,0.3902,medium
BMAT-00236,GCr15,SUP-028,58.66,0.488,1125.2,0.2143,low
BMAT-00237,GCr15,SUP-005,63.56,1.451,1133.7,0.3231,medium
BMAT-00238,GCr15SiMn,SUP-002,60.19,2.243,1262.6,0.182,low
BMAT-00239,SUJ2,SUP-039,61.82,1.007,995.3,0.2626,medium
BMAT-00240,M50,SUP-023,63.4,3.389,1271.7,0.379,medium
BMAT-00241,GCr15,SUP-032,61.78,0.493,1165.5,0.0945,low
BMAT-00242,GCr15SiMn,SUP-035,56.14,2.249,1245.3,0.366,medium
BMAT-00243,GCr15,SUP-047,64.5,0.794,1284.7,0.271,medium
BMAT-00244,GCr15SiMn,SUP-052,61.65,0.898,1316.3,0.061,low
BMAT-00245,GCr15SiMn,SUP-050,67.27,0.916,1419.2,0.3026,medium
BMAT-00246,GCr15SiMn,SUP-013,59.6,0.807,1223.0,0.13,low
BMAT-00247,GCr15SiMn,SUP-036,64.44,2.329,1081.7,0.4724,medium
BMAT-00248,GCr15SiMn,SUP-013,62.95,1.6,1174.2,0.2886,medium
BMAT-00249,GCr15SiMn,SUP-022,60.75,0.264,1450.9,0.1113,low
BMAT-00250,GCr15,SUP-055,61.13,1.178,1222.6,0.1142,low
BMAT-00251,GCr15,SUP-039,65.92,1.874,1507.7,0.3674,medium
BMAT-00252,GCr15,SUP-040,60.73,0.491,1392.2,0.0826,low
BMAT-00253,GCr15,SUP-039,59.01,0.1,1226.6,0.096,low
BMAT-00254,GCr15,SUP-002,59.81,0.936,1449.6,0.1087,low
BMAT-00255,GCr15SiMn,SUP-037,58.92,1.18,1472.4,0.2274,low
BMAT-00256,GCr15,SUP-003,60.64,0.768,1205.7,0.0281,low
BMAT-00257,SUJ2,SUP-011,57.69,2.201,1040.8,0.4765,medium
BMAT-00258,SUJ2,SUP-059,62.68,0.472,1288.9,0.112,low
BMAT-00259,GCr15,SUP-054,61.25,0.513,1160.7,0.1138,low
BMAT-00260,GCr15SiMn,SUP-034,62.37,3.069,1173.0,0.3095,medium
BMAT-00261,GCr15,SUP-003,62.37,0.682,1338.7,0.0371,low
BMAT-00262,GCr15,SUP-029,62.32,1.028,1393.9,0.0785,low
BMAT-00263,GCr15,SUP-047,58.44,1.487,1087.0,0.3797,medium
BMAT-00264,GCr15SiMn,SUP-032,60.8,0.749,1344.1,0.0549,low
BMAT-00265,GCr15SiMn,SUP-042,63.28,1.501,1063.4,0.378,medium
BMAT-00266,GCr15SiMn,SUP-008,62.51,1.557,1281.8,0.1312,low
BMAT-00267,M50,SUP-013,57.68,2.144,1160.9,0.3797,medium
BMAT-00268,GCr15,SUP-050,64.68,2.681,1388.2,0.315,medium
BMAT-00269,GCr15SiMn,SUP-057,54.95,2.653,1046.6,0.6526,high
BMAT-00270,GCr15SiMn,SUP-029,60.76,2.074,1367.4,0.1366,low
BMAT-00271,GCr15,SUP-003,60.7,1.522,1396.4,0.1361,low
BMAT-00272,GCr15,SUP-057,61.44,0.552,1349.9,0.0858,low
BMAT-00273,GCr15SiMn,SUP-043,59.5,3.248,1281.6,0.2907,medium
BMAT-00274,GCr15,SUP-053,61.37,1.004,1358.4,0.1144,low
BMAT-00275,M50,SUP-016,60.49,1.353,1374.2,0.0203,low
BMAT-00276,GCr15SiMn,SUP-015,60.67,2.722,1112.3,0.3112,medium
BMAT-00277,GCr15SiMn,SUP-054,59.86,1.631,1063.4,0.3618,medium
BMAT-00278,GCr15,SUP-041,60.58,0.367,1049.3,0.2636,medium
BMAT-00279,SUJ2,SUP-056,65.44,0.765,1338.6,0.1976,low
BMAT-00280,GCr15,SUP-041,61.32,1.917,1499.3,0.2024,low
BMAT-00281,GCr15,SUP-042,61.65,1.226,1465.9,0.0733,low
BMAT-00282,GCr15,SUP-057,62.76,0.592,1500.3,0.1038,low
BMAT-00283,M50,SUP-052,59.47,1.709,1438.0,0.1556,low
BMAT-00284,GCr15,SUP-003,60.74,1.201,984.1,0.3283,medium
BMAT-00285,SUJ2,SUP-014,61.35,2.258,1342.7,0.1481,low
BMAT-00286,GCr15,SUP-042,66.72,3.557,1472.1,0.4685,medium
BMAT-00287,GCr15,SUP-033,63.99,1.212,1360.7,0.1993,low
BMAT-00288,M50,SUP-016,58.76,0.676,1256.8,0.1693,low
BMAT-00289,GCr15,SUP-026,65.57,0.727,1181.2,0.2974,medium
BMAT-00290,GCr15,SUP-054,57.47,0.338,1328.6,0.1929,low
BMAT-00291,GCr15,SUP-059,60.71,1.418,1320.7,0.0457,low
BMAT-00292,GCr15,SUP-010,60.75,0.924,1187.9,0.1444,low
BMAT-00293,GCr15SiMn,SUP-016,64.06,5.119,1339.2,0.4417,medium
BMAT-00294,GCr15,SUP-052,56.74,5.126,1071.2,0.6606,high
BMAT-00295,GCr15,SUP-038,64.25,4.172,1263.3,0.4106,medium
BMAT-00296,GCr15SiMn,SUP-004,61.92,2.172,1179.1,0.3111,medium
BMAT-00297,GCr15,SUP-002,59.48,1.754,1199.3,0.185,low
BMAT-00298,GCr15SiMn,SUP-038,57.69,1.556,1150.6,0.3228,medium
BMAT-00299,GCr15,SUP-012,56.77,0.728,1395.5,0.1619,low
BMAT-00300,GCr15,SUP-018,64.86,0.787,1271.5,0.2481,low
BMAT-00301,SUJ2,SUP-004,61.15,3.271,1247.4,0.3413,medium
BMAT-00302,GCr15,SUP-030,59.88,0.328,1503.5,0.0687,low
BMAT-00303,GCr15,SUP-046,68.0,1.464,1412.5,0.374,medium
BMAT-00304,GCr15,SUP-004,62.94,0.849,1213.6,0.226,low
BMAT-00305,GCr15SiMn,SUP-053,57.04,1.441,1055.5,0.2837,medium
BMAT-00306,GCr15,SUP-011,61.4,3.117,1344.7,0.2012,low
BMAT-00307,GCr15,SUP-058,57.96,2.272,1124.6,0.3671,medium
BMAT-00308,GCr15,SUP-050,58.41,2.119,1232.6,0.3828,medium
BMAT-00309,GCr15SiMn,SUP-045,58.73,1.672,1484.1,0.2738,medium
BMAT-00310,M50,SUP-005,61.95,1.593,1245.8,0.1407,low
BMAT-00311,GCr15,SUP-053,63.95,0.433,1451.9,0.1402,low
BMAT-00312,GCr15,SUP-045,62.93,0.868,1386.1,0.0158,low
BMAT-00313,M50,SUP-017,63.9,3.43,1241.7,0.3297,medium
BMAT-00314,GCr15,SUP-049,59.42,2.718,1650.0,0.1809,low
BMAT-00315,GCr15,SUP-021,60.23,3.289,1457.8,0.2676,medium
BMAT-00316,GCr15,SUP-036,62.49,2.201,1201.0,0.2659,medium
BMAT-00317,GCr15,SUP-047,59.4,2.356,1124.4,0.3328,medium
BMAT-00318,GCr15,SUP-053,61.01,2.627,1650.0,0.2022,low
BMAT-00319,GCr15SiMn,SUP-032,59.49,0.184,1546.6,0.0692,low
BMAT-00320,GCr15,SUP-049,58.44,0.971,1355.8,0.1784,low
BMAT-00321,GCr15,SUP-043,61.45,2.103,1362.3,0.0928,low
BMAT-00322,SUJ2,SUP-043,65.31,0.953,1212.4,0.2124,low
BMAT-00323,GCr15SiMn,SUP-043,63.16,0.267,1526.3,0.1178,low
BMAT-00324,GCr15,SUP-046,61.35,2.62,1547.1,0.1935,low
BMAT-00325,M50,SUP-017,58.04,1.111,1123.0,0.3388,medium
BMAT-00326,M50,SUP-050,60.83,0.226,1264.9,0.1037,low
BMAT-00327,SUJ2,SUP-055,58.13,1.984,1230.9,0.2627,medium
BMAT-00328,GCr15,SUP-054,57.37,4.593,1328.3,0.4494,medium
BMAT-00329,SUJ2,SUP-038,67.94,0.304,1070.8,0.4654,medium
BMAT-00330,GCr15,SUP-023,61.01,2.614,1189.3,0.337,medium
BMAT-00331,GCr15,SUP-051,61.09,0.115,1174.0,0.0039,low
BMAT-00332,M50,SUP-031,66.14,0.56,1253.0,0.3472,medium
BMAT-00333,GCr15,SUP-005,61.98,1.106,1407.6,0.123,low
BMAT-00334,GCr15,SUP-026,63.23,0.667,1276.6,0.1027,low
BMAT-00335,GCr15SiMn,SUP-025,59.82,2.859,1287.7,0.2666,medium
BMAT-00336,SUJ2,SUP-023,60.59,1.005,1185.4,0.173,low
BMAT-00337,M50,SUP-020,58.9,1.238,1250.9,0.1446,low
BMAT-00338,GCr15SiMn,SUP-053,58.12,1.341,1386.4,0.1851,low
BMAT-00339,GCr15SiMn,SUP-039,62.5,2.329,1345.8,0.1966,low
BMAT-00340,GCr15,SUP-014,63.0,0.652,1260.8,0.0904,low
BMAT-00341,GCr15SiMn,SUP-012,61.58,2.519,967.7,0.4971,medium
BMAT-00342,GCr15,SUP-002,59.94,2.805,1277.8,0.1727,low
BMAT-00343,SUJ2,SUP-059,66.81,1.465,1205.5,0.3533,medium
BMAT-00344,SUJ2,SUP-041,63.82,0.919,1270.1,0.2371,low
BMAT-00345,M50,SUP-038,58.22,0.855,1368.8,0.2125,low
BMAT-00346,GCr15,SUP-034,65.48,0.471,1422.1,0.1914,low
BMAT-00347,GCr15,SUP-043,60.44,2.555,1245.8,0.2629,medium
