design_id,bearing_model,rated_load,rated_speed,clearance,expected_life_hours,lubrication_method,design_risk_score,design_risk_level
BDES-00046,NU205,26.52,6375,0.0332,19982,oil_bath,0.0309,low
BDES-00047,6205,21.93,7494,0.0317,24320,grease,0.1542,low
BDES-00048,7206AC,23.31,8271,0.0255,21186,grease,0.191,low
BDES-00049,6306,30.65,6890,0.0267,16413,oil_bath,0.1086,low
BDES-00050,6205,29.27,6350,0.0274,25812,grease,0.0168,low
BDES-00051,NU205,26.06,7739,0.0221,29392,grease,0.191,low
BDES-00052,6205,23.69,6594,0.0208,23542,oil_bath,0.1549,low
BDES-00053,6205,20.6,6285,0.0407,12183,grease,0.2726,medium
BDES-00054,6205,28.43,6623,0.0335,27158,grease,0.1002,low
BDES-00055,6205,36.32,7639,0.0102,25515,grease,0.3076,medium
BDES-00056,7206AC,32.53,9306,0.0213,14943,grease,0.3484,medium
BDES-00057,NU205,25.21,6338,0.0118,19428,grease,0.186,low
BDES-00058,7206AC,26.76,4960,0.0211,25985,grease,0.1721,low
BDES-00059,6306,18.56,7164,0.0454,39786,oil_mist,0.2928,medium
BDES-00060,NJ306,31.91,6104,0.0449,14771,grease,0.226,low
BDES-00061,6205,35.4,7868,0.0174,27036,oil_bath,0.201,low
BDES-00062,6306,29.7,5827,0.0335,24394,grease,0.0526,low
BDES-00063,6205,21.72,7285,0.0455,19657,oil_bath,0.2348,low
BDES-00064,NU205,27.45,6933,0.0313,19841,oil_bath,0.0403,low
BDES-00065,6205,24.09,5533,0.0428,34421,oil_mist,0.1328,low
BDES-00066,NJ306,20.85,8388,0.0261,26327,oil_mist,0.2521,medium
BDES-00067,NU205,24.29,4686,0.0466,26640,grease,0.1396,low
BDES-00068,7206AC,28.12,6423,0.0335,34391,grease,0.0677,low
BDES-00069,NU205,29.34,7763,0.0563,41036,oil_bath,0.3531,medium
BDES-00070,6205,22.48,6806,0.0372,29819,grease,0.1342,low
BDES-00071,NJ306,41.41,6176,0.0394,32908,grease,0.0251,low
BDES-00072,7206AC,30.33,3184,0.0195,19303,grease,0.1429,low
BDES-00073,NJ306,21.76,4772,0.0177,17624,grease,0.2164,low
BDES-00074,NJ306,24.57,7786,0.0414,28506,grease,0.2571,medium
BDES-00075,7206AC,32.8,5994,0.034,21532,grease,0.0344,low
BDES-00076,7206AC,35.25,5593,0.0461,19602,grease,0.2487,low
BDES-00077,7206AC,29.31,5229,0.0413,30469,oil_bath,0.0581,low
BDES-00078,NU205,20.97,5157,0.0277,31615,grease,0.0899,low
BDES-00079,NJ306,34.77,5156,0.0338,19229,oil_mist,0.0853,low
BDES-00080,6306,23.5,7489,0.0452,13982,grease,0.3055,medium
BDES-00081,7206AC,21.34,4766,0.0243,21510,oil_mist,0.1598,low
BDES-00082,6306,22.39,4849,0.0231,24800,grease,0.0929,low
BDES-00083,NU205,19.16,7805,0.0447,22691,grease,0.3471,medium
BDES-00084,NU205,20.0,5827,0.0289,28526,grease,0.1139,low
BDES-00085,NJ306,27.88,3449,0.0395,19848,grease,0.1578,low
BDES-00086,NJ306,31.97,5278,0.0653,21639,oil_bath,0.2889,medium
BDES-00087,6205,39.71,6417,0.0347,25521,oil_mist,0.0053,low
BDES-00088,7206AC,32.35,7245,0.0186,32888,oil_bath,0.1056,low
BDES-00089,6306,31.15,4265,0.0364,27484,grease,0.0823,low
BDES-00090,NJ306,28.58,7678,0.0226,38460,grease,0.0689,low
BDES-00091,NU205,30.14,5771,0.0244,9546,oil_bath,0.1927,low
BDES-00092,6205,29.74,7643,0.0449,26688,oil_mist,0.1997,low
BDES-00093,6205,26.95,9821,0.0293,28059,grease,0.2609,medium
BDES-00094,6306,16.84,5407,0.0304,20673,oil_bath,0.1799,low
BDES-00095,NJ306,29.86,6394,0.0212,26844,grease,0.1082,low
BDES-00096,6205,28.25,7484,0.029,14820,grease,0.1293,low
BDES-00097,6306,30.88,5204,0.0254,31645,oil_bath,0.0831,low
BDES-00098,7206AC,26.4,5507,0.0288,21989,grease,0.0,low
BDES-00099,NJ306,33.78,3540,0.0295,18417,oil_bath,0.0411,low
BDES-00100,7206AC,22.81,3815,0.0251,29757,grease,0.0485,low
BDES-00101,6306,32.35,7541,0.0166,18275,grease,0.1776,low
BDES-00102,7206AC,21.68,4934,0.0292,21344,oil_bath,0.0435,low
BDES-00103,6306,30.61,5403,0.0142,32399,grease,0.2061,low
BDES-00104,NU205,21.79,6918,0.0272,21594,grease,0.0651,low
BDES-00105,7206AC,31.43,7036,0.037,42000,grease,0.1137,low
BDES-00106,7206AC,34.43,6537,0.006,12621,oil_mist,0.3093,medium
BDES-00107,6205,22.76,9296,0.0334,21102,grease,0.282,medium
BDES-00108,7206AC,17.36,7040,0.0366,24429,grease,0.1848,low
BDES-00109,7206AC,31.08,6440,0.0317,19205,oil_mist,0.0459,low
BDES-00110,6306,30.95,5538,0.0265,16219,grease,0.07,low
BDES-00111,6306,25.48,10812,0.0181,28501,oil_bath,0.3687,medium
BDES-00112,NJ306,26.4,4547,0.0388,18906,oil_mist,0.1524,low
BDES-00113,NJ306,38.89,4561,0.0213,28510,grease,0.0371,low
BDES-00114,NU205,20.01,5336,0.0406,8390,grease,0.338,medium
BDES-00115,6306,12.77,6274,0.0088,23045,grease,0.4033,medium
BDES-00116,7206AC,34.99,5183,0.0223,23165,grease,0.0744,low
BDES-00117,6306,18.23,4281,0.0402,10715,grease,0.2992,medium
BDES-00118,6306,22.97,5726,0.04,28488,grease,0.1866,low
BDES-00119,6306,27.72,6586,0.046,33481,oil_bath,0.1964,low
BDES-00120,6205,41.5,5195,0.0405,17612,grease,0.142,low
BDES-00121,NJ306,24.12,5619,0.0348,23023,grease,0.0557,low
BDES-00122,7206AC,33.94,6126,0.0423,32740,oil_mist,0.1157,low
BDES-00123,6205,35.71,7179,0.0185,33014,oil_bath,0.1232,low
BDES-00124,NJ306,22.86,7093,0.0268,34801,grease,0.1262,low
BDES-00125,NJ306,26.68,5935,0.025,17589,oil_bath,0.142,low
BDES-00126,NJ306,35.53,5840,0.0219,22924,grease,0.115,low
BDES-00127,NU205,34.21,2843,0.0292,12184,oil_bath,0.0628,low
BDES-00128,6205,30.45,4752,0.0371,15623,grease,0.1776,low
BDES-00129,7206AC,27.5,2500,0.0244,27687,grease,0.0606,low
BDES-00130,NU205,35.28,6689,0.0181,23887,oil_bath,0.1674,low
BDES-00131,NU205,30.46,7368,0.0174,28167,grease,0.2066,low
BDES-00132,6306,35.05,6201,0.0404,19229,grease,0.2297,low
BDES-00133,7206AC,20.71,7715,0.0448,20182,oil_mist,0.3558,medium
BDES-00134,NU205,22.39,5663,0.006,22840,grease,0.2047,low
BDES-00135,6306,28.8,6284,0.034,20204,grease,0.0957,low
BDES-00136,NU205,21.57,8720,0.0184,28139,oil_bath,0.3543,medium
BDES-00137,NJ306,19.28,4739,0.0126,35184,grease,0.2505,medium
BDES-00138,6205,10.01,4935,0.0258,14915,grease,0.361,medium
BDES-00139,6306,36.1,6696,0.0279,20307,grease,0.0453,low
BDES-00140,6205,34.54,4118,0.0263,15947,grease,0.1069,low
BDES-00141,NU205,31.88,5276,0.0121,24373,grease,0.1567,low
BDES-00142,6205,32.37,5712,0.0298,34099,oil_bath,0.0117,low
BDES-00143,7206AC,34.64,5728,0.0249,21979,grease,0.0476,low
BDES-00144,7206AC,22.53,6095,0.0275,36265,grease,0.0356,low
BDES-00145,NU205,36.4,8113,0.0511,38694,grease,0.3352,medium
BDES-00146,NJ306,19.64,7368,0.0182,26013,grease,0.2986,medium
BDES-00147,NJ306,28.42,4091,0.037,32631,oil_bath,0.049,low
BDES-00148,NU205,41.06,4485,0.0221,21836,oil_bath,0.0686,low
BDES-00149,7206AC,37.16,8626,0.0149,21217,grease,0.2678,medium
BDES-00150,NJ306,20.5,7267,0.0255,33144,grease,0.1375,low
BDES-00151,NJ306,30.7,6981,0.0236,19165,oil_bath,0.0748,low
BDES-00152,NJ306,21.52,4895,0.037,24657,oil_bath,0.0832,low
BDES-00153,6205,27.42,5499,0.0196,11365,grease,0.2259,low
BDES-00154,NU205,32.61,8136,0.0402,26223,grease,0.1792,low
BDES-00155,NU205,29.41,6853,0.0197,22155,grease,0.1242,low
BDES-00156,NU205,25.2,6368,0.0154,32513,grease,0.0784,low
BDES-00157,7206AC,30.63,8669,0.0246,32027,grease,0.1993,low
BDES-00158,7206AC,43.68,6486,0.0386,28398,grease,0.0336,low
BDES-00159,7206AC,34.21,4257,0.0302,23680,grease,0.0,low
BDES-00160,NJ306,27.65,3285,0.0188,12437,grease,0.1988,low
BDES-00161,6205,25.3,4793,0.0155,22323,oil_mist,0.0796,low
BDES-00162,NU205,30.26,8944,0.0401,20531,oil_bath,0.2852,medium
BDES-00163,NJ306,33.84,2500,0.0542,18035,grease,0.3141,medium
BDES-00164,NJ306,28.83,7351,0.0325,35102,grease,0.0897,low
BDES-00165,NU205,29.48,7145,0.0354,18525,grease,0.1649,low
BDES-00166,NU205,29.53,6231,0.0383,17812,oil_bath,0.1334,low
BDES-00167,6205,10.4,5811,0.0377,26107,grease,0.3645,medium
BDES-00168,NJ306,27.51,5231,0.0301,31796,grease,0.048,low
BDES-00169,NJ306,27.82,6651,0.0448,23480,oil_bath,0.2297,low
BDES-00170,NJ306,30.72,4658,0.0325,14741,oil_bath,0.0534,low
BDES-00171,6205,40.93,4907,0.029,17037,grease,0.1242,low
BDES-00172,6306,29.71,5926,0.028,35830,oil_bath,0.0,low
BDES-00173,6306,22.46,7363,0.0366,23982,grease,0.1496,low
BDES-00174,7206AC,31.73,6331,0.0347,28142,oil_bath,0.0022,low
BDES-00175,7206AC,10.0,7108,0.0173,30499,oil_mist,0.4429,medium
BDES-00176,NJ306,29.31,7071,0.0158,30481,grease,0.2345,low
BDES-00177,NU205,26.16,7489,0.0399,22458,grease,0.1841,low
BDES-00178,7206AC,28.79,5316,0.0149,23445,grease,0.1538,low
BDES-00179,6306,23.52,7991,0.0369,20355,oil_mist,0.1646,low
BDES-00180,NJ306,32.92,5024,0.0389,23369,oil_mist,0.0958,low
BDES-00181,6205,12.45,7164,0.0249,15980,oil_mist,0.3247,medium
BDES-00182,6306,35.4,5027,0.035,38149,oil_bath,0.0093,low
BDES-00183,6306,29.72,4642,0.0386,28334,grease,0.0806,low
BDES-00184,6205,13.58,6283,0.0426,13632,grease,0.3986,medium
BDES-00185,NJ306,17.81,7766,0.0528,26315,grease,0.3894,medium
BDES-00186,6306,22.14,5231,0.0178,26078,oil_bath,0.1805,low
BDES-00187,NU205,30.28,5633,0.0461,27790,oil_bath,0.1612,low
BDES-00188,NJ306,36.66,6291,0.0349,24188,grease,0.0473,low
BDES-00189,NU205,34.87,3990,0.0289,35332,oil_mist,0.0478,low
BDES-00190,7206AC,28.43,4250,0.0392,35768,grease,0.0824,low
BDES-00191,6205,24.61,4439,0.0512,24768,oil_bath,0.226,low
BDES-00192,6306,37.42,5469,0.0396,31422,grease,0.0884,low
BDES-00193,NU205,20.48,6524,0.0119,18956,oil_bath,0.2968,medium
BDES-00194,NJ306,33.73,5580,0.031,24561,oil_bath,0.0,low
BDES-00195,7206AC,37.45,5909,0.0346,26833,oil_bath,0.0655,low
BDES-00196,6306,13.11,5075,0.0237,22403,oil_mist,0.2869,medium
BDES-00197,7206AC,24.99,5166,0.0171,19154,grease,0.1259,low
BDES-00198,7206AC,23.37,6750,0.0383,30246,oil_bath,0.1405,low
BDES-00199,NJ306,25.94,6187,0.0369,39490,oil_mist,0.1322,low
BDES-00200,6205,25.2,8218,0.0259,17087,oil_bath,0.2129,low
BDES-00201,NJ306,26.75,5717,0.0204,25743,oil_bath,0.0964,low
BDES-00202,6205,12.3,8047,0.0066,30839,grease,0.5454,high
BDES-00203,6306,36.1,7006,0.0201,23770,grease,0.1807,low
BDES-00204,NJ306,33.85,6663,0.0197,32660,grease,0.1032,low
BDES-00205,6306,34.53,6319,0.0133,30385,oil_bath,0.1267,low
BDES-00206,6205,36.27,6152,0.0229,31215,oil_bath,0.0501,low
BDES-00207,6306,22.66,5943,0.0374,29648,oil_bath,0.0718,low
BDES-00208,NU205,29.77,4243,0.044,23458,oil_bath,0.1512,low
BDES-00209,7206AC,19.42,7345,0.0395,35671,grease,0.1512,low
BDES-00210,7206AC,32.73,5878,0.0366,23882,grease,0.0871,low
BDES-00211,NU205,16.65,8312,0.0177,21182,oil_mist,0.3777,medium
BDES-00212,NJ306,40.12,4812,0.0445,23725,grease,0.1116,low
BDES-00213,7206AC,33.49,4776,0.0288,28856,grease,0.0193,low
BDES-00214,7206AC,31.94,3703,0.0332,35836,oil_bath,0.0083,low
BDES-00215,7206AC,15.68,7566,0.0291,35088,grease,0.2099,low
BDES-00216,7206AC,28.17,6198,0.0531,17009,oil_bath,0.2599,medium
BDES-00217,NJ306,28.57,3733,0.0148,29729,grease,0.1155,low
BDES-00218,NJ306,32.9,6088,0.044,21248,oil_bath,0.1594,low
BDES-00219,NU205,22.56,5004,0.0429,22228,grease,0.1918,low
BDES-00220,7206AC,25.66,8032,0.032,16507,grease,0.1346,low
BDES-00221,NJ306,37.79,7557,0.0253,17701,oil_mist,0.1688,low
BDES-00222,NJ306,35.58,7278,0.0311,27902,grease,0.0729,low
BDES-00223,6205,21.94,7855,0.0452,15640,oil_bath,0.3588,medium
BDES-00224,NJ306,25.72,8225,0.0348,20004,grease,0.2074,low
BDES-00225,6306,16.32,6882,0.0396,18841,oil_bath,0.208,low
BDES-00226,6306,32.88,6991,0.0163,13926,grease,0.2655,medium
BDES-00227,7206AC,21.65,7247,0.0221,33036,oil_bath,0.1732,low
BDES-00228,6205,26.42,5314,0.0444,22483,oil_bath,0.1383,low
BDES-00229,6306,30.58,5707,0.0223,12981,grease,0.1801,low
BDES-00230,7206AC,24.12,8005,0.0272,31159,oil_bath,0.1491,low
BDES-00231,6306,36.92,5100,0.0393,32778,grease,0.064,low
BDES-00232,6306,31.64,5675,0.0426,13970,grease,0.2037,low
BDES-00233,7206AC,26.73,5490,0.0158,19927,oil_mist,0.1892,low
BDES-00234,NJ306,23.37,5668,0.0162,16679,grease,0.1694,low
BDES-00235,NJ306,30.12,5698,0.0356,25393,grease,0.1105,low
BDES-00236,NJ306,48.0,5414,0.0566,16349,grease,0.3579,medium
BDES-00237,6205,19.93,5088,0.0235,24541,oil_bath,0.1636,low
BDES-00238,7206AC,34.34,6184,0.0253,26877,grease,0.0,low
BDES-00239,NU205,30.46,6256,0.0135,32072,grease,0.1509,low
BDES-00240,7206AC,13.01,3674,0.0348,18010,grease,0.2988,medium
BDES-00241,6306,27.56,7891,0.0367,25690,grease,0.138,low
BDES-00242,6205,29.8,4844,0.0161,25615,grease,0.1259,low
BDES-00243,6306,30.26,6692,0.0124,25547,grease,0.1914,low
BDES-00244,6205,20.67,6360,0.0438,26080,oil_bath,0.1702,low
BDES-00245,7206AC,27.17,4733,0.0295,25146,grease,0.0283,low
BDES-00246,6205,27.08,7191,0.0262,36225,oil_bath,0.1069,low
BDES-00247,7206AC,18.71,7115,0.035,26521,oil_bath,0.1134,low
BDES-00248,7206AC,26.59,4162,0.0276,32977,grease,0.09,low
BDES-00249,6306,32.27,6113,0.0382,34909,grease,0.0607,low
BDES-00250,NU205,34.61,4817,0.0323,25091,grease,0.0425,low
BDES-00251,6306,17.12,4691,0.0439,28963,oil_bath,0.3209,medium
BDES-00252,NJ306,21.94,6295,0.042,28426,grease,0.1349,low
BDES-00253,NU205,18.61,6783,0.0098,28897,oil_mist,0.3543,medium
BDES-00254,NJ306,35.67,5822,0.0365,19144,oil_bath,0.0696,low
BDES-00255,NU205,19.63,5642,0.0111,20505,grease,0.2748,medium
BDES-00256,6306,19.77,5467,0.0412,23305,oil_mist,0.1611,low
BDES-00257,NU205,26.35,5801,0.0303,19513,grease,0.0829,low
BDES-00258,7206AC,25.34,8688,0.0168,23584,grease,0.2527,medium
BDES-00259,6306,25.38,5489,0.0155,16572,grease,0.1751,low
BDES-00260,6205,37.27,4624,0.0221,16956,grease,0.1553,low
BDES-00261,6205,10.0,5109,0.0446,22440,grease,0.4045,medium
BDES-00262,6205,23.57,5289,0.0424,25300,grease,0.1705,low
BDES-00263,NJ306,25.82,3213,0.0079,31743,grease,0.2261,low
BDES-00264,NJ306,28.52,5188,0.0273,21482,grease,0.0567,low
BDES-00265,NJ306,18.37,5213,0.0186,35960,grease,0.1853,low
BDES-00266,NJ306,23.56,8019,0.0464,23968,grease,0.2467,low
BDES-00267,NJ306,22.73,5910,0.0256,22777,grease,0.0304,low
BDES-00268,6205,30.94,9075,0.0385,31228,grease,0.2306,low
BDES-00269,NU205,24.24,5979,0.0145,18526,oil_bath,0.1775,low
BDES-00270,6306,24.86,6156,0.0082,28348,grease,0.188,low
BDES-00271,7206AC,31.51,9256,0.0502,22691,oil_bath,0.4068,medium
BDES-00272,6205,20.65,7591,0.0395,26476,grease,0.2486,low
BDES-00273,NJ306,28.78,6666,0.0299,19049,grease,0.0306,low
BDES-00274,6306,40.73,5127,0.006,17411,oil_bath,0.2594,medium
BDES-00275,NU205,30.38,5842,0.021,24838,grease,0.0517,low
BDES-00276,NJ306,18.77,6896,0.0398,20207,oil_bath,0.1685,low
BDES-00277,6306,21.14,2700,0.0071,29631,oil_bath,0.2515,medium
BDES-00278,6306,30.87,5376,0.0554,22843,oil_bath,0.2533,medium
BDES-00279,7206AC,25.03,7531,0.0336,9538,grease,0.246,low
BDES-00280,NJ306,25.29,7444,0.0348,41129,oil_mist,0.0874,low
BDES-00281,6205,38.12,6753,0.0313,32859,grease,0.0148,low
BDES-00282,NJ306,29.45,8531,0.0324,18982,grease,0.1915,low
BDES-00283,NJ306,23.12,4729,0.0147,29308,oil_bath,0.1511,low
BDES-00284,6306,16.14,6098,0.0411,23967,oil_bath,0.2622,medium
BDES-00285,7206AC,33.49,6737,0.0394,22106,grease,0.0987,low
BDES-00286,7206AC,27.72,3148,0.039,23236,oil_bath,0.046,low
BDES-00287,6306,25.0,5912,0.006,35215,oil_bath,0.2175,low
BDES-00288,6205,25.32,5569,0.0368,17687,grease,0.1105,low
BDES-00289,6205,18.84,6312,0.0311,37696,grease,0.1434,low
BDES-00290,NJ306,33.4,3388,0.0133,28549,oil_bath,0.1784,low
BDES-00291,7206AC,29.3,5411,0.0325,15170,oil_mist,0.0991,low
BDES-00292,NU205,38.28,7012,0.0394,29066,grease,0.1158,low
BDES-00293,NU205,34.34,5288,0.0281,28107,oil_bath,0.0113,low
BDES-00294,6306,27.96,6365,0.0196,25480,grease,0.1382,low
BDES-00295,6306,32.72,7631,0.0322,13159,grease,0.2446,low
BDES-00296,6205,37.97,3891,0.0193,19636,oil_mist,0.0995,low
BDES-00297,6205,39.77,6479,0.0307,20604,grease,0.0449,low
BDES-00298,NJ306,30.31,7378,0.0213,21450,grease,0.2052,low
BDES-00299,6205,22.97,6541,0.034,17109,grease,0.1216,low
BDES-00300,NJ306,17.56,5668,0.0306,25987,grease,0.1538,low
BDES-00301,6306,26.05,5610,0.0285,23500,grease,0.0542,low
BDES-00302,6306,27.2,5606,0.0503,17365,grease,0.313,medium
BDES-00303,6306,35.81,8030,0.0412,18002,grease,0.3235,medium
BDES-00304,7206AC,29.39,7033,0.006,25713,oil_mist,0.2455,low
BDES-00305,6205,21.3,4933,0.0261,19361,grease,0.1016,low
BDES-00306,NU205,31.56,6596,0.0362,18666,oil_bath,0.0747,low
BDES-00307,6306,41.93,4909,0.0133,37556,grease,0.1166,low
BDES-00308,6306,36.7,6343,0.0303,31126,grease,0.0,low
BDES-00309,NU205,34.19,5186,0.034,24871,grease,0.0421,low
BDES-00310,6306,38.97,7096,0.0461,25472,grease,0.1394,low
BDES-00311,NJ306,28.13,4442,0.0389,24592,grease,0.0335,low
BDES-00312,6306,30.07,4361,0.0253,23477,grease,0.0,low
BDES-00313,NU205,22.55,7547,0.0193,31972,grease,0.2265,low
BDES-00314,7206AC,37.93,5178,0.0337,24216,oil_bath,0.0,low
BDES-00315,NJ306,22.4,6285,0.0366,18866,grease,0.1683,low
BDES-00316,NU205,27.68,7901,0.0302,30759,grease,0.0704,low
BDES-00317,6306,23.67,7960,0.0384,11649,grease,0.2339,low
BDES-00318,6306,48.0,6681,0.0205,30587,grease,0.1211,low
BDES-00319,7206AC,19.58,4933,0.0246,23758,oil_mist,0.1386,low
BDES-00320,7206AC,38.58,5760,0.0316,35000,grease,0.0806,low
BDES-00321,NJ306,29.63,7123,0.0383,23027,grease,0.1811,low
BDES-00322,NJ306,34.69,8797,0.0384,19643,oil_bath,0.2637,medium
BDES-00323,NU205,23.49,5504,0.0402,18809,oil_bath,0.1506,low
BDES-00324,7206AC,32.63,8368,0.0417,17162,oil_bath,0.2878,medium
BDES-00325,NU205,27.43,2500,0.0489,23205,grease,0.1917,low
BDES-00326,NJ306,31.52,8839,0.0165,32090,grease,0.2869,medium
BDES-00327,6306,34.29,5610,0.0163,19223,grease,0.2458,low
BDES-00328,NU205,24.64,2500,0.0212,38743,grease,0.031,low
BDES-00329,NU205,32.32,5698,0.0399,33100,grease,0.0661,low
BDES-00330,6205,31.05,8587,0.0385,14488,oil_mist,0.3545,medium
BDES-00331,NJ306,32.92,5654,0.0265,11176,oil_mist,0.1856,low
BDES-00332,7206AC,43.91,7682,0.0351,20640,grease,0.0932,low
BDES-00333,6306,31.86,2926,0.0077,25149,grease,0.1984,low
BDES-00334,6306,35.64,6072,0.0176,25329,grease,0.136,low
BDES-00335,6205,30.74,5395,0.0351,18978,oil_bath,0.1365,low
BDES-00336,6306,20.24,5221,0.0276,19410,grease,0.0662,low
BDES-00337,7206AC,26.56,4899,0.0291,16425,grease,0.0314,low
BDES-00338,6306,28.87,6795,0.052,20580,grease,0.2116,low
BDES-00339,7206AC,21.91,4433,0.031,21268,oil_bath,0.0401,low
BDES-00340,NJ306,27.25,4993,0.006,11903,grease,0.2704,medium
BDES-00341,7206AC,28.24,5735,0.006,24959,oil_bath,0.2152,low
BDES-00342,7206AC,35.27,8473,0.0265,25463,grease,0.1913,low
BDES-00343,NU205,18.54,5148,0.0301,14092,grease,0.1816,low
BDES-00344,6306,36.25,7021,0.0078,22899,grease,0.25,medium
BDES-00345,NU205,24.29,5247,0.0171,25216,oil_bath,0.1477,low
BDES-00346,NJ306,23.51,6701,0.0475,24564,grease,0.2001,low
BDES-00347,6205,10.0,7365,0.0351,30163,grease,0.4314,medium
BDES-00348,7206AC,21.2,5941,0.0413,21320,grease,0.1698,low
BDES-00349,6306,28.61,4625,0.0201,19285,grease,0.1654,low
BDES-00350,NJ306,16.54,8084,0.0595,29023,oil_mist,0.5912,high
BDES-00351,NJ306,23.23,8249,0.0368,24784,grease,0.159,low
BDES-00352,NU205,36.52,7064,0.0232,28987,oil_bath,0.0637,low
BDES-00353,7206AC,32.27,5491,0.0323,27864,grease,0.0757,low
BDES-00354,NU205,27.04,6008,0.0318,25355,grease,0.1024,low
BDES-00355,6306,21.81,6983,0.049,15181,grease,0.3849,medium
BDES-00356,NJ306,32.26,7430,0.0285,24043,grease,0.1017,low
BDES-00357,6205,23.85,4887,0.0268,12836,grease,0.083,low
BDES-00358,7206AC,25.76,5867,0.0337,26396,grease,0.0,low
BDES-00359,NJ306,30.37,2500,0.0364,10623,grease,0.1404,low
BDES-00360,6306,44.0,7980,0.0464,22860,grease,0.252,medium
BDES-00361,6306,28.64,5752,0.0327,26479,oil_mist,0.0515,low
BDES-00362,6306,25.49,6822,0.0258,17121,grease,0.1281,low
BDES-00363,7206AC,26.71,6781,0.0244,23733,grease,0.092,low
BDES-00364,6205,36.47,7907,0.024,23206,oil_bath,0.1361,low
BDES-00365,NJ306,21.96,6057,0.0171,20810,oil_bath,0.1442,low
BDES-00366,7206AC,26.95,7396,0.0091,23424,oil_mist,0.3337,medium
BDES-00367,6205,20.68,5738,0.0351,22504,oil_bath,0.1102,low
BDES-00368,7206AC,21.99,7787,0.0456,30822,grease,0.2454,low
BDES-00369,6205,25.65,3088,0.0394,20949,grease,0.0722,low
BDES-00370,7206AC,22.9,6068,0.0349,32630,oil_bath,0.0204,low
BDES-00371,NU205,35.59,4420,0.0696,25507,oil_mist,0.2824,medium
BDES-00372,7206AC,27.62,8123,0.0426,29712,oil_mist,0.2455,low
BDES-00373,6205,23.56,6807,0.0298,32489,oil_bath,0.0,low
