assembly_id,interference_fit,preload,alignment_error,operator_id,station_id,assembly_risk_score,assembly_risk_level
BASM-00150,0.0056,1.238,0.0481,OP-B-065,ST-B-06,0.3664,medium
BASM-00151,0.0061,0.955,0.1108,OP-B-007,ST-B-22,0.3704,medium
BASM-00152,0.0181,0.919,0.0212,OP-B-111,ST-B-02,0.0603,low
BASM-00153,0.0123,1.078,0.0234,OP-B-009,ST-B-16,0.1903,low
BASM-00154,0.0167,1.018,0.1077,OP-B-037,ST-B-03,0.1995,low
BASM-00155,0.0081,1.394,0.0406,OP-B-017,ST-B-30,0.3296,medium
BASM-00156,0.0122,0.877,0.0656,OP-B-055,ST-B-02,0.3222,medium
BASM-00157,0.0217,1.025,0.0504,OP-B-116,ST-B-09,0.1437,low
BASM-00158,0.0146,0.938,0.0513,OP-B-080,ST-B-22,0.2372,low
BASM-00159,0.0125,1.052,0.0225,OP-B-142,ST-B-25,0.1515,low
BASM-00160,0.0275,0.879,0.0767,OP-B-014,ST-B-29,0.3046,medium
BASM-00161,0.0198,1.407,0.0482,OP-B-114,ST-B-06,0.287,medium
BASM-00162,0.0055,0.905,0.076,OP-B-056,ST-B-01,0.3615,medium
BASM-00163,0.0133,1.595,0.0132,OP-B-095,ST-B-23,0.2911,medium
BASM-00164,0.0214,0.691,0.0708,OP-B-111,ST-B-25,0.2856,medium
BASM-00165,0.0073,0.705,0.055,OP-B-120,ST-B-29,0.393,medium
BASM-00166,0.0227,1.11,0.0267,OP-B-102,ST-B-22,0.1799,low
BASM-00167,0.0136,1.092,0.0208,OP-B-124,ST-B-20,0.1649,low
BASM-00168,0.0085,0.726,0.0496,OP-B-016,ST-B-20,0.337,medium
BASM-00169,0.0104,1.115,0.095,OP-B-127,ST-B-11,0.261,medium
BASM-00170,0.0209,0.994,0.1562,OP-B-067,ST-B-11,0.317,medium
BASM-00171,0.0228,0.979,0.1501,OP-B-063,ST-B-06,0.3702,medium
BASM-00172,0.0121,0.977,0.0541,OP-B-022,ST-B-03,0.1468,low
BASM-00173,-0.0028,0.829,0.0594,OP-B-061,ST-B-04,0.5213,high
BASM-00174,0.0188,1.112,0.0401,OP-B-103,ST-B-16,0.1619,low
BASM-00175,0.0107,0.622,0.0464,OP-B-088,ST-B-29,0.3571,medium
BASM-00176,0.04,1.074,0.0473,OP-B-092,ST-B-06,0.3577,medium
BASM-00177,0.0215,0.884,0.074,OP-B-094,ST-B-09,0.2396,low
BASM-00178,0.0202,0.603,0.0877,OP-B-057,ST-B-28,0.4242,medium
BASM-00179,0.0262,1.581,0.0231,OP-B-127,ST-B-26,0.3999,medium
BASM-00180,0.0243,1.636,0.0468,OP-B-119,ST-B-30,0.4185,medium
BASM-00181,0.0177,0.918,0.0753,OP-B-018,ST-B-14,0.1575,low
BASM-00182,0.005,1.113,0.0191,OP-B-130,ST-B-09,0.2277,low
BASM-00183,0.0241,1.364,0.0467,OP-B-066,ST-B-22,0.3058,medium
BASM-00184,0.0046,1.013,0.0386,OP-B-100,ST-B-05,0.2579,medium
BASM-00185,0.0145,0.936,0.0774,OP-B-063,ST-B-12,0.2088,low
BASM-00186,0.0224,0.656,0.022,OP-B-035,ST-B-11,0.2073,low
BASM-00187,0.0197,1.071,0.0309,OP-B-079,ST-B-12,0.0511,low
BASM-00188,0.0202,1.273,0.0413,OP-B-115,ST-B-03,0.2273,low
BASM-00189,-0.0023,0.641,0.0041,OP-B-069,ST-B-17,0.3953,medium
BASM-00190,0.0108,0.799,0.0302,OP-B-079,ST-B-25,0.2102,low
BASM-00191,0.0203,1.066,0.045,OP-B-099,ST-B-23,0.0897,low
BASM-00192,0.0179,1.265,0.0147,OP-B-031,ST-B-08,0.1202,low
BASM-00193,0.0183,0.763,0.0476,OP-B-114,ST-B-19,0.2306,low
BASM-00194,0.0202,1.026,0.0167,OP-B-018,ST-B-19,0.0892,low
BASM-00195,0.0146,1.235,0.0249,OP-B-149,ST-B-05,0.1948,low
BASM-00196,0.0132,0.613,0.0636,OP-B-128,ST-B-20,0.3247,medium
BASM-00197,0.0251,0.748,0.0238,OP-B-010,ST-B-02,0.2194,low
BASM-00198,0.0233,0.897,0.0528,OP-B-093,ST-B-16,0.2211,low
BASM-00199,0.04,1.14,0.0803,OP-B-079,ST-B-17,0.5678,high
BASM-00200,0.0143,1.234,0.1238,OP-B-012,ST-B-22,0.4121,medium
BASM-00201,0.0232,1.353,0.0532,OP-B-077,ST-B-13,0.322,medium
BASM-00202,0.0022,1.133,0.1168,OP-B-043,ST-B-17,0.5309,high
BASM-00203,0.0081,1.019,0.0554,OP-B-042,ST-B-09,0.215,low
BASM-00204,0.0108,1.261,0.0463,OP-B-030,ST-B-09,0.2612,medium
BASM-00205,0.0145,0.829,0.0309,OP-B-079,ST-B-28,0.1849,low
BASM-00206,0.0147,0.827,0.0336,OP-B-135,ST-B-10,0.1436,low
BASM-00207,0.017,0.626,0.0526,OP-B-091,ST-B-18,0.2831,medium
BASM-00208,0.0252,0.675,0.0337,OP-B-060,ST-B-04,0.2737,medium
BASM-00209,0.015,1.14,0.0119,OP-B-042,ST-B-01,0.1194,low
BASM-00210,0.0275,0.797,0.0441,OP-B-001,ST-B-16,0.2778,medium
BASM-00211,0.012,0.914,0.0319,OP-B-114,ST-B-29,0.1741,low
BASM-00212,0.0063,1.046,0.0631,OP-B-056,ST-B-22,0.2828,medium
BASM-00213,0.0034,0.969,0.0389,OP-B-103,ST-B-14,0.2078,low
BASM-00214,0.0143,1.137,0.1071,OP-B-144,ST-B-27,0.3489,medium
BASM-00215,0.015,0.78,0.0514,OP-B-050,ST-B-28,0.2106,low
BASM-00216,0.0272,0.874,0.0249,OP-B-133,ST-B-15,0.2106,low
BASM-00217,0.0271,0.743,0.0245,OP-B-093,ST-B-18,0.291,medium
BASM-00218,0.0208,0.941,0.0512,OP-B-022,ST-B-19,0.1465,low
BASM-00219,0.025,0.843,0.0364,OP-B-052,ST-B-25,0.201,low
BASM-00220,0.0238,1.079,0.0264,OP-B-086,ST-B-01,0.1738,low
BASM-00221,0.019,1.053,0.1346,OP-B-131,ST-B-14,0.3479,medium
BASM-00222,0.0288,0.682,0.0832,OP-B-108,ST-B-03,0.413,medium
BASM-00223,0.0107,0.596,0.0464,OP-B-111,ST-B-26,0.3805,medium
BASM-00224,0.0086,1.16,0.0861,OP-B-017,ST-B-25,0.4323,medium
BASM-00225,0.0117,0.725,0.0715,OP-B-127,ST-B-20,0.3583,medium
BASM-00226,0.029,1.108,0.0486,OP-B-086,ST-B-10,0.2623,medium
BASM-00227,0.03,1.674,0.0169,OP-B-009,ST-B-25,0.4292,medium
BASM-00228,0.0138,1.074,0.0379,OP-B-076,ST-B-16,0.2218,low
BASM-00229,0.0254,1.334,0.0765,OP-B-105,ST-B-15,0.4746,medium
BASM-00230,0.0069,0.909,0.0556,OP-B-147,ST-B-26,0.3529,medium
BASM-00231,0.0119,0.345,0.0824,OP-B-055,ST-B-15,0.4775,medium
BASM-00232,0.0236,0.732,0.0362,OP-B-035,ST-B-03,0.2628,medium
BASM-00233,0.0179,1.365,0.0824,OP-B-049,ST-B-07,0.2541,medium
BASM-00234,0.0136,1.1,0.0059,OP-B-021,ST-B-29,0.2195,low
BASM-00235,0.0191,0.713,0.023,OP-B-140,ST-B-14,0.1466,low
BASM-00236,0.0157,1.105,0.0692,OP-B-070,ST-B-29,0.1746,low
BASM-00237,0.0111,1.158,0.1211,OP-B-135,ST-B-03,0.4023,medium
BASM-00238,-0.006,0.929,0.0351,OP-B-090,ST-B-03,0.4544,medium
BASM-00239,0.0244,1.012,0.0142,OP-B-060,ST-B-13,0.0955,low
BASM-00240,0.0165,0.814,0.0339,OP-B-057,ST-B-23,0.1114,low
BASM-00241,0.0332,0.606,0.0631,OP-B-098,ST-B-29,0.4991,medium
BASM-00242,0.0164,0.948,0.0132,OP-B-036,ST-B-15,0.1148,low
BASM-00243,0.0156,1.04,0.109,OP-B-085,ST-B-23,0.3292,medium
BASM-00244,0.0267,0.501,0.0725,OP-B-150,ST-B-19,0.4961,medium
BASM-00245,0.0299,1.017,0.0757,OP-B-125,ST-B-04,0.2836,medium
BASM-00246,0.0256,1.282,0.0228,OP-B-027,ST-B-15,0.271,medium
BASM-00247,0.0204,0.89,0.0615,OP-B-118,ST-B-19,0.2346,low
BASM-00248,0.0135,0.641,0.0629,OP-B-146,ST-B-25,0.3027,medium
BASM-00249,0.0391,0.627,0.0147,OP-B-049,ST-B-23,0.4474,medium
BASM-00250,0.006,1.12,0.0782,OP-B-045,ST-B-13,0.3627,medium
BASM-00251,0.0403,0.993,0.0519,OP-B-048,ST-B-14,0.3504,medium
BASM-00252,0.0238,1.299,0.0455,OP-B-139,ST-B-29,0.2945,medium
BASM-00253,0.0241,1.478,0.0706,OP-B-135,ST-B-24,0.4408,medium
BASM-00254,0.0234,0.655,0.0379,OP-B-111,ST-B-02,0.3628,medium
BASM-00255,0.0056,1.044,0.0182,OP-B-049,ST-B-10,0.2346,low
BASM-00256,0.043,0.548,0.0527,OP-B-132,ST-B-27,0.5228,high
BASM-00257,0.0172,0.861,0.0139,OP-B-048,ST-B-26,0.0643,low
BASM-00258,0.0072,0.988,0.077,OP-B-112,ST-B-17,0.2243,low
BASM-00259,0.0006,1.084,0.0856,OP-B-029,ST-B-26,0.3643,medium
BASM-00260,0.0229,1.224,0.0166,OP-B-028,ST-B-04,0.2206,low
BASM-00261,0.0185,0.957,0.0395,OP-B-149,ST-B-02,0.0942,low
BASM-00262,0.0199,1.139,0.0888,OP-B-026,ST-B-22,0.3135,medium
BASM-00263,0.0078,0.885,0.09,OP-B-024,ST-B-18,0.3712,medium
BASM-00264,0.0226,0.855,0.0224,OP-B-080,ST-B-19,0.1845,low
BASM-00265,0.027,0.95,0.0358,OP-B-140,ST-B-08,0.2247,low
BASM-00266,0.0145,0.967,0.0261,OP-B-059,ST-B-21,0.0497,low
BASM-00267,0.0226,1.526,0.0113,OP-B-147,ST-B-23,0.273,medium
BASM-00268,0.0126,0.958,0.0177,OP-B-065,ST-B-17,0.1108,low
BASM-00269,0.0249,0.956,0.0362,OP-B-003,ST-B-05,0.1428,low
BASM-00270,0.0145,1.427,0.0849,OP-B-007,ST-B-06,0.3921,medium
BASM-00271,0.009,0.954,0.0594,OP-B-003,ST-B-23,0.2459,low
BASM-00272,0.0293,1.629,0.0732,OP-B-028,ST-B-08,0.4881,medium
BASM-00273,0.0248,0.948,0.0825,OP-B-105,ST-B-22,0.2928,medium
BASM-00274,0.0187,0.945,0.0073,OP-B-050,ST-B-12,0.045,low
BASM-00275,0.023,0.685,0.0115,OP-B-047,ST-B-19,0.2027,low
BASM-00276,0.0136,0.897,0.022,OP-B-070,ST-B-27,0.1795,low
BASM-00277,0.029,1.152,0.1268,OP-B-051,ST-B-28,0.5061,high
BASM-00278,0.0201,1.476,0.0113,OP-B-047,ST-B-18,0.2271,low
BASM-00279,0.0231,1.473,0.0401,OP-B-017,ST-B-24,0.3283,medium
BASM-00280,0.0058,1.9,0.1555,OP-B-062,ST-B-18,0.7418,high
BASM-00281,0.0301,1.064,0.0336,OP-B-110,ST-B-16,0.2708,medium
BASM-00282,0.0277,1.353,0.0503,OP-B-074,ST-B-04,0.3973,medium
BASM-00283,0.02,0.836,0.0417,OP-B-039,ST-B-10,0.1623,low
BASM-00284,0.0195,0.796,0.0543,OP-B-060,ST-B-12,0.1794,low
BASM-00285,0.0055,0.3,0.0256,OP-B-040,ST-B-19,0.4913,medium
BASM-00286,0.0204,0.859,0.0794,OP-B-137,ST-B-12,0.2823,medium
BASM-00287,0.0209,0.984,0.0828,OP-B-143,ST-B-16,0.2172,low
BASM-00288,0.0274,0.828,0.0426,OP-B-112,ST-B-02,0.2959,medium
BASM-00289,0.0198,0.942,0.0583,OP-B-010,ST-B-19,0.1712,low
BASM-00290,0.0264,0.672,0.1082,OP-B-053,ST-B-18,0.4632,medium
BASM-00291,0.0093,0.673,0.0864,OP-B-134,ST-B-01,0.4577,medium
BASM-00292,-0.0004,0.349,0.0221,OP-B-102,ST-B-20,0.4906,medium
BASM-00293,0.0336,1.705,0.0314,OP-B-032,ST-B-27,0.5936,high
BASM-00294,0.0181,1.457,0.1181,OP-B-005,ST-B-20,0.372,medium
BASM-00295,0.0168,1.119,0.0625,OP-B-020,ST-B-18,0.2474,low
BASM-00296,0.013,0.904,0.1339,OP-B-138,ST-B-25,0.3795,medium
BASM-00297,0.0207,1.251,0.0391,OP-B-008,ST-B-24,0.2353,low
BASM-00298,0.0116,0.897,0.0321,OP-B-148,ST-B-23,0.1826,low
BASM-00299,0.01,1.051,0.1009,OP-B-081,ST-B-20,0.3184,medium
BASM-00300,0.0045,1.408,0.0506,OP-B-020,ST-B-28,0.4111,medium
BASM-00301,0.022,1.123,0.0462,OP-B-105,ST-B-09,0.1873,low
BASM-00302,0.0261,0.642,0.0327,OP-B-005,ST-B-18,0.3099,medium
BASM-00303,0.0071,0.973,0.0307,OP-B-075,ST-B-06,0.2254,low
BASM-00304,0.0052,0.76,0.0584,OP-B-114,ST-B-21,0.335,medium
BASM-00305,0.0044,0.822,0.0258,OP-B-071,ST-B-30,0.269,medium
BASM-00306,0.0173,0.629,0.0263,OP-B-001,ST-B-15,0.234,low
BASM-00307,0.0399,0.916,0.0322,OP-B-007,ST-B-19,0.434,medium
BASM-00308,0.0297,1.404,0.0203,OP-B-091,ST-B-26,0.3079,medium
BASM-00309,0.0255,1.254,0.0508,OP-B-069,ST-B-18,0.3184,medium
BASM-00310,0.0235,1.143,0.037,OP-B-003,ST-B-14,0.1906,low
BASM-00311,0.0087,1.539,0.0629,OP-B-110,ST-B-23,0.4705,medium
BASM-00312,0.0218,0.846,0.073,OP-B-032,ST-B-06,0.2674,medium
BASM-00313,0.0255,1.084,0.0606,OP-B-144,ST-B-09,0.2326,low
BASM-00314,0.0152,0.953,0.043,OP-B-116,ST-B-24,0.1806,low
BASM-00315,0.0206,0.518,0.056,OP-B-102,ST-B-22,0.3409,medium
BASM-00316,0.0087,1.183,0.0807,OP-B-001,ST-B-21,0.3882,medium
BASM-00317,0.008,0.932,0.0424,OP-B-094,ST-B-04,0.2459,low
BASM-00318,0.0138,0.665,0.0228,OP-B-071,ST-B-16,0.1641,low
BASM-00319,0.0203,1.606,0.0746,OP-B-093,ST-B-20,0.3709,medium
BASM-00320,0.0122,0.946,0.0296,OP-B-101,ST-B-24,0.1254,low
BASM-00321,0.0265,1.097,0.0266,OP-B-076,ST-B-05,0.2269,low
BASM-00322,0.022,1.001,0.0362,OP-B-035,ST-B-23,0.1226,low
BASM-00323,0.0404,0.825,0.1044,OP-B-085,ST-B-04,0.6042,high
BASM-00324,0.0306,1.175,0.0671,OP-B-079,ST-B-04,0.3608,medium
BASM-00325,0.0387,0.785,0.0466,OP-B-011,ST-B-15,0.4225,medium
BASM-00326,0.0209,1.103,0.0188,OP-B-028,ST-B-22,0.1076,low
BASM-00327,0.0188,0.561,0.0203,OP-B-074,ST-B-14,0.301,medium
BASM-00328,0.0205,1.076,0.0253,OP-B-036,ST-B-09,0.0915,low
BASM-00329,0.0171,0.762,0.0474,OP-B-041,ST-B-08,0.2007,low
