inspection_id,vibration_rms,kurtosis,temperature,hardness_check,roundness_check,inspection_result,inspection_risk_score,inspection_risk_level
BINSP-00105,0.814,2.8369,46.25,60.59,2.508,pass,0.1392,low
BINSP-00106,0.9779,3.5502,53.68,60.36,1.827,pass,0.1856,low
BINSP-00107,0.9119,5.4658,55.4,60.68,2.819,pass,0.2321,low
BINSP-00108,1.1178,4.4976,55.96,58.71,3.559,pass,0.2678,medium
BINSP-00109,0.6855,4.046,47.78,60.07,2.195,pass,0.1634,low
BINSP-00110,0.8546,3.2323,39.85,63.95,2.497,pass,0.1664,low
BINSP-00111,0.8722,4.4485,42.75,62.34,2.719,pass,0.1803,low
BINSP-00112,0.8751,4.5797,58.38,60.2,3.435,pass,0.2365,low
BINSP-00113,1.3992,3.9333,51.98,61.11,4.377,pass,0.2402,low
BINSP-00114,0.9552,4.2488,47.98,59.14,2.332,pass,0.203,low
BINSP-00115,0.5882,3.6445,49.02,63.01,1.295,pass,0.1581,low
BINSP-00116,1.1467,5.0309,51.58,60.0,3.655,pass,0.2475,low
BINSP-00117,0.7625,5.6564,52.56,62.54,3.535,pass,0.2426,low
BINSP-00118,1.0287,6.1448,51.9,65.19,2.996,pass,0.3024,medium
BINSP-00119,0.9834,3.9829,45.57,60.03,2.176,pass,0.1763,low
BINSP-00120,0.8309,4.7672,46.08,60.17,2.606,pass,0.186,low
BINSP-00121,1.1428,4.6711,50.58,60.67,2.771,pass,0.2159,low
BINSP-00122,0.9685,6.7569,54.48,64.42,3.712,pass,0.3161,medium
BINSP-00123,1.1495,5.8549,54.0,60.47,1.67,pass,0.2415,low
BINSP-00124,0.7652,4.7553,54.31,59.73,3.113,pass,0.2216,low
BINSP-00125,0.5948,4.6623,48.42,57.99,0.944,pass,0.1877,low
BINSP-00126,0.9591,2.5093,46.54,60.91,3.104,pass,0.1464,low
BINSP-00127,1.0921,2.9089,50.11,59.85,3.456,pass,0.1961,low
BINSP-00128,0.9975,4.5315,55.27,60.58,3.175,pass,0.2248,low
BINSP-00129,1.4768,6.9315,51.22,57.96,4.021,pass,0.3429,medium
BINSP-00130,1.0011,3.9991,47.58,64.51,2.176,pass,0.2228,low
BINSP-00131,0.4011,4.6608,47.61,62.45,2.991,pass,0.1722,low
BINSP-00132,0.8,3.3676,47.9,60.42,1.839,pass,0.1489,low
BINSP-00133,0.9071,5.3709,53.19,60.42,2.794,pass,0.226,low
BINSP-00134,1.0615,4.4814,49.19,61.68,2.546,pass,0.2043,low
BINSP-00135,1.0473,3.9367,45.73,59.24,1.758,pass,0.1873,low
BINSP-00136,0.9172,4.7751,52.65,63.17,3.457,pass,0.2448,low
BINSP-00137,0.6628,3.4558,45.46,60.47,2.026,pass,0.1342,low
BINSP-00138,1.1965,5.3512,47.29,59.83,3.326,pass,0.2415,low
BINSP-00139,0.992,2.9141,49.29,59.51,4.491,pass,0.2038,low
BINSP-00140,1.319,5.6602,55.77,62.76,3.16,pass,0.2921,medium
BINSP-00141,0.972,4.3227,48.16,63.14,3.092,pass,0.2196,low
BINSP-00142,0.8492,4.7922,44.87,57.67,2.135,pass,0.2155,low
BINSP-00143,0.7456,2.9466,49.08,61.36,3.001,pass,0.1513,low
BINSP-00144,1.0451,4.9232,49.35,61.85,2.079,pass,0.2094,low
BINSP-00145,0.8411,4.0564,51.5,59.32,2.805,pass,0.2058,low
BINSP-00146,0.7648,4.5365,45.77,58.71,1.925,pass,0.1892,low
BINSP-00147,0.9922,3.8264,53.82,63.92,2.606,pass,0.2361,low
BINSP-00148,0.5535,4.6635,45.26,63.43,2.484,pass,0.1838,low
BINSP-00149,1.0659,5.9577,52.49,62.57,3.165,pass,0.266,medium
BINSP-00150,1.3941,5.7702,57.5,62.73,3.113,pass,0.3044,medium
BINSP-00151,1.1427,3.9227,52.37,64.2,2.263,pass,0.2441,low
BINSP-00152,1.1619,5.9036,51.75,60.23,2.026,pass,0.2437,low
BINSP-00153,0.9045,4.3607,51.83,61.99,2.65,pass,0.2054,low
BINSP-00154,1.1715,5.3627,47.7,62.3,3.309,pass,0.2431,low
BINSP-00155,0.9601,3.5716,48.56,62.35,4.096,pass,0.2053,low
BINSP-00156,0.9286,4.5176,50.31,58.35,2.457,pass,0.2277,low
BINSP-00157,0.8284,3.9556,50.57,60.72,1.826,pass,0.1672,low
BINSP-00158,0.8634,3.2935,49.86,60.37,2.843,pass,0.1714,low
BINSP-00159,0.7584,3.8351,45.57,62.07,3.61,pass,0.176,low
BINSP-00160,1.0172,5.2438,47.83,60.61,3.014,pass,0.213,low
BINSP-00161,0.5492,4.2398,44.65,62.93,3.722,pass,0.1802,low
BINSP-00162,0.8406,4.5657,52.82,53.71,1.83,pass,0.293,medium
BINSP-00163,1.0915,3.5257,48.68,59.32,1.28,pass,0.1853,low
BINSP-00164,1.0701,4.8912,51.41,63.84,3.907,pass,0.2692,medium
BINSP-00165,0.7765,4.8154,54.34,64.53,3.864,pass,0.2666,medium
BINSP-00166,1.2017,3.8722,56.63,58.31,3.567,pass,0.2697,medium
BINSP-00167,0.8894,4.479,53.69,58.65,3.953,pass,0.2491,low
BINSP-00168,0.5082,3.9993,52.21,61.25,2.75,pass,0.1613,low
BINSP-00169,0.989,4.4571,49.88,61.19,2.455,pass,0.1924,low
BINSP-00170,0.9646,4.1293,51.25,60.13,1.439,pass,0.1867,low
BINSP-00171,0.8246,5.0701,52.56,59.14,3.863,pass,0.244,low
BINSP-00172,0.4349,4.7479,45.54,61.12,1.548,pass,0.1321,low
BINSP-00173,1.2489,5.905,55.06,54.46,4.041,pass,0.3717,medium
BINSP-00174,0.8076,4.1526,47.11,61.4,2.23,pass,0.1644,low
BINSP-00175,1.2176,3.9816,49.81,64.64,1.916,pass,0.2443,low
BINSP-00176,0.8491,3.812,48.3,60.09,2.37,pass,0.174,low
BINSP-00177,0.6446,5.5099,46.96,60.65,1.801,pass,0.1735,low
BINSP-00178,1.1465,3.6811,50.23,62.74,4.221,pass,0.2338,low
BINSP-00179,0.9598,5.8651,52.31,60.83,3.483,pass,0.2389,low
BINSP-00180,0.8501,4.2099,49.34,62.32,3.312,pass,0.203,low
BINSP-00181,0.8728,4.7173,45.64,58.25,1.474,pass,0.2017,low
BINSP-00182,1.1644,5.0862,46.13,62.47,2.233,pass,0.2214,low
BINSP-00183,1.0474,5.3818,54.38,59.45,3.394,pass,0.262,medium
BINSP-00184,0.7374,3.5742,53.35,63.15,2.934,pass,0.2038,low
BINSP-00185,0.6252,5.4566,49.75,58.54,2.162,pass,0.2165,low
BINSP-00186,0.5929,4.0429,49.86,61.62,3.09,pass,0.17,low
BINSP-00187,0.8679,4.2899,49.35,60.26,1.787,pass,0.1789,low
BINSP-00188,0.6854,3.4761,50.98,58.05,2.469,pass,0.1964,low
BINSP-00189,0.837,2.808,47.85,58.84,1.885,pass,0.1645,low
BINSP-00190,0.4995,3.878,44.78,60.34,3.308,pass,0.1459,low
BINSP-00191,0.8936,3.9106,50.97,61.79,2.641,pass,0.1896,low
BINSP-00192,1.032,5.2935,46.9,59.89,2.235,pass,0.2133,low
BINSP-00193,1.3447,5.4675,57.49,58.22,1.75,pass,0.2943,medium
BINSP-00194,0.6567,5.2887,50.15,65.0,3.241,pass,0.2529,medium
BINSP-00195,0.967,4.85,48.45,63.33,3.789,pass,0.242,low
BINSP-00196,0.778,5.5893,54.11,56.64,2.123,pass,0.273,medium
BINSP-00197,0.665,3.5687,46.84,60.56,2.908,pass,0.1505,low
BINSP-00198,0.6852,5.2833,48.11,61.24,2.478,pass,0.1823,low
BINSP-00199,1.0311,4.576,52.5,59.53,3.211,pass,0.2349,low
BINSP-00200,1.3216,6.7386,51.04,61.04,3.927,pass,0.2811,medium
BINSP-00201,0.7698,6.1401,52.28,61.71,3.078,pass,0.2339,low
BINSP-00202,1.0456,4.3585,54.45,57.0,3.481,pass,0.2794,medium
BINSP-00203,0.759,4.5477,45.62,60.6,1.535,pass,0.1556,low
BINSP-00204,0.998,3.873,53.08,58.77,3.992,pass,0.2414,low
BINSP-00205,1.143,4.4024,49.41,58.02,2.661,pass,0.2451,low
BINSP-00206,0.8055,3.678,49.21,60.8,3.549,pass,0.1747,low
BINSP-00207,0.6788,4.6267,52.66,62.31,2.148,pass,0.1962,low
BINSP-00208,0.6207,2.8564,50.01,60.04,2.785,pass,0.1501,low
BINSP-00209,0.7121,4.4735,53.8,57.66,2.878,pass,0.2386,low
BINSP-00210,0.6429,4.0569,48.04,58.9,1.326,pass,0.1687,low
BINSP-00211,1.0785,5.6123,47.87,52.0,3.344,pass,0.358,medium
BINSP-00212,1.0224,5.35,50.94,60.18,2.344,pass,0.2244,low
BINSP-00213,0.8182,5.4039,48.72,62.66,2.065,pass,0.2126,low
BINSP-00214,0.748,5.5162,45.61,63.06,1.734,pass,0.2014,low
BINSP-00215,1.0039,5.3099,52.4,62.38,2.827,pass,0.2414,low
BINSP-00216,1.0907,6.3958,51.64,60.47,3.849,pass,0.2663,medium
BINSP-00217,1.1998,4.6263,50.04,58.1,2.976,pass,0.2583,medium
BINSP-00218,1.0968,5.0297,48.82,61.45,3.189,pass,0.2208,low
BINSP-00219,0.9954,5.1855,60.11,62.14,4.012,pass,0.275,medium
BINSP-00220,1.0385,4.8105,50.48,61.3,3.146,pass,0.215,low
BINSP-00221,0.9343,3.8446,50.14,59.73,2.901,pass,0.1987,low
BINSP-00222,0.8269,4.419,51.17,62.35,2.28,pass,0.1997,low
BINSP-00223,0.8431,5.6351,50.88,65.64,2.881,pass,0.2809,medium
BINSP-00224,0.8324,3.8154,50.97,62.42,2.443,pass,0.1904,low
BINSP-00225,0.8497,3.5971,50.55,60.95,2.077,pass,0.161,low
BINSP-00226,0.7893,4.0696,54.0,59.9,3.278,pass,0.2079,low
BINSP-00227,1.1837,6.7024,54.23,61.89,3.115,pass,0.2844,medium
BINSP-00228,1.0435,3.1175,49.31,59.02,2.586,pass,0.1961,low
BINSP-00229,1.3068,5.7775,56.21,59.15,4.249,pass,0.3094,medium
BINSP-00230,0.6618,3.7551,40.16,62.41,2.181,pass,0.1372,low
BINSP-00231,1.1743,5.4457,51.49,59.07,3.104,pass,0.2648,medium
BINSP-00232,0.5292,3.5783,38.76,60.3,2.216,pass,0.1091,low
BINSP-00233,0.8654,3.0479,52.42,61.12,2.793,pass,0.1671,low
BINSP-00234,0.9364,4.4511,47.52,64.0,2.026,pass,0.2176,low
BINSP-00235,0.7452,2.7149,44.17,58.92,1.405,pass,0.1366,low
BINSP-00236,0.7813,2.8923,47.28,60.26,1.801,pass,0.1379,low
BINSP-00237,0.917,3.8273,55.81,61.55,1.888,pass,0.1934,low
BINSP-00238,1.0004,4.4351,51.6,63.0,2.696,pass,0.2287,low
BINSP-00239,0.8764,4.2084,47.44,59.49,0.965,pass,0.1731,low
BINSP-00240,0.9757,5.442,51.34,58.55,1.937,pass,0.2438,low
BINSP-00241,0.7861,5.1095,46.59,56.93,3.034,pass,0.2451,low
BINSP-00242,0.7885,4.7141,46.0,60.89,2.84,pass,0.1736,low
BINSP-00243,1.3687,6.6146,53.38,60.54,4.022,pass,0.2974,medium
BINSP-00244,0.4881,4.1523,46.59,61.19,3.351,pass,0.1502,low
BINSP-00245,1.071,4.2793,53.84,61.65,2.345,pass,0.2137,low
BINSP-00246,0.5695,3.889,50.03,59.93,3.161,pass,0.1734,low
BINSP-00247,0.5687,3.4587,46.4,60.52,2.232,pass,0.1324,low
BINSP-00248,0.8424,2.6472,47.94,64.05,3.13,pass,0.1902,low
BINSP-00249,1.0447,2.8135,43.0,63.13,1.943,pass,0.1633,low
BINSP-00250,0.7678,4.7345,50.58,61.43,2.835,pass,0.1927,low
BINSP-00251,0.9191,5.6063,48.74,60.81,4.295,pass,0.2286,low
BINSP-00252,0.7503,4.0209,48.52,60.29,1.011,pass,0.1525,low
BINSP-00253,0.9707,4.3889,50.46,68.13,3.151,pass,0.3043,medium
BINSP-00254,0.8134,4.1368,51.52,59.08,3.425,pass,0.2167,low
BINSP-00255,1.1603,5.0695,54.78,60.29,3.957,pass,0.2594,medium
BINSP-00256,1.0441,5.9638,54.05,63.52,2.824,pass,0.28,medium
BINSP-00257,1.128,3.806,51.35,60.96,3.628,pass,0.2062,low
BINSP-00258,0.6276,2.7594,54.38,60.95,3.211,pass,0.155,low
BINSP-00259,0.6136,2.9579,59.06,59.48,3.032,pass,0.1936,low
BINSP-00260,0.6191,4.1123,48.18,61.6,2.01,pass,0.1542,low
BINSP-00261,1.0029,4.9269,51.63,57.58,3.252,pass,0.2668,medium
BINSP-00262,1.2985,2.8641,48.35,59.84,2.941,pass,0.1979,low
BINSP-00263,1.1424,5.0796,49.26,60.22,3.702,pass,0.2376,low
BINSP-00264,0.9033,4.4484,46.62,60.38,3.318,pass,0.192,low
BINSP-00265,0.8282,4.6738,49.1,59.42,2.984,pass,0.2099,low
BINSP-00266,1.0718,3.2701,54.16,58.13,3.48,pass,0.2415,low
BINSP-00267,0.8104,3.9603,43.93,59.75,2.599,pass,0.1672,low
BINSP-00268,0.6662,4.5954,50.78,58.54,2.401,pass,0.2086,low
BINSP-00269,0.8978,4.5824,56.22,59.0,3.236,pass,0.2465,low
BINSP-00270,0.7633,4.7193,49.44,60.88,1.658,pass,0.1695,low
BINSP-00271,0.889,3.8717,48.59,64.42,3.364,pass,0.2286,low
BINSP-00272,1.1167,4.3104,49.74,56.53,3.301,pass,0.2725,medium
BINSP-00273,0.9358,3.7557,44.0,60.67,1.67,pass,0.1474,low
BINSP-00274,0.8043,2.7076,49.7,56.88,2.168,pass,0.1991,low
BINSP-00275,0.6848,4.8896,45.65,60.81,1.832,pass,0.1576,low
BINSP-00276,1.009,4.3749,46.55,61.96,1.895,pass,0.1858,low
BINSP-00277,0.9107,6.3582,45.62,61.47,2.492,pass,0.2151,low
BINSP-00278,0.8961,3.7816,40.21,62.22,0.859,pass,0.1359,low
BINSP-00279,1.2402,4.9781,49.74,58.91,2.241,pass,0.2463,low
BINSP-00280,1.2504,5.3949,54.35,62.45,3.499,pass,0.2765,medium
BINSP-00281,0.7161,3.6324,47.94,59.1,3.112,pass,0.1835,low
BINSP-00282,0.7772,4.2563,50.39,61.37,1.808,pass,0.17,low
BINSP-00283,0.6677,3.8747,51.38,62.33,3.659,pass,0.1945,low
BINSP-00284,1.004,3.8519,47.43,60.01,3.224,pass,0.1943,low
BINSP-00285,0.8918,4.9849,52.74,59.05,3.052,pass,0.2392,low
BINSP-00286,1.2998,4.3445,48.4,56.2,2.589,pass,0.2782,medium
BINSP-00287,0.8648,5.321,40.29,63.06,2.282,pass,0.1944,low
BINSP-00288,0.8352,5.2623,45.3,56.84,1.481,pass,0.2299,low
BINSP-00289,1.0146,3.8164,50.8,57.19,1.523,pass,0.2277,low
BINSP-00290,0.7605,4.8666,49.65,60.59,2.674,pass,0.1895,low
BINSP-00291,1.1667,5.4186,54.56,57.81,3.192,pass,0.294,medium
BINSP-00292,0.7408,3.9853,51.81,60.32,3.28,pass,0.1891,low
BINSP-00293,1.0594,3.3801,51.01,62.58,4.414,pass,0.2241,low
BINSP-00294,0.8062,4.1374,42.96,62.04,3.811,pass,0.1786,low
BINSP-00295,0.6363,4.4051,44.15,62.34,2.498,pass,0.1646,low
BINSP-00296,1.2752,5.4214,50.68,59.03,3.875,pass,0.2786,medium
BINSP-00297,0.6657,4.8177,51.6,63.42,2.723,pass,0.219,low
BINSP-00298,0.6531,4.4346,52.28,58.97,2.79,pass,0.2077,low
BINSP-00299,0.7905,6.802,46.98,59.02,3.799,pass,0.2583,medium
BINSP-00300,0.6671,4.809,48.71,62.7,3.13,pass,0.2033,low
BINSP-00301,0.9099,6.0856,53.74,62.27,4.144,pass,0.2689,medium
BINSP-00302,0.697,3.6271,46.25,62.43,2.15,pass,0.1576,low
BINSP-00303,0.6108,4.1488,49.37,60.14,2.023,pass,0.1624,low
BINSP-00304,0.8735,4.158,51.16,65.61,2.602,pass,0.2506,medium
BINSP-00305,0.8502,4.7485,48.91,59.16,3.893,pass,0.2271,low
BINSP-00306,0.9583,4.0142,48.77,63.18,3.072,pass,0.2149,low
BINSP-00307,0.5117,3.7862,43.65,62.26,3.367,pass,0.1508,low
BINSP-00308,0.7375,4.5826,52.52,60.31,3.565,pass,0.2068,low
BINSP-00309,1.291,4.8156,52.2,63.56,3.063,pass,0.2719,medium
BINSP-00310,0.7505,2.8144,46.37,61.18,2.798,pass,0.1346,low
BINSP-00311,0.8934,3.4788,49.54,58.57,2.128,pass,0.1946,low
BINSP-00312,1.3273,4.2408,55.3,57.72,2.264,pass,0.2747,medium
BINSP-00313,0.8684,4.1958,49.7,57.72,2.884,pass,0.2295,low
BINSP-00314,0.5605,3.6048,48.67,59.58,2.658,pass,0.1616,low
BINSP-00315,0.957,5.2882,53.53,65.68,3.41,pass,0.2979,medium
BINSP-00316,1.1096,5.825,53.66,60.92,4.35,pass,0.2623,medium
BINSP-00317,0.635,5.4425,48.23,60.54,3.479,pass,0.1976,low
BINSP-00318,1.2447,4.2104,48.63,58.08,2.888,pass,0.2477,low
BINSP-00319,0.6284,3.6588,50.41,62.33,1.722,pass,0.1608,low
BINSP-00320,0.8805,5.0896,48.07,62.2,3.332,pass,0.2169,low
BINSP-00321,0.6605,5.099,45.99,58.62,1.516,pass,0.1903,low
BINSP-00322,0.8251,4.4964,48.61,58.93,2.436,pass,0.2052,low
BINSP-00323,1.1058,4.0803,54.36,57.54,2.594,pass,0.2591,medium
BINSP-00324,0.7665,5.0019,52.17,66.95,3.457,pass,0.2937,medium
BINSP-00325,0.5428,5.7508,46.55,63.39,3.335,pass,0.2188,low
BINSP-00326,0.6159,4.8122,49.04,58.21,2.924,pass,0.2148,low
BINSP-00327,1.3615,4.3955,52.11,59.69,3.554,pass,0.2553,medium
BINSP-00328,0.6727,3.1479,54.59,58.57,1.555,pass,0.1824,low
BINSP-00329,0.7717,5.1051,49.84,61.31,2.545,pass,0.1926,low
BINSP-00330,1.1443,5.4718,52.76,63.2,2.986,pass,0.2701,medium
BINSP-00331,1.1709,3.5736,44.72,58.72,3.371,pass,0.2126,low
BINSP-00332,0.7417,5.5546,52.22,59.11,3.553,pass,0.2433,low
BINSP-00333,0.5284,4.4568,52.04,59.63,1.989,pass,0.179,low
BINSP-00334,1.378,5.195,54.41,57.45,4.614,pass,0.3267,medium
BINSP-00335,0.9056,4.4832,49.22,61.79,2.421,pass,0.1934,low
BINSP-00336,1.1304,5.7371,52.66,61.68,2.794,pass,0.249,low
BINSP-00337,0.28,3.7399,51.1,60.85,2.743,pass,0.1345,low
BINSP-00338,1.0217,3.8857,52.28,58.33,2.541,pass,0.2298,low
BINSP-00339,1.2735,5.3701,50.1,60.59,2.964,pass,0.2412,low
BINSP-00340,0.9265,5.4656,55.03,59.99,3.911,pass,0.2554,medium
BINSP-00341,0.9254,4.1069,49.88,62.71,3.751,pass,0.2193,low
BINSP-00342,0.9444,4.5099,48.74,60.6,1.4,pass,0.177,low
BINSP-00343,1.1039,4.5061,54.67,58.41,4.038,pass,0.2728,medium
BINSP-00344,0.8029,4.1791,45.72,60.23,1.898,pass,0.1615,low
BINSP-00345,1.0826,4.5111,49.49,62.62,1.444,pass,0.2083,low
BINSP-00346,1.2525,5.2753,56.82,61.57,3.877,pass,0.2739,medium
BINSP-00347,1.2132,4.4843,51.58,63.68,3.54,pass,0.2652,medium
