case_id,component_code,component_name,fault_type,severity,judgement,fault_level,rank_no
HCASE-00003,C009,单向阀,单向阀故障,0.02661,正常,正常,11
HCASE-00003,C010,节流阀,节流阀故障,0.02406,正常,正常,12
HCASE-00004,C010,节流阀,节流阀故障,0.71351,故障,重度故障,1
HCASE-00004,C009,单向阀,单向阀故障,0.31039,正常,轻微退化,2
HCASE-00004,C002,方向控制阀,方向阀故障,0.30766,正常,轻微退化,3
HCASE-00004,C007,过滤器,过滤器堵塞,0.28941,正常,轻微退化,4
HCASE-00004,C003,作动筒,作动筒故障,0.22693,正常,轻微退化,5
HCASE-00004,C012,卸荷阀,卸荷阀故障,0.12063,正常,轻微退化,6
HCASE-00004,C011,管路总成,管路泄漏,0.07145,正常,正常,7
HCASE-00004,C005,蓄能器,蓄能器故障,0.05684,正常,正常,8
HCASE-00004,C008,液压油箱,油箱故障,0.04437,正常,正常,9
HCASE-00004,C006,冷却器,冷却器故障,0.04156,正常,正常,10
HCASE-00004,C004,溢流阀,溢流阀故障,0.02714,正常,正常,11
HCASE-00004,C001,液压泵总成,液压泵故障,0.01325,正常,正常,12
HCASE-00005,C004,溢流阀,溢流阀故障,0.80123,故障,重度故障,1
HCASE-00005,C012,卸荷阀,卸荷阀故障,0.34068,正常,轻微退化,2
HCASE-00005,C005,蓄能器,蓄能器故障,0.32231,正常,轻微退化,3
HCASE-00005,C009,单向阀,单向阀故障,0.26823,正常,轻微退化,4
HCASE-00005,C003,作动筒,作动筒故障,0.18218,正常,轻微退化,5
HCASE-00005,C008,液压油箱,油箱故障,0.11833,正常,轻微退化,6
HCASE-00005,C002,方向控制阀,方向阀故障,0.04591,正常,正常,7
HCASE-00005,C001,液压泵总成,液压泵故障,0.03904,正常,正常,8
HCASE-00005,C007,过滤器,过滤器堵塞,0.0388,正常,正常,9
HCASE-00005,C011,管路总成,管路泄漏,0.0351,正常,正常,10
HCASE-00005,C010,节流阀,节流阀故障,0.03448,正常,正常,11
HCASE-00005,C006,冷却器,冷却器故障,0.00962,正常,正常,12
HCASE-00006,C002,方向控制阀,方向阀故障,0.70196,故障,重度故障,1
HCASE-00006,C003,作动筒,作动筒故障,0.3222,正常,轻微退化,2
HCASE-00006,C010,节流阀,节流阀故障,0.2782,正常,轻微退化,3
HCASE-00006,C009,单向阀,单向阀故障,0.27714,正常,轻微退化,4
HCASE-00006,C007,过滤器,过滤器堵塞,0.12811,正常,轻微退化,5
HCASE-00006,C012,卸荷阀,卸荷阀故障,0.06531,正常,正常,6
HCASE-00006,C001,液压泵总成,液压泵故障,0.04755,正常,正常,7
HCASE-00006,C005,蓄能器,蓄能器故障,0.03183,正常,正常,8
HCASE-00006,C004,溢流阀,溢流阀故障,0.02916,正常,正常,9
HCASE-00006,C008,液压油箱,油箱故障,0.01321,正常,正常,10
HCASE-00006,C011,管路总成,管路泄漏,0.00836,正常,正常,11
HCASE-00006,C006,冷却器,冷却器故障,0.0036,正常,正常,12
HCASE-00007,C002,方向控制阀,方向阀故障,0.75759,故障,重度故障,1
HCASE-00007,C009,单向阀,单向阀故障,0.34729,正常,轻微退化,2
HCASE-00007,C010,节流阀,节流阀故障,0.33556,正常,轻微退化,3
HCASE-00007,C003,作动筒,作动筒故障,0.28141,正常,轻微退化,4
HCASE-00007,C001,液压泵总成,液压泵故障,0.21237,正常,轻微退化,5
HCASE-00007,C008,液压油箱,油箱故障,0.11628,正常,轻微退化,6
HCASE-00007,C005,蓄能器,蓄能器故障,0.10536,正常,轻微退化,7
HCASE-00007,C004,溢流阀,溢流阀故障,0.1051,正常,轻微退化,8
HCASE-00007,C011,管路总成,管路泄漏,0.09655,正常,正常,9
HCASE-00007,C006,冷却器,冷却器故障,0.01412,正常,正常,10
HCASE-00007,C007,过滤器,过滤器堵塞,0.01116,正常,正常,11
HCASE-00007,C012,卸荷阀,卸荷阀故障,0.00563,正常,正常,12
HCASE-00008,C011,管路总成,管路泄漏,0.77689,故障,重度故障,1
HCASE-00008,C003,作动筒,作动筒故障,0.35001,故障,中度故障,2
HCASE-00008,C005,蓄能器,蓄能器故障,0.34866,正常,轻微退化,3
HCASE-00008,C001,液压泵总成,液压泵故障,0.33146,正常,轻微退化,4
HCASE-00008,C004,溢流阀,溢流阀故障,0.17332,正常,轻微退化,5
HCASE-00008,C002,方向控制阀,方向阀故障,0.05916,正常,正常,6
HCASE-00008,C007,过滤器,过滤器堵塞,0.04874,正常,正常,7
HCASE-00008,C006,冷却器,冷却器故障,0.03784,正常,正常,8
HCASE-00008,C009,单向阀,单向阀故障,0.03341,正常,正常,9
HCASE-00008,C012,卸荷阀,卸荷阀故障,0.02359,正常,正常,10
HCASE-00008,C008,液压油箱,油箱故障,0.00876,正常,正常,11
HCASE-00008,C010,节流阀,节流阀故障,0.00615,正常,正常,12
HCASE-00009,C011,管路总成,管路泄漏,0.73943,故障,重度故障,1
HCASE-00009,C005,蓄能器,蓄能器故障,0.30354,正常,轻微退化,2
HCASE-00009,C003,作动筒,作动筒故障,0.26536,正常,轻微退化,3
HCASE-00009,C001,液压泵总成,液压泵故障,0.2506,正常,轻微退化,4
HCASE-00009,C006,冷却器,冷却器故障,0.10847,正常,轻微退化,5
HCASE-00009,C008,液压油箱,油箱故障,0.09291,正常,正常,6
HCASE-00009,C007,过滤器,过滤器堵塞,0.0845,正常,正常,7
HCASE-00009,C010,节流阀,节流阀故障,0.04295,正常,正常,8
HCASE-00009,C012,卸荷阀,卸荷阀故障,0.03759,正常,正常,9
HCASE-00009,C002,方向控制阀,方向阀故障,0.01669,正常,正常,10
HCASE-00009,C009,单向阀,单向阀故障,0.01416,正常,正常,11
HCASE-00009,C004,溢流阀,溢流阀故障,0.01253,正常,正常,12
HCASE-00010,C009,单向阀,单向阀故障,0.76024,故障,重度故障,1
HCASE-00010,C010,节流阀,节流阀故障,0.3805,故障,中度故障,2
HCASE-00010,C002,方向控制阀,方向阀故障,0.23849,正常,轻微退化,3
HCASE-00010,C004,溢流阀,溢流阀故障,0.14376,正常,轻微退化,4
HCASE-00010,C003,作动筒,作动筒故障,0.11962,正常,轻微退化,5
HCASE-00010,C007,过滤器,过滤器堵塞,0.08345,正常,正常,6
HCASE-00010,C001,液压泵总成,液压泵故障,0.04952,正常,正常,7
HCASE-00010,C006,冷却器,冷却器故障,0.04619,正常,正常,8
HCASE-00010,C011,管路总成,管路泄漏,0.03695,正常,正常,9
HCASE-00010,C005,蓄能器,蓄能器故障,0.03646,正常,正常,10
HCASE-00010,C012,卸荷阀,卸荷阀故障,0.02178,正常,正常,11
HCASE-00010,C008,液压油箱,油箱故障,0.00166,正常,正常,12
HCASE-00011,C002,方向控制阀,方向阀故障,0.76072,故障,重度故障,1
HCASE-00011,C010,节流阀,节流阀故障,0.30936,正常,轻微退化,2
HCASE-00011,C009,单向阀,单向阀故障,0.29356,正常,轻微退化,3
HCASE-00011,C003,作动筒,作动筒故障,0.24334,正常,轻微退化,4
HCASE-00011,C012,卸荷阀,卸荷阀故障,0.19879,正常,轻微退化,5
HCASE-00011,C001,液压泵总成,液压泵故障,0.13074,正常,轻微退化,6
HCASE-00011,C011,管路总成,管路泄漏,0.09348,正常,正常,7
HCASE-00011,C005,蓄能器,蓄能器故障,0.07169,正常,正常,8
HCASE-00011,C006,冷却器,冷却器故障,0.04383,正常,正常,9
HCASE-00011,C004,溢流阀,溢流阀故障,0.02603,正常,正常,10
HCASE-00011,C007,过滤器,过滤器堵塞,0.01771,正常,正常,11
HCASE-00011,C008,液压油箱,油箱故障,0.01164,正常,正常,12
HCASE-00012,C003,作动筒,作动筒故障,0.58273,故障,中度故障,1
HCASE-00012,C010,节流阀,节流阀故障,0.35493,故障,中度故障,2
HCASE-00012,C011,管路总成,管路泄漏,0.27143,正常,轻微退化,3
HCASE-00012,C002,方向控制阀,方向阀故障,0.27008,正常,轻微退化,4
HCASE-00012,C005,蓄能器,蓄能器故障,0.13776,正常,轻微退化,5
HCASE-00012,C007,过滤器,过滤器堵塞,0.10159,正常,轻微退化,6
HCASE-00012,C012,卸荷阀,卸荷阀故障,0.04529,正常,正常,7
HCASE-00012,C009,单向阀,单向阀故障,0.02722,正常,正常,8
HCASE-00012,C006,冷却器,冷却器故障,0.0224,正常,正常,9
HCASE-00012,C008,液压油箱,油箱故障,0.02126,正常,正常,10
HCASE-00012,C004,溢流阀,溢流阀故障,0.00732,正常,正常,11
HCASE-00012,C001,液压泵总成,液压泵故障,0.00615,正常,正常,12
HCASE-00013,C011,管路总成,管路泄漏,0.71551,故障,重度故障,1
HCASE-00013,C003,作动筒,作动筒故障,0.26968,正常,轻微退化,2
HCASE-00013,C001,液压泵总成,液压泵故障,0.24885,正常,轻微退化,3
HCASE-00013,C005,蓄能器,蓄能器故障,0.1998,正常,轻微退化,4
HCASE-00013,C006,冷却器,冷却器故障,0.16,正常,轻微退化,5
HCASE-00013,C010,节流阀,节流阀故障,0.1227,正常,轻微退化,6
HCASE-00013,C007,过滤器,过滤器堵塞,0.10879,正常,轻微退化,7
HCASE-00013,C009,单向阀,单向阀故障,0.06314,正常,正常,8
HCASE-00013,C012,卸荷阀,卸荷阀故障,0.02173,正常,正常,9
HCASE-00013,C008,液压油箱,油箱故障,0.02009,正常,正常,10
HCASE-00013,C004,溢流阀,溢流阀故障,0.00623,正常,正常,11
HCASE-00013,C002,方向控制阀,方向阀故障,0.00617,正常,正常,12
HCASE-00014,C010,节流阀,节流阀故障,0.73058,故障,重度故障,1
HCASE-00014,C002,方向控制阀,方向阀故障,0.32612,正常,轻微退化,2
HCASE-00014,C007,过滤器,过滤器堵塞,0.29539,正常,轻微退化,3
HCASE-00014,C009,单向阀,单向阀故障,0.27185,正常,轻微退化,4
HCASE-00014,C006,冷却器,冷却器故障,0.1112,正常,轻微退化,5
HCASE-00014,C004,溢流阀,溢流阀故障,0.09349,正常,正常,6
HCASE-00014,C008,液压油箱,油箱故障,0.07952,正常,正常,7
HCASE-00014,C011,管路总成,管路泄漏,0.06791,正常,正常,8
HCASE-00014,C003,作动筒,作动筒故障,0.04379,正常,正常,9
HCASE-00014,C001,液压泵总成,液压泵故障,0.02803,正常,正常,10
HCASE-00014,C012,卸荷阀,卸荷阀故障,0.01816,正常,正常,11
HCASE-00014,C005,蓄能器,蓄能器故障,0.00717,正常,正常,12
HCASE-00015,C011,管路总成,管路泄漏,0.62287,故障,中度故障,1
HCASE-00015,C005,蓄能器,蓄能器故障,0.39492,故障,中度故障,2
HCASE-00015,C003,作动筒,作动筒故障,0.36427,故障,中度故障,3
HCASE-00015,C001,液压泵总成,液压泵故障,0.30874,正常,轻微退化,4
HCASE-00015,C004,溢流阀,溢流阀故障,0.1228,正常,轻微退化,5
HCASE-00015,C002,方向控制阀,方向阀故障,0.07448,正常,正常,6
HCASE-00015,C012,卸荷阀,卸荷阀故障,0.07311,正常,正常,7
HCASE-00015,C007,过滤器,过滤器堵塞,0.03487,正常,正常,8
HCASE-00015,C010,节流阀,节流阀故障,0.03271,正常,正常,9
HCASE-00015,C006,冷却器,冷却器故障,0.03184,正常,正常,10
HCASE-00015,C008,液压油箱,油箱故障,0.0181,正常,正常,11
HCASE-00015,C009,单向阀,单向阀故障,0.00415,正常,正常,12
HCASE-00016,C011,管路总成,管路泄漏,0.70176,故障,重度故障,1
HCASE-00016,C003,作动筒,作动筒故障,0.42857,故障,中度故障,2
HCASE-00016,C005,蓄能器,蓄能器故障,0.36113,故障,中度故障,3
HCASE-00016,C001,液压泵总成,液压泵故障,0.34358,正常,轻微退化,4
HCASE-00016,C007,过滤器,过滤器堵塞,0.13914,正常,轻微退化,5
HCASE-00016,C012,卸荷阀,卸荷阀故障,0.11996,正常,轻微退化,6
HCASE-00016,C010,节流阀,节流阀故障,0.10918,正常,轻微退化,7
HCASE-00016,C009,单向阀,单向阀故障,0.09213,正常,正常,8
HCASE-00016,C008,液压油箱,油箱故障,0.05612,正常,正常,9
HCASE-00016,C004,溢流阀,溢流阀故障,0.03728,正常,正常,10
HCASE-00016,C002,方向控制阀,方向阀故障,0.03618,正常,正常,11
HCASE-00016,C006,冷却器,冷却器故障,0.00145,正常,正常,12
HCASE-00017,C009,单向阀,单向阀故障,0.70704,故障,重度故障,1
HCASE-00017,C010,节流阀,节流阀故障,0.24604,正常,轻微退化,2
HCASE-00017,C002,方向控制阀,方向阀故障,0.22971,正常,轻微退化,3
HCASE-00017,C004,溢流阀,溢流阀故障,0.22269,正常,轻微退化,4
HCASE-00017,C003,作动筒,作动筒故障,0.07999,正常,正常,5
HCASE-00017,C001,液压泵总成,液压泵故障,0.06322,正常,正常,6
HCASE-00017,C007,过滤器,过滤器堵塞,0.05006,正常,正常,7
HCASE-00017,C012,卸荷阀,卸荷阀故障,0.04724,正常,正常,8
HCASE-00017,C011,管路总成,管路泄漏,0.03091,正常,正常,9
HCASE-00017,C006,冷却器,冷却器故障,0.02529,正常,正常,10
HCASE-00017,C005,蓄能器,蓄能器故障,0.01298,正常,正常,11
HCASE-00017,C008,液压油箱,油箱故障,0.01102,正常,正常,12
HCASE-00018,C004,溢流阀,溢流阀故障,0.73243,故障,重度故障,1
HCASE-00018,C012,卸荷阀,卸荷阀故障,0.31569,正常,轻微退化,2
HCASE-00018,C009,单向阀,单向阀故障,0.30686,正常,轻微退化,3
HCASE-00018,C005,蓄能器,蓄能器故障,0.23789,正常,轻微退化,4
HCASE-00018,C002,方向控制阀,方向阀故障,0.08908,正常,正常,5
HCASE-00018,C006,冷却器,冷却器故障,0.07112,正常,正常,6
HCASE-00018,C001,液压泵总成,液压泵故障,0.03181,正常,正常,7
HCASE-00018,C007,过滤器,过滤器堵塞,0.02751,正常,正常,8
HCASE-00018,C008,液压油箱,油箱故障,0.01843,正常,正常,9
HCASE-00018,C003,作动筒,作动筒故障,0.01138,正常,正常,10
HCASE-00018,C010,节流阀,节流阀故障,0.00848,正常,正常,11
HCASE-00018,C011,管路总成,管路泄漏,0.00336,正常,正常,12
HCASE-00019,C009,单向阀,单向阀故障,0.66363,故障,中度故障,1
HCASE-00019,C004,溢流阀,溢流阀故障,0.24876,正常,轻微退化,2
HCASE-00019,C002,方向控制阀,方向阀故障,0.24135,正常,轻微退化,3
HCASE-00019,C010,节流阀,节流阀故障,0.23959,正常,轻微退化,4
HCASE-00019,C008,液压油箱,油箱故障,0.14941,正常,轻微退化,5
HCASE-00019,C001,液压泵总成,液压泵故障,0.13581,正常,轻微退化,6
HCASE-00019,C003,作动筒,作动筒故障,0.11686,正常,轻微退化,7
HCASE-00019,C012,卸荷阀,卸荷阀故障,0.0482,正常,正常,8
HCASE-00019,C011,管路总成,管路泄漏,0.04503,正常,正常,9
HCASE-00019,C006,冷却器,冷却器故障,0.01314,正常,正常,10
HCASE-00019,C005,蓄能器,蓄能器故障,0.00943,正常,正常,11
HCASE-00019,C007,过滤器,过滤器堵塞,0.00776,正常,正常,12
HCASE-00020,C011,管路总成,管路泄漏,0.64003,故障,中度故障,1
HCASE-00020,C001,液压泵总成,液压泵故障,0.32335,正常,轻微退化,2
HCASE-00020,C003,作动筒,作动筒故障,0.27679,正常,轻微退化,3
HCASE-00020,C005,蓄能器,蓄能器故障,0.23139,正常,轻微退化,4
HCASE-00020,C012,卸荷阀,卸荷阀故障,0.12214,正常,轻微退化,5
HCASE-00020,C010,节流阀,节流阀故障,0.0854,正常,正常,6
HCASE-00020,C009,单向阀,单向阀故障,0.06015,正常,正常,7
HCASE-00020,C004,溢流阀,溢流阀故障,0.05521,正常,正常,8
HCASE-00020,C008,液压油箱,油箱故障,0.03533,正常,正常,9
HCASE-00020,C006,冷却器,冷却器故障,0.0213,正常,正常,10
HCASE-00020,C002,方向控制阀,方向阀故障,0.00707,正常,正常,11
HCASE-00020,C007,过滤器,过滤器堵塞,0.00661,正常,正常,12
HCASE-00021,C010,节流阀,节流阀故障,0.66726,故障,中度故障,1
HCASE-00021,C009,单向阀,单向阀故障,0.28055,正常,轻微退化,2
HCASE-00021,C002,方向控制阀,方向阀故障,0.25023,正常,轻微退化,3
HCASE-00021,C007,过滤器,过滤器堵塞,0.17979,正常,轻微退化,4
HCASE-00021,C006,冷却器,冷却器故障,0.1117,正常,轻微退化,5
HCASE-00021,C001,液压泵总成,液压泵故障,0.10163,正常,轻微退化,6
HCASE-00021,C003,作动筒,作动筒故障,0.0899,正常,正常,7
HCASE-00021,C004,溢流阀,溢流阀故障,0.08317,正常,正常,8
HCASE-00021,C011,管路总成,管路泄漏,0.04649,正常,正常,9
HCASE-00021,C012,卸荷阀,卸荷阀故障,0.02469,正常,正常,10
HCASE-00021,C008,液压油箱,油箱故障,0.02442,正常,正常,11
HCASE-00021,C005,蓄能器,蓄能器故障,0.01041,正常,正常,12
HCASE-00022,C011,管路总成,管路泄漏,0.74897,故障,重度故障,1
HCASE-00022,C001,液压泵总成,液压泵故障,0.33567,正常,轻微退化,2
HCASE-00022,C005,蓄能器,蓄能器故障,0.33392,正常,轻微退化,3
HCASE-00022,C003,作动筒,作动筒故障,0.29178,正常,轻微退化,4
HCASE-00022,C004,溢流阀,溢流阀故障,0.17143,正常,轻微退化,5
HCASE-00022,C002,方向控制阀,方向阀故障,0.15417,正常,轻微退化,6
HCASE-00022,C012,卸荷阀,卸荷阀故障,0.08022,正常,正常,7
HCASE-00022,C007,过滤器,过滤器堵塞,0.06519,正常,正常,8
HCASE-00022,C008,液压油箱,油箱故障,0.05988,正常,正常,9
HCASE-00022,C010,节流阀,节流阀故障,0.04954,正常,正常,10
HCASE-00022,C006,冷却器,冷却器故障,0.04214,正常,正常,11
HCASE-00022,C009,单向阀,单向阀故障,0.03757,正常,正常,12
HCASE-00023,C004,溢流阀,溢流阀故障,0.75789,故障,重度故障,1
HCASE-00023,C009,单向阀,单向阀故障,0.33961,正常,轻微退化,2
HCASE-00023,C012,卸荷阀,卸荷阀故障,0.31959,正常,轻微退化,3
HCASE-00023,C005,蓄能器,蓄能器故障,0.25093,正常,轻微退化,4
HCASE-00023,C010,节流阀,节流阀故障,0.19599,正常,轻微退化,5
HCASE-00023,C003,作动筒,作动筒故障,0.07248,正常,正常,6
HCASE-00023,C001,液压泵总成,液压泵故障,0.05836,正常,正常,7
HCASE-00023,C008,液压油箱,油箱故障,0.05136,正常,正常,8
HCASE-00023,C007,过滤器,过滤器堵塞,0.01946,正常,正常,9
HCASE-00023,C011,管路总成,管路泄漏,0.01787,正常,正常,10
HCASE-00023,C006,冷却器,冷却器故障,0.01649,正常,正常,11
HCASE-00023,C002,方向控制阀,方向阀故障,0.00299,正常,正常,12
HCASE-00024,C003,作动筒,作动筒故障,0.68429,故障,中度故障,1
HCASE-00024,C010,节流阀,节流阀故障,0.26244,正常,轻微退化,2
HCASE-00024,C002,方向控制阀,方向阀故障,0.22618,正常,轻微退化,3
HCASE-00024,C011,管路总成,管路泄漏,0.16245,正常,轻微退化,4
HCASE-00024,C008,液压油箱,油箱故障,0.08756,正常,正常,5
HCASE-00024,C004,溢流阀,溢流阀故障,0.07463,正常,正常,6
HCASE-00024,C012,卸荷阀,卸荷阀故障,0.06925,正常,正常,7
HCASE-00024,C001,液压泵总成,液压泵故障,0.06455,正常,正常,8
HCASE-00024,C007,过滤器,过滤器堵塞,0.06407,正常,正常,9
HCASE-00024,C006,冷却器,冷却器故障,0.05791,正常,正常,10
HCASE-00024,C005,蓄能器,蓄能器故障,0.01918,正常,正常,11
HCASE-00024,C009,单向阀,单向阀故障,0.01387,正常,正常,12
HCASE-00025,C012,卸荷阀,卸荷阀故障,0.69405,故障,中度故障,1
HCASE-00025,C001,液压泵总成,液压泵故障,0.39187,故障,中度故障,2
HCASE-00025,C004,溢流阀,溢流阀故障,0.34761,正常,轻微退化,3
HCASE-00025,C009,单向阀,单向阀故障,0.3372,正常,轻微退化,4
HCASE-00025,C006,冷却器,冷却器故障,0.11841,正常,轻微退化,5
HCASE-00025,C010,节流阀,节流阀故障,0.10671,正常,轻微退化,6
HCASE-00025,C011,管路总成,管路泄漏,0.09588,正常,正常,7
HCASE-00025,C007,过滤器,过滤器堵塞,0.08188,正常,正常,8
HCASE-00025,C008,液压油箱,油箱故障,0.07777,正常,正常,9
HCASE-00025,C005,蓄能器,蓄能器故障,0.04661,正常,正常,10
HCASE-00025,C002,方向控制阀,方向阀故障,0.02132,正常,正常,11
HCASE-00025,C003,作动筒,作动筒故障,0.01856,正常,正常,12
HCASE-00026,C005,蓄能器,蓄能器故障,0.68383,故障,中度故障,1
HCASE-00026,C004,溢流阀,溢流阀故障,0.37641,故障,中度故障,2
HCASE-00026,C011,管路总成,管路泄漏,0.27526,正常,轻微退化,3
HCASE-00026,C006,冷却器,冷却器故障,0.25646,正常,轻微退化,4
HCASE-00026,C010,节流阀,节流阀故障,0.08516,正常,正常,5
HCASE-00026,C007,过滤器,过滤器堵塞,0.0839,正常,正常,6
HCASE-00026,C003,作动筒,作动筒故障,0.08188,正常,正常,7
HCASE-00026,C002,方向控制阀,方向阀故障,0.0784,正常,正常,8
HCASE-00026,C008,液压油箱,油箱故障,0.06497,正常,正常,9
HCASE-00026,C012,卸荷阀,卸荷阀故障,0.04295,正常,正常,10
HCASE-00026,C009,单向阀,单向阀故障,0.03747,正常,正常,11
HCASE-00026,C001,液压泵总成,液压泵故障,0.02727,正常,正常,12
HCASE-00027,C009,单向阀,单向阀故障,0.70985,故障,重度故障,1
HCASE-00027,C002,方向控制阀,方向阀故障,0.30557,正常,轻微退化,2
HCASE-00027,C010,节流阀,节流阀故障,0.2961,正常,轻微退化,3
HCASE-00027,C004,溢流阀,溢流阀故障,0.28319,正常,轻微退化,4
HCASE-00027,C008,液压油箱,油箱故障,0.17834,正常,轻微退化,5
HCASE-00027,C011,管路总成,管路泄漏,0.09848,正常,正常,6
HCASE-00027,C001,液压泵总成,液压泵故障,0.07895,正常,正常,7
HCASE-00027,C005,蓄能器,蓄能器故障,0.07747,正常,正常,8
HCASE-00027,C003,作动筒,作动筒故障,0.04459,正常,正常,9
HCASE-00027,C006,冷却器,冷却器故障,0.03883,正常,正常,10
HCASE-00027,C007,过滤器,过滤器堵塞,0.01926,正常,正常,11
HCASE-00027,C012,卸荷阀,卸荷阀故障,0.00087,正常,正常,12
HCASE-00028,C008,液压油箱,油箱故障,0.76225,故障,重度故障,1
HCASE-00028,C001,液压泵总成,液压泵故障,0.31496,正常,轻微退化,2
HCASE-00028,C006,冷却器,冷却器故障,0.31009,正常,轻微退化,3
HCASE-00028,C007,过滤器,过滤器堵塞,0.28334,正常,轻微退化,4
HCASE-00028,C005,蓄能器,蓄能器故障,0.10753,正常,轻微退化,5
HCASE-00028,C002,方向控制阀,方向阀故障,0.08885,正常,正常,6
HCASE-00028,C009,单向阀,单向阀故障,0.06813,正常,正常,7
HCASE-00028,C012,卸荷阀,卸荷阀故障,0.06269,正常,正常,8
HCASE-00028,C010,节流阀,节流阀故障,0.03597,正常,正常,9
HCASE-00028,C003,作动筒,作动筒故障,0.02016,正常,正常,10
HCASE-00028,C011,管路总成,管路泄漏,0.00978,正常,正常,11
HCASE-00028,C004,溢流阀,溢流阀故障,0.00536,正常,正常,12
HCASE-00029,C010,节流阀,节流阀故障,0.74386,故障,重度故障,1
HCASE-00029,C002,方向控制阀,方向阀故障,0.30796,正常,轻微退化,2
HCASE-00029,C009,单向阀,单向阀故障,0.26556,正常,轻微退化,3
HCASE-00029,C007,过滤器,过滤器堵塞,0.25709,正常,轻微退化,4
HCASE-00029,C004,溢流阀,溢流阀故障,0.21616,正常,轻微退化,5
HCASE-00029,C006,冷却器,冷却器故障,0.19917,正常,轻微退化,6
HCASE-00029,C012,卸荷阀,卸荷阀故障,0.08026,正常,正常,7
HCASE-00029,C005,蓄能器,蓄能器故障,0.04658,正常,正常,8
HCASE-00029,C003,作动筒,作动筒故障,0.04225,正常,正常,9
HCASE-00029,C008,液压油箱,油箱故障,0.02876,正常,正常,10
HCASE-00029,C011,管路总成,管路泄漏,0.02792,正常,正常,11
HCASE-00029,C001,液压泵总成,液压泵故障,0.01143,正常,正常,12
HCASE-00030,C007,过滤器,过滤器堵塞,0.67692,故障,中度故障,1
HCASE-00030,C008,液压油箱,油箱故障,0.33962,正常,轻微退化,2
HCASE-00030,C010,节流阀,节流阀故障,0.23136,正常,轻微退化,3
HCASE-00030,C003,作动筒,作动筒故障,0.14638,正常,轻微退化,4
HCASE-00030,C012,卸荷阀,卸荷阀故障,0.13255,正常,轻微退化,5
HCASE-00030,C004,溢流阀,溢流阀故障,0.11704,正常,轻微退化,6
HCASE-00030,C002,方向控制阀,方向阀故障,0.05566,正常,正常,7
HCASE-00030,C011,管路总成,管路泄漏,0.05557,正常,正常,8
HCASE-00030,C001,液压泵总成,液压泵故障,0.05108,正常,正常,9
HCASE-00030,C006,冷却器,冷却器故障,0.0346,正常,正常,10
HCASE-00030,C005,蓄能器,蓄能器故障,0.0008,正常,正常,11
HCASE-00030,C009,单向阀,单向阀故障,0.00078,正常,正常,12
HCASE-00031,C005,蓄能器,蓄能器故障,0.73027,故障,重度故障,1
HCASE-00031,C011,管路总成,管路泄漏,0.2739,正常,轻微退化,2
