material_batch_id,material_grade,supplier_id,hardness,aging_level,corrosion_resistance,material_risk_score,material_risk_level
HMAT-00064,NBR,HSUP-015,61.07,0.2172,0.6771,0.1869,low
HMAT-00065,304,HSUP-051,53.88,0.4089,0.9149,0.2946,medium
HMAT-00066,40Cr,HSUP-043,48.2,0.3966,0.6285,0.3715,medium
HMAT-00067,304,HSUP-034,55.66,0.2013,0.5672,0.3014,medium
HMAT-00068,FKM,HSUP-063,61.5,0.4077,0.7976,0.249,low
HMAT-00069,316L,HSUP-077,58.53,0.0727,0.4839,0.2458,low
HMAT-00070,NBR,HSUP-051,52.32,0.097,0.4397,0.3663,medium
HMAT-00071,35CrMo,HSUP-026,67.61,0.1191,0.743,0.2526,medium
HMAT-00072,304,HSUP-067,60.28,0.5107,0.5354,0.3903,medium
HMAT-00073,316L,HSUP-002,59.79,0.4374,0.6501,0.3644,medium
HMAT-00074,35CrMo,HSUP-004,54.84,0.3159,0.7145,0.3305,medium
HMAT-00075,40Cr,HSUP-051,54.38,0.317,0.8793,0.1591,low
HMAT-00076,40Cr,HSUP-067,57.61,0.4656,0.9362,0.2115,low
HMAT-00077,FKM,HSUP-049,53.18,0.0403,0.797,0.2147,low
HMAT-00078,304,HSUP-018,59.65,0.2694,0.5801,0.2962,medium
HMAT-00079,35CrMo,HSUP-013,61.98,0.3061,0.5051,0.3827,medium
HMAT-00080,NBR,HSUP-074,56.15,0.5625,0.8034,0.2574,medium
HMAT-00081,35CrMo,HSUP-067,56.41,0.3517,0.4155,0.3932,medium
HMAT-00082,316L,HSUP-077,60.99,0.1334,0.7516,0.1369,low
HMAT-00083,FKM,HSUP-005,55.97,0.2517,0.3963,0.3827,medium
HMAT-00084,NBR,HSUP-064,50.43,0.5808,0.7154,0.4325,medium
HMAT-00085,40Cr,HSUP-053,58.55,0.3907,0.5269,0.35,medium
HMAT-00086,304,HSUP-064,69.51,0.365,0.7625,0.4963,medium
HMAT-00087,35CrMo,HSUP-051,57.51,0.0825,0.8593,0.1415,low
HMAT-00088,40Cr,HSUP-010,56.3,0.6297,0.7774,0.3978,medium
HMAT-00089,40Cr,HSUP-041,49.91,0.4749,0.5434,0.5625,high
HMAT-00090,NBR,HSUP-017,59.96,0.2072,0.7288,0.2108,low
HMAT-00091,304,HSUP-078,54.54,0.3123,0.9159,0.2114,low
HMAT-00092,304,HSUP-030,54.41,0.2834,0.8314,0.2265,low
HMAT-00093,35CrMo,HSUP-014,60.88,0.3258,0.4162,0.3639,medium
HMAT-00094,NBR,HSUP-013,55.78,0.3334,0.9223,0.2667,medium
HMAT-00095,316L,HSUP-049,61.62,0.3198,0.6663,0.2999,medium
HMAT-00096,304,HSUP-065,51.75,0.1921,0.8287,0.2888,medium
HMAT-00097,NBR,HSUP-029,61.76,0.6415,0.8208,0.4326,medium
HMAT-00098,35CrMo,HSUP-043,61.99,0.4741,0.7367,0.3927,medium
HMAT-00099,FKM,HSUP-059,62.62,0.1824,0.8093,0.2333,low
HMAT-00100,FKM,HSUP-056,54.09,0.253,0.7063,0.231,low
HMAT-00101,316L,HSUP-007,60.85,0.6347,0.6095,0.3795,medium
HMAT-00102,40Cr,HSUP-037,59.87,0.3176,0.7138,0.2849,medium
HMAT-00103,35CrMo,HSUP-053,59.09,0.1051,0.4937,0.2846,medium
HMAT-00104,NBR,HSUP-052,59.35,0.2749,0.5077,0.2803,medium
HMAT-00105,40Cr,HSUP-045,58.25,0.4422,0.667,0.3649,medium
HMAT-00106,35CrMo,HSUP-036,51.75,0.3229,0.7875,0.2842,medium
HMAT-00107,FKM,HSUP-032,54.39,0.6301,0.7918,0.3481,medium
HMAT-00108,NBR,HSUP-071,58.51,0.236,0.676,0.2293,low
HMAT-00109,FKM,HSUP-011,54.79,0.1922,0.7608,0.2138,low
HMAT-00110,35CrMo,HSUP-079,57.81,0.0999,0.6951,0.0799,low
HMAT-00111,316L,HSUP-042,63.71,0.0791,0.4414,0.3079,medium
HMAT-00112,35CrMo,HSUP-019,69.44,0.6854,0.6565,0.5117,high
HMAT-00113,40Cr,HSUP-077,50.12,0.1715,0.7372,0.2684,medium
HMAT-00114,40Cr,HSUP-046,57.67,0.2778,0.8873,0.1223,low
HMAT-00115,40Cr,HSUP-039,55.22,0.1739,0.8682,0.2099,low
HMAT-00116,FKM,HSUP-020,65.73,0.2227,0.7233,0.2388,low
HMAT-00117,40Cr,HSUP-039,57.76,0.4711,0.6041,0.3082,medium
HMAT-00118,35CrMo,HSUP-062,55.86,0.786,0.9418,0.3606,medium
HMAT-00119,35CrMo,HSUP-054,59.67,0.0569,0.7832,0.1154,low
HMAT-00120,304,HSUP-072,62.45,0.5369,0.7899,0.3474,medium
HMAT-00121,35CrMo,HSUP-005,59.63,0.0788,0.6928,0.1499,low
HMAT-00122,304,HSUP-005,58.24,0.4722,0.8265,0.2769,medium
HMAT-00123,304,HSUP-024,62.81,0.572,0.7187,0.4543,medium
HMAT-00124,304,HSUP-011,55.58,0.5791,0.8812,0.331,medium
HMAT-00125,316L,HSUP-006,61.04,0.683,0.8732,0.408,medium
HMAT-00126,40Cr,HSUP-070,59.57,0.4801,0.2508,0.4587,medium
HMAT-00127,40Cr,HSUP-001,63.08,0.1223,0.6426,0.3311,medium
HMAT-00128,35CrMo,HSUP-068,57.13,0.0316,0.8403,0.0205,low
HMAT-00129,FKM,HSUP-013,52.31,0.3325,0.8254,0.2799,medium
HMAT-00130,40Cr,HSUP-061,57.38,0.2065,0.1522,0.3303,medium
HMAT-00131,FKM,HSUP-049,55.19,0.2748,0.7604,0.226,low
HMAT-00132,304,HSUP-077,57.46,0.6619,0.6286,0.3566,medium
HMAT-00133,316L,HSUP-060,62.96,0.189,0.7563,0.2275,low
HMAT-00134,316L,HSUP-012,58.67,0.1888,0.7024,0.2127,low
HMAT-00135,40Cr,HSUP-056,60.43,0.504,0.8402,0.3126,medium
HMAT-00136,316L,HSUP-026,57.97,0.3925,0.8029,0.2795,medium
HMAT-00137,FKM,HSUP-017,54.1,0.1485,0.8686,0.152,low
HMAT-00138,304,HSUP-011,60.22,0.5703,0.6242,0.3946,medium
HMAT-00139,316L,HSUP-064,61.13,0.2371,0.7632,0.2759,medium
HMAT-00140,304,HSUP-049,54.2,0.8061,0.7586,0.4085,medium
HMAT-00141,40Cr,HSUP-034,60.36,0.0433,0.8591,0.1009,low
HMAT-00142,40Cr,HSUP-063,58.98,0.1281,0.8358,0.13,low
HMAT-00143,NBR,HSUP-050,60.73,0.1732,0.6241,0.3272,medium
HMAT-00144,304,HSUP-008,55.29,0.1284,0.6868,0.2059,low
HMAT-00145,FKM,HSUP-045,60.56,0.1225,0.8785,0.1171,low
HMAT-00146,304,HSUP-040,57.19,0.3233,0.7748,0.2431,low
HMAT-00147,FKM,HSUP-036,64.45,0.4859,0.8267,0.4557,medium
HMAT-00148,FKM,HSUP-012,56.89,0.337,0.6795,0.2636,medium
HMAT-00149,FKM,HSUP-021,58.3,0.1996,0.8166,0.1454,low
HMAT-00150,40Cr,HSUP-043,63.61,0.4788,0.6808,0.3862,medium
HMAT-00151,304,HSUP-013,58.44,0.5913,0.5675,0.4408,medium
HMAT-00152,35CrMo,HSUP-059,57.13,0.2206,0.3704,0.3367,medium
HMAT-00153,40Cr,HSUP-004,56.95,0.4488,0.6349,0.2643,medium
HMAT-00154,35CrMo,HSUP-079,61.02,0.4449,0.3408,0.4437,medium
HMAT-00155,FKM,HSUP-044,58.46,0.1086,0.9645,0.0091,low
HMAT-00156,35CrMo,HSUP-038,62.19,0.4401,0.6303,0.3865,medium
HMAT-00157,FKM,HSUP-061,51.68,0.1349,0.5602,0.3313,medium
HMAT-00158,FKM,HSUP-064,56.85,0.3141,0.6948,0.3156,medium
HMAT-00159,FKM,HSUP-042,62.77,0.6599,0.8182,0.3668,medium
HMAT-00160,FKM,HSUP-079,58.98,0.2155,0.8009,0.1162,low
HMAT-00161,35CrMo,HSUP-026,54.84,0.536,0.8488,0.3046,medium
HMAT-00162,40Cr,HSUP-028,56.68,0.3345,0.9373,0.2355,low
HMAT-00163,35CrMo,HSUP-061,59.47,0.8737,0.798,0.3882,medium
HMAT-00164,304,HSUP-066,56.92,0.2169,0.6772,0.2545,medium
HMAT-00165,316L,HSUP-057,58.13,0.4176,0.6925,0.2059,low
HMAT-00166,304,HSUP-042,59.91,0.5651,0.8521,0.293,medium
HMAT-00167,35CrMo,HSUP-042,67.17,0.2867,0.9181,0.3166,medium
HMAT-00168,40Cr,HSUP-053,59.99,0.6537,0.444,0.4599,medium
HMAT-00169,FKM,HSUP-039,57.87,0.2686,0.7573,0.2038,low
HMAT-00170,NBR,HSUP-025,54.17,0.2349,0.6169,0.2877,medium
HMAT-00171,FKM,HSUP-016,65.81,0.6856,0.6571,0.5635,high
HMAT-00172,NBR,HSUP-001,56.28,0.203,0.8923,0.1104,low
HMAT-00173,FKM,HSUP-037,56.94,0.2287,0.542,0.2536,medium
HMAT-00174,NBR,HSUP-064,60.28,0.1752,0.6788,0.2425,low
HMAT-00175,FKM,HSUP-030,64.41,0.3045,0.8496,0.3195,medium
HMAT-00176,NBR,HSUP-044,55.97,0.3022,0.4447,0.3035,medium
HMAT-00177,35CrMo,HSUP-076,59.65,0.176,0.754,0.2043,low
HMAT-00178,316L,HSUP-077,59.9,0.1946,0.8221,0.2021,low
HMAT-00179,40Cr,HSUP-033,55.06,0.6726,0.5477,0.488,medium
HMAT-00180,40Cr,HSUP-030,61.47,0.1673,0.8976,0.1955,low
HMAT-00181,304,HSUP-029,54.33,0.0988,0.8856,0.155,low
HMAT-00182,304,HSUP-017,57.35,0.4974,0.7538,0.2729,medium
HMAT-00183,40Cr,HSUP-051,55.87,0.1811,0.6887,0.1937,low
HMAT-00184,FKM,HSUP-063,61.34,0.5114,0.7727,0.4484,medium
HMAT-00185,316L,HSUP-001,55.02,0.5954,0.4964,0.4544,medium
HMAT-00186,35CrMo,HSUP-059,55.87,0.2504,0.6487,0.3093,medium
HMAT-00187,304,HSUP-075,54.92,0.3487,0.786,0.2322,low
HMAT-00188,FKM,HSUP-060,61.86,0.3907,0.6262,0.3366,medium
HMAT-00189,316L,HSUP-076,61.98,0.4728,0.4147,0.414,medium
HMAT-00190,FKM,HSUP-008,66.09,0.1764,0.5226,0.2801,medium
HMAT-00191,304,HSUP-034,55.86,0.3407,0.5486,0.3196,medium
HMAT-00192,304,HSUP-080,61.36,0.7662,0.8716,0.4319,medium
HMAT-00193,FKM,HSUP-022,57.12,0.0541,0.5798,0.2126,low
HMAT-00194,304,HSUP-034,62.3,0.31,0.7847,0.2082,low
HMAT-00195,40Cr,HSUP-069,48.89,0.2857,0.6238,0.4197,medium
HMAT-00196,35CrMo,HSUP-025,58.18,0.4371,0.704,0.2889,medium
HMAT-00197,304,HSUP-062,58.76,0.2636,0.8352,0.1774,low
HMAT-00198,FKM,HSUP-008,62.99,0.6501,0.6913,0.3883,medium
HMAT-00199,NBR,HSUP-073,51.66,0.3732,0.7744,0.3194,medium
HMAT-00200,316L,HSUP-033,53.96,0.2896,0.8484,0.2586,medium
HMAT-00201,304,HSUP-047,54.48,0.2047,0.4102,0.3227,medium
HMAT-00202,FKM,HSUP-060,63.64,0.1796,0.3749,0.4054,medium
HMAT-00203,FKM,HSUP-056,57.5,0.2615,0.7413,0.232,low
HMAT-00204,NBR,HSUP-027,56.38,0.2475,0.9569,0.1531,low
HMAT-00205,304,HSUP-075,61.46,0.4924,0.5058,0.4138,medium
HMAT-00206,35CrMo,HSUP-032,55.38,0.3275,0.7492,0.2313,low
HMAT-00207,40Cr,HSUP-034,58.33,0.1828,0.706,0.1558,low
HMAT-00208,FKM,HSUP-045,57.77,0.1823,0.3296,0.2978,medium
HMAT-00209,FKM,HSUP-056,58.08,0.345,0.6004,0.2688,medium
HMAT-00210,316L,HSUP-074,60.98,0.3757,0.467,0.3923,medium
HMAT-00211,35CrMo,HSUP-030,45.74,0.5716,0.8089,0.4902,medium
HMAT-00212,NBR,HSUP-020,63.24,0.6082,0.9169,0.425,medium
HMAT-00213,NBR,HSUP-080,61.17,0.1687,0.5209,0.263,medium
HMAT-00214,40Cr,HSUP-052,57.21,0.2658,0.9298,0.1195,low
HMAT-00215,35CrMo,HSUP-019,59.43,0.6285,0.8058,0.3863,medium
HMAT-00216,316L,HSUP-049,58.85,0.5198,0.4875,0.3941,medium
HMAT-00217,40Cr,HSUP-063,64.09,0.3852,0.7587,0.3269,medium
HMAT-00218,40Cr,HSUP-044,59.56,0.1203,0.7594,0.1566,low
HMAT-00219,40Cr,HSUP-068,60.1,0.1698,0.6084,0.2138,low
HMAT-00220,NBR,HSUP-043,57.76,0.1554,0.6216,0.1594,low
HMAT-00221,FKM,HSUP-044,56.26,0.0941,0.7953,0.1866,low
HMAT-00222,35CrMo,HSUP-076,58.25,0.54,0.7528,0.2914,medium
HMAT-00223,40Cr,HSUP-073,57.35,0.0805,0.8036,0.1279,low
HMAT-00224,FKM,HSUP-021,56.28,0.3023,0.7097,0.2448,low
HMAT-00225,NBR,HSUP-032,52.29,0.4562,0.2332,0.5291,high
HMAT-00226,FKM,HSUP-013,60.19,0.2126,0.4034,0.3749,medium
HMAT-00227,40Cr,HSUP-017,56.83,0.5208,0.7561,0.2621,medium
HMAT-00228,304,HSUP-009,53.54,0.3816,0.4997,0.3139,medium
HMAT-00229,35CrMo,HSUP-065,54.94,0.2206,0.8464,0.2013,low
HMAT-00230,316L,HSUP-055,53.59,0.6042,0.8189,0.2949,medium
HMAT-00231,35CrMo,HSUP-053,56.24,0.203,0.5262,0.3073,medium
HMAT-00232,NBR,HSUP-028,58.73,0.1588,0.9176,0.1173,low
HMAT-00233,316L,HSUP-003,58.08,0.1167,0.345,0.2413,low
HMAT-00234,304,HSUP-021,62.38,0.5576,0.8366,0.3496,medium
HMAT-00235,304,HSUP-018,59.19,0.314,0.9036,0.1852,low
HMAT-00236,304,HSUP-030,57.72,0.301,0.8902,0.1665,low
HMAT-00237,FKM,HSUP-041,57.57,0.4235,0.8818,0.2626,medium
HMAT-00238,NBR,HSUP-067,62.52,0.4306,0.7479,0.3457,medium
HMAT-00239,NBR,HSUP-070,54.18,0.1658,0.8718,0.1396,low
HMAT-00240,304,HSUP-055,57.44,0.4983,0.9241,0.2182,low
HMAT-00241,304,HSUP-079,52.32,0.6378,0.3989,0.4865,medium
HMAT-00242,40Cr,HSUP-040,58.16,0.1936,0.6287,0.2524,medium
HMAT-00243,35CrMo,HSUP-054,53.55,0.4389,0.798,0.3032,medium
HMAT-00244,304,HSUP-067,55.62,0.1717,0.3892,0.3356,medium
HMAT-00245,304,HSUP-012,56.19,0.0696,0.6353,0.1183,low
HMAT-00246,FKM,HSUP-042,56.52,0.4787,0.9137,0.3215,medium
HMAT-00247,40Cr,HSUP-035,56.81,0.8115,0.7768,0.429,medium
HMAT-00248,40Cr,HSUP-008,60.61,0.0762,0.8392,0.1604,low
HMAT-00249,304,HSUP-044,57.5,0.4743,0.9513,0.2642,medium
HMAT-00250,40Cr,HSUP-037,56.05,0.3135,0.6209,0.3067,medium
HMAT-00251,NBR,HSUP-058,56.49,0.3705,0.7708,0.2082,low
HMAT-00252,40Cr,HSUP-047,55.4,0.2284,0.8784,0.1628,low
HMAT-00253,316L,HSUP-071,58.82,0.371,0.8913,0.1844,low
HMAT-00254,304,HSUP-055,52.24,0.4659,0.6211,0.4233,medium
HMAT-00255,FKM,HSUP-019,55.38,0.7708,0.6563,0.4993,medium
HMAT-00256,35CrMo,HSUP-061,57.71,0.3149,0.5669,0.3505,medium
HMAT-00257,35CrMo,HSUP-040,62.38,0.2316,0.7538,0.2735,medium
HMAT-00258,NBR,HSUP-034,65.18,0.5878,0.8571,0.4171,medium
HMAT-00259,316L,HSUP-007,52.25,0.4969,0.6616,0.4321,medium
HMAT-00260,FKM,HSUP-007,57.69,0.5266,0.911,0.2427,low
HMAT-00261,35CrMo,HSUP-054,61.9,0.1158,0.51,0.2269,low
HMAT-00262,304,HSUP-024,59.27,0.072,0.8683,0.0955,low
HMAT-00263,FKM,HSUP-032,63.13,0.2417,0.8976,0.2026,low
HMAT-00264,NBR,HSUP-052,50.22,0.6384,0.897,0.4471,medium
HMAT-00265,FKM,HSUP-053,54.98,0.1336,0.5619,0.2634,medium
HMAT-00266,40Cr,HSUP-072,53.93,0.5766,0.7811,0.381,medium
HMAT-00267,35CrMo,HSUP-008,57.44,0.1753,0.8772,0.1278,low
HMAT-00268,316L,HSUP-059,60.2,0.2944,0.6191,0.2366,low
HMAT-00269,40Cr,HSUP-055,56.13,0.6906,0.7065,0.4377,medium
HMAT-00270,304,HSUP-058,58.28,0.2547,0.6595,0.1504,low
HMAT-00271,35CrMo,HSUP-040,61.26,0.5334,0.8924,0.3254,medium
HMAT-00272,35CrMo,HSUP-018,52.64,0.3127,0.743,0.2993,medium
HMAT-00273,316L,HSUP-043,58.6,0.357,0.6749,0.3242,medium
HMAT-00274,NBR,HSUP-056,60.03,0.4208,0.3926,0.424,medium
HMAT-00275,FKM,HSUP-073,65.75,0.6149,0.6301,0.4696,medium
HMAT-00276,304,HSUP-006,52.16,0.0547,0.9165,0.1493,low
HMAT-00277,35CrMo,HSUP-044,59.55,0.5197,0.777,0.3203,medium
HMAT-00278,40Cr,HSUP-059,59.39,0.4039,0.6219,0.2523,medium
HMAT-00279,35CrMo,HSUP-029,56.67,0.398,0.567,0.2945,medium
HMAT-00280,316L,HSUP-003,58.61,0.0539,0.8323,0.1298,low
HMAT-00281,NBR,HSUP-063,54.49,0.3986,0.5044,0.4151,medium
HMAT-00282,316L,HSUP-053,58.81,0.1282,0.7174,0.1861,low
HMAT-00283,35CrMo,HSUP-030,58.25,0.3751,0.3515,0.4046,medium
HMAT-00284,NBR,HSUP-043,56.99,0.2118,0.9711,0.1038,low
HMAT-00285,316L,HSUP-059,65.93,0.4713,0.8196,0.3511,medium
HMAT-00286,NBR,HSUP-076,54.37,0.4723,0.8441,0.215,low
HMAT-00287,NBR,HSUP-005,59.85,0.6358,0.8899,0.2915,medium
HMAT-00288,40Cr,HSUP-009,60.67,0.3004,0.791,0.2335,low
HMAT-00289,NBR,HSUP-014,68.64,0.1615,0.862,0.2831,medium
HMAT-00290,316L,HSUP-030,61.8,0.4634,0.8324,0.2381,low
HMAT-00291,FKM,HSUP-008,59.51,0.3776,0.6965,0.2448,low
HMAT-00292,316L,HSUP-020,58.02,0.2881,0.6518,0.2434,low
HMAT-00293,FKM,HSUP-046,53.21,0.5171,0.8354,0.3083,medium
HMAT-00294,35CrMo,HSUP-037,53.13,0.3605,0.635,0.3035,medium
HMAT-00295,40Cr,HSUP-013,55.67,0.4519,0.8612,0.2433,low
HMAT-00296,NBR,HSUP-061,51.06,0.2388,0.7685,0.3202,medium
HMAT-00297,35CrMo,HSUP-024,52.86,0.2525,0.8072,0.2855,medium
HMAT-00298,304,HSUP-003,56.92,0.3202,0.5513,0.2486,low
HMAT-00299,40Cr,HSUP-017,57.47,0.249,0.7836,0.1704,low
HMAT-00300,40Cr,HSUP-055,49.74,0.0285,0.8071,0.1327,low
HMAT-00301,40Cr,HSUP-048,57.65,0.1358,0.8126,0.0831,low
HMAT-00302,FKM,HSUP-079,57.69,0.0206,0.7973,0.0481,low
HMAT-00303,304,HSUP-057,59.55,0.3503,0.5366,0.3394,medium
HMAT-00304,40Cr,HSUP-017,56.31,0.2976,0.8225,0.2015,low
HMAT-00305,40Cr,HSUP-059,64.05,0.5482,0.702,0.4147,medium
HMAT-00306,35CrMo,HSUP-020,52.54,0.2057,0.8331,0.2488,low
HMAT-00307,FKM,HSUP-078,57.69,0.3575,0.4748,0.3308,medium
HMAT-00308,40Cr,HSUP-079,62.76,0.3188,0.8216,0.2404,low
HMAT-00309,316L,HSUP-049,56.45,0.1974,0.4672,0.374,medium
HMAT-00310,40Cr,HSUP-068,57.29,0.6081,0.6732,0.386,medium
HMAT-00311,NBR,HSUP-023,58.81,0.1892,0.7664,0.1768,low
HMAT-00312,FKM,HSUP-032,55.93,0.1324,0.8472,0.2268,low
HMAT-00313,FKM,HSUP-020,55.09,0.4513,0.498,0.3555,medium
HMAT-00314,NBR,HSUP-020,63.47,0.5904,0.6725,0.4648,medium
HMAT-00315,FKM,HSUP-006,51.45,0.173,0.8772,0.1864,low
HMAT-00316,304,HSUP-019,60.16,0.4375,0.8518,0.2188,low
HMAT-00317,NBR,HSUP-051,56.35,0.219,0.9318,0.1876,low
HMAT-00318,NBR,HSUP-007,63.33,0.4905,0.5335,0.4166,medium
HMAT-00319,304,HSUP-069,70.41,0.6931,0.8171,0.5402,high
HMAT-00320,316L,HSUP-007,48.64,0.6434,0.9121,0.472,medium
HMAT-00321,FKM,HSUP-026,61.78,0.681,0.7321,0.4265,medium
HMAT-00322,35CrMo,HSUP-024,56.76,0.2519,0.8515,0.1991,low
HMAT-00323,35CrMo,HSUP-003,55.03,0.3785,0.7571,0.2323,low
HMAT-00324,FKM,HSUP-015,60.16,0.1777,0.4449,0.2976,medium
HMAT-00325,316L,HSUP-054,56.14,0.513,0.6149,0.3286,medium
HMAT-00326,35CrMo,HSUP-067,55.01,0.3403,0.8664,0.2259,low
HMAT-00327,35CrMo,HSUP-002,61.17,0.2822,0.6451,0.3471,medium
HMAT-00328,40Cr,HSUP-027,58.15,0.1389,0.843,0.1155,low
HMAT-00329,NBR,HSUP-052,55.75,0.1405,0.6575,0.2318,low
HMAT-00330,304,HSUP-062,55.47,0.1432,0.7704,0.1968,low
HMAT-00331,304,HSUP-016,54.02,0.2085,0.7562,0.2567,medium
HMAT-00332,40Cr,HSUP-050,62.27,0.2743,0.4096,0.3083,medium
HMAT-00333,40Cr,HSUP-002,56.94,0.1533,0.8402,0.1081,low
HMAT-00334,NBR,HSUP-007,59.27,0.1396,0.8295,0.1788,low
HMAT-00335,FKM,HSUP-007,55.95,0.2804,0.5858,0.3229,medium
HMAT-00336,FKM,HSUP-016,59.87,0.1007,0.6158,0.1923,low
HMAT-00337,40Cr,HSUP-044,44.08,0.6639,0.9236,0.4869,medium
HMAT-00338,40Cr,HSUP-054,59.3,0.3566,0.5886,0.2998,medium
HMAT-00339,316L,HSUP-041,54.32,0.0702,0.6052,0.2347,low
HMAT-00340,35CrMo,HSUP-037,59.18,0.2568,0.8703,0.1115,low
HMAT-00341,NBR,HSUP-046,58.14,0.4705,0.4921,0.3325,medium
HMAT-00342,35CrMo,HSUP-010,58.88,0.5957,0.7918,0.3116,medium
HMAT-00343,NBR,HSUP-068,59.99,0.2335,0.8109,0.2234,low
HMAT-00344,FKM,HSUP-045,53.74,0.1899,0.7173,0.2946,medium
