inspection_id,pressure_test_value,leakage_rate,flow_test_value,temperature_test_value,vibration_value,inspection_result,inspection_risk_score,inspection_risk_level
HINSP-00069,26.2453,0.21531,63.8992,56.2659,0.6588,pass,0.1976,low
HINSP-00070,23.7388,0.18544,62.3156,52.8991,0.67803,pass,0.1586,low
HINSP-00071,23.4127,0.35211,67.3753,47.4107,1.22655,pass,0.1766,low
HINSP-00072,22.5303,0.43267,71.9247,52.603,1.11606,pass,0.1724,low
HINSP-00073,22.105,0.25787,77.0366,54.2293,0.25543,pass,0.1039,low
HINSP-00074,21.0879,0.41059,62.3581,51.5225,0.8034,pass,0.1873,low
HINSP-00075,18.5717,0.14153,85.5814,47.9905,0.78778,pass,0.1599,low
HINSP-00076,18.2218,0.27083,65.7285,55.8098,0.70646,pass,0.1963,low
HINSP-00077,20.7049,0.23254,61.4699,54.1082,0.48067,pass,0.1581,low
HINSP-00078,22.3532,0.32416,69.1569,57.93,0.85597,pass,0.1619,low
HINSP-00079,25.1184,0.27551,83.9586,58.1244,0.79964,pass,0.1967,low
HINSP-00080,19.1673,0.25373,71.3531,45.5695,0.7444,pass,0.143,low
HINSP-00081,23.3599,0.23759,74.5349,45.3812,0.83333,pass,0.1151,low
HINSP-00082,21.8592,0.27274,72.9646,49.8691,0.77259,pass,0.1177,low
HINSP-00083,26.7301,0.15169,72.3536,50.3894,0.81304,pass,0.1608,low
HINSP-00084,23.0694,0.34436,61.3225,52.1259,0.47779,pass,0.1697,low
HINSP-00085,23.9648,0.32318,74.2449,55.0591,0.71895,pass,0.1551,low
HINSP-00086,20.2963,0.23667,69.8505,57.4597,0.48524,pass,0.1466,low
HINSP-00087,19.9966,0.14162,71.2729,56.9584,0.54567,pass,0.1316,low
HINSP-00088,22.1068,0.14535,80.4991,50.8907,0.71605,pass,0.1065,low
HINSP-00089,20.4638,0.23381,69.2913,54.1976,0.74587,pass,0.1488,low
HINSP-00090,21.9448,0.28831,60.6154,60.299,0.57286,pass,0.1717,low
HINSP-00091,21.6286,0.25842,75.5694,48.6127,0.83184,pass,0.1134,low
HINSP-00092,19.4277,0.2909,61.3525,55.2898,0.77739,pass,0.199,low
HINSP-00093,20.2395,0.23788,63.6412,50.4979,0.75862,pass,0.1614,low
HINSP-00094,20.096,0.32533,56.6138,46.6839,0.80761,pass,0.1923,low
HINSP-00095,20.3682,0.3013,74.7737,43.7389,0.57825,pass,0.1145,low
HINSP-00096,22.2785,0.33263,66.6847,52.6334,0.76073,pass,0.154,low
HINSP-00097,19.4338,0.18334,69.7868,52.2538,0.86042,pass,0.1522,low
HINSP-00098,20.772,0.16212,61.9392,57.3214,0.75814,pass,0.1624,low
HINSP-00099,22.732,0.32831,72.4087,59.2187,0.76922,pass,0.1571,low
HINSP-00100,24.6784,0.22435,65.983,60.7481,0.66004,pass,0.183,low
HINSP-00101,19.1415,0.19718,64.6715,48.1087,0.76014,pass,0.1603,low
HINSP-00102,20.7483,0.12478,91.4015,45.3117,0.39461,pass,0.125,low
HINSP-00103,20.4027,0.21979,78.9161,51.3158,0.69982,pass,0.1335,low
HINSP-00104,27.8898,0.33421,71.2083,59.3262,0.80297,pass,0.2292,low
HINSP-00105,22.284,0.31975,70.6309,54.5129,0.98575,pass,0.1534,low
HINSP-00106,17.9344,0.12125,75.8518,52.9103,0.30121,pass,0.1271,low
HINSP-00107,21.8264,0.41196,67.0052,58.9466,0.8278,pass,0.1819,low
HINSP-00108,23.5905,0.23313,64.7867,60.377,0.59692,pass,0.1708,low
HINSP-00109,22.2422,0.25269,67.1068,54.7561,0.71241,pass,0.1418,low
HINSP-00110,18.8292,0.04869,55.9454,50.9005,0.47437,pass,0.1605,low
HINSP-00111,22.9437,0.29613,67.6958,52.2856,1.26274,pass,0.1727,low
HINSP-00112,23.1823,0.41036,63.693,55.9155,0.88915,pass,0.2,low
HINSP-00113,24.2171,0.16853,52.2318,60.4235,0.904,pass,0.2181,low
HINSP-00114,19.6051,0.28688,70.5669,52.6703,0.75657,pass,0.1617,low
HINSP-00115,20.2293,0.20523,73.8969,50.981,0.40666,pass,0.1124,low
HINSP-00116,24.7335,0.274,52.4329,53.6072,0.8187,pass,0.2229,low
HINSP-00117,25.7291,0.26606,59.7985,52.7167,0.77224,pass,0.2084,low
HINSP-00118,21.0792,0.25101,55.6596,43.963,0.91562,pass,0.1684,low
HINSP-00119,24.065,0.21706,61.3722,59.0575,0.88049,pass,0.1928,low
HINSP-00120,23.9153,0.28098,61.0074,57.4601,0.49612,pass,0.1837,low
HINSP-00121,23.6402,0.30531,56.2425,57.643,1.22983,pass,0.2283,low
HINSP-00122,21.6367,0.19385,62.7965,48.2644,0.63052,pass,0.1286,low
HINSP-00123,20.0512,0.23123,81.2924,42.7251,0.2149,pass,0.1083,low
HINSP-00124,21.3295,0.20443,68.4709,50.5333,0.69991,pass,0.1252,low
HINSP-00125,26.1264,0.37848,63.2731,65.0324,1.18437,pass,0.2659,medium
HINSP-00126,20.2686,0.32454,83.8996,53.6619,0.69625,pass,0.1728,low
HINSP-00127,21.0717,0.0656,73.0728,48.2767,0.41267,pass,0.075,low
HINSP-00128,19.7503,0.2023,67.5937,61.6673,0.63813,pass,0.1702,low
HINSP-00129,22.3263,0.28703,66.7578,47.8284,0.90093,pass,0.1416,low
HINSP-00130,21.2013,0.31995,83.638,45.3811,0.51526,pass,0.1334,low
HINSP-00131,19.8272,0.31369,77.5239,49.4159,0.7939,pass,0.1518,low
HINSP-00132,21.0916,0.17911,80.7038,57.2502,0.27584,pass,0.1197,low
HINSP-00133,20.4893,0.19445,83.2626,50.1523,0.93926,pass,0.1482,low
HINSP-00134,23.8059,0.25032,74.4243,56.5147,0.81858,pass,0.1477,low
HINSP-00135,23.3988,0.37387,69.3789,56.6649,0.73562,pass,0.1752,low
HINSP-00136,21.7505,0.27927,66.6009,46.6424,0.68963,pass,0.1287,low
HINSP-00137,22.6894,0.23467,66.3253,54.1691,0.86667,pass,0.1517,low
HINSP-00138,21.627,0.20338,75.2278,50.8589,0.85641,pass,0.1093,low
HINSP-00139,25.1566,0.29736,57.1337,50.2487,1.18843,pass,0.2253,low
HINSP-00140,20.7264,0.12032,70.0314,50.1413,0.37582,pass,0.1003,low
HINSP-00141,22.8411,0.28087,65.4786,54.9355,0.82275,pass,0.1639,low
HINSP-00142,20.3905,0.191,77.0902,53.3291,0.98832,pass,0.1394,low
HINSP-00143,22.1907,0.23346,58.3419,52.3669,0.66052,pass,0.1568,low
HINSP-00144,20.3601,0.25166,53.0595,53.8637,0.70924,pass,0.1995,low
HINSP-00145,22.2153,0.27223,75.2585,53.9128,0.57944,pass,0.1146,low
HINSP-00146,22.9731,0.24556,68.4851,57.8132,0.54727,pass,0.1461,low
HINSP-00147,22.5308,0.38783,68.2495,60.1257,0.96636,pass,0.1869,low
HINSP-00148,22.9992,0.32993,66.7543,57.6306,0.99317,pass,0.1831,low
HINSP-00149,22.0225,0.23369,75.1351,49.2037,0.47819,pass,0.0907,low
HINSP-00150,22.2658,0.15066,70.9434,49.5977,0.71183,pass,0.102,low
HINSP-00151,25.2008,0.31173,70.3263,55.5638,1.26497,pass,0.2037,low
HINSP-00152,21.5496,0.30717,69.0458,52.0858,0.76294,pass,0.1438,low
HINSP-00153,19.8361,0.22703,74.0937,48.8626,0.97426,pass,0.1384,low
HINSP-00154,23.4135,0.31069,76.304,57.5062,0.73044,pass,0.1536,low
HINSP-00155,22.659,0.22711,64.9551,62.7534,0.85697,pass,0.1731,low
HINSP-00156,22.6717,0.27611,66.079,54.3804,1.24313,pass,0.1747,low
HINSP-00157,20.7784,0.1825,66.2615,49.3991,0.88778,pass,0.1402,low
HINSP-00158,23.0104,0.24365,69.2271,58.0158,0.838,pass,0.1561,low
HINSP-00159,21.3005,0.20009,76.1559,52.6083,0.53531,pass,0.1068,low
HINSP-00160,22.9644,0.29063,64.935,57.1014,0.91989,pass,0.1775,low
HINSP-00161,17.8086,0.32455,70.7144,53.8388,0.61145,pass,0.1874,low
HINSP-00162,23.0821,0.23721,67.0353,51.4664,0.65491,pass,0.1405,low
HINSP-00163,18.3981,0.21343,73.186,51.9176,0.8741,pass,0.1601,low
HINSP-00164,22.3304,0.24204,80.66,41.8998,0.63016,pass,0.1023,low
HINSP-00165,24.8119,0.32217,65.3859,47.4805,0.99504,pass,0.1864,low
HINSP-00166,22.519,0.28783,88.0355,41.8859,0.8453,pass,0.143,low
HINSP-00167,24.4169,0.37704,58.061,47.9993,1.10768,pass,0.2181,low
HINSP-00168,20.4284,0.19515,71.1291,59.9359,0.8371,pass,0.1538,low
HINSP-00169,23.2597,0.29671,74.3643,59.3513,0.86048,pass,0.1567,low
HINSP-00170,19.7734,0.25547,67.1287,50.6953,0.86923,pass,0.1647,low
HINSP-00171,21.0945,0.35296,60.6279,52.7742,0.78532,pass,0.1849,low
HINSP-00172,21.9318,0.36949,64.7546,60.8115,0.88742,pass,0.1868,low
HINSP-00173,20.6063,0.2882,72.7254,53.8081,0.75095,pass,0.145,low
HINSP-00174,23.4176,0.2097,63.3913,47.3859,0.69666,pass,0.1436,low
HINSP-00175,22.4349,0.45506,73.1645,50.954,0.89941,pass,0.1588,low
HINSP-00176,22.5016,0.18145,61.4414,42.2001,0.91772,pass,0.1302,low
HINSP-00177,25.9816,0.28681,71.7805,60.1624,0.98984,pass,0.2045,low
HINSP-00178,21.2603,0.31511,63.3162,64.9658,1.15258,pass,0.2105,low
HINSP-00179,21.6678,0.14549,70.6851,50.9161,0.51553,pass,0.0979,low
HINSP-00180,20.5998,0.17981,72.4322,51.02,0.64325,pass,0.1173,low
HINSP-00181,24.486,0.38404,83.194,48.5602,0.73963,pass,0.1805,low
HINSP-00182,20.4304,0.31313,67.5728,48.6666,1.13035,pass,0.1705,low
HINSP-00183,22.0428,0.30864,57.8677,56.0237,0.68006,pass,0.1779,low
HINSP-00184,20.9019,0.30687,71.166,61.1326,0.89738,pass,0.1714,low
HINSP-00185,22.4933,0.25685,76.1871,53.7762,0.60444,pass,0.1191,low
HINSP-00186,21.654,0.27246,50.8177,55.5166,1.24021,pass,0.2181,low
HINSP-00187,22.4991,0.54317,68.6719,62.8427,1.13776,pass,0.224,low
HINSP-00188,20.8288,0.25207,65.119,55.8478,0.83759,pass,0.167,low
HINSP-00189,20.4357,0.20609,66.6485,54.6334,1.08873,pass,0.1671,low
HINSP-00190,19.7872,0.24625,70.9113,51.399,1.20527,pass,0.1667,low
HINSP-00191,21.3237,0.36848,68.1504,58.6336,0.73388,pass,0.1731,low
HINSP-00192,23.5073,0.24601,68.7577,57.3754,0.76752,pass,0.16,low
HINSP-00193,25.1982,0.25215,67.143,54.7889,0.45755,pass,0.1693,low
HINSP-00194,21.5295,0.29289,64.7381,53.185,0.6962,pass,0.1544,low
HINSP-00195,20.2438,0.23172,82.3623,51.6675,0.61072,pass,0.1451,low
HINSP-00196,22.3986,0.21128,62.9968,64.0275,0.77211,pass,0.1725,low
HINSP-00197,24.0132,0.32198,68.4692,54.8736,0.79812,pass,0.1756,low
HINSP-00198,22.9699,0.22826,68.6891,53.5202,0.96899,pass,0.1498,low
HINSP-00199,25.3169,0.15703,69.6704,45.3508,0.74494,pass,0.1376,low
HINSP-00200,18.6796,0.36539,68.123,51.6555,0.61433,pass,0.186,low
HINSP-00201,18.0333,0.33552,65.3214,62.2373,0.72814,pass,0.226,low
HINSP-00202,24.8074,0.35551,78.3581,51.5448,0.57455,pass,0.1654,low
HINSP-00203,25.0272,0.22334,66.5349,51.6636,0.69454,pass,0.1666,low
HINSP-00204,23.4612,0.21392,77.6539,58.593,0.71697,pass,0.144,low
HINSP-00205,24.888,0.33475,65.1481,51.7819,1.14449,pass,0.2058,low
HINSP-00206,22.469,0.24889,75.4105,52.4797,0.79757,pass,0.1199,low
HINSP-00207,20.3886,0.17205,61.0128,50.7835,1.02533,pass,0.1678,low
HINSP-00208,17.7979,0.27804,67.2295,47.9679,0.76645,pass,0.1832,low
HINSP-00209,24.9837,0.37349,67.3364,55.85,0.71757,pass,0.199,low
HINSP-00210,19.8134,0.19637,77.6694,50.7108,0.56278,pass,0.1265,low
HINSP-00211,23.2719,0.24838,68.3265,50.3281,1.0089,pass,0.1525,low
HINSP-00212,21.6861,0.13276,66.3909,51.1741,0.42454,pass,0.1053,low
HINSP-00213,20.3203,0.30269,72.1744,59.4028,0.78674,pass,0.1668,low
HINSP-00214,21.2347,0.31356,65.8939,58.2512,0.93974,pass,0.1793,low
HINSP-00215,19.771,0.30562,74.7204,51.4231,0.43675,pass,0.1347,low
HINSP-00216,24.8396,0.3302,61.5969,56.8589,0.75156,pass,0.2108,low
HINSP-00217,22.9909,0.21506,59.263,51.2208,0.53058,pass,0.1534,low
HINSP-00218,23.0358,0.24302,80.8216,55.6298,1.13088,pass,0.1629,low
HINSP-00219,19.1255,0.25514,56.4004,55.7563,0.75534,pass,0.212,low
HINSP-00220,20.8216,0.32984,64.1958,46.8194,0.91675,pass,0.1657,low
HINSP-00221,22.3335,0.21459,74.2275,54.0882,1.00739,pass,0.1256,low
HINSP-00222,23.6927,0.29016,62.6733,54.6463,1.09588,pass,0.195,low
HINSP-00223,20.3235,0.28706,52.2434,51.5193,0.65947,pass,0.2011,low
HINSP-00224,23.7115,0.20376,70.4977,50.5317,0.62353,pass,0.1292,low
HINSP-00225,20.225,0.30858,75.6535,48.3361,0.42344,pass,0.123,low
HINSP-00226,21.9847,0.37686,58.9179,48.8774,1.07109,pass,0.1853,low
HINSP-00227,20.2703,0.33007,79.256,55.5648,0.84904,pass,0.1701,low
HINSP-00228,25.002,0.24749,71.0593,48.8246,0.65418,pass,0.1487,low
HINSP-00229,21.2865,0.24333,72.5644,59.5009,0.60095,pass,0.1361,low
HINSP-00230,21.624,0.25089,84.1692,53.1689,0.73365,pass,0.1444,low
HINSP-00231,17.4262,0.16343,74.538,50.3917,0.38108,pass,0.1369,low
HINSP-00232,23.3777,0.17669,70.398,49.8895,0.73405,pass,0.1237,low
HINSP-00233,24.4318,0.21363,66.4435,44.7276,0.17149,pass,0.1211,low
HINSP-00234,20.8779,0.30232,72.6337,46.9177,0.92609,pass,0.1357,low
HINSP-00235,23.6571,0.16467,74.0768,49.1969,0.85546,pass,0.1175,low
HINSP-00236,20.9447,0.19964,55.9098,54.2828,0.5155,pass,0.168,low
HINSP-00237,23.2323,0.42737,73.7905,56.4407,0.92327,pass,0.1758,low
HINSP-00238,22.9567,0.21186,72.6034,47.7264,0.70281,pass,0.1115,low
HINSP-00239,22.3374,0.24368,70.5755,51.1393,0.87749,pass,0.1296,low
HINSP-00240,22.8145,0.22764,67.07,57.5989,1.05738,pass,0.1653,low
HINSP-00241,20.2613,0.30009,71.3742,57.3579,0.46177,pass,0.1519,low
HINSP-00242,25.4228,0.31105,70.9901,53.0351,0.89421,pass,0.184,low
HINSP-00243,21.4441,0.42423,63.2494,53.3451,0.73001,pass,0.1835,low
HINSP-00244,23.9133,0.18396,73.0934,56.1938,0.91691,pass,0.1452,low
HINSP-00245,19.6207,0.21903,68.5694,53.0835,0.64452,pass,0.1527,low
HINSP-00246,23.081,0.30132,75.7045,45.5693,0.59451,pass,0.1137,low
HINSP-00247,22.3789,0.22304,68.2992,59.0921,0.43757,pass,0.1338,low
HINSP-00248,19.5252,0.40657,71.7488,54.706,0.45553,pass,0.1717,low
HINSP-00249,23.2042,0.29838,77.1337,53.6939,0.88107,pass,0.1488,low
HINSP-00250,20.7471,0.30326,64.4917,55.505,0.63756,pass,0.1697,low
HINSP-00251,20.4091,0.21834,75.448,49.889,0.54778,pass,0.1135,low
HINSP-00252,20.0632,0.31465,70.8353,53.0743,0.98082,pass,0.1696,low
HINSP-00253,22.8288,0.35135,59.0784,57.0763,1.14593,pass,0.2124,low
HINSP-00254,23.7519,0.19731,72.9518,58.764,0.93551,pass,0.1523,low
HINSP-00255,21.3936,0.19889,78.1749,46.8685,0.43865,pass,0.0947,low
HINSP-00256,22.3283,0.21416,66.4814,49.8945,0.44165,pass,0.1166,low
HINSP-00257,24.7684,0.28031,62.3495,54.3355,1.00384,pass,0.2037,low
HINSP-00258,23.3718,0.12424,71.6499,48.8722,0.68106,pass,0.1067,low
HINSP-00259,22.8557,0.36308,60.3625,62.6934,1.15146,pass,0.2237,low
HINSP-00260,20.5733,0.16888,78.7046,52.475,0.65192,pass,0.1229,low
HINSP-00261,22.8328,0.27441,52.6603,52.6696,0.83985,pass,0.1967,low
HINSP-00262,20.9389,0.16862,50.7874,44.3573,0.57999,pass,0.1586,low
HINSP-00263,20.3788,0.18894,73.7381,53.8731,0.83105,pass,0.1317,low
HINSP-00264,22.9146,0.30701,79.8094,52.0835,0.67089,pass,0.1426,low
HINSP-00265,20.5673,0.20674,70.0601,50.2035,0.49032,pass,0.1214,low
HINSP-00266,21.9692,0.25528,68.5865,55.4181,0.89556,pass,0.1439,low
HINSP-00267,23.7427,0.15498,79.21,40.299,0.36722,pass,0.0873,low
HINSP-00268,21.3413,0.31153,67.5591,43.5906,0.65531,pass,0.1282,low
HINSP-00269,22.1346,0.36533,67.5482,53.3119,0.96783,pass,0.1649,low
HINSP-00270,22.433,0.25589,77.6305,55.6045,0.4731,pass,0.1214,low
HINSP-00271,22.6901,0.24588,70.4952,52.2125,0.7969,pass,0.1339,low
HINSP-00272,20.6968,0.26455,64.8499,50.6371,0.44937,pass,0.1444,low
HINSP-00273,19.0664,0.19966,65.8699,49.133,0.41756,pass,0.1467,low
HINSP-00274,20.8852,0.3474,76.9078,55.623,0.90833,pass,0.1606,low
HINSP-00275,19.1817,0.42754,59.0263,50.2488,0.67684,pass,0.2166,low
HINSP-00276,20.9971,0.08638,74.0974,46.1222,0.87725,pass,0.09,low
HINSP-00277,18.9996,0.2524,71.8723,55.8957,1.05596,pass,0.179,low
HINSP-00278,19.1692,0.25123,68.7055,45.4967,0.68706,pass,0.148,low
HINSP-00279,23.8517,0.33988,74.9566,59.2249,0.75051,pass,0.165,low
HINSP-00280,23.1201,0.31801,68.459,55.9233,0.88539,pass,0.1694,low
HINSP-00281,22.5804,0.16768,81.0711,48.478,0.51658,pass,0.1046,low
HINSP-00282,22.9819,0.14182,57.7156,51.0044,0.67519,pass,0.1511,low
HINSP-00283,21.0769,0.17077,57.9924,48.5341,0.56201,pass,0.1442,low
HINSP-00284,23.2996,0.13229,81.3877,47.8753,0.95171,pass,0.1249,low
HINSP-00285,21.2218,0.24559,56.8619,42.885,0.76278,pass,0.1535,low
HINSP-00286,23.5021,0.28461,76.0542,54.1009,0.53917,pass,0.1343,low
HINSP-00287,20.7745,0.40998,67.6742,55.758,0.86709,pass,0.1874,low
HINSP-00288,22.2795,0.28078,81.6499,52.4799,0.91148,pass,0.1461,low
HINSP-00289,25.3501,0.29883,82.5026,59.4792,0.72468,pass,0.1992,low
HINSP-00290,18.6086,0.25045,61.7043,57.8072,1.36716,pass,0.231,low
HINSP-00291,23.3921,0.34863,79.286,48.9185,0.93806,pass,0.1576,low
HINSP-00292,23.12,0.28401,77.2739,54.1902,0.40705,pass,0.1279,low
HINSP-00293,24.7412,0.19871,79.3407,56.9692,0.76754,pass,0.1613,low
HINSP-00294,21.3671,0.20394,59.5759,55.3701,0.76656,pass,0.1648,low
HINSP-00295,24.3444,0.32969,59.2629,59.2047,0.95315,pass,0.2247,low
HINSP-00296,24.123,0.24936,67.8757,53.4849,0.65556,pass,0.1579,low
HINSP-00297,22.3386,0.14125,72.013,45.0687,0.47482,pass,0.0785,low
HINSP-00298,21.2686,0.30113,59.8086,51.6534,1.2746,pass,0.1936,low
HINSP-00299,23.9055,0.25459,63.5554,51.916,0.71818,pass,0.1679,low
HINSP-00300,23.3869,0.32245,64.4513,47.3828,0.86638,pass,0.1656,low
HINSP-00301,23.9182,0.27591,59.7716,52.97,1.12665,pass,0.2017,low
HINSP-00302,23.4692,0.3656,74.5051,50.9001,1.0468,pass,0.1588,low
HINSP-00303,21.9749,0.26435,70.6078,53.0292,0.84137,pass,0.1318,low
HINSP-00304,23.0983,0.2551,70.8779,54.7639,0.53896,pass,0.1349,low
HINSP-00305,22.8685,0.36014,60.1197,62.5539,0.75432,pass,0.2079,low
HINSP-00306,20.9528,0.37091,62.9502,59.6694,0.84939,pass,0.2008,low
HINSP-00307,22.6431,0.27896,76.8232,53.3393,0.7705,pass,0.1323,low
HINSP-00308,18.2727,0.18176,73.722,42.015,0.74854,pass,0.1275,low
HINSP-00309,23.8816,0.36118,68.6,50.7543,1.06032,pass,0.1813,low
HINSP-00310,24.3692,0.39443,56.4915,53.1081,1.08046,pass,0.2355,low
HINSP-00311,20.2635,0.29663,66.6106,52.8023,0.52994,pass,0.158,low
HINSP-00312,21.8356,0.27095,64.2176,52.5792,0.94699,pass,0.157,low
HINSP-00313,21.084,0.30028,74.4844,53.4878,0.86808,pass,0.1396,low
HINSP-00314,20.4925,0.23933,53.5054,49.832,0.76263,pass,0.1875,low
HINSP-00315,21.5979,0.40467,74.123,49.6536,1.05896,pass,0.1505,low
HINSP-00316,17.7602,0.21417,69.8139,48.7054,0.65128,pass,0.1623,low
HINSP-00317,20.6138,0.20547,70.7843,52.7608,0.86222,pass,0.1391,low
HINSP-00318,21.5562,0.1743,72.258,51.9741,0.27617,pass,0.0922,low
HINSP-00319,23.667,0.33743,65.2455,52.8269,0.82383,pass,0.1799,low
HINSP-00320,19.8916,0.16409,82.019,50.555,0.82999,pass,0.1435,low
HINSP-00321,25.9125,0.21103,68.6483,53.3189,0.57067,pass,0.1683,low
HINSP-00322,23.8363,0.3038,64.971,57.8509,0.64363,pass,0.1813,low
HINSP-00323,22.3975,0.23149,76.6432,55.6072,0.39386,pass,0.1107,low
HINSP-00324,20.4188,0.1868,74.0164,49.0312,0.61397,pass,0.1104,low
HINSP-00325,21.9372,0.37913,69.9124,54.5414,0.97381,pass,0.1622,low
