component_uid,component_code,component_name,design_id,material_batch_id,manufacturing_batch_id,assembly_id,maintenance_record_id,operation_hours,oil_age_ratio,material_risk_score,manufacturing_risk_score,assembly_risk_score,operation_risk_score,pipe_design_id,pipe_design_risk_score,design_risk_score,inspection_id,inspection_risk_score,overall_lifecycle_risk,overall_lifecycle_risk_level
HCU-00019,C009,单向阀,HDES-00907,HMAT-00087,HMAN-00753,HASM-00019,HOPR-00019,3032.4,0.4325,0.1415,0.3896,0.2938,0.3171,,0.0,0.1303,HINSP-00019,0.1594,0.2471,low
HCU-00020,C001,液压泵总成,HDES-01082,HMAT-00597,HMAN-00174,HASM-00020,HOPR-00020,1762.5,0.5946,0.2313,0.2189,0.0882,0.3746,,0.0,0.1483,HINSP-00020,0.1333,0.2077,low
HCU-00021,C010,节流阀,HDES-00035,HMAT-00565,HMAN-00937,HASM-00021,HOPR-00021,6588.6,0.2959,0.3194,0.3832,0.2188,0.3534,,0.0,0.078,HINSP-00021,0.1293,0.2562,medium
HCU-00022,C011,管路总成,HDES-00843,HMAT-00596,HMAN-00492,HASM-00022,HOPR-00022,6692.7,0.5785,0.3032,0.2094,0.3511,0.54,HPIP-00006,0.4457,0.3814,HINSP-00022,0.2068,0.3453,medium
HCU-00023,C004,溢流阀,HDES-00037,HMAT-00115,HMAN-00557,HASM-00023,HOPR-00023,1349.3,0.3678,0.2099,0.326,0.122,0.2096,,0.0,0.0807,HINSP-00023,0.0958,0.18,low
HCU-00024,C003,作动筒,HDES-00259,HMAT-00429,HMAN-00292,HASM-00024,HOPR-00024,2822.7,0.3594,0.1728,0.1956,0.0712,0.2917,,0.0,0.1508,HINSP-00024,0.0885,0.1702,low
HCU-00025,C012,卸荷阀,HDES-00968,HMAT-00446,HMAN-00196,HASM-00025,HOPR-00025,3665.2,0.3669,0.2585,0.2349,0.1984,0.2871,,0.0,0.1697,HINSP-00025,0.1585,0.2228,low
HCU-00026,C005,蓄能器,HDES-00049,HMAT-00420,HMAN-00760,HASM-00026,HOPR-00026,4547.6,0.3675,0.3485,0.0188,0.4106,0.2742,,0.0,0.1486,HINSP-00026,0.1237,0.2241,low
HCU-00027,C009,单向阀,HDES-00542,HMAT-00163,HMAN-00302,HASM-00027,HOPR-00027,5157.5,0.356,0.3882,0.2745,0.2312,0.4371,,0.0,0.0895,HINSP-00027,0.1466,0.2705,medium
HCU-00028,C008,液压油箱,HDES-00612,HMAT-00191,HMAN-00171,HASM-00028,HOPR-00028,6344.1,0.3848,0.3196,0.531,0.1684,0.4759,,0.0,0.2168,HINSP-00028,0.2172,0.3334,medium
HCU-00029,C007,过滤器,HDES-00258,HMAT-00244,HMAN-00745,HASM-00029,HOPR-00029,5680.3,0.2424,0.3356,0.3397,0.2212,0.3637,,0.0,0.0,HINSP-00029,0.1047,0.2367,low
HCU-00030,C007,过滤器,HDES-00151,HMAT-00303,HMAN-00842,HASM-00030,HOPR-00030,4230.6,0.2115,0.3394,0.322,0.1147,0.249,,0.0,0.208,HINSP-00030,0.1575,0.2363,low
HCU-00031,C005,蓄能器,HDES-00274,HMAT-00399,HMAN-00414,HASM-00031,HOPR-00031,3359.1,0.0652,0.3814,0.383,0.1803,0.1416,,0.0,0.0158,HINSP-00031,0.1241,0.2054,low
HCU-00032,C011,管路总成,HDES-00112,HMAT-00317,HMAN-01108,HASM-00032,HOPR-00032,4423.1,0.2136,0.1876,0.2951,0.1392,0.1611,HPIP-00007,0.3538,0.2678,HINSP-00032,0.1348,0.202,low
HCU-00033,C011,管路总成,HDES-00635,HMAT-00408,HMAN-00914,HASM-00033,HOPR-00033,1363.0,0.3967,0.1925,0.3221,0.2029,0.2711,HPIP-00008,0.29,0.2678,HINSP-00033,0.1667,0.244,low
HCU-00034,C008,液压油箱,HDES-00152,HMAT-00540,HMAN-01071,HASM-00034,HOPR-00034,2563.2,0.3154,0.2197,0.4428,0.198,0.2014,,0.0,0.2365,HINSP-00034,0.2137,0.2549,medium
HCU-00035,C004,溢流阀,HDES-00674,HMAT-00429,HMAN-00746,HASM-00035,HOPR-00035,4991.4,0.1922,0.1728,0.1492,0.0816,0.2785,,0.0,0.1839,HINSP-00035,0.1087,0.1691,low
HCU-00036,C003,作动筒,HDES-00904,HMAT-00275,HMAN-01095,HASM-00036,HOPR-00036,4419.2,0.4422,0.4696,0.2391,0.2642,0.3322,,0.0,0.0644,HINSP-00036,0.1548,0.2581,medium
HCU-00037,C002,方向控制阀,HDES-00957,HMAT-00176,HMAN-00953,HASM-00037,HOPR-00037,1510.1,0.8721,0.3035,0.2137,0.2072,0.5114,,0.0,0.3225,HINSP-00037,0.1436,0.2984,medium
HCU-00038,C010,节流阀,HDES-00766,HMAT-00374,HMAN-00991,HASM-00038,HOPR-00038,3395.2,0.147,0.2817,0.3015,0.1057,0.2484,,0.0,0.4038,HINSP-00038,0.2412,0.2662,medium
HCU-00039,C003,作动筒,HDES-00653,HMAT-00254,HMAN-00654,HASM-00039,HOPR-00039,2062.4,0.2265,0.4233,0.2799,0.3089,0.1411,,0.0,0.0809,HINSP-00039,0.1366,0.2284,low
HCU-00040,C011,管路总成,HDES-00912,HMAT-00354,HMAN-00178,HASM-00040,HOPR-00040,4408.3,0.4602,0.1451,0.2533,0.3506,0.4529,HPIP-00009,0.3637,0.2939,HINSP-00040,0.1456,0.2879,medium
HCU-00041,C006,冷却器,HDES-00742,HMAT-00557,HMAN-00708,HASM-00041,HOPR-00041,848.6,0.1408,0.4711,0.3464,0.1908,0.065,,0.0,0.0606,HINSP-00041,0.1357,0.209,low
HCU-00042,C002,方向控制阀,HDES-00630,HMAT-00296,HMAN-00365,HASM-00042,HOPR-00042,1595.2,0.3227,0.3202,0.1117,0.2148,0.2304,,0.0,0.2162,HINSP-00042,0.1332,0.2075,low
HCU-00043,C002,方向控制阀,HDES-00019,HMAT-00219,HMAN-00129,HASM-00043,HOPR-00043,3175.0,0.3822,0.2138,0.3833,0.151,0.3186,,0.0,0.1532,HINSP-00043,0.1145,0.2328,low
HCU-00044,C002,方向控制阀,HDES-00762,HMAT-00234,HMAN-00862,HASM-00044,HOPR-00044,2306.0,0.4911,0.3496,0.1767,0.2575,0.3033,,0.0,0.0121,HINSP-00044,0.116,0.2071,low
HCU-00045,C011,管路总成,HDES-00577,HMAT-00505,HMAN-00401,HASM-00045,HOPR-00045,3966.2,0.3864,0.2413,0.5384,0.2338,0.3279,HPIP-00010,0.265,0.1785,HINSP-00045,0.1684,0.2915,medium
HCU-00046,C012,卸荷阀,HDES-01129,HMAT-00054,HMAN-01186,HASM-00046,HOPR-00046,1992.4,0.4197,0.2931,0.25,0.3362,0.3103,,0.0,0.1982,HINSP-00046,0.1595,0.2643,medium
HCU-00047,C004,溢流阀,HDES-00789,HMAT-00545,HMAN-00357,HASM-00047,HOPR-00047,3929.7,0.2834,0.1883,0.3512,0.1593,0.2119,,0.0,0.4565,HINSP-00047,0.153,0.2618,medium
HCU-00048,C006,冷却器,HDES-00292,HMAT-00342,HMAN-00331,HASM-00048,HOPR-00048,7785.8,0.7963,0.3116,0.2015,0.2901,0.7081,,0.0,0.0999,HINSP-00048,0.1863,0.3155,medium
HCU-00049,C002,方向控制阀,HDES-00233,HMAT-00420,HMAN-00247,HASM-00049,HOPR-00049,3388.3,0.3414,0.3485,0.1521,0.2757,0.3228,,0.0,0.3285,HINSP-00049,0.1389,0.269,medium
HCU-00050,C009,单向阀,HDES-01183,HMAT-00117,HMAN-00576,HASM-00050,HOPR-00050,5790.3,0.1798,0.3082,0.33,0.1136,0.309,,0.0,0.1731,HINSP-00050,0.1449,0.2369,low
HCU-00051,C009,单向阀,HDES-00263,HMAT-00509,HMAN-01055,HASM-00051,HOPR-00051,1399.4,0.3058,0.6508,0.2664,0.2214,0.2614,,0.0,0.2613,HINSP-00051,0.205,0.3116,medium
HCU-00052,C011,管路总成,HDES-00892,HMAT-00082,HMAN-00507,HASM-00052,HOPR-00052,10077.2,0.2918,0.1369,0.3714,0.249,0.5031,HPIP-00011,0.4895,0.3182,HINSP-00052,0.1691,0.3076,medium
HCU-00053,C004,溢流阀,HDES-00058,HMAT-00165,HMAN-01016,HASM-00053,HOPR-00053,3133.0,0.6185,0.2059,0.1462,0.1965,0.4492,,0.0,0.1478,HINSP-00053,0.1249,0.2228,low
HCU-00054,C009,单向阀,HDES-00672,HMAT-00280,HMAN-00447,HASM-00054,HOPR-00054,477.5,0.7326,0.1298,0.2558,0.0745,0.424,,0.0,0.1073,HINSP-00054,0.1239,0.1972,low
HCU-00055,C012,卸荷阀,HDES-00964,HMAT-00494,HMAN-01139,HASM-00055,HOPR-00055,2131.8,0.4946,0.4614,0.1443,0.4384,0.3173,,0.0,0.3304,HINSP-00055,0.1249,0.311,medium
HCU-00056,C011,管路总成,HDES-00290,HMAT-00074,HMAN-00974,HASM-00056,HOPR-00056,3023.6,0.18,0.3305,0.3146,0.0771,0.2313,HPIP-00012,0.2461,0.2446,HINSP-00056,0.1797,0.2327,low
HCU-00057,C011,管路总成,HDES-00169,HMAT-00553,HMAN-01045,HASM-00057,HOPR-00057,2969.6,0.517,0.2768,0.4561,0.2998,0.3533,HPIP-00013,0.2032,0.2632,HINSP-00057,0.2487,0.3227,medium
HCU-00058,C009,单向阀,HDES-00145,HMAT-00156,HMAN-00711,HASM-00058,HOPR-00058,5906.4,0.58,0.3865,0.1835,0.2141,0.4556,,0.0,0.2933,HINSP-00058,0.2053,0.2978,medium
HCU-00059,C002,方向控制阀,HDES-01072,HMAT-00105,HMAN-01130,HASM-00059,HOPR-00059,3892.2,0.3813,0.3649,0.226,0.4319,0.3113,,0.0,0.2531,HINSP-00059,0.1577,0.2977,medium
HCU-00060,C011,管路总成,HDES-00965,HMAT-00038,HMAN-00014,HASM-00060,HOPR-00060,3776.7,0.2274,0.1288,0.1881,0.1187,0.2027,HPIP-00014,0.619,0.4213,HINSP-00060,0.1506,0.2076,low
HCU-00061,C004,溢流阀,HDES-00490,HMAT-00039,HMAN-00474,HASM-00061,HOPR-00061,8226.7,0.2916,0.1671,0.2258,0.1523,0.434,,0.0,0.0143,HINSP-00061,0.1336,0.1973,low
HCU-00062,C009,单向阀,HDES-00417,HMAT-00107,HMAN-00752,HASM-00062,HOPR-00062,3952.7,0.2088,0.3481,0.286,0.1708,0.2087,,0.0,0.311,HINSP-00062,0.1202,0.2472,low
HCU-00063,C011,管路总成,HDES-00711,HMAT-00175,HMAN-00226,HASM-00063,HOPR-00063,3082.8,0.2907,0.3195,0.4534,0.3368,0.258,HPIP-00015,0.2304,0.255,HINSP-00063,0.2146,0.3111,medium
HCU-00064,C011,管路总成,HDES-00112,HMAT-00319,HMAN-00078,HASM-00064,HOPR-00064,1689.2,0.2739,0.5402,0.3556,0.1806,0.1489,HPIP-00016,0.3756,0.282,HINSP-00064,0.1792,0.2814,medium
HCU-00065,C005,蓄能器,HDES-00197,HMAT-00179,HMAN-00774,HASM-00065,HOPR-00065,6898.8,0.1714,0.488,0.2303,0.2937,0.313,,0.0,0.3308,HINSP-00065,0.1344,0.3064,medium
HCU-00066,C008,液压油箱,HDES-00924,HMAT-00099,HMAN-00514,HASM-00066,HOPR-00066,3404.9,0.4145,0.2333,0.1612,0.1521,0.3191,,0.0,0.4395,HINSP-00066,0.1161,0.2479,low
HCU-00067,C005,蓄能器,HDES-00371,HMAT-00507,HMAN-01195,HASM-00067,HOPR-00067,5988.0,0.3906,0.2344,0.1728,0.1566,0.4188,,0.0,0.0089,HINSP-00067,0.1245,0.1943,low
HCU-00068,C008,液压油箱,HDES-01006,HMAT-00138,HMAN-00033,HASM-00068,HOPR-00068,2065.8,0.5576,0.3946,0.4447,0.1541,0.3699,,0.0,0.0955,HINSP-00068,0.159,0.278,medium
HCU-00069,C006,冷却器,HDES-01095,HMAT-00442,HMAN-00406,HASM-00069,HOPR-00069,4087.3,0.9592,0.0901,0.2178,0.4692,0.6237,,0.0,0.0271,HINSP-00069,0.1976,0.2847,medium
HCU-00070,C005,蓄能器,HDES-00101,HMAT-00205,HMAN-01149,HASM-00070,HOPR-00070,1588.2,0.4144,0.4138,0.1879,0.2031,0.2615,,0.0,0.2123,HINSP-00070,0.1586,0.2425,low
HCU-00071,C001,液压泵总成,HDES-01082,HMAT-00314,HMAN-00708,HASM-00071,HOPR-00071,9489.9,0.0866,0.4648,0.3464,0.5328,0.2835,,0.0,0.1483,HINSP-00071,0.1766,0.3301,medium
HCU-00072,C009,单向阀,HDES-00478,HMAT-00115,HMAN-00095,HASM-00072,HOPR-00072,5384.3,0.6393,0.2099,0.6242,0.2481,0.4972,,0.0,0.1919,HINSP-00072,0.1724,0.3411,medium
HCU-00073,C012,卸荷阀,HDES-00422,HMAT-00248,HMAN-00464,HASM-00073,HOPR-00073,2756.7,0.3883,0.1604,0.1581,0.1834,0.3213,,0.0,0.3419,HINSP-00073,0.1039,0.2225,low
HCU-00074,C011,管路总成,HDES-01169,HMAT-00385,HMAN-00999,HASM-00074,HOPR-00074,7161.2,0.1723,0.0503,0.3615,0.2527,0.3097,HPIP-00017,0.2074,0.2775,HINSP-00074,0.1873,0.2486,low
HCU-00075,C012,卸荷阀,HDES-00373,HMAT-00368,HMAN-00190,HASM-00075,HOPR-00075,2031.3,0.0452,0.2305,0.2812,0.298,0.1313,,0.0,0.1521,HINSP-00075,0.1599,0.2094,low
HCU-00076,C002,方向控制阀,HDES-00977,HMAT-00084,HMAN-00929,HASM-00076,HOPR-00076,3914.6,0.3184,0.4325,0.3294,0.1422,0.2916,,0.0,0.2481,HINSP-00076,0.1963,0.2772,medium
HCU-00077,C008,液压油箱,HDES-00143,HMAT-00138,HMAN-00105,HASM-00077,HOPR-00077,3617.3,0.4618,0.3946,0.3119,0.2783,0.3608,,0.0,0.1416,HINSP-00077,0.1581,0.2816,medium
HCU-00078,C007,过滤器,HDES-00533,HMAT-00064,HMAN-00037,HASM-00078,HOPR-00078,2581.0,0.6486,0.1869,0.2507,0.3308,0.3981,,0.0,0.3674,HINSP-00078,0.1619,0.2948,medium
HCU-00079,C007,过滤器,HDES-01016,HMAT-00380,HMAN-01149,HASM-00079,HOPR-00079,2071.0,0.6482,0.4056,0.1879,0.4317,0.3765,,0.0,0.1628,HINSP-00079,0.1967,0.2983,medium
HCU-00080,C008,液压油箱,HDES-00381,HMAT-00199,HMAN-00809,HASM-00080,HOPR-00080,4640.3,0.2538,0.3194,0.2982,0.3278,0.2819,,0.0,0.0,HINSP-00080,0.143,0.2326,low
HCU-00081,C012,卸荷阀,HDES-00093,HMAT-00019,HMAN-00319,HASM-00081,HOPR-00081,4129.1,0.2483,0.3322,0.2504,0.2402,0.3451,,0.0,0.0732,HINSP-00081,0.1151,0.2339,low
HCU-00082,C005,蓄能器,HDES-00634,HMAT-00101,HMAN-01100,HASM-00082,HOPR-00082,1751.0,0.0502,0.3795,0.3367,0.3099,0.0815,,0.0,0.0308,HINSP-00082,0.1177,0.2088,low
HCU-00083,C008,液压油箱,HDES-00856,HMAT-00573,HMAN-00507,HASM-00083,HOPR-00083,4701.3,0.2712,0.2472,0.3714,0.1632,0.2314,,0.0,0.0765,HINSP-00083,0.1608,0.2119,low
HCU-00084,C001,液压泵总成,HDES-00469,HMAT-00056,HMAN-00607,HASM-00084,HOPR-00084,1769.3,0.4533,0.1642,0.2947,0.3421,0.3682,,0.0,0.3594,HINSP-00084,0.1697,0.2945,medium
HCU-00085,C007,过滤器,HDES-01051,HMAT-00321,HMAN-00115,HASM-00085,HOPR-00085,2594.2,0.9075,0.4265,0.2579,0.1718,0.5921,,0.0,0.2329,HINSP-00085,0.1551,0.3213,medium
HCU-00086,C002,方向控制阀,HDES-00822,HMAT-00063,HMAN-00972,HASM-00086,HOPR-00086,3955.7,0.2036,0.3778,0.2153,0.3696,0.1804,,0.0,0.0992,HINSP-00086,0.1466,0.2321,low
HCU-00087,C011,管路总成,HDES-00757,HMAT-00462,HMAN-00395,HASM-00087,HOPR-00087,1135.5,0.207,0.2861,0.4459,0.3881,0.1486,HPIP-00018,0.4568,0.3535,HINSP-00087,0.1316,0.2998,medium
HCU-00088,C011,管路总成,HDES-00415,HMAT-00394,HMAN-00861,HASM-00088,HOPR-00088,685.9,0.3311,0.3979,0.1383,0.2153,0.2047,HPIP-00019,0.4099,0.3331,HINSP-00088,0.1065,0.2378,low
HCU-00089,C003,作动筒,HDES-00064,HMAT-00232,HMAN-00289,HASM-00089,HOPR-00089,2848.0,0.6274,0.1173,0.1316,0.1473,0.4753,,0.0,0.2954,HINSP-00089,0.1488,0.2321,low
HCU-00090,C008,液压油箱,HDES-00205,HMAT-00073,HMAN-00577,HASM-00090,HOPR-00090,2231.7,0.1249,0.3644,0.3267,0.321,0.0764,,0.0,0.3332,HINSP-00090,0.1717,0.2658,medium
HCU-00091,C009,单向阀,HDES-00658,HMAT-00580,HMAN-00164,HASM-00091,HOPR-00091,3098.7,0.4915,0.2565,0.2552,0.1217,0.3758,,0.0,0.0876,HINSP-00091,0.1134,0.2111,low
HCU-00092,C008,液压油箱,HDES-00341,HMAT-00265,HMAN-00449,HASM-00092,HOPR-00092,3601.8,0.5909,0.2634,0.3274,0.2719,0.4343,,0.0,0.1022,HINSP-00092,0.199,0.2744,medium
HCU-00093,C010,节流阀,HDES-00210,HMAT-00092,HMAN-00194,HASM-00093,HOPR-00093,2529.2,0.0945,0.2265,0.1279,0.3656,0.171,,0.0,0.1377,HINSP-00093,0.1614,0.1982,low
HCU-00094,C012,卸荷阀,HDES-00391,HMAT-00318,HMAN-00224,HASM-00094,HOPR-00094,966.0,0.0919,0.4166,0.3592,0.1842,0.0614,,0.0,0.0454,HINSP-00094,0.1923,0.2042,low
HCU-00095,C012,卸荷阀,HDES-00534,HMAT-00377,HMAN-00314,HASM-00095,HOPR-00095,2549.0,0.5016,0.3388,0.1847,0.2205,0.356,,0.0,0.1224,HINSP-00095,0.1145,0.2308,low
HCU-00096,C007,过滤器,HDES-01133,HMAT-00520,HMAN-00583,HASM-00096,HOPR-00096,5157.0,0.486,0.2603,0.0421,0.2667,0.4903,,0.0,0.4077,HINSP-00096,0.154,0.283,medium
HCU-00097,C011,管路总成,HDES-00671,HMAT-00199,HMAN-01139,HASM-00097,HOPR-00097,6128.9,0.1629,0.3194,0.1443,0.4275,0.2467,HPIP-00020,0.5922,0.4354,HINSP-00097,0.1522,0.2942,medium
HCU-00098,C011,管路总成,HDES-00876,HMAT-00127,HMAN-00547,HASM-00098,HOPR-00098,5013.6,0.5364,0.3311,0.1965,0.1505,0.4751,HPIP-00021,0.5289,0.3443,HINSP-00098,0.1624,0.2888,medium
HCU-00099,C009,单向阀,HDES-01083,HMAT-00303,HMAN-00295,HASM-00099,HOPR-00099,5244.6,0.4158,0.3394,0.3348,0.247,0.4336,,0.0,0.3038,HINSP-00099,0.1571,0.3152,medium
HCU-00100,C002,方向控制阀,HDES-00910,HMAT-00032,HMAN-01157,HASM-00100,HOPR-00100,2912.8,0.5199,0.4548,0.3269,0.074,0.3782,,0.0,0.2586,HINSP-00100,0.183,0.2865,medium
HCU-00101,C007,过滤器,HDES-00024,HMAT-00110,HMAN-00577,HASM-00101,HOPR-00101,2826.7,0.2397,0.0799,0.3267,0.0469,0.1869,,0.0,0.0192,HINSP-00101,0.1603,0.138,low
HCU-00102,C004,溢流阀,HDES-00828,HMAT-00063,HMAN-00766,HASM-00102,HOPR-00102,3785.3,0.2622,0.3778,0.3577,0.1387,0.2759,,0.0,0.0727,HINSP-00102,0.125,0.2304,low
HCU-00103,C004,溢流阀,HDES-00805,HMAT-00016,HMAN-00660,HASM-00103,HOPR-00103,4999.3,0.4786,0.4045,0.3247,0.1245,0.4008,,0.0,0.0916,HINSP-00103,0.1335,0.2557,medium
HCU-00104,C010,节流阀,HDES-00719,HMAT-00144,HMAN-00394,HASM-00104,HOPR-00104,5138.9,0.3751,0.2059,0.5203,0.3413,0.3691,,0.0,0.0546,HINSP-00104,0.2292,0.2935,medium
HCU-00105,C010,节流阀,HDES-00445,HMAT-00294,HMAN-00413,HASM-00105,HOPR-00105,5828.8,0.4714,0.3035,0.2704,0.2792,0.4747,,0.0,0.1481,HINSP-00105,0.1534,0.2832,medium
HCU-00106,C005,蓄能器,HDES-00340,HMAT-00473,HMAN-01098,HASM-00106,HOPR-00106,2907.7,0.1395,0.1868,0.1901,0.3184,0.1468,,0.0,0.1163,HINSP-00106,0.1271,0.1825,low
HCU-00107,C011,管路总成,HDES-00812,HMAT-00526,HMAN-01056,HASM-00107,HOPR-00107,4814.8,0.3299,0.4544,0.2461,0.2085,0.3842,HPIP-00022,0.4985,0.4731,HINSP-00107,0.1819,0.3345,medium
HCU-00108,C012,卸荷阀,HDES-00802,HMAT-00242,HMAN-00543,HASM-00108,HOPR-00108,3414.5,0.0139,0.2524,0.5053,0.2224,0.1095,,0.0,0.3181,HINSP-00108,0.1708,0.2671,medium
HCU-00109,C001,液压泵总成,HDES-01149,HMAT-00134,HMAN-00005,HASM-00109,HOPR-00109,1245.6,0.4824,0.2127,0.2738,0.2855,0.2945,,0.0,0.1099,HINSP-00109,0.1418,0.2261,low
HCU-00110,C001,液压泵总成,HDES-00356,HMAT-00558,HMAN-00075,HASM-00110,HOPR-00110,5355.7,0.1969,0.2254,0.1566,0.3803,0.2834,,0.0,0.1074,HINSP-00110,0.1605,0.2226,low
HCU-00111,C006,冷却器,HDES-00831,HMAT-00340,HMAN-00971,HASM-00111,HOPR-00111,1631.5,0.4723,0.1115,0.3786,0.5103,0.3486,,0.0,0.433,HINSP-00111,0.1727,0.3394,medium
HCU-00112,C008,液压油箱,HDES-00612,HMAT-00570,HMAN-00978,HASM-00112,HOPR-00112,3573.4,0.4817,0.3881,0.3091,0.4319,0.3613,,0.0,0.2168,HINSP-00112,0.2,0.3244,medium
HCU-00113,C005,蓄能器,HDES-00632,HMAT-00066,HMAN-01090,HASM-00113,HOPR-00113,3989.7,0.1865,0.3715,0.1536,0.3794,0.1936,,0.0,0.1944,HINSP-00113,0.2181,0.2493,low
HCU-00114,C006,冷却器,HDES-01098,HMAT-00347,HMAN-01001,HASM-00114,HOPR-00114,2727.0,0.5705,0.2728,0.3351,0.1723,0.4433,,0.0,0.0633,HINSP-00114,0.1617,0.2511,medium
HCU-00115,C001,液压泵总成,HDES-00073,HMAT-00378,HMAN-00578,HASM-00115,HOPR-00115,1970.4,0.1693,0.4524,0.2888,0.2317,0.1624,,0.0,0.0714,HINSP-00115,0.1124,0.2215,low
HCU-00116,C011,管路总成,HDES-00052,HMAT-00167,HMAN-00260,HASM-00116,HOPR-00116,3904.3,0.2755,0.3166,0.4102,0.3108,0.3503,HPIP-00023,0.1548,0.1006,HINSP-00116,0.2229,0.29,medium
HCU-00117,C012,卸荷阀,HDES-00835,HMAT-00080,HMAN-00858,HASM-00117,HOPR-00117,1126.8,0.4489,0.2574,0.144,0.2416,0.245,,0.0,0.4582,HINSP-00117,0.2084,0.2626,medium
HCU-00118,C005,蓄能器,HDES-00390,HMAT-00485,HMAN-01123,HASM-00118,HOPR-00118,1800.6,0.5463,0.2984,0.4218,0.2082,0.3014,,0.0,0.0858,HINSP-00118,0.1684,0.2533,medium
