assembly_id,assembly_torque,seal_preload,alignment_error,operator_id,station_id,assembly_risk_score,assembly_risk_level
HASM-00047,35.715,0.856,0.0374,OP-H-178,ST-H-08,0.1593,low
HASM-00048,43.859,1.447,0.067,OP-H-094,ST-H-17,0.2901,medium
HASM-00049,33.112,0.97,0.0921,OP-H-034,ST-H-17,0.2757,medium
HASM-00050,37.875,1.008,0.0561,OP-H-166,ST-H-05,0.1136,low
HASM-00051,37.506,0.56,0.0154,OP-H-072,ST-H-22,0.2214,low
HASM-00052,37.666,1.372,0.0445,OP-H-057,ST-H-25,0.249,low
HASM-00053,47.338,1.006,0.079,OP-H-029,ST-H-26,0.1965,low
HASM-00054,45.272,0.942,0.0202,OP-H-170,ST-H-11,0.0745,low
HASM-00055,32.617,1.576,0.0926,OP-H-173,ST-H-31,0.4384,medium
HASM-00056,44.837,1.141,0.0419,OP-H-026,ST-H-23,0.0771,low
HASM-00057,33.119,1.046,0.1134,OP-H-084,ST-H-34,0.2998,medium
HASM-00058,49.221,1.05,0.0604,OP-H-026,ST-H-12,0.2141,low
HASM-00059,54.535,1.431,0.0777,OP-H-071,ST-H-24,0.4319,medium
HASM-00060,43.279,1.035,0.0554,OP-H-170,ST-H-08,0.1187,low
HASM-00061,46.472,0.79,0.0235,OP-H-067,ST-H-26,0.1523,low
HASM-00062,35.277,1.121,0.0271,OP-H-138,ST-H-05,0.1708,low
HASM-00063,50.542,0.732,0.1338,OP-H-098,ST-H-18,0.3368,medium
HASM-00064,45.893,0.681,0.0301,OP-H-087,ST-H-34,0.1806,low
HASM-00065,37.672,1.345,0.0959,OP-H-001,ST-H-39,0.2937,medium
HASM-00066,28.572,0.995,0.0915,OP-H-119,ST-H-22,0.1521,low
HASM-00067,45.581,1.099,0.0696,OP-H-017,ST-H-34,0.1566,low
HASM-00068,41.149,0.692,0.0337,OP-H-017,ST-H-10,0.1541,low
HASM-00069,48.648,0.999,0.2267,OP-H-099,ST-H-24,0.4692,medium
HASM-00070,37.778,0.79,0.084,OP-H-084,ST-H-12,0.2031,low
HASM-00071,50.137,1.349,0.219,OP-H-086,ST-H-07,0.5328,high
HASM-00072,37.84,1.264,0.0515,OP-H-018,ST-H-36,0.2481,low
HASM-00073,40.539,0.711,0.0137,OP-H-009,ST-H-12,0.1834,low
HASM-00074,57.165,1.053,0.0689,OP-H-059,ST-H-30,0.2527,medium
HASM-00075,45.863,0.631,0.0327,OP-H-004,ST-H-06,0.298,medium
HASM-00076,45.01,1.219,0.0212,OP-H-129,ST-H-10,0.1422,low
HASM-00077,50.574,1.078,0.0827,OP-H-019,ST-H-11,0.2783,medium
HASM-00078,43.913,1.236,0.1201,OP-H-058,ST-H-04,0.3308,medium
HASM-00079,25.08,0.62,0.0878,OP-H-162,ST-H-38,0.4317,medium
HASM-00080,27.122,0.728,0.0554,OP-H-047,ST-H-01,0.3278,medium
HASM-00081,30.72,1.126,0.0505,OP-H-030,ST-H-08,0.2402,low
HASM-00082,50.916,0.767,0.0695,OP-H-047,ST-H-20,0.3099,medium
HASM-00083,45.901,0.856,0.0613,OP-H-179,ST-H-07,0.1632,low
HASM-00084,23.945,0.936,0.0562,OP-H-045,ST-H-26,0.3421,medium
HASM-00085,46.996,1.121,0.0581,OP-H-119,ST-H-11,0.1718,low
HASM-00086,19.713,1.099,0.0913,OP-H-111,ST-H-31,0.3696,medium
HASM-00087,33.271,0.836,0.1327,OP-H-102,ST-H-14,0.3881,medium
HASM-00088,47.072,1.366,0.0364,OP-H-048,ST-H-31,0.2153,low
HASM-00089,51.013,1.061,0.0324,OP-H-018,ST-H-20,0.1473,low
HASM-00090,29.716,0.625,0.0711,OP-H-040,ST-H-10,0.321,medium
HASM-00091,49.805,1.125,0.0646,OP-H-017,ST-H-16,0.1217,low
HASM-00092,45.517,0.98,0.1317,OP-H-003,ST-H-23,0.2719,medium
HASM-00093,30.469,1.238,0.1314,OP-H-085,ST-H-36,0.3656,medium
HASM-00094,40.95,1.15,0.0438,OP-H-030,ST-H-10,0.1842,low
HASM-00095,38.951,1.305,0.0698,OP-H-161,ST-H-09,0.2205,low
HASM-00096,31.031,1.443,0.0305,OP-H-029,ST-H-40,0.2667,medium
HASM-00097,72.649,1.141,0.0815,OP-H-109,ST-H-18,0.4275,medium
HASM-00098,50.145,1.002,0.0323,OP-H-038,ST-H-27,0.1505,low
HASM-00099,53.61,1.15,0.0368,OP-H-021,ST-H-18,0.247,low
HASM-00100,41.069,1.115,0.0298,OP-H-084,ST-H-15,0.074,low
HASM-00101,40.687,0.973,0.0355,OP-H-178,ST-H-29,0.0469,low
HASM-00102,36.912,0.721,0.0217,OP-H-014,ST-H-29,0.1387,low
HASM-00103,39.986,0.937,0.0667,OP-H-012,ST-H-01,0.1245,low
HASM-00104,19.922,0.79,0.055,OP-H-178,ST-H-08,0.3413,medium
HASM-00105,46.549,1.267,0.0981,OP-H-051,ST-H-27,0.2792,medium
HASM-00106,29.147,0.767,0.0442,OP-H-125,ST-H-03,0.3184,medium
HASM-00107,28.695,0.969,0.0685,OP-H-124,ST-H-24,0.2085,low
HASM-00108,45.906,0.762,0.0924,OP-H-160,ST-H-08,0.2224,low
HASM-00109,36.423,0.783,0.0729,OP-H-167,ST-H-06,0.2855,medium
HASM-00110,59.864,0.753,0.1068,OP-H-124,ST-H-20,0.3803,medium
HASM-00111,20.647,1.789,0.0182,OP-H-041,ST-H-02,0.5103,high
HASM-00112,22.094,1.123,0.1242,OP-H-083,ST-H-11,0.4319,medium
HASM-00113,33.74,1.362,0.1149,OP-H-144,ST-H-28,0.3794,medium
HASM-00114,33.446,0.889,0.031,OP-H-071,ST-H-03,0.1723,low
HASM-00115,28.509,1.214,0.053,OP-H-068,ST-H-19,0.2317,low
HASM-00116,37.211,1.112,0.1486,OP-H-125,ST-H-32,0.3108,medium
HASM-00117,54.178,0.865,0.0335,OP-H-017,ST-H-07,0.2416,low
HASM-00118,48.03,1.104,0.0955,OP-H-041,ST-H-39,0.2082,low
HASM-00119,38.17,1.031,0.1977,OP-H-064,ST-H-06,0.3094,medium
HASM-00120,35.514,0.737,0.0701,OP-H-137,ST-H-30,0.2789,medium
HASM-00121,25.488,1.248,0.1171,OP-H-098,ST-H-17,0.3604,medium
HASM-00122,47.651,1.035,0.1088,OP-H-025,ST-H-20,0.1522,low
HASM-00123,33.713,0.957,0.0906,OP-H-095,ST-H-40,0.2836,medium
HASM-00124,37.436,1.29,0.0312,OP-H-103,ST-H-36,0.131,low
HASM-00125,33.94,1.33,0.1213,OP-H-059,ST-H-34,0.3697,medium
HASM-00126,45.923,1.448,0.07,OP-H-086,ST-H-38,0.3412,medium
HASM-00127,46.166,0.646,0.0141,OP-H-152,ST-H-24,0.2203,low
HASM-00128,22.124,1.113,0.073,OP-H-097,ST-H-25,0.3429,medium
HASM-00129,36.737,0.81,0.0412,OP-H-105,ST-H-35,0.1778,low
HASM-00130,35.46,1.043,0.1101,OP-H-095,ST-H-05,0.177,low
HASM-00131,48.457,1.398,0.0668,OP-H-029,ST-H-32,0.2898,medium
HASM-00132,27.229,0.755,0.0587,OP-H-086,ST-H-12,0.2897,medium
HASM-00133,42.395,0.965,0.1808,OP-H-044,ST-H-39,0.2637,medium
HASM-00134,45.686,0.807,0.0576,OP-H-078,ST-H-39,0.2463,low
HASM-00135,56.309,0.918,0.1355,OP-H-011,ST-H-10,0.3061,medium
HASM-00136,45.183,0.654,0.0845,OP-H-167,ST-H-23,0.2863,medium
HASM-00137,48.13,0.463,0.0818,OP-H-102,ST-H-36,0.3241,medium
HASM-00138,50.978,0.696,0.043,OP-H-103,ST-H-04,0.2269,low
HASM-00139,51.265,0.859,0.0311,OP-H-144,ST-H-01,0.2138,low
HASM-00140,49.816,1.037,0.0221,OP-H-119,ST-H-04,0.107,low
HASM-00141,52.383,1.047,0.0086,OP-H-060,ST-H-04,0.1422,low
HASM-00142,26.837,0.968,0.0484,OP-H-033,ST-H-30,0.2432,low
HASM-00143,54.208,0.87,0.0636,OP-H-136,ST-H-28,0.2355,low
HASM-00144,38.871,0.702,0.1079,OP-H-033,ST-H-37,0.2828,medium
HASM-00145,51.985,0.782,0.1236,OP-H-124,ST-H-10,0.353,medium
HASM-00146,53.169,1.213,0.0681,OP-H-010,ST-H-11,0.254,medium
HASM-00147,53.281,0.924,0.0918,OP-H-059,ST-H-29,0.1528,low
HASM-00148,40.722,0.792,0.1443,OP-H-023,ST-H-36,0.2705,medium
HASM-00149,37.115,1.054,0.1999,OP-H-108,ST-H-06,0.3482,medium
HASM-00150,38.483,1.044,0.0087,OP-H-008,ST-H-30,0.0954,low
HASM-00151,49.465,0.881,0.0743,OP-H-082,ST-H-04,0.2569,medium
HASM-00152,49.797,1.002,0.0271,OP-H-164,ST-H-34,0.0681,low
HASM-00153,30.222,1.302,0.0652,OP-H-055,ST-H-14,0.2994,medium
HASM-00154,47.075,1.315,0.0925,OP-H-018,ST-H-35,0.2758,medium
HASM-00155,52.349,1.085,0.1148,OP-H-010,ST-H-19,0.2658,medium
HASM-00156,48.933,1.097,0.0597,OP-H-052,ST-H-37,0.1942,low
HASM-00157,54.932,0.854,0.0141,OP-H-074,ST-H-20,0.1666,low
HASM-00158,33.002,0.584,0.023,OP-H-105,ST-H-40,0.3192,medium
HASM-00159,50.105,1.192,0.0233,OP-H-051,ST-H-22,0.1631,low
HASM-00160,34.198,1.081,0.0296,OP-H-051,ST-H-34,0.1032,low
HASM-00161,56.474,1.311,0.0793,OP-H-085,ST-H-37,0.3932,medium
HASM-00162,37.469,0.837,0.0494,OP-H-103,ST-H-38,0.1102,low
HASM-00163,53.801,0.876,0.0862,OP-H-023,ST-H-34,0.222,low
HASM-00164,41.575,1.159,0.1623,OP-H-137,ST-H-40,0.3247,medium
HASM-00165,28.94,1.156,0.0411,OP-H-136,ST-H-24,0.2502,medium
HASM-00166,51.149,0.909,0.1242,OP-H-004,ST-H-36,0.2868,medium
HASM-00167,58.974,0.25,0.0994,OP-H-095,ST-H-40,0.6009,high
HASM-00168,46.32,1.284,0.0127,OP-H-002,ST-H-31,0.1339,low
HASM-00169,36.636,0.659,0.036,OP-H-006,ST-H-05,0.1561,low
HASM-00170,38.55,1.25,0.0345,OP-H-039,ST-H-40,0.1186,low
HASM-00171,47.378,0.933,0.0901,OP-H-029,ST-H-28,0.2002,low
HASM-00172,39.991,0.886,0.1308,OP-H-060,ST-H-40,0.2395,low
HASM-00173,43.296,1.298,0.0474,OP-H-052,ST-H-15,0.1555,low
HASM-00174,59.309,0.977,0.0168,OP-H-163,ST-H-02,0.1743,low
HASM-00175,40.26,0.366,0.1047,OP-H-167,ST-H-09,0.3969,medium
HASM-00176,38.415,1.218,0.0215,OP-H-120,ST-H-35,0.1695,low
HASM-00177,49.848,0.695,0.0349,OP-H-045,ST-H-09,0.2442,low
HASM-00178,33.656,0.983,0.0805,OP-H-012,ST-H-35,0.2991,medium
HASM-00179,41.98,0.992,0.0184,OP-H-060,ST-H-07,0.0716,low
HASM-00180,43.928,0.819,0.0338,OP-H-075,ST-H-25,0.0618,low
HASM-00181,45.913,1.277,0.062,OP-H-004,ST-H-11,0.2559,medium
HASM-00182,28.209,0.969,0.1026,OP-H-065,ST-H-20,0.2486,low
HASM-00183,50.089,1.104,0.0454,OP-H-068,ST-H-17,0.1785,low
HASM-00184,18.649,1.087,0.0458,OP-H-043,ST-H-02,0.3364,medium
HASM-00185,50.024,1.228,0.0817,OP-H-063,ST-H-03,0.2704,medium
HASM-00186,37.379,1.275,0.119,OP-H-002,ST-H-22,0.2898,medium
HASM-00187,63.892,0.361,0.2269,OP-H-013,ST-H-16,0.8014,critical
HASM-00188,43.842,1.248,0.0576,OP-H-089,ST-H-19,0.2247,low
HASM-00189,46.108,1.065,0.1388,OP-H-050,ST-H-13,0.2359,low
HASM-00190,31.115,0.842,0.0082,OP-H-124,ST-H-17,0.1608,low
HASM-00191,36.397,0.634,0.1048,OP-H-063,ST-H-19,0.3316,medium
HASM-00192,42.11,0.812,0.0155,OP-H-099,ST-H-05,0.0912,low
HASM-00193,57.46,0.964,0.0196,OP-H-172,ST-H-16,0.1575,low
HASM-00194,50.243,0.826,0.062,OP-H-107,ST-H-21,0.1994,low
HASM-00195,37.255,0.816,0.0726,OP-H-008,ST-H-30,0.1536,low
HASM-00196,52.718,1.216,0.096,OP-H-054,ST-H-19,0.2007,low
HASM-00197,43.486,1.069,0.0643,OP-H-082,ST-H-19,0.08,low
HASM-00198,36.227,1.279,0.0886,OP-H-167,ST-H-39,0.2472,low
HASM-00199,50.94,0.596,0.0155,OP-H-129,ST-H-40,0.2438,low
HASM-00200,50.136,0.709,0.1652,OP-H-044,ST-H-20,0.4384,medium
HASM-00201,47.858,1.133,0.0075,OP-H-123,ST-H-24,0.0833,low
HASM-00202,47.127,0.928,0.0125,OP-H-069,ST-H-11,0.0191,low
HASM-00203,41.294,1.011,0.0624,OP-H-084,ST-H-29,0.1644,low
HASM-00204,47.98,1.173,0.0848,OP-H-068,ST-H-23,0.1929,low
HASM-00205,52.489,1.315,0.1061,OP-H-155,ST-H-13,0.3714,medium
HASM-00206,51.523,1.261,0.0469,OP-H-151,ST-H-21,0.2202,low
HASM-00207,43.058,1.519,0.0674,OP-H-003,ST-H-20,0.2442,low
HASM-00208,51.916,1.212,0.1607,OP-H-054,ST-H-26,0.3583,medium
HASM-00209,53.755,1.28,0.2672,OP-H-149,ST-H-34,0.6365,high
HASM-00210,45.331,0.893,0.1866,OP-H-023,ST-H-29,0.3283,medium
HASM-00211,40.763,1.292,0.0148,OP-H-022,ST-H-20,0.1302,low
HASM-00212,36.19,1.224,0.0964,OP-H-002,ST-H-11,0.2571,medium
HASM-00213,45.605,0.839,0.1847,OP-H-111,ST-H-14,0.398,medium
HASM-00214,43.73,1.346,0.131,OP-H-039,ST-H-01,0.3427,medium
HASM-00215,39.111,1.298,0.0565,OP-H-177,ST-H-39,0.2115,low
HASM-00216,59.836,0.921,0.0135,OP-H-122,ST-H-05,0.2089,low
HASM-00217,26.614,0.941,0.0658,OP-H-139,ST-H-18,0.2947,medium
HASM-00218,44.515,1.023,0.0253,OP-H-126,ST-H-05,0.036,low
HASM-00219,31.393,0.918,0.0465,OP-H-172,ST-H-29,0.1385,low
HASM-00220,46.346,1.1,0.0677,OP-H-006,ST-H-31,0.1888,low
HASM-00221,41.036,0.729,0.1394,OP-H-121,ST-H-29,0.2715,medium
HASM-00222,53.203,0.621,0.0682,OP-H-110,ST-H-09,0.3412,medium
HASM-00223,41.906,0.714,0.1169,OP-H-127,ST-H-33,0.3048,medium
HASM-00224,36.869,1.069,0.0727,OP-H-012,ST-H-40,0.1572,low
HASM-00225,38.925,0.801,0.0297,OP-H-050,ST-H-16,0.1519,low
HASM-00226,59.707,1.769,0.0991,OP-H-001,ST-H-32,0.5878,high
HASM-00227,26.567,0.948,0.0573,OP-H-107,ST-H-33,0.1791,low
HASM-00228,39.122,0.783,0.0598,OP-H-075,ST-H-24,0.1918,low
HASM-00229,58.975,0.957,0.036,OP-H-067,ST-H-17,0.1824,low
HASM-00230,33.289,1.174,0.0817,OP-H-053,ST-H-01,0.284,medium
HASM-00231,35.573,1.115,0.0464,OP-H-149,ST-H-28,0.1441,low
HASM-00232,34.793,1.071,0.0252,OP-H-122,ST-H-05,0.1184,low
HASM-00233,43.468,1.13,0.0287,OP-H-047,ST-H-23,0.107,low
HASM-00234,39.675,0.814,0.0361,OP-H-139,ST-H-35,0.1627,low
HASM-00235,37.151,1.177,0.0971,OP-H-064,ST-H-13,0.1892,low
HASM-00236,43.464,0.675,0.0723,OP-H-089,ST-H-10,0.258,medium
HASM-00237,24.81,1.239,0.1327,OP-H-059,ST-H-28,0.3872,medium
HASM-00238,39.108,0.628,0.1038,OP-H-100,ST-H-02,0.3072,medium
HASM-00239,36.082,1.558,0.0376,OP-H-120,ST-H-31,0.2959,medium
HASM-00240,52.086,1.397,0.0961,OP-H-009,ST-H-26,0.3082,medium
HASM-00241,44.902,0.53,0.0276,OP-H-054,ST-H-32,0.3138,medium
HASM-00242,50.12,1.05,0.0596,OP-H-151,ST-H-05,0.125,low
HASM-00243,39.085,1.077,0.0842,OP-H-065,ST-H-34,0.1823,low
HASM-00244,47.231,1.159,0.0175,OP-H-147,ST-H-25,0.165,low
HASM-00245,38.986,0.977,0.0341,OP-H-068,ST-H-08,0.074,low
HASM-00246,32.684,1.384,0.0685,OP-H-149,ST-H-26,0.3274,medium
HASM-00247,48.588,0.645,0.0931,OP-H-162,ST-H-21,0.3176,medium
HASM-00248,50.859,0.783,0.0441,OP-H-149,ST-H-08,0.2222,low
HASM-00249,39.129,0.801,0.0097,OP-H-059,ST-H-16,0.1359,low
HASM-00250,49.899,0.969,0.0202,OP-H-093,ST-H-06,0.0865,low
HASM-00251,41.293,0.713,0.054,OP-H-040,ST-H-06,0.1436,low
HASM-00252,51.281,1.28,0.032,OP-H-010,ST-H-24,0.3063,medium
HASM-00253,30.234,0.974,0.1616,OP-H-096,ST-H-10,0.308,medium
HASM-00254,31.523,0.747,0.0503,OP-H-103,ST-H-12,0.2945,medium
HASM-00255,41.286,1.073,0.0412,OP-H-109,ST-H-01,0.1002,low
HASM-00256,44.33,0.94,0.0533,OP-H-143,ST-H-02,0.06,low
HASM-00257,47.083,0.837,0.0494,OP-H-060,ST-H-37,0.2136,low
HASM-00258,39.218,0.817,0.0785,OP-H-154,ST-H-39,0.1246,low
HASM-00259,56.889,0.937,0.047,OP-H-112,ST-H-28,0.2727,medium
HASM-00260,26.961,1.067,0.0461,OP-H-101,ST-H-20,0.2131,low
HASM-00261,36.107,1.207,0.1337,OP-H-069,ST-H-23,0.2745,medium
HASM-00262,57.685,1.251,0.0408,OP-H-066,ST-H-24,0.3114,medium
HASM-00263,40.762,1.013,0.0637,OP-H-010,ST-H-06,0.1153,low
HASM-00264,51.428,1.043,0.1155,OP-H-094,ST-H-17,0.2714,medium
HASM-00265,49.188,1.261,0.0184,OP-H-075,ST-H-30,0.15,low
HASM-00266,44.024,0.87,0.0431,OP-H-177,ST-H-28,0.0741,low
HASM-00267,38.178,0.807,0.0057,OP-H-139,ST-H-21,0.1415,low
HASM-00268,45.285,1.057,0.1172,OP-H-029,ST-H-25,0.148,low
HASM-00269,33.844,0.858,0.0575,OP-H-167,ST-H-35,0.2156,low
HASM-00270,35.35,1.096,0.0284,OP-H-130,ST-H-25,0.1391,low
HASM-00271,35.214,1.073,0.0318,OP-H-180,ST-H-38,0.095,low
HASM-00272,54.278,0.583,0.0586,OP-H-066,ST-H-08,0.3355,medium
HASM-00273,51.55,0.956,0.0551,OP-H-168,ST-H-11,0.1113,low
HASM-00274,21.77,1.035,0.0526,OP-H-009,ST-H-35,0.2915,medium
HASM-00275,54.563,1.433,0.0455,OP-H-003,ST-H-30,0.3029,medium
HASM-00276,43.744,1.262,0.0528,OP-H-147,ST-H-35,0.1781,low
HASM-00277,42.284,1.666,0.0469,OP-H-113,ST-H-39,0.3582,medium
HASM-00278,51.082,0.805,0.119,OP-H-092,ST-H-24,0.3903,medium
HASM-00279,51.309,1.518,0.0794,OP-H-180,ST-H-24,0.459,medium
HASM-00280,41.98,0.68,0.1019,OP-H-104,ST-H-40,0.2284,low
HASM-00281,47.022,1.135,0.051,OP-H-067,ST-H-39,0.2385,low
HASM-00282,44.651,1.079,0.0573,OP-H-024,ST-H-31,0.0927,low
HASM-00283,35.064,1.066,0.0281,OP-H-172,ST-H-27,0.234,low
HASM-00284,43.858,1.016,0.1025,OP-H-039,ST-H-33,0.1661,low
HASM-00285,34.35,0.777,0.0287,OP-H-017,ST-H-21,0.1722,low
HASM-00286,44.022,1.035,0.07,OP-H-118,ST-H-01,0.1069,low
HASM-00287,52.989,0.603,0.0344,OP-H-053,ST-H-25,0.3062,medium
HASM-00288,40.456,1.082,0.2726,OP-H-148,ST-H-31,0.4213,medium
HASM-00289,61.05,0.734,0.0536,OP-H-043,ST-H-02,0.3698,medium
HASM-00290,26.261,0.82,0.0837,OP-H-169,ST-H-05,0.3929,medium
HASM-00291,29.869,0.807,0.1896,OP-H-165,ST-H-36,0.4809,medium
HASM-00292,38.058,0.877,0.0816,OP-H-156,ST-H-39,0.2235,low
HASM-00293,49.777,1.035,0.1356,OP-H-156,ST-H-37,0.2727,medium
HASM-00294,39.914,1.101,0.0761,OP-H-064,ST-H-19,0.1593,low
HASM-00295,38.238,1.002,0.0103,OP-H-017,ST-H-12,0.025,low
HASM-00296,40.592,0.578,0.0577,OP-H-152,ST-H-03,0.216,low
HASM-00297,43.983,0.825,0.0257,OP-H-145,ST-H-22,0.0707,low
HASM-00298,42.124,0.44,0.0649,OP-H-082,ST-H-38,0.2936,medium
HASM-00299,51.119,1.704,0.1368,OP-H-078,ST-H-19,0.51,high
HASM-00300,50.544,1.214,0.0496,OP-H-008,ST-H-09,0.2222,low
HASM-00301,42.2,1.238,0.061,OP-H-022,ST-H-18,0.1212,low
HASM-00302,39.999,0.877,0.0276,OP-H-132,ST-H-27,0.153,low
HASM-00303,57.684,0.792,0.0202,OP-H-034,ST-H-35,0.2526,medium
HASM-00304,46.794,1.105,0.0692,OP-H-157,ST-H-27,0.1926,low
HASM-00305,37.001,1.026,0.0869,OP-H-080,ST-H-32,0.2177,low
HASM-00306,38.624,0.34,0.0503,OP-H-114,ST-H-28,0.3581,medium
HASM-00307,46.366,0.829,0.0806,OP-H-169,ST-H-13,0.3149,medium
HASM-00308,42.634,1.034,0.0507,OP-H-123,ST-H-21,0.0768,low
HASM-00309,26.384,0.818,0.109,OP-H-104,ST-H-24,0.4267,medium
HASM-00310,51.419,0.448,0.0514,OP-H-091,ST-H-07,0.3546,medium
HASM-00311,45.951,1.049,0.0716,OP-H-015,ST-H-29,0.1252,low
HASM-00312,38.301,0.802,0.0696,OP-H-016,ST-H-18,0.1928,low
HASM-00313,28.84,1.351,0.1173,OP-H-118,ST-H-21,0.4352,medium
HASM-00314,36.134,0.885,0.0457,OP-H-005,ST-H-02,0.1654,low
HASM-00315,26.592,0.682,0.0575,OP-H-147,ST-H-13,0.3205,medium
HASM-00316,51.687,1.165,0.0609,OP-H-113,ST-H-06,0.2505,medium
HASM-00317,36.034,1.075,0.0297,OP-H-092,ST-H-25,0.1067,low
HASM-00318,42.027,0.895,0.0441,OP-H-152,ST-H-34,0.1008,low
HASM-00319,37.632,1.459,0.1077,OP-H-133,ST-H-17,0.3833,medium
HASM-00320,42.842,0.829,0.0669,OP-H-006,ST-H-05,0.1258,low
HASM-00321,33.376,0.995,0.0595,OP-H-037,ST-H-28,0.1457,low
HASM-00322,45.492,0.916,0.0757,OP-H-161,ST-H-19,0.1542,low
HASM-00323,44.119,1.287,0.0304,OP-H-148,ST-H-23,0.222,low
HASM-00324,39.858,1.101,0.0704,OP-H-008,ST-H-11,0.1463,low
HASM-00325,45.199,1.214,0.1069,OP-H-145,ST-H-32,0.1927,low
HASM-00326,64.816,1.452,0.0721,OP-H-052,ST-H-04,0.5549,high
HASM-00327,39.356,0.59,0.0373,OP-H-023,ST-H-10,0.2577,medium
HASM-00328,45.899,1.103,0.0586,OP-H-066,ST-H-13,0.1597,low
HASM-00329,39.388,1.062,0.1911,OP-H-074,ST-H-05,0.2831,medium
HASM-00330,23.67,1.05,0.0267,OP-H-059,ST-H-03,0.2025,low
HASM-00331,43.915,0.546,0.1147,OP-H-152,ST-H-15,0.335,medium
HASM-00332,42.333,0.795,0.0752,OP-H-124,ST-H-06,0.1765,low
HASM-00333,39.648,1.257,0.2445,OP-H-166,ST-H-26,0.3479,medium
HASM-00334,45.506,1.045,0.1121,OP-H-176,ST-H-15,0.1904,low
HASM-00335,48.829,1.03,0.084,OP-H-026,ST-H-12,0.1444,low
HASM-00336,44.294,0.748,0.0787,OP-H-132,ST-H-11,0.2656,medium
HASM-00337,57.686,1.233,0.0566,OP-H-147,ST-H-23,0.3506,medium
