pipe_design_id,component_uid,L1,L2,L3,theta1,theta2,R,max_deformation,max_equivalent_stress,allowable_stress,design_risk_score,design_risk_level
HPIP-00096,HCU-00488,314.932,316.884,258.537,79.23,89.144,37.422,2.0974,270.036,385.903,0.2535,medium
HPIP-00097,HCU-00490,178.401,318.729,173.27,91.571,70.367,15.28,1.8292,311.562,368.797,0.4281,medium
HPIP-00098,HCU-00493,280.803,396.31,241.979,121.857,125.15,7.838,2.4124,381.454,349.464,0.6115,high
HPIP-00099,HCU-00497,134.674,159.265,63.036,121.241,130.361,22.443,1.1397,258.947,333.249,0.2855,medium
HPIP-00100,HCU-00505,428.078,421.5,144.137,86.511,108.822,15.765,2.6417,290.671,342.727,0.4464,medium
HPIP-00101,HCU-00508,421.755,297.983,63.874,70.434,147.156,30.051,2.3667,355.467,353.086,0.5076,high
HPIP-00102,HCU-00509,348.248,258.641,220.894,69.552,143.086,28.391,2.1185,284.882,358.921,0.3725,medium
HPIP-00103,HCU-00512,406.368,394.223,80.47,95.842,139.792,5.61,3.0272,376.941,341.047,0.6859,high
HPIP-00104,HCU-00514,396.956,205.088,193.876,151.937,101.461,39.776,1.8177,284.545,316.347,0.3395,medium
HPIP-00105,HCU-00532,384.341,304.289,237.573,134.155,101.31,5.717,2.6652,381.556,396.793,0.5679,high
HPIP-00106,HCU-00533,160.389,152.523,138.465,81.322,105.405,28.875,1.2081,208.308,282.09,0.2397,low
HPIP-00107,HCU-00534,293.775,101.619,101.344,64.412,109.532,24.717,1.419,253.763,413.226,0.2129,low
HPIP-00108,HCU-00541,419.194,275.272,171.818,69.912,145.209,34.532,2.337,327.401,275.807,0.5884,high
HPIP-00109,HCU-00542,138.776,329.837,125.739,150.165,109.157,23.776,1.6137,248.538,359.885,0.269,medium
HPIP-00110,HCU-00553,321.328,177.764,179.36,75.619,76.682,17.443,1.9144,354.011,414.612,0.4386,medium
HPIP-00111,HCU-00554,249.3,88.504,134.578,115.411,149.033,21.119,1.3723,279.31,330.48,0.3588,medium
HPIP-00112,HCU-00561,226.407,354.797,172.216,115.4,142.031,38.162,1.8571,241.107,345.934,0.2189,low
HPIP-00113,HCU-00564,178.841,421.777,194.931,148.509,79.376,15.521,2.1093,342.035,333.997,0.56,high
HPIP-00114,HCU-00571,185.501,386.229,66.287,109.079,149.753,30.105,1.8661,281.748,333.104,0.3459,medium
HPIP-00115,HCU-00589,401.123,282.247,91.299,140.332,84.896,20.499,2.2378,289.382,360.136,0.4038,medium
HPIP-00116,HCU-00595,310.895,121.176,91.497,132.466,78.9,37.329,1.6,284.665,327.098,0.3229,medium
HPIP-00117,HCU-00598,203.243,339.946,147.939,133.215,116.716,31.945,1.8103,270.394,365.56,0.2616,medium
HPIP-00118,HCU-00607,358.531,130.481,101.562,76.996,156.605,37.447,1.7087,299.872,364.334,0.328,medium
HPIP-00119,HCU-00613,188.052,190.51,206.15,85.932,158.511,39.502,1.503,314.443,411.571,0.2642,medium
HPIP-00120,HCU-00615,323.117,424.175,224.099,97.609,153.676,10.745,2.5975,372.027,418.248,0.5219,high
HPIP-00121,HCU-00619,189.766,111.703,179.879,127.431,124.633,28.821,1.2526,239.577,319.905,0.2477,low
HPIP-00122,HCU-00629,201.59,433.145,148.418,94.917,107.003,32.385,2.0491,222.489,331.387,0.2234,low
HPIP-00123,HCU-00630,334.015,199.806,92.683,72.569,74.556,34.625,1.8744,299.767,390.166,0.313,medium
HPIP-00124,HCU-00635,129.791,179.618,214.666,100.235,91.087,16.417,1.3365,227.326,387.453,0.2123,low
HPIP-00125,HCU-00640,184.877,282.707,106.45,66.189,64.62,10.685,1.9728,375.77,361.458,0.6024,high
HPIP-00126,HCU-00646,107.917,180.825,225.03,91.049,113.856,10.907,1.2061,290.722,315.627,0.4172,medium
HPIP-00127,HCU-00648,192.02,352.141,67.094,72.024,145.966,16.038,1.9627,334.24,429.738,0.4102,medium
HPIP-00128,HCU-00651,197.608,398.448,194.579,118.194,108.438,31.191,1.7673,220.075,346.56,0.1814,low
HPIP-00129,HCU-00658,327.104,210.351,80.877,81.19,138.429,15.078,1.9933,324.084,358.279,0.4734,medium
HPIP-00130,HCU-00661,356.59,81.487,141.412,109.452,105.601,21.163,1.4818,211.289,305.354,0.2372,low
HPIP-00131,HCU-00666,429.405,154.123,117.778,139.881,95.582,7.707,2.2086,346.687,327.444,0.5974,high
HPIP-00132,HCU-00667,259.322,137.01,133.508,73.044,89.152,31.594,1.4179,277.077,316.738,0.3443,medium
HPIP-00133,HCU-00696,408.38,369.187,225.876,127.244,138.966,21.581,2.4494,284.839,411.723,0.3384,medium
HPIP-00134,HCU-00698,145.808,291.563,52.262,114.935,77.093,7.926,1.882,284.833,331.248,0.4536,medium
HPIP-00135,HCU-00702,231.754,379.206,90.178,119.924,71.839,18.779,2.1595,296.028,377.489,0.3881,medium
HPIP-00136,HCU-00703,381.235,105.508,107.197,131.975,118.076,19.5,1.5997,267.65,312.988,0.3721,medium
HPIP-00137,HCU-00707,334.248,182.321,121.376,65.247,66.511,20.367,1.8959,311.389,372.46,0.4342,medium
HPIP-00138,HCU-00708,101.985,105.481,246.823,153.983,141.184,31.622,1.0888,249.701,355.845,0.2401,low
HPIP-00139,HCU-00711,133.075,405.513,101.52,156.572,96.705,26.635,1.9827,270.539,427.798,0.2646,medium
HPIP-00140,HCU-00716,261.765,330.219,246.465,138.149,133.034,35.845,1.9716,277.022,315.709,0.3553,medium
HPIP-00141,HCU-00719,94.954,117.769,150.239,73.682,95.541,16.253,1.0533,249.488,420.464,0.2209,low
HPIP-00142,HCU-00729,161.679,139.554,250.073,142.254,148.172,35.216,1.2823,278.859,386.865,0.2424,low
HPIP-00143,HCU-00730,316.477,383.446,257.226,99.716,79.696,34.096,2.2146,341.943,407.715,0.3457,medium
HPIP-00144,HCU-00742,227.853,367.887,221.51,140.856,108.592,15.395,1.9471,268.458,314.783,0.414,medium
HPIP-00145,HCU-00743,391.449,161.026,50.123,156.364,124.898,22.063,1.9758,306.288,406.383,0.3569,medium
HPIP-00146,HCU-00744,386.608,263.926,209.543,139.122,94.429,5.251,2.7056,395.127,315.343,0.7534,critical
HPIP-00147,HCU-00756,175.748,338.5,192.647,63.151,88.737,21.872,2.0474,315.914,412.978,0.3757,medium
HPIP-00148,HCU-00760,410.792,108.726,194.074,124.443,87.514,39.626,1.6994,262.371,380.737,0.1971,low
HPIP-00149,HCU-00761,368.165,277.634,151.151,119.083,95.513,26.942,2.1031,238.643,339.883,0.2751,medium
HPIP-00150,HCU-00763,131.62,295.812,79.424,153.4,69.938,22.962,1.6967,292.552,287.802,0.5095,high
HPIP-00151,HCU-00765,202.204,86.836,232.868,73.029,118.275,23.305,1.2441,253.723,403.288,0.2161,low
HPIP-00152,HCU-00774,207.472,184.128,168.827,106.683,159.266,13.337,1.6277,292.264,346.71,0.4176,medium
HPIP-00153,HCU-00783,353.2,284.481,189.667,129.362,102.425,20.09,2.1044,265.615,364.706,0.325,medium
HPIP-00154,HCU-00786,298.127,291.361,129.422,65.522,112.187,19.166,2.0282,287.788,374.948,0.3669,medium
HPIP-00155,HCU-00794,360.594,352.874,130.348,73.497,125.596,34.292,2.2757,312.23,337.651,0.4102,medium
HPIP-00156,HCU-00796,397.789,277.328,106.693,155.864,61.107,10.415,2.6577,382.931,379.926,0.6347,high
HPIP-00157,HCU-00810,298.453,113.752,78.848,116.108,76.681,10.038,1.7835,304.805,365.095,0.4248,medium
HPIP-00158,HCU-00815,158.634,362.513,105.326,97.449,80.516,25.501,1.6736,265.006,389.678,0.2599,medium
HPIP-00159,HCU-00817,235.063,441.295,133.453,136.08,106.308,6.608,2.6165,358.054,366.945,0.5658,high
HPIP-00160,HCU-00826,120.378,183.343,213.864,149.735,116.881,21.79,1.3845,267.939,412.392,0.2453,low
HPIP-00161,HCU-00848,162.57,343.012,92.805,67.917,113.619,9.977,2.0028,303.654,301.718,0.5449,high
HPIP-00162,HCU-00856,392.23,267.43,78.38,155.88,74.812,34.984,2.2904,327.701,392.969,0.3843,medium
HPIP-00163,HCU-00859,176.902,139.949,83.53,134.417,117.18,35.193,1.289,223.492,370.077,0.1363,low
HPIP-00164,HCU-00861,112.656,114.439,225.938,102.456,96.756,9.806,1.017,261.12,370.132,0.2831,medium
HPIP-00165,HCU-00866,276.03,202.418,66.461,72.767,102.942,10.561,1.8019,292.069,351.416,0.4262,medium
HPIP-00166,HCU-00872,163.434,151.16,256.067,77.546,147.065,11.348,1.5472,288.692,365.245,0.408,medium
HPIP-00167,HCU-00874,355.4,145.856,144.008,69.723,62.656,20.707,1.8768,341.55,365.008,0.4887,medium
HPIP-00168,HCU-00875,271.371,334.233,250.737,89.558,83.079,9.039,2.2253,359.838,419.942,0.4783,medium
HPIP-00169,HCU-00878,315.508,312.547,126.332,138.621,150.052,37.002,2.2288,271.627,358.415,0.3146,medium
HPIP-00170,HCU-00886,309.316,206.776,98.156,67.435,74.606,18.051,1.9732,319.108,370.094,0.4547,medium
HPIP-00171,HCU-00891,248.664,318.065,122.973,92.981,98.295,38.449,1.7505,286.98,382.461,0.233,low
HPIP-00172,HCU-00898,417.474,220.083,241.322,115.154,115.076,37.766,1.9066,239.672,449.601,0.1016,low
HPIP-00173,HCU-00902,129.576,212.27,184.586,97.054,61.748,28.865,1.3577,281.255,339.952,0.3289,medium
HPIP-00174,HCU-00903,310.984,407.506,80.303,153.994,85.379,18.876,2.4295,293.48,358.185,0.4459,medium
HPIP-00175,HCU-00910,409.746,253.7,90.997,100.731,99.77,6.952,2.5629,334.091,370.565,0.5075,high
HPIP-00176,HCU-00929,401.529,447.21,208.849,88.357,106.221,9.806,2.7643,322.771,374.304,0.4905,medium
HPIP-00177,HCU-00934,194.09,161.017,256.115,117.644,136.585,16.787,1.5201,250.535,394.804,0.2557,medium
HPIP-00178,HCU-00937,244.489,319.726,172.695,107.456,77.553,26.066,1.893,244.815,382.736,0.2408,low
HPIP-00179,HCU-00942,83.506,435.925,159.682,107.974,79.624,38.391,1.6543,276.291,356.896,0.2446,low
HPIP-00180,HCU-00943,161.059,337.304,240.313,139.78,117.852,29.356,1.6586,246.114,346.439,0.2545,medium
HPIP-00181,HCU-00946,362.884,435.284,140.657,139.849,76.662,38.038,2.5613,319.123,354.087,0.4088,medium
HPIP-00182,HCU-00948,144.907,126.194,188.63,65.261,123.616,20.291,1.2579,268.188,372.425,0.2966,medium
HPIP-00183,HCU-00952,221.094,286.423,225.145,151.013,157.373,12.81,1.9961,357.788,392.48,0.5192,high
HPIP-00184,HCU-00959,81.746,248.92,226.836,121.131,111.673,19.046,1.2781,238.181,353.329,0.2314,low
HPIP-00185,HCU-00960,327.577,367.325,95.871,85.05,119.585,28.56,2.2516,264.299,355.721,0.3119,medium
HPIP-00186,HCU-00970,402.563,142.04,177.225,65.211,142.76,20.63,1.9654,311.959,326.588,0.4959,medium
HPIP-00187,HCU-00971,364.348,380.167,189.075,108.488,146.295,17.813,2.4802,315.906,348.222,0.4741,medium
HPIP-00188,HCU-00973,332.701,151.447,257.579,140.793,139.215,18.7,1.7403,281.075,391.143,0.3355,medium
HPIP-00189,HCU-00985,334.433,279.517,194.693,122.118,105.974,13.714,2.0192,288.004,343.542,0.4018,medium
HPIP-00190,HCU-00995,182.906,200.315,211.118,70.716,63.819,32.461,1.6222,324.01,310.556,0.4789,medium
HPIP-00191,HCU-01004,119.278,87.361,133.424,96.048,117.131,31.305,0.7592,218.314,278.559,0.214,low
HPIP-00192,HCU-01011,283.951,223.579,98.91,102.408,63.612,34.571,1.7464,281.96,334.085,0.3301,medium
HPIP-00193,HCU-01012,284.817,417.615,232.36,119.382,87.705,14.878,2.2289,304.661,419.062,0.3608,medium
HPIP-00194,HCU-01015,223.768,410.784,67.751,61.935,91.456,32.255,2.0326,323.315,363.276,0.3983,medium
HPIP-00195,HCU-01023,84.312,116.789,209.787,89.532,105.661,21.096,1.0554,227.394,341.787,0.2147,low
HPIP-00196,HCU-01033,88.402,117.081,183.094,105.989,62.46,9.191,1.2932,287.595,353.409,0.3971,medium
HPIP-00197,HCU-01040,189.15,351.026,235.583,113.477,62.155,20.611,1.9635,279.288,379.691,0.3422,medium
HPIP-00198,HCU-01044,151.512,344.101,165.258,124.621,123.215,29.492,1.6419,240.535,364.422,0.2138,low
HPIP-00199,HCU-01045,317.664,372.177,164.524,146.832,63.743,14.077,2.4833,345.784,320.164,0.6369,high
HPIP-00200,HCU-01050,83.853,379.748,137.008,65.273,101.652,18.101,1.7465,283.216,357.136,0.3749,medium
HPIP-00201,HCU-01053,420.641,275.041,107.122,104.244,123.087,22.237,2.1622,264.695,316.741,0.3731,medium
HPIP-00202,HCU-01058,209.305,437.717,211.702,144.765,133.03,17.96,2.2986,314.566,390.704,0.4226,medium
HPIP-00203,HCU-01069,93.792,425.884,113.047,84.997,63.503,27.801,1.8672,281.248,386.894,0.3184,medium
HPIP-00204,HCU-01077,144.468,112.815,80.626,79.969,135.122,30.268,1.166,265.383,371.951,0.2381,low
HPIP-00205,HCU-01081,181.273,360.64,217.899,140.606,157.511,26.027,1.9602,276.816,403.032,0.3158,medium
HPIP-00206,HCU-01085,220.201,214.581,212.182,64.161,86.449,21.527,1.6386,289.43,326.426,0.423,medium
HPIP-00207,HCU-01093,244.553,308.861,191.281,154.364,122.57,38.453,1.7893,263.693,361.209,0.2519,medium
HPIP-00208,HCU-01095,313.922,176.727,84.29,156.462,130.716,23.549,1.807,345.375,481.436,0.3241,medium
HPIP-00209,HCU-01096,136.319,107.055,152.884,93.079,113.528,33.612,1.0674,181.636,348.765,0.07,low
HPIP-00210,HCU-01099,414.155,266.632,198.406,121.623,79.012,37.129,1.9702,263.571,310.075,0.3248,medium
HPIP-00211,HCU-01108,411.789,419.473,74.899,139.968,81.739,31.324,2.4093,325.503,317.355,0.497,medium
HPIP-00212,HCU-01111,116.216,174.409,235.011,72.778,79.599,7.32,1.6618,319.422,306.641,0.5775,high
HPIP-00213,HCU-01114,349.683,354.861,98.914,104.135,141.356,34.303,2.2068,281.444,384.397,0.2792,medium
HPIP-00214,HCU-01115,255.673,105.283,101.353,137.603,136.805,10.594,1.6805,329.49,376.717,0.4537,medium
HPIP-00215,HCU-01119,276.343,434.619,219.134,150.06,84.478,28.237,2.3301,312.23,379.134,0.3961,medium
HPIP-00216,HCU-01120,396.916,282.841,254.454,90.124,83.92,11.876,2.3885,323.836,315.327,0.573,high
HPIP-00217,HCU-01127,109.061,367.397,79.769,65.537,132.451,21.643,1.7581,290.411,410.491,0.3237,medium
HPIP-00218,HCU-01134,377.232,302.58,100.483,103.302,158.465,37.918,2.0997,297.901,356.697,0.3335,medium
HPIP-00219,HCU-01138,121.529,433.235,95.473,85.952,81.903,8.203,2.1584,360.963,330.667,0.6188,high
HPIP-00220,HCU-01154,250.385,370.691,166.918,159.28,110.135,24.544,2.0736,295.419,355.49,0.3848,medium
HPIP-00221,HCU-01156,161.319,329.094,152.348,156.289,111.231,17.068,1.8188,274.07,335.193,0.393,medium
HPIP-00222,HCU-01162,332.373,101.81,208.92,120.525,119.351,25.593,1.4672,244.353,361.544,0.2216,low
HPIP-00223,HCU-01176,230.989,139.712,228.164,139.795,115.212,23.868,1.3755,261.372,358.878,0.2692,medium
HPIP-00224,HCU-01190,144.561,94.835,88.577,95.586,98.916,16.218,1.0319,195.871,398.977,0.135,low
HPIP-00225,HCU-01200,431.407,424.948,114.49,129.265,118.418,17.8,2.5465,306.87,329.201,0.4828,medium
HPIP-00226,HCU-01219,272.611,261.887,152.178,101.264,86.497,36.017,1.7281,228.879,338.888,0.2028,low
HPIP-00227,HCU-01220,187.267,86.884,128.418,154.135,125.828,28.398,1.0851,240.226,376.752,0.2023,low
HPIP-00228,HCU-01225,438.111,312.819,203.895,118.245,75.093,21.473,2.4249,291.545,414.491,0.341,medium
HPIP-00229,HCU-01231,388.201,233.557,224.931,112.192,158.127,21.258,2.0855,300.659,307.642,0.4863,medium
HPIP-00230,HCU-01245,337.083,184.862,207.925,103.896,73.496,39.648,1.6484,226.059,312.508,0.2193,low
HPIP-00231,HCU-01250,148.208,307.269,235.807,90.64,134.242,14.034,1.7848,295.296,400.417,0.3543,medium
HPIP-00232,HCU-01257,164.997,168.398,174.016,135.915,124.201,12.336,1.4518,255.469,378.222,0.3013,medium
HPIP-00233,HCU-01271,164.665,125.504,173.598,154.319,133.042,34.776,1.3613,278.333,306.664,0.3548,medium
