design_id,component_code,component_name,rated_pressure,rated_flow,temperature_limit,design_margin,design_risk_score,design_risk_level
HDES-00067,C002,方向控制阀,20.72,100.45,86.59,0.3593,0.0515,low
HDES-00068,C012,卸荷阀,19.33,56.0,88.44,0.2893,0.2413,low
HDES-00069,C006,冷却器,12.72,46.23,87.16,0.3663,0.2148,low
HDES-00070,C001,液压泵总成,23.96,114.21,74.78,0.3705,0.0742,low
HDES-00071,C001,液压泵总成,23.23,66.52,85.63,0.3891,0.0012,low
HDES-00072,C005,蓄能器,28.1,54.97,61.55,0.2475,0.3681,medium
HDES-00073,C001,液压泵总成,28.96,114.3,82.54,0.3975,0.0714,low
HDES-00074,C001,液压泵总成,20.7,83.71,73.26,0.352,0.193,low
HDES-00075,C009,单向阀,18.17,24.69,89.27,0.2684,0.2202,low
HDES-00076,C003,作动筒,20.75,30.55,77.42,0.2703,0.1858,low
HDES-00077,C007,过滤器,16.33,46.21,82.34,0.451,0.0206,low
HDES-00078,C011,管路总成,15.04,42.86,71.42,0.2772,0.4463,medium
HDES-00079,C006,冷却器,27.17,71.69,88.11,0.2556,0.1945,low
HDES-00080,C002,方向控制阀,21.99,104.93,81.69,0.4029,0.0,low
HDES-00081,C004,溢流阀,23.14,47.43,78.74,0.1705,0.3499,medium
HDES-00082,C005,蓄能器,28.29,27.29,79.86,0.3927,0.0216,low
HDES-00083,C012,卸荷阀,29.49,65.0,69.55,0.3402,0.1776,low
HDES-00084,C004,溢流阀,18.73,32.94,86.98,0.2159,0.4085,medium
HDES-00085,C001,液压泵总成,20.2,84.72,84.15,0.3266,0.278,medium
HDES-00086,C012,卸荷阀,22.23,12.0,74.66,0.3461,0.1484,low
HDES-00087,C003,作动筒,15.59,43.26,69.33,0.4059,0.1865,low
HDES-00088,C006,冷却器,14.84,64.85,78.65,0.362,0.1983,low
HDES-00089,C003,作动筒,24.15,65.37,73.27,0.2691,0.2108,low
HDES-00090,C011,管路总成,11.88,76.36,75.01,0.2803,0.4676,medium
HDES-00091,C002,方向控制阀,16.62,109.04,57.25,0.2432,0.454,medium
HDES-00092,C002,方向控制阀,20.48,69.69,96.04,0.476,0.0,low
HDES-00093,C012,卸荷阀,33.89,60.46,77.3,0.3734,0.0732,low
HDES-00094,C003,作动筒,13.59,62.38,91.2,0.2547,0.3454,medium
HDES-00095,C003,作动筒,17.78,35.21,76.14,0.3278,0.095,low
HDES-00096,C003,作动筒,13.47,71.97,84.84,0.2586,0.305,medium
HDES-00097,C006,冷却器,17.12,63.3,73.15,0.324,0.1527,low
HDES-00098,C005,蓄能器,16.57,55.92,72.36,0.3967,0.27,medium
HDES-00099,C005,蓄能器,18.58,51.39,70.36,0.2159,0.4306,medium
HDES-00100,C005,蓄能器,27.26,51.05,75.19,0.3819,0.0622,low
HDES-00101,C005,蓄能器,19.01,44.29,89.01,0.3185,0.2123,low
HDES-00102,C008,液压油箱,7.18,110.9,74.18,0.418,0.2343,low
HDES-00103,C010,节流阀,10.18,105.7,74.03,0.3835,0.2576,medium
HDES-00104,C005,蓄能器,24.46,62.18,76.75,0.4408,0.0353,low
HDES-00105,C004,溢流阀,25.47,77.29,62.22,0.3797,0.2147,low
HDES-00106,C009,单向阀,9.77,60.24,66.47,0.2427,0.4625,medium
HDES-00107,C002,方向控制阀,14.21,105.73,69.03,0.3646,0.2327,low
HDES-00108,C006,冷却器,22.42,26.41,96.81,0.3183,0.1714,low
HDES-00109,C006,冷却器,16.29,68.52,104.8,0.3394,0.156,low
HDES-00110,C008,液压油箱,12.91,85.16,84.21,0.251,0.338,medium
HDES-00111,C005,蓄能器,23.23,72.73,88.57,0.3008,0.185,low
HDES-00112,C011,管路总成,23.13,25.17,67.3,0.4668,0.1082,low
HDES-00113,C010,节流阀,22.53,83.12,95.58,0.2482,0.1765,low
HDES-00114,C006,冷却器,21.42,29.86,75.22,0.336,0.1447,low
HDES-00115,C004,溢流阀,24.96,79.04,86.4,0.3983,0.0046,low
HDES-00116,C010,节流阀,16.96,78.11,98.9,0.3154,0.1559,low
HDES-00117,C002,方向控制阀,23.61,111.05,87.46,0.2856,0.209,low
HDES-00118,C003,作动筒,18.82,54.93,93.26,0.4051,0.0294,low
HDES-00119,C012,卸荷阀,21.23,52.13,84.14,0.4448,0.1148,low
HDES-00120,C002,方向控制阀,14.92,96.81,80.66,0.355,0.1196,low
HDES-00121,C004,溢流阀,23.1,36.58,70.27,0.2627,0.3062,medium
HDES-00122,C005,蓄能器,25.24,33.75,74.29,0.3366,0.1301,low
HDES-00123,C001,液压泵总成,28.61,97.27,69.32,0.4294,0.0208,low
HDES-00124,C011,管路总成,15.22,34.5,77.93,0.3842,0.2411,low
HDES-00125,C008,液压油箱,17.63,81.54,84.04,0.3004,0.1642,low
HDES-00126,C002,方向控制阀,24.52,88.04,83.64,0.4253,0.0417,low
HDES-00127,C010,节流阀,20.46,84.76,70.87,0.2151,0.314,medium
HDES-00128,C009,单向阀,27.24,51.66,74.36,0.3896,0.058,low
HDES-00129,C010,节流阀,15.77,90.51,86.38,0.4289,0.0261,low
HDES-00130,C010,节流阀,20.5,117.93,73.11,0.361,0.1183,low
HDES-00131,C004,溢流阀,21.81,23.27,85.0,0.3609,0.1952,low
HDES-00132,C006,冷却器,10.78,71.01,85.96,0.2862,0.3853,medium
HDES-00133,C011,管路总成,21.68,38.04,75.67,0.4482,0.0643,low
HDES-00134,C005,蓄能器,26.97,52.94,61.56,0.3097,0.2656,medium
HDES-00135,C009,单向阀,21.3,37.39,61.78,0.3125,0.2374,low
HDES-00136,C012,卸荷阀,27.46,85.19,64.69,0.3582,0.1499,low
HDES-00137,C011,管路总成,26.01,70.22,73.7,0.2969,0.1566,low
HDES-00138,C004,溢流阀,15.89,32.39,72.27,0.345,0.2801,medium
HDES-00139,C012,卸荷阀,19.6,32.41,76.15,0.205,0.388,medium
HDES-00140,C001,液压泵总成,12.52,71.03,74.82,0.1749,0.6121,high
HDES-00141,C002,方向控制阀,15.48,96.92,66.76,0.4009,0.1406,low
HDES-00142,C004,溢流阀,28.81,106.67,73.97,0.3377,0.1414,low
HDES-00143,C008,液压油箱,17.86,98.07,91.94,0.2791,0.1416,low
HDES-00144,C001,液压泵总成,18.14,112.12,70.32,0.2792,0.3777,medium
HDES-00145,C009,单向阀,19.07,58.5,77.67,0.2395,0.2933,medium
HDES-00146,C007,过滤器,15.45,34.45,89.73,0.4118,0.0472,low
HDES-00147,C001,液压泵总成,17.53,83.83,68.76,0.4212,0.2097,low
HDES-00148,C011,管路总成,33.95,55.02,85.94,0.2359,0.2186,low
HDES-00149,C007,过滤器,14.35,59.88,94.9,0.2706,0.281,medium
HDES-00150,C005,蓄能器,25.03,65.13,74.3,0.3474,0.0952,low
HDES-00151,C007,过滤器,16.76,51.12,78.46,0.2644,0.208,low
HDES-00152,C008,液压油箱,11.19,76.63,97.81,0.3719,0.2365,low
HDES-00153,C010,节流阀,22.79,84.14,91.83,0.3076,0.1155,low
HDES-00154,C003,作动筒,13.38,72.14,81.34,0.403,0.182,low
HDES-00155,C008,液压油箱,15.86,79.68,97.22,0.166,0.3505,medium
HDES-00156,C006,冷却器,20.41,43.86,80.3,0.3869,0.0402,low
HDES-00157,C002,方向控制阀,16.29,88.25,77.59,0.3138,0.1728,low
HDES-00158,C007,过滤器,20.63,16.91,87.8,0.3797,0.0782,low
HDES-00159,C004,溢流阀,20.73,70.97,60.35,0.2365,0.4795,medium
HDES-00160,C004,溢流阀,25.81,73.5,68.45,0.3686,0.1496,low
HDES-00161,C008,液压油箱,15.9,72.13,74.53,0.4802,0.0309,low
HDES-00162,C010,节流阀,11.49,83.67,76.24,0.3164,0.2903,medium
HDES-00163,C011,管路总成,31.91,37.23,83.86,0.322,0.1478,low
HDES-00164,C006,冷却器,14.09,70.32,76.41,0.2056,0.3437,medium
HDES-00165,C001,液压泵总成,18.56,105.17,98.13,0.2971,0.2959,medium
HDES-00166,C010,节流阀,23.57,93.73,77.14,0.2955,0.1205,low
HDES-00167,C009,单向阀,21.71,32.31,83.72,0.3425,0.1376,low
HDES-00168,C010,节流阀,26.55,71.74,91.39,0.3034,0.1795,low
HDES-00169,C011,管路总成,17.22,56.57,81.8,0.2531,0.3745,medium
HDES-00170,C003,作动筒,14.41,19.93,69.76,0.3274,0.3023,medium
HDES-00171,C007,过滤器,21.55,64.84,74.76,0.3723,0.1395,low
HDES-00172,C001,液压泵总成,18.3,111.04,88.79,0.3356,0.266,medium
HDES-00173,C005,蓄能器,27.59,34.4,71.4,0.4005,0.1,low
HDES-00174,C007,过滤器,12.66,34.27,89.63,0.4352,0.1474,low
HDES-00175,C012,卸荷阀,26.51,34.11,63.33,0.4032,0.1188,low
HDES-00176,C010,节流阀,21.09,93.47,89.61,0.3467,0.128,low
HDES-00177,C011,管路总成,24.13,35.15,65.94,0.2231,0.3308,medium
HDES-00178,C010,节流阀,13.72,114.57,74.3,0.4648,0.1487,low
HDES-00179,C003,作动筒,17.97,15.51,70.5,0.247,0.2847,medium
HDES-00180,C008,液压油箱,18.5,93.64,72.22,0.3303,0.1676,low
HDES-00181,C009,单向阀,18.43,29.88,80.06,0.422,0.0,low
HDES-00182,C005,蓄能器,24.26,41.97,81.3,0.2284,0.1734,low
HDES-00183,C005,蓄能器,22.54,64.37,64.08,0.2465,0.3462,medium
HDES-00184,C004,溢流阀,20.01,60.53,83.46,0.3898,0.1436,low
HDES-00185,C004,溢流阀,27.11,67.63,86.47,0.4404,0.0,low
HDES-00186,C001,液压泵总成,27.71,102.8,75.07,0.4203,0.0007,low
HDES-00187,C006,冷却器,17.67,87.97,85.83,0.1402,0.3074,medium
HDES-00188,C007,过滤器,13.16,81.18,89.23,0.2364,0.3397,medium
HDES-00189,C009,单向阀,18.87,57.66,93.85,0.3039,0.1989,low
HDES-00190,C001,液压泵总成,25.01,83.7,73.37,0.4335,0.0672,low
HDES-00191,C001,液压泵总成,27.52,97.28,111.03,0.4759,0.0,low
HDES-00192,C006,冷却器,18.39,44.89,102.25,0.3702,0.0809,low
HDES-00193,C012,卸荷阀,22.53,61.48,78.76,0.1964,0.351,medium
HDES-00194,C006,冷却器,18.58,70.23,100.23,0.3385,0.0381,low
HDES-00195,C001,液压泵总成,21.89,75.22,66.56,0.2905,0.2733,medium
HDES-00196,C012,卸荷阀,21.28,68.79,75.63,0.3118,0.193,low
HDES-00197,C005,蓄能器,24.76,41.61,73.91,0.2033,0.3308,medium
HDES-00198,C009,单向阀,18.26,65.31,74.82,0.3114,0.1338,low
HDES-00199,C002,方向控制阀,19.19,79.61,71.0,0.4922,0.0463,low
HDES-00200,C010,节流阀,21.74,96.66,87.85,0.3142,0.1683,low
HDES-00201,C008,液压油箱,25.17,89.35,106.48,0.136,0.3555,medium
HDES-00202,C011,管路总成,26.32,42.94,85.92,0.3903,0.0265,low
HDES-00203,C003,作动筒,12.17,61.69,66.52,0.3934,0.2648,medium
HDES-00204,C004,溢流阀,25.4,44.72,84.96,0.3818,0.0302,low
HDES-00205,C008,液压油箱,14.83,63.32,77.7,0.2376,0.3332,medium
HDES-00206,C006,冷却器,16.57,40.0,92.03,0.3749,0.1362,low
HDES-00207,C002,方向控制阀,16.94,69.82,73.72,0.2611,0.2077,low
HDES-00208,C006,冷却器,19.48,52.84,74.18,0.3085,0.1604,low
HDES-00209,C008,液压油箱,24.97,117.16,96.6,0.1772,0.3214,medium
HDES-00210,C010,节流阀,13.09,88.84,82.46,0.4199,0.1377,low
HDES-00211,C003,作动筒,24.99,42.42,79.63,0.1592,0.3926,medium
HDES-00212,C011,管路总成,24.68,40.91,76.14,0.343,0.1039,low
HDES-00213,C007,过滤器,21.94,81.85,82.21,0.3302,0.1195,low
HDES-00214,C011,管路总成,33.54,49.8,78.36,0.3867,0.0889,low
HDES-00215,C006,冷却器,23.63,65.63,73.34,0.3176,0.1755,low
HDES-00216,C006,冷却器,20.38,70.82,81.26,0.4149,0.0,low
HDES-00217,C005,蓄能器,22.13,33.66,78.87,0.3885,0.0664,low
HDES-00218,C002,方向控制阀,24.44,133.54,76.79,0.3246,0.1847,low
HDES-00219,C009,单向阀,17.55,21.22,65.32,0.331,0.2747,medium
HDES-00220,C005,蓄能器,28.5,56.82,89.99,0.4325,0.0435,low
HDES-00221,C005,蓄能器,31.32,49.0,91.74,0.3308,0.0999,low
HDES-00222,C002,方向控制阀,21.95,117.6,82.9,0.3666,0.0389,low
HDES-00223,C007,过滤器,22.9,63.74,99.43,0.3601,0.1244,low
HDES-00224,C009,单向阀,19.76,62.51,89.8,0.3904,0.0416,low
HDES-00225,C009,单向阀,24.15,41.21,81.16,0.283,0.1771,low
HDES-00226,C010,节流阀,16.89,73.32,79.68,0.2712,0.2502,medium
HDES-00227,C009,单向阀,26.26,77.48,80.16,0.4145,0.0119,low
HDES-00228,C005,蓄能器,20.66,75.29,77.1,0.3489,0.1846,low
HDES-00229,C009,单向阀,15.21,38.07,67.9,0.4057,0.138,low
HDES-00230,C009,单向阀,15.2,56.26,64.66,0.3541,0.2421,low
HDES-00231,C008,液压油箱,27.07,115.64,83.55,0.2703,0.2318,low
HDES-00232,C005,蓄能器,22.0,35.13,82.53,0.2784,0.1362,low
HDES-00233,C002,方向控制阀,17.41,54.59,68.5,0.2401,0.3285,medium
HDES-00234,C001,液压泵总成,22.44,90.14,84.27,0.1721,0.3537,medium
HDES-00235,C007,过滤器,16.38,63.22,97.22,0.3478,0.1742,low
HDES-00236,C002,方向控制阀,16.2,90.06,60.41,0.2003,0.405,medium
HDES-00237,C001,液压泵总成,13.72,69.86,95.35,0.3736,0.3147,medium
HDES-00238,C004,溢流阀,26.21,28.42,90.71,0.2889,0.1098,low
HDES-00239,C002,方向控制阀,15.3,96.81,79.23,0.2325,0.3857,medium
HDES-00240,C007,过滤器,15.3,57.09,86.21,0.2332,0.3736,medium
HDES-00241,C001,液压泵总成,22.35,111.86,65.76,0.4442,0.1487,low
HDES-00242,C008,液压油箱,8.06,72.68,87.43,0.3182,0.3038,medium
HDES-00243,C009,单向阀,16.67,63.71,85.46,0.2701,0.2857,medium
HDES-00244,C004,溢流阀,33.14,69.69,93.47,0.3504,0.1254,low
HDES-00245,C001,液压泵总成,35.85,77.46,87.74,0.3974,0.0176,low
HDES-00246,C003,作动筒,14.62,62.06,97.48,0.2453,0.3179,medium
HDES-00247,C011,管路总成,16.12,34.75,94.96,0.353,0.2195,low
HDES-00248,C007,过滤器,20.38,76.46,80.56,0.2433,0.2454,low
HDES-00249,C012,卸荷阀,30.75,52.43,76.24,0.4529,0.0024,low
HDES-00250,C008,液压油箱,14.55,89.17,78.06,0.3186,0.1772,low
HDES-00251,C002,方向控制阀,19.25,104.93,77.3,0.1925,0.2712,medium
HDES-00252,C011,管路总成,25.37,98.72,63.8,0.4,0.1823,low
HDES-00253,C007,过滤器,19.61,62.31,100.99,0.3646,0.0377,low
HDES-00254,C002,方向控制阀,21.12,83.17,71.23,0.4213,0.0643,low
HDES-00255,C001,液压泵总成,22.28,92.22,75.99,0.3899,0.1302,low
HDES-00256,C002,方向控制阀,20.41,130.04,55.76,0.388,0.1584,low
HDES-00257,C012,卸荷阀,29.29,49.43,69.41,0.3996,0.0677,low
HDES-00258,C007,过滤器,35.64,23.49,80.54,0.4185,0.0,low
HDES-00259,C003,作动筒,21.12,12.0,76.53,0.2775,0.1508,low
HDES-00260,C011,管路总成,23.32,79.2,91.87,0.4112,0.0,low
HDES-00261,C011,管路总成,26.55,54.69,84.41,0.3018,0.1759,low
HDES-00262,C002,方向控制阀,25.74,64.84,72.32,0.1618,0.432,medium
HDES-00263,C009,单向阀,28.17,60.57,91.28,0.2217,0.2613,medium
HDES-00264,C005,蓄能器,15.25,61.16,75.16,0.3521,0.2515,medium
HDES-00265,C012,卸荷阀,22.84,45.39,68.82,0.448,0.13,low
HDES-00266,C001,液压泵总成,23.64,64.36,67.29,0.3743,0.1749,low
HDES-00267,C008,液压油箱,16.93,88.46,79.39,0.1966,0.2613,medium
HDES-00268,C001,液压泵总成,25.6,95.75,83.83,0.221,0.2987,medium
HDES-00269,C010,节流阀,14.51,91.55,82.36,0.2531,0.2671,medium
HDES-00270,C005,蓄能器,25.21,73.94,77.65,0.3279,0.1168,low
HDES-00271,C006,冷却器,26.08,54.67,80.66,0.4067,0.0024,low
HDES-00272,C002,方向控制阀,16.77,69.25,68.31,0.4016,0.0635,low
HDES-00273,C006,冷却器,24.26,50.8,68.05,0.4605,0.0259,low
HDES-00274,C005,蓄能器,24.96,33.81,78.83,0.4146,0.0158,low
HDES-00275,C004,溢流阀,25.07,60.76,79.76,0.3363,0.1146,low
HDES-00276,C003,作动筒,21.44,67.26,85.53,0.2954,0.1598,low
HDES-00277,C011,管路总成,18.86,35.49,75.6,0.3703,0.1963,low
HDES-00278,C006,冷却器,17.15,75.02,76.58,0.3414,0.0879,low
HDES-00279,C005,蓄能器,24.58,44.5,86.66,0.1735,0.2934,medium
HDES-00280,C005,蓄能器,27.67,54.91,75.09,0.3966,0.0625,low
HDES-00281,C012,卸荷阀,17.89,69.03,84.32,0.3908,0.1771,low
HDES-00282,C011,管路总成,19.23,60.5,77.23,0.2487,0.3132,medium
HDES-00283,C002,方向控制阀,27.39,109.73,79.34,0.3504,0.0916,low
HDES-00284,C009,单向阀,14.45,73.72,59.0,0.2795,0.3877,medium
HDES-00285,C009,单向阀,14.41,36.06,76.78,0.4598,0.0717,low
HDES-00286,C003,作动筒,18.8,58.68,70.27,0.3315,0.0969,low
HDES-00287,C008,液压油箱,18.66,94.05,69.76,0.317,0.1707,low
HDES-00288,C002,方向控制阀,14.74,103.91,79.21,0.357,0.1638,low
HDES-00289,C007,过滤器,10.27,61.63,64.42,0.4002,0.3098,medium
HDES-00290,C011,管路总成,21.79,53.41,75.7,0.302,0.2419,low
HDES-00291,C002,方向控制阀,23.88,68.38,62.64,0.4428,0.0872,low
HDES-00292,C006,冷却器,20.31,57.77,77.97,0.3327,0.0999,low
HDES-00293,C010,节流阀,14.31,71.99,75.26,0.2821,0.327,medium
HDES-00294,C002,方向控制阀,19.31,82.97,93.08,0.3339,0.1194,low
HDES-00295,C004,溢流阀,21.74,43.62,86.16,0.2776,0.2622,medium
HDES-00296,C003,作动筒,17.86,56.43,86.46,0.2985,0.1809,low
HDES-00297,C003,作动筒,15.88,88.26,99.51,0.4492,0.0985,low
HDES-00298,C007,过滤器,11.29,54.85,85.5,0.2413,0.3652,medium
HDES-00299,C010,节流阀,17.47,65.25,71.68,0.3641,0.1457,low
HDES-00300,C005,蓄能器,28.92,57.4,81.08,0.2102,0.243,low
HDES-00301,C010,节流阀,18.72,123.8,83.72,0.3401,0.1514,low
HDES-00302,C012,卸荷阀,14.5,46.47,83.9,0.2551,0.4432,medium
HDES-00303,C002,方向控制阀,14.78,66.43,53.99,0.3417,0.4543,medium
HDES-00304,C001,液压泵总成,33.48,99.61,72.54,0.2091,0.3004,medium
HDES-00305,C002,方向控制阀,19.46,127.65,79.97,0.3086,0.1587,low
HDES-00306,C002,方向控制阀,15.2,55.9,86.61,0.4379,0.1264,low
HDES-00307,C010,节流阀,17.66,95.01,81.9,0.409,0.0471,low
HDES-00308,C004,溢流阀,17.51,35.95,85.92,0.4643,0.1654,low
HDES-00309,C010,节流阀,16.32,92.94,68.64,0.2526,0.3214,medium
HDES-00310,C010,节流阀,22.79,88.31,71.88,0.2999,0.1876,low
HDES-00311,C005,蓄能器,23.31,64.83,73.88,0.4032,0.0481,low
HDES-00312,C006,冷却器,25.75,74.24,105.89,0.3188,0.154,low
HDES-00313,C001,液压泵总成,25.49,93.11,72.56,0.206,0.3322,medium
HDES-00314,C006,冷却器,15.85,32.44,80.75,0.4411,0.0581,low
HDES-00315,C012,卸荷阀,24.62,47.48,75.65,0.2049,0.2667,medium
HDES-00316,C009,单向阀,20.76,44.61,90.31,0.2407,0.2099,low
HDES-00317,C003,作动筒,11.83,52.73,81.29,0.4115,0.1328,low
HDES-00318,C002,方向控制阀,23.44,104.71,81.03,0.2415,0.2388,low
HDES-00319,C006,冷却器,13.33,87.18,93.67,0.3332,0.2397,low
HDES-00320,C004,溢流阀,26.26,52.55,79.32,0.2906,0.1112,low
HDES-00321,C008,液压油箱,23.39,78.29,84.35,0.1282,0.3304,medium
HDES-00322,C011,管路总成,23.79,12.0,74.34,0.2844,0.1469,low
HDES-00323,C012,卸荷阀,30.86,64.89,92.68,0.3977,0.0,low
HDES-00324,C006,冷却器,20.39,15.86,79.85,0.2323,0.2505,medium
HDES-00325,C008,液压油箱,15.44,144.72,72.15,0.2816,0.2939,medium
HDES-00326,C003,作动筒,14.41,65.04,87.27,0.4781,0.1092,low
HDES-00327,C001,液压泵总成,11.22,82.38,85.03,0.3213,0.3895,medium
HDES-00328,C011,管路总成,22.79,58.61,81.66,0.4377,0.0588,low
HDES-00329,C003,作动筒,17.34,34.26,89.08,0.3601,0.0805,low
HDES-00330,C001,液压泵总成,26.6,63.05,82.24,0.4744,0.0199,low
HDES-00331,C007,过滤器,12.85,65.34,91.0,0.2075,0.3398,medium
HDES-00332,C007,过滤器,21.18,58.21,82.94,0.421,0.0,low
HDES-00333,C009,单向阀,19.16,55.83,72.27,0.2826,0.224,low
HDES-00334,C003,作动筒,25.54,75.31,79.72,0.4545,0.0,low
HDES-00335,C008,液压油箱,23.2,89.46,91.38,0.3186,0.1561,low
HDES-00336,C008,液压油箱,18.36,122.91,69.41,0.3213,0.1537,low
HDES-00337,C010,节流阀,27.23,114.17,74.9,0.2631,0.2231,low
HDES-00338,C012,卸荷阀,21.06,48.7,83.42,0.2466,0.2842,medium
HDES-00339,C007,过滤器,15.19,36.75,78.12,0.2657,0.2481,low
HDES-00340,C005,蓄能器,22.93,45.11,78.93,0.3698,0.1163,low
HDES-00341,C008,液压油箱,16.22,93.93,75.46,0.3398,0.1022,low
HDES-00342,C012,卸荷阀,21.92,53.33,88.68,0.3345,0.1837,low
HDES-00343,C005,蓄能器,19.24,61.28,101.56,0.3875,0.116,low
HDES-00344,C010,节流阀,19.37,105.47,72.03,0.3581,0.1277,low
HDES-00345,C010,节流阀,17.17,108.79,78.89,0.4106,0.0747,low
HDES-00346,C010,节流阀,20.3,79.33,82.88,0.3053,0.1218,low
HDES-00347,C006,冷却器,15.81,40.17,79.83,0.4059,0.0331,low
HDES-00348,C001,液压泵总成,23.56,82.7,90.96,0.3314,0.1553,low
HDES-00349,C003,作动筒,6.73,12.0,72.6,0.4271,0.3151,medium
