case_id,PS1,PS2,PS3,PS4,PS5,PS6,EPS1,FS1,FS2,TS1,TS2,TS3,TS4,VS1
HCASE-00067,0.25645,0.65771,0.18887,0.18792,0.122,0.87579,0.11418,0.08896,0.14119,0.12707,0.13137,0.02871,0.15939,0.27422
HCASE-00068,0.32365,0.06502,0.08391,0.12549,0.14229,0.12708,0.12955,0.67245,0.60527,0.23677,0.09794,0.50403,0.15018,0.33645
HCASE-00069,0.05906,0.11397,0.15309,0.14706,0.063,0.12165,0.09287,0.76547,0.67733,0.24554,0.16101,0.85422,0.17173,0.04528
HCASE-00070,0.16239,0.79203,0.20965,0.13975,0.13851,0.72035,0.25677,0.05732,0.02452,0.06292,0.07654,0.12487,0.04229,0.14967
HCASE-00071,0.73627,0.39132,0.17597,0.1619,0.14328,0.42153,0.14744,0.15364,0.14941,0.547,0.13279,0.14465,0.06084,0.72929
HCASE-00072,0.19385,0.61817,0.79594,0.146,0.2461,0.10435,0.09397,0.71081,0.0923,0.03028,0.09751,0.13731,0.02842,0.05618
HCASE-00073,0.40788,0.23445,0.26343,0.06374,0.1033,0.04918,0.5303,0.5355,0.05869,0.38271,0.11664,0.043,0.11134,0.13631
HCASE-00074,0.30765,0.52514,0.11504,0.11746,0.068,0.60648,0.04845,0.08845,0.05181,0.11451,0.15951,0.13815,0.14733,0.44093
HCASE-00075,0.79081,0.13374,0.10834,0.08186,0.15292,0.17325,0.44793,0.40314,0.0478,0.56246,0.04668,0.09227,0.07073,0.28486
HCASE-00076,0.11829,0.35842,0.69677,0.39655,0.09948,0.15979,0.06875,0.55446,0.08732,0.10807,0.13466,0.13628,0.04519,0.08124
HCASE-00077,0.02439,0.10658,0.05661,0.04485,0.15953,0.04269,0.09353,0.10589,0.12886,0.20567,0.87775,0.96612,0.11508,0.11513
HCASE-00078,0.10379,0.10614,0.24093,0.02669,0.28116,0.13629,0.0575,0.94854,0.20024,0.13243,0.04211,0.04658,0.69897,0.10641
HCASE-00079,0.20811,0.17174,0.18659,0.08248,0.11246,0.12145,0.10608,0.85865,0.23273,0.05451,0.0386,0.28671,0.60925,0.07509
HCASE-00080,0.22309,0.14838,0.03355,0.07217,0.13583,0.12596,0.02443,0.49798,0.35685,0.30874,0.02383,0.45542,0.0488,0.37632
HCASE-00081,0.44974,0.34864,0.22107,0.05926,0.02949,0.13122,0.52397,0.73063,0.15842,0.353,0.14868,0.12838,0.03856,0.08141
HCASE-00082,0.60106,0.5701,0.1776,0.19612,0.1424,0.68626,0.07788,0.03361,0.08625,0.13389,0.09613,0.08406,0.15239,0.59488
HCASE-00083,0.13021,0.1157,0.05119,0.09797,0.06943,0.05775,0.14663,0.60241,0.49594,0.09763,0.47362,0.82281,0.10296,0.13391
HCASE-00084,0.68698,0.11035,0.0247,0.06488,0.06819,0.09515,0.33852,0.2275,0.05621,0.67978,0.09536,0.06974,0.13854,0.80999
HCASE-00085,0.128,0.13684,0.24059,0.07152,0.08028,0.0248,0.13074,0.77767,0.24152,0.03482,0.06942,0.24047,0.51376,0.12551
HCASE-00086,0.05556,0.03223,0.9296,0.42598,0.30546,0.03945,0.15862,0.77098,0.10721,0.04705,0.1297,0.15989,0.0445,0.06427
HCASE-00087,0.69498,0.75834,0.18328,0.23573,0.12805,0.92961,0.14318,0.08659,0.08556,0.07006,0.13368,0.06956,0.09408,0.59939
HCASE-00088,0.76903,0.63749,0.13369,0.12316,0.21492,0.54839,0.05496,0.15855,0.12305,0.32176,0.05022,0.05236,0.04401,0.79353
HCASE-00089,0.12234,0.17069,0.87576,0.53989,0.13213,0.13798,0.13495,0.72887,0.06293,0.02508,0.07938,0.08328,0.14938,0.15223
HCASE-00090,0.07312,0.21077,0.11118,0.06693,0.08739,0.14473,0.07209,0.52125,0.35873,0.06733,0.34617,0.65824,0.03419,0.14644
HCASE-00091,0.13096,0.46142,0.66841,0.03691,0.24998,0.13666,0.13316,0.63876,0.19979,0.06661,0.11548,0.07856,0.02597,0.06559
HCASE-00092,0.19161,0.11018,0.11643,0.05106,0.12181,0.078,0.14047,0.50892,0.41717,0.27095,0.06413,0.47901,0.07303,0.23923
HCASE-00093,0.15263,0.12507,0.20044,0.02989,0.02044,0.14071,0.11747,0.84599,0.15301,0.13085,0.03684,0.15942,0.68137,0.15033
HCASE-00094,0.72029,0.0337,0.15594,0.12091,0.11819,0.15322,0.53645,0.44291,0.09609,0.54654,0.06213,0.10548,0.14002,0.32805
HCASE-00095,0.10542,0.90736,0.24686,0.07986,0.14194,0.15904,0.77575,0.2195,0.05876,0.09497,0.13258,0.13829,0.14882,0.08026
HCASE-00096,0.15137,0.0904,0.37228,0.03493,0.26256,0.09151,0.12969,0.65469,0.09808,0.03785,0.15723,0.04109,0.59588,0.21946
HCASE-00097,0.4794,0.57735,0.12451,0.35382,0.39921,0.54806,0.12209,0.06712,0.31491,0.06355,0.07508,0.12174,0.12173,0.77257
HCASE-00098,0.54257,0.47509,0.09434,0.29936,0.33728,0.62132,0.14575,0.12981,0.35975,0.06547,0.1249,0.12284,0.07532,0.69278
HCASE-00099,0.13204,0.9185,0.57691,0.04331,0.10589,0.13322,0.2636,0.58807,0.02288,0.12576,0.03124,0.11899,0.05259,0.06665
HCASE-00100,0.10868,0.31936,0.87076,0.42307,0.16785,0.09531,0.03591,0.56026,0.08867,0.04545,0.0421,0.10616,0.0496,0.02596
HCASE-00101,0.12817,0.06369,0.32076,0.11293,0.21338,0.09484,0.02448,0.77181,0.0737,0.18334,0.19246,0.18035,0.62801,0.07119
HCASE-00102,0.12322,0.89673,0.28668,0.11503,0.04473,0.05932,0.5859,0.40103,0.09088,0.03638,0.04646,0.15434,0.07524,0.09097
HCASE-00103,0.09152,0.87589,0.22642,0.21624,0.20609,0.45744,0.5191,0.02076,0.04284,0.0708,0.03554,0.13039,0.05883,0.04905
HCASE-00104,0.03034,0.07741,0.83374,0.2386,0.52038,0.06269,0.1097,0.80767,0.18483,0.05242,0.062,0.13864,0.07989,0.0237
HCASE-00105,0.14472,0.05382,0.69996,0.24703,0.41248,0.02876,0.11449,0.77732,0.05152,0.19385,0.22879,0.17913,0.21338,0.06284
HCASE-00106,0.04163,0.62048,0.07605,0.14739,0.03191,0.68758,0.26066,0.05809,0.02103,0.02458,0.0609,0.11523,0.08436,0.23045
HCASE-00107,0.75658,0.6925,0.025,0.30673,0.25256,0.67018,0.05469,0.02196,0.29552,0.13109,0.07454,0.10283,0.14454,0.6012
HCASE-00108,0.50623,0.36882,0.34902,0.20377,0.2161,0.08693,0.46237,0.66158,0.04587,0.44593,0.05751,0.08152,0.10357,0.14563
HCASE-00109,0.47124,0.13993,0.109,0.02657,0.13842,0.0389,0.1287,0.28258,0.28015,0.38273,0.09857,0.30654,0.1221,0.68079
HCASE-00110,0.59926,0.18027,0.04738,0.04128,0.14839,0.22666,0.11881,0.20247,0.14502,0.32883,0.13782,0.05773,0.05221,0.59982
HCASE-00111,0.06157,0.04343,0.1156,0.13785,0.09525,0.04051,0.10216,0.34418,0.34658,0.13346,0.56573,0.81311,0.08796,0.14984
HCASE-00112,0.05119,0.10777,0.14351,0.12715,0.12109,0.08915,0.07218,0.87825,0.59352,0.12584,0.09682,0.53339,0.30423,0.13026
HCASE-00113,0.2108,0.88354,0.12324,0.15644,0.18427,0.69589,0.34199,0.14148,0.10347,0.09247,0.06867,0.02026,0.05871,0.09636
HCASE-00114,0.03323,0.05871,0.10701,0.0798,0.02187,0.08222,0.03032,0.83756,0.09208,0.17591,0.13243,0.18971,1.0,0.04287
HCASE-00115,0.50669,0.14279,0.13499,0.05952,0.03731,0.21621,0.0959,0.29937,0.20578,0.50609,0.10931,0.322,0.12038,0.58451
HCASE-00116,0.68238,0.56003,0.14287,0.14198,0.09651,0.57244,0.03473,0.12965,0.15475,0.33554,0.13338,0.03714,0.05636,0.77835
HCASE-00117,0.6896,0.14002,0.10286,0.12285,0.15197,0.13434,0.53038,0.47519,0.1545,0.65559,0.14633,0.08227,0.05945,0.2968
HCASE-00118,0.26392,0.56098,0.12886,0.14926,0.09899,0.91435,0.07864,0.15561,0.07627,0.02376,0.12242,0.03724,0.0385,0.21403
HCASE-00119,0.16903,0.58259,0.73569,0.15233,0.21831,0.17107,0.11603,0.64566,0.06951,0.03457,0.13474,0.1089,0.06804,0.08465
HCASE-00120,0.17536,0.15141,0.26518,0.13471,0.25841,0.12361,0.11889,0.771,0.13765,0.15981,0.03862,0.14209,0.62927,0.04521
HCASE-00121,0.10356,0.13018,0.0885,0.03677,0.06924,0.14408,0.13315,0.48585,0.42254,0.14148,0.36963,0.91911,0.16524,0.06815
HCASE-00122,0.18719,0.75829,0.16021,0.09744,0.18866,0.78068,0.32107,0.12596,0.06961,0.11561,0.09717,0.13386,0.12693,0.14803
HCASE-00123,0.44043,0.66491,0.04457,0.14595,0.04273,0.8383,0.12193,0.21266,0.21437,0.05824,0.05528,0.12139,0.05714,0.42536
HCASE-00124,0.76745,0.51753,0.11001,0.15634,0.1054,0.47805,0.13154,0.13901,0.09158,0.23034,0.05353,0.03903,0.02104,0.70518
HCASE-00125,0.14689,0.05561,0.37129,0.03815,0.32542,0.06376,0.02733,0.91913,0.16052,0.08767,0.02671,0.07462,0.78811,0.1251
HCASE-00126,0.11481,0.11081,0.40887,0.58137,0.47905,0.1356,0.15511,0.36202,0.40466,0.09603,0.09853,0.04869,0.03017,0.02676
HCASE-00127,0.11974,0.06122,0.12991,0.04383,0.08421,0.15596,0.05634,0.6563,0.18988,0.12302,0.05125,0.18829,0.48833,0.19122
HCASE-00128,0.13625,0.05669,0.25266,0.1066,0.309,0.05733,0.03538,0.84653,0.0775,0.18737,0.17905,0.12917,0.59211,0.05296
HCASE-00129,0.83252,0.56683,0.02091,0.11163,0.04715,0.5958,0.09055,0.09413,0.0764,0.29227,0.11306,0.11225,0.10467,0.85092
HCASE-00130,0.12664,0.72432,0.48722,0.19007,0.20141,0.14956,0.27576,0.4826,0.05462,0.07751,0.15184,0.10684,0.0389,0.10695
HCASE-00131,0.04529,0.11589,0.13979,0.11304,0.02092,0.04126,0.07554,0.7836,0.10657,0.11389,0.1514,0.10394,0.7719,0.12627
HCASE-00132,0.1036,0.75964,0.12012,0.18412,0.19289,0.74285,0.20934,0.07611,0.06637,0.12548,0.04507,0.14544,0.06813,0.05095
HCASE-00133,0.53201,0.66083,0.14831,0.15765,0.13751,0.66625,0.14291,0.15458,0.04705,0.09698,0.09513,0.12716,0.13305,0.70492
HCASE-00134,0.14143,0.0231,0.25633,0.57508,0.77418,0.10537,0.11132,0.26506,0.48977,0.11787,0.02706,0.07871,0.07091,0.2834
HCASE-00135,0.09809,0.56357,0.68732,0.08607,0.2745,0.07486,0.15197,0.666,0.15727,0.0784,0.0837,0.09535,0.07643,0.1432
HCASE-00136,0.11497,0.15596,0.04057,0.1051,0.14839,0.10629,0.10073,0.85264,0.33602,0.12089,0.1064,0.37751,0.64658,0.09775
HCASE-00137,0.05884,0.02832,0.21506,0.47891,0.8188,0.11816,0.12037,0.36348,0.57056,0.06966,0.04342,0.0321,0.13875,0.22179
HCASE-00138,0.20208,0.11283,0.09918,0.09636,0.03848,0.0928,0.02223,0.62724,0.41422,0.3167,0.15708,0.67231,0.1557,0.37326
HCASE-00139,0.2825,0.75299,0.2415,0.13695,0.05069,0.02904,0.82993,0.35168,0.04078,0.27058,0.06204,0.03842,0.0453,0.13319
HCASE-00140,0.61453,0.04604,0.10308,0.14717,0.02769,0.06773,0.42509,0.48987,0.0984,0.5588,0.02693,0.03841,0.06894,0.20777
HCASE-00141,0.15351,0.15581,0.19875,0.13228,0.04944,0.12218,0.03907,0.59376,0.42996,0.14334,0.29603,0.6815,0.04422,0.12315
HCASE-00142,0.29655,0.08347,0.12348,0.04609,0.08603,0.07494,0.13597,0.52375,0.436,0.21796,0.15671,0.52641,0.03287,0.37948
HCASE-00143,0.51933,0.70288,0.11005,0.07448,0.04558,0.77566,0.02633,0.15094,0.11028,0.13356,0.06773,0.02131,0.12656,0.44917
HCASE-00144,0.11626,0.12206,0.54386,0.63662,0.27927,0.0201,0.03323,0.53786,0.30861,0.16857,0.12137,0.2211,0.21857,0.13098
HCASE-00145,0.09951,0.65424,0.15404,0.10447,0.03144,0.70471,0.30649,0.13853,0.03496,0.05294,0.02879,0.04018,0.05418,0.0665
HCASE-00146,0.15977,0.56165,0.73224,0.23357,0.0479,0.03592,0.15413,0.64037,0.09027,0.06133,0.0356,0.12705,0.11262,0.20054
HCASE-00147,0.14223,0.03559,0.02276,0.04124,0.15237,0.12265,0.14548,0.33451,0.31748,0.18381,0.66764,0.99235,0.20298,0.11666
HCASE-00148,0.63885,0.05061,0.05763,0.09662,0.14237,0.05102,0.57954,0.49644,0.11623,0.68182,0.11204,0.06862,0.07868,0.37207
HCASE-00149,0.02987,0.14728,0.51031,0.13366,0.42805,0.03317,0.11265,0.86519,0.15647,0.02754,0.03322,0.14986,0.29202,0.10496
HCASE-00150,0.79381,0.61706,0.22097,0.1829,0.1604,0.50459,0.13521,0.1142,0.02182,0.28169,0.15586,0.14705,0.1183,0.65703
HCASE-00151,0.11925,0.08085,0.87467,0.2365,0.54355,0.03509,0.11139,0.87851,0.09134,0.08061,0.02859,0.0285,0.0244,0.0458
HCASE-00152,0.16003,0.18193,0.30393,0.52683,0.7468,0.15976,0.14139,0.3753,0.55048,0.0853,0.09025,0.11972,0.1214,0.1163
HCASE-00153,0.81265,0.44879,0.07105,0.09361,0.06674,0.47361,0.09319,0.08465,0.14001,0.32135,0.05445,0.03262,0.02065,0.85468
HCASE-00154,0.32935,0.65299,0.06907,0.04187,0.10338,0.19234,0.73113,0.21989,0.11182,0.20556,0.14104,0.05199,0.11037,0.15516
HCASE-00155,0.09096,0.14225,0.44073,0.04937,0.49949,0.04283,0.11291,0.61828,0.09683,0.17256,0.15562,0.09274,0.39395,0.04114
HCASE-00156,0.61742,0.61728,0.09036,0.32662,0.30217,0.75111,0.09324,0.10035,0.29345,0.11518,0.12216,0.06806,0.04288,0.65825
HCASE-00157,0.56184,0.56728,0.14854,0.20033,0.21847,0.49545,0.04385,0.0831,0.37115,0.03896,0.05323,0.08252,0.06457,0.56886
HCASE-00158,0.02655,0.14218,0.03216,0.11065,0.03211,0.05231,0.08745,0.68161,0.20168,0.11392,0.16513,0.38206,0.70486,0.11694
HCASE-00159,0.02995,0.59359,0.74889,0.12546,0.27717,0.04588,0.04694,0.65952,0.08049,0.15898,0.08069,0.15989,0.11749,0.03092
HCASE-00160,0.11395,0.61348,0.0716,0.0934,0.038,1.0,0.12926,0.1959,0.22755,0.08701,0.07005,0.03125,0.12044,0.086
HCASE-00161,0.07551,0.52258,0.60665,0.15462,0.35484,0.151,0.08537,0.60261,0.0213,0.0361,0.06391,0.10948,0.0563,0.09891
HCASE-00162,0.02794,0.0827,0.31855,0.09056,0.24234,0.10628,0.05494,0.79277,0.14638,0.15181,0.23187,0.15885,0.76009,0.15692
HCASE-00163,0.20806,0.72249,0.07545,0.05942,0.05287,0.64644,0.20634,0.06967,0.06099,0.14495,0.11813,0.04364,0.117,0.0372
HCASE-00164,0.36266,0.29545,0.19087,0.08178,0.07403,0.14201,0.47985,0.62207,0.09253,0.33213,0.06911,0.05718,0.15309,0.02793
HCASE-00165,0.06584,0.29374,0.85983,0.14644,0.56098,0.02735,0.13173,0.78814,0.12951,0.15405,0.08374,0.09285,0.02433,0.02303
HCASE-00166,0.62679,0.25942,0.10158,0.11026,0.04334,0.25514,0.08719,0.10314,0.12975,0.4912,0.12357,0.0975,0.14369,0.74744
HCASE-00167,0.3097,0.54383,0.09604,0.06285,0.05888,0.79666,0.08735,0.03555,0.12161,0.22462,0.1071,0.21391,0.09217,0.33934
HCASE-00168,0.11251,0.09797,0.69146,0.0592,0.74319,0.14989,0.04481,0.65753,0.0695,0.06918,0.0447,0.05325,0.03333,0.10181
HCASE-00169,0.0775,0.12357,0.0544,0.02581,0.07098,0.07716,0.09099,0.37784,0.23055,0.19862,0.73403,0.77835,0.14133,0.0971
HCASE-00170,0.58045,0.29548,0.30755,0.13306,0.09125,0.11625,0.52008,0.56106,0.02839,0.46125,0.10421,0.12331,0.08994,0.02321
HCASE-00171,0.55245,0.80127,0.23101,0.15898,0.15939,0.90756,0.11437,0.1363,0.12814,0.10158,0.11582,0.02468,0.1293,0.48207
HCASE-00172,0.59457,0.72181,0.14632,0.15742,0.12628,0.85566,0.13811,0.2587,0.26375,0.13536,0.08022,0.03314,0.06397,0.62659
HCASE-00173,0.09242,0.1167,0.25542,0.45419,0.77263,0.09035,0.12446,0.31774,0.57226,0.03839,0.03279,0.06959,0.1294,0.1628
HCASE-00174,0.1061,0.02953,0.18547,0.13312,0.13955,0.05199,0.07636,0.28432,0.24262,0.09807,0.45929,0.75902,0.08159,0.06687
HCASE-00175,0.63552,0.34464,0.06257,0.14441,0.06481,0.27802,0.11113,0.20088,0.20775,0.37342,0.04439,0.14948,0.10154,0.79655
HCASE-00176,0.03168,0.12783,0.09646,0.10317,0.02324,0.06405,0.09722,0.65947,0.21869,0.04988,0.11409,0.30327,0.61081,0.14427
HCASE-00177,0.10958,0.15815,0.12972,0.14882,0.13791,0.0314,0.03848,0.35232,0.04231,0.20699,0.60948,0.71385,0.42613,0.03546
HCASE-00178,0.13885,0.23062,0.7416,0.47282,0.06751,0.03352,0.07946,0.6698,0.02867,0.11456,0.15073,0.04427,0.07777,0.21247
