manufacturing_batch_id,process_type,equipment_id,machining_error,surface_roughness,cleanliness_level,manufacturing_risk_score,manufacturing_risk_level
HMAN-00105,heat_treatment,HEQ-064,0.0201,0.4133,0.3928,0.3119,medium
HMAN-00106,machining,HEQ-088,0.0386,0.2399,0.066,0.2162,low
HMAN-00107,heat_treatment,HEQ-040,0.0251,0.5673,0.6443,0.3491,medium
HMAN-00108,machining,HEQ-111,0.0356,0.6072,0.1025,0.234,low
HMAN-00109,heat_treatment,HEQ-116,0.0694,0.4597,0.2892,0.3338,medium
HMAN-00110,welding,HEQ-131,0.0086,0.1505,0.4688,0.1766,low
HMAN-00111,cleaning,HEQ-128,0.0113,0.6659,0.481,0.3691,medium
HMAN-00112,heat_treatment,HEQ-027,0.0492,0.5178,0.7252,0.4924,medium
HMAN-00113,grinding,HEQ-008,0.0327,0.2741,0.3529,0.2375,low
HMAN-00114,grinding,HEQ-081,0.041,0.8043,0.0895,0.3174,medium
HMAN-00115,heat_treatment,HEQ-111,0.0287,0.2621,0.5761,0.2579,medium
HMAN-00116,cleaning,HEQ-060,0.0116,0.074,0.4888,0.2759,medium
HMAN-00117,heat_treatment,HEQ-127,0.0623,0.1514,0.3134,0.2729,medium
HMAN-00118,heat_treatment,HEQ-076,0.0179,0.6521,0.4743,0.2857,medium
HMAN-00119,machining,HEQ-087,0.0346,0.6986,0.7826,0.4454,medium
HMAN-00120,cleaning,HEQ-140,0.0348,1.1999,0.4779,0.436,medium
HMAN-00121,heat_treatment,HEQ-089,0.0202,0.1475,0.1899,0.1476,low
HMAN-00122,cleaning,HEQ-062,0.0086,0.3376,0.7095,0.3075,medium
HMAN-00123,welding,HEQ-077,0.0175,0.83,0.4549,0.3055,medium
HMAN-00124,welding,HEQ-059,0.0348,0.6878,0.5041,0.4276,medium
HMAN-00125,machining,HEQ-034,0.0628,0.4003,0.4904,0.4371,medium
HMAN-00126,grinding,HEQ-055,0.0621,0.3494,0.4115,0.3704,medium
HMAN-00127,grinding,HEQ-107,0.0269,0.1596,0.412,0.229,low
HMAN-00128,cleaning,HEQ-024,0.0053,0.4089,0.848,0.302,medium
HMAN-00129,grinding,HEQ-123,0.0616,0.2293,0.431,0.3833,medium
HMAN-00130,machining,HEQ-007,0.0431,0.2095,0.4935,0.2808,medium
HMAN-00131,grinding,HEQ-066,0.0711,0.6344,0.4489,0.3828,medium
HMAN-00132,grinding,HEQ-115,0.0267,0.5183,0.4062,0.2659,medium
HMAN-00133,heat_treatment,HEQ-096,0.0171,0.4055,0.0681,0.1112,low
HMAN-00134,heat_treatment,HEQ-035,0.0441,0.4854,0.2114,0.2566,medium
HMAN-00135,heat_treatment,HEQ-131,0.0188,0.8004,0.4801,0.3087,medium
HMAN-00136,grinding,HEQ-090,0.01,0.841,0.331,0.2866,medium
HMAN-00137,grinding,HEQ-123,0.0863,0.3524,0.6924,0.5638,high
HMAN-00138,heat_treatment,HEQ-001,0.1039,0.4706,0.293,0.4095,medium
HMAN-00139,welding,HEQ-120,0.031,1.3007,0.3133,0.3706,medium
HMAN-00140,machining,HEQ-008,0.0179,0.5272,0.5048,0.3113,medium
HMAN-00141,cleaning,HEQ-060,0.0225,0.3806,0.6834,0.3366,medium
HMAN-00142,cleaning,HEQ-138,0.0376,0.1008,0.6152,0.4043,medium
HMAN-00143,welding,HEQ-038,0.0228,0.4417,0.1998,0.2123,low
HMAN-00144,welding,HEQ-086,0.0226,0.6503,0.2196,0.2275,low
HMAN-00145,welding,HEQ-056,0.031,0.2508,0.3211,0.2223,low
HMAN-00146,machining,HEQ-025,0.0085,0.6406,0.4073,0.2009,low
HMAN-00147,grinding,HEQ-075,0.0577,2.2191,0.3347,0.5589,high
HMAN-00148,machining,HEQ-081,0.0374,0.4173,0.2005,0.1788,low
HMAN-00149,machining,HEQ-091,0.0239,0.0798,0.6331,0.3705,medium
HMAN-00150,heat_treatment,HEQ-007,0.0516,0.345,0.2541,0.27,medium
HMAN-00151,machining,HEQ-054,0.0498,0.1073,0.5095,0.3121,medium
HMAN-00152,heat_treatment,HEQ-036,0.1442,0.2666,0.5991,0.643,high
HMAN-00153,heat_treatment,HEQ-077,0.0533,0.5042,0.512,0.3563,medium
HMAN-00154,heat_treatment,HEQ-016,0.0593,0.5784,0.4884,0.4092,medium
HMAN-00155,cleaning,HEQ-132,0.0293,0.4912,0.2387,0.1281,low
HMAN-00156,cleaning,HEQ-140,0.027,0.2657,0.4134,0.2731,medium
HMAN-00157,cleaning,HEQ-103,0.0056,0.2361,0.7471,0.3517,medium
HMAN-00158,grinding,HEQ-028,0.0259,0.3161,0.4957,0.3165,medium
HMAN-00159,heat_treatment,HEQ-030,0.0133,0.4352,0.3899,0.2256,low
HMAN-00160,machining,HEQ-095,0.0608,0.562,0.7574,0.4867,medium
HMAN-00161,machining,HEQ-108,0.0146,0.3782,0.02,0.1121,low
HMAN-00162,heat_treatment,HEQ-025,0.032,0.7247,0.5673,0.3866,medium
HMAN-00163,cleaning,HEQ-002,0.0154,0.2561,0.4617,0.2913,medium
HMAN-00164,machining,HEQ-093,0.0358,0.4082,0.3513,0.2552,medium
HMAN-00165,cleaning,HEQ-138,0.0469,0.2246,0.4297,0.304,medium
HMAN-00166,cleaning,HEQ-008,0.1599,0.2421,0.1096,0.4758,medium
HMAN-00167,cleaning,HEQ-010,0.0219,1.2665,0.35,0.3728,medium
HMAN-00168,welding,HEQ-017,0.0365,0.1276,0.433,0.243,low
HMAN-00169,cleaning,HEQ-122,0.0509,0.3293,0.3787,0.367,medium
HMAN-00170,welding,HEQ-110,0.0204,0.2226,0.4057,0.2103,low
HMAN-00171,grinding,HEQ-088,0.0624,0.8246,0.4759,0.531,high
HMAN-00172,grinding,HEQ-096,0.002,0.4028,0.2754,0.115,low
HMAN-00173,machining,HEQ-050,0.0375,0.5113,0.5769,0.3272,medium
HMAN-00174,welding,HEQ-010,0.027,0.4099,0.213,0.2189,low
HMAN-00175,cleaning,HEQ-121,0.0051,0.7521,0.3586,0.261,medium
HMAN-00176,grinding,HEQ-120,0.057,0.318,0.5498,0.3419,medium
HMAN-00177,grinding,HEQ-031,0.0711,0.1339,0.1142,0.2582,medium
HMAN-00178,heat_treatment,HEQ-062,0.0381,0.0523,0.4365,0.2533,medium
HMAN-00179,machining,HEQ-115,0.0737,0.6058,0.1665,0.3339,medium
HMAN-00180,grinding,HEQ-029,0.0227,0.68,0.3703,0.283,medium
HMAN-00181,machining,HEQ-044,0.0069,0.0905,0.5018,0.1776,low
HMAN-00182,heat_treatment,HEQ-061,0.0265,0.1903,0.4997,0.2824,medium
HMAN-00183,cleaning,HEQ-019,0.0597,0.8337,0.2778,0.3192,medium
HMAN-00184,grinding,HEQ-021,0.0305,0.159,0.2666,0.2034,low
HMAN-00185,welding,HEQ-049,0.0128,0.2435,0.6535,0.2751,medium
HMAN-00186,machining,HEQ-136,0.0408,0.1717,0.5273,0.2532,medium
HMAN-00187,grinding,HEQ-020,0.0521,0.2404,0.8537,0.5432,high
HMAN-00188,grinding,HEQ-058,0.0419,0.8098,0.5866,0.5194,high
HMAN-00189,grinding,HEQ-034,0.0399,0.7244,0.2073,0.2701,medium
HMAN-00190,grinding,HEQ-100,0.0069,0.3555,0.5705,0.2812,medium
HMAN-00191,heat_treatment,HEQ-001,0.0114,0.1014,0.3885,0.2287,low
HMAN-00192,welding,HEQ-016,0.0087,0.5392,0.156,0.1582,low
HMAN-00193,grinding,HEQ-079,0.1091,0.2088,0.3338,0.4162,medium
HMAN-00194,machining,HEQ-085,0.0311,0.0873,0.2471,0.1279,low
HMAN-00195,welding,HEQ-045,0.031,0.1025,0.7253,0.3517,medium
HMAN-00196,cleaning,HEQ-026,0.0146,0.7813,0.1209,0.2349,low
HMAN-00197,welding,HEQ-081,0.0394,0.2455,0.3417,0.203,low
HMAN-00198,machining,HEQ-095,0.0425,1.1367,0.2687,0.3425,medium
HMAN-00199,grinding,HEQ-079,0.0408,0.5575,0.3297,0.3101,medium
HMAN-00200,grinding,HEQ-085,0.0475,0.966,0.1166,0.3445,medium
HMAN-00201,grinding,HEQ-137,0.0154,0.1159,0.0709,0.0471,low
HMAN-00202,machining,HEQ-064,0.0369,0.1406,0.7759,0.3834,medium
HMAN-00203,heat_treatment,HEQ-014,0.0237,0.3099,0.3412,0.257,medium
HMAN-00204,machining,HEQ-021,0.0185,0.4375,0.2269,0.1351,low
HMAN-00205,cleaning,HEQ-053,0.019,0.3154,0.4085,0.1991,low
HMAN-00206,machining,HEQ-124,0.0424,0.1999,0.4894,0.2906,medium
HMAN-00207,machining,HEQ-139,0.049,0.05,0.5765,0.3495,medium
HMAN-00208,grinding,HEQ-128,0.0354,0.4376,0.5279,0.3695,medium
HMAN-00209,grinding,HEQ-074,0.0758,0.6152,0.3384,0.4526,medium
HMAN-00210,welding,HEQ-120,0.0252,0.1955,0.5126,0.2872,medium
HMAN-00211,grinding,HEQ-095,0.0051,0.2899,0.6295,0.2734,medium
HMAN-00212,welding,HEQ-067,0.0156,0.4415,0.0589,0.1637,low
HMAN-00213,heat_treatment,HEQ-015,0.0616,0.5756,0.4097,0.3596,medium
HMAN-00214,grinding,HEQ-129,0.007,0.3576,0.3485,0.1655,low
HMAN-00215,cleaning,HEQ-024,0.0457,0.153,0.5517,0.2746,medium
HMAN-00216,grinding,HEQ-040,0.0378,1.017,0.5984,0.4069,medium
HMAN-00217,cleaning,HEQ-043,0.028,1.0323,0.2462,0.3305,medium
HMAN-00218,heat_treatment,HEQ-019,0.0752,0.6209,0.4131,0.3979,medium
HMAN-00219,cleaning,HEQ-136,0.0489,0.1713,0.52,0.3159,medium
HMAN-00220,heat_treatment,HEQ-028,0.0098,0.6118,0.7436,0.3765,medium
HMAN-00221,cleaning,HEQ-065,0.0487,0.3085,0.4376,0.3157,medium
HMAN-00222,machining,HEQ-095,0.0637,0.1569,0.3913,0.34,medium
HMAN-00223,machining,HEQ-098,0.0555,0.8173,0.4998,0.4038,medium
HMAN-00224,machining,HEQ-133,0.0478,0.7478,0.4183,0.3592,medium
HMAN-00225,heat_treatment,HEQ-055,0.0263,0.2629,0.2657,0.1607,low
HMAN-00226,welding,HEQ-139,0.0593,0.1269,0.8537,0.4534,medium
HMAN-00227,heat_treatment,HEQ-068,0.0096,0.1399,0.4623,0.1804,low
HMAN-00228,heat_treatment,HEQ-136,0.0184,0.3853,0.1144,0.1554,low
HMAN-00229,grinding,HEQ-041,0.0124,0.3773,0.3027,0.1988,low
HMAN-00230,grinding,HEQ-025,0.0597,0.1622,0.4256,0.277,medium
HMAN-00231,machining,HEQ-033,0.0137,0.162,0.3409,0.1178,low
HMAN-00232,machining,HEQ-032,0.0098,0.8754,0.3806,0.3088,medium
HMAN-00233,welding,HEQ-076,0.0224,0.2583,0.831,0.3395,medium
HMAN-00234,welding,HEQ-076,0.018,0.9504,0.7889,0.4727,medium
HMAN-00235,grinding,HEQ-012,0.0511,0.8286,0.1112,0.3897,medium
HMAN-00236,cleaning,HEQ-083,0.0053,0.8593,0.7153,0.3961,medium
HMAN-00237,welding,HEQ-072,0.0719,0.05,0.3082,0.3448,medium
HMAN-00238,machining,HEQ-052,0.0089,0.5478,0.249,0.1768,low
HMAN-00239,heat_treatment,HEQ-095,0.0725,0.4777,0.4496,0.3174,medium
HMAN-00240,cleaning,HEQ-055,0.16,0.1731,0.2651,0.4893,medium
HMAN-00241,welding,HEQ-028,0.0546,0.1995,0.6459,0.442,medium
HMAN-00242,welding,HEQ-047,0.0152,0.5506,0.1684,0.1931,low
HMAN-00243,cleaning,HEQ-107,0.0308,0.148,0.573,0.2552,medium
HMAN-00244,welding,HEQ-077,0.0863,0.0778,0.1833,0.3108,medium
HMAN-00245,heat_treatment,HEQ-052,0.0575,0.05,0.2259,0.2548,medium
HMAN-00246,machining,HEQ-095,0.0306,0.1428,0.5645,0.2819,medium
HMAN-00247,grinding,HEQ-041,0.0114,0.3592,0.1973,0.1521,low
HMAN-00248,heat_treatment,HEQ-028,0.0122,0.4678,0.3626,0.1981,low
HMAN-00249,cleaning,HEQ-096,0.0383,0.4835,0.3305,0.2272,low
HMAN-00250,machining,HEQ-084,0.0123,0.1532,0.1543,0.0998,low
HMAN-00251,heat_treatment,HEQ-083,0.0315,0.05,0.5477,0.2805,medium
HMAN-00252,machining,HEQ-120,0.0504,0.4917,0.1064,0.1682,low
HMAN-00253,cleaning,HEQ-006,0.0163,0.1774,0.5526,0.2589,medium
HMAN-00254,heat_treatment,HEQ-023,0.0685,0.2932,0.2459,0.3441,medium
HMAN-00255,cleaning,HEQ-131,0.0246,1.0685,0.6396,0.4251,medium
HMAN-00256,machining,HEQ-019,0.0555,1.295,0.0959,0.3183,medium
HMAN-00257,heat_treatment,HEQ-110,0.0184,1.9722,0.376,0.4178,medium
HMAN-00258,heat_treatment,HEQ-117,0.0303,0.3346,0.2818,0.241,low
HMAN-00259,machining,HEQ-113,0.002,0.27,0.448,0.197,low
HMAN-00260,machining,HEQ-056,0.0363,0.5432,0.5666,0.4102,medium
HMAN-00261,grinding,HEQ-069,0.0305,0.3815,0.2356,0.2841,medium
HMAN-00262,cleaning,HEQ-028,0.0356,0.2926,0.6723,0.3146,medium
HMAN-00263,machining,HEQ-004,0.0332,0.1947,0.3753,0.2485,low
HMAN-00264,cleaning,HEQ-090,0.035,0.6991,0.4752,0.2919,medium
HMAN-00265,grinding,HEQ-005,0.0048,0.1224,0.1952,0.0772,low
HMAN-00266,grinding,HEQ-115,0.0184,0.9161,0.6361,0.3993,medium
HMAN-00267,grinding,HEQ-017,0.0952,1.6495,0.3777,0.6325,high
HMAN-00268,heat_treatment,HEQ-078,0.0055,0.5642,0.5451,0.316,medium
HMAN-00269,cleaning,HEQ-124,0.0077,0.2707,0.613,0.2627,medium
HMAN-00270,grinding,HEQ-046,0.0333,0.1372,0.0713,0.1503,low
HMAN-00271,machining,HEQ-073,0.0059,0.2648,0.3841,0.1691,low
HMAN-00272,cleaning,HEQ-031,0.0277,0.3371,0.1739,0.1601,low
HMAN-00273,cleaning,HEQ-021,0.0888,0.05,0.112,0.2667,medium
HMAN-00274,heat_treatment,HEQ-031,0.0212,0.5282,0.3013,0.2315,low
HMAN-00275,machining,HEQ-112,0.0355,0.2395,0.2787,0.2972,medium
HMAN-00276,heat_treatment,HEQ-129,0.0249,0.6489,0.1165,0.195,low
HMAN-00277,heat_treatment,HEQ-024,0.0535,0.1233,0.7183,0.3939,medium
HMAN-00278,cleaning,HEQ-024,0.1161,1.6687,0.3857,0.741,high
HMAN-00279,welding,HEQ-084,0.0206,0.4464,0.6167,0.323,medium
HMAN-00280,cleaning,HEQ-087,0.0316,0.8051,0.11,0.3294,medium
HMAN-00281,cleaning,HEQ-036,0.0153,1.237,0.6149,0.4264,medium
HMAN-00282,grinding,HEQ-011,0.1146,0.4182,0.2304,0.4278,medium
HMAN-00283,machining,HEQ-115,0.0552,0.4624,0.3257,0.277,medium
HMAN-00284,grinding,HEQ-054,0.0269,0.2684,0.5629,0.2861,medium
HMAN-00285,cleaning,HEQ-084,0.019,0.3773,0.4171,0.2691,medium
HMAN-00286,cleaning,HEQ-069,0.0185,0.6868,0.1936,0.2845,medium
HMAN-00287,grinding,HEQ-080,0.0912,0.8661,0.3089,0.5371,high
HMAN-00288,welding,HEQ-059,0.0285,0.746,0.2179,0.3977,medium
HMAN-00289,welding,HEQ-040,0.0234,0.2308,0.0817,0.1316,low
HMAN-00290,machining,HEQ-137,0.015,0.3759,0.279,0.2404,low
HMAN-00291,cleaning,HEQ-090,0.0213,0.3584,0.1203,0.126,low
HMAN-00292,heat_treatment,HEQ-131,0.0457,0.05,0.2938,0.1956,low
HMAN-00293,cleaning,HEQ-119,0.0649,0.5904,0.4374,0.303,medium
HMAN-00294,welding,HEQ-045,0.0536,0.6554,0.1721,0.2745,medium
HMAN-00295,welding,HEQ-090,0.0656,0.4229,0.309,0.3348,medium
HMAN-00296,cleaning,HEQ-030,0.026,1.7719,0.7216,0.5533,high
HMAN-00297,heat_treatment,HEQ-133,0.073,0.3274,0.4199,0.3713,medium
HMAN-00298,cleaning,HEQ-102,0.0816,0.0943,0.436,0.3254,medium
HMAN-00299,cleaning,HEQ-126,0.0468,0.3045,0.4299,0.2655,medium
HMAN-00300,welding,HEQ-035,0.0248,0.5945,0.443,0.2104,low
HMAN-00301,welding,HEQ-072,0.0494,0.4772,0.5451,0.4847,medium
HMAN-00302,welding,HEQ-028,0.0163,0.2583,0.3779,0.2745,medium
HMAN-00303,machining,HEQ-005,0.0781,0.907,0.5715,0.5483,high
HMAN-00304,machining,HEQ-012,0.0564,0.2846,0.5644,0.3659,medium
HMAN-00305,grinding,HEQ-048,0.0201,0.5753,0.2773,0.2682,medium
HMAN-00306,heat_treatment,HEQ-047,0.0498,0.1612,0.5991,0.3411,medium
HMAN-00307,grinding,HEQ-124,0.0084,0.2214,0.3265,0.173,low
HMAN-00308,grinding,HEQ-081,0.046,0.3034,0.6116,0.4301,medium
HMAN-00309,machining,HEQ-105,0.0462,0.2357,0.3103,0.2774,medium
HMAN-00310,cleaning,HEQ-052,0.0755,0.783,0.5348,0.4422,medium
HMAN-00311,heat_treatment,HEQ-004,0.028,0.1452,0.2701,0.1817,low
HMAN-00312,machining,HEQ-100,0.0091,0.2348,0.6025,0.2291,low
HMAN-00313,cleaning,HEQ-025,0.02,0.1585,0.5682,0.243,low
HMAN-00314,heat_treatment,HEQ-111,0.0185,0.3339,0.4122,0.1847,low
HMAN-00315,cleaning,HEQ-126,0.0503,0.8003,0.8004,0.5096,high
HMAN-00316,welding,HEQ-057,0.0369,0.2406,0.3873,0.3204,medium
HMAN-00317,welding,HEQ-019,0.02,0.3848,0.5556,0.3344,medium
HMAN-00318,grinding,HEQ-050,0.0863,0.2114,0.4799,0.4373,medium
HMAN-00319,welding,HEQ-093,0.0082,0.2073,0.3563,0.2504,medium
HMAN-00320,machining,HEQ-031,0.0592,1.0081,0.1054,0.3173,medium
HMAN-00321,welding,HEQ-073,0.0181,0.1758,0.2203,0.1599,low
HMAN-00322,welding,HEQ-090,0.0774,0.5863,0.4314,0.4271,medium
HMAN-00323,machining,HEQ-086,0.1499,1.1985,0.6861,0.7297,high
HMAN-00324,welding,HEQ-050,0.076,1.4363,0.6718,0.6653,high
HMAN-00325,welding,HEQ-111,0.021,0.8166,0.5828,0.3649,medium
HMAN-00326,heat_treatment,HEQ-036,0.0299,0.1896,0.5076,0.2301,low
HMAN-00327,heat_treatment,HEQ-020,0.02,0.2089,0.6259,0.3821,medium
HMAN-00328,machining,HEQ-125,0.0223,0.362,0.3594,0.2262,low
HMAN-00329,heat_treatment,HEQ-134,0.0071,0.8255,0.4314,0.3027,medium
HMAN-00330,welding,HEQ-034,0.0186,0.7964,0.2138,0.2402,low
HMAN-00331,welding,HEQ-140,0.0337,0.234,0.3078,0.2015,low
HMAN-00332,cleaning,HEQ-102,0.0045,1.1304,0.3228,0.3158,medium
HMAN-00333,grinding,HEQ-016,0.0723,0.1653,0.6103,0.3874,medium
