h,r,t,relation,head_type,tail_type,weight
7,1,6247,uses_material_batch,Bearing,MaterialBatch,1.0
7,2,6823,manufactured_in,Bearing,ManufacturingBatch,1.0
7,3,7507,assembled_in,Bearing,AssemblyRecord,1.0
7,4,12507,inspected_by,Bearing,InspectionRecord,1.0
7,5,24511,maintained_by,Bearing,MaintenanceRecord,1.0
7,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
7,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
8,0,5264,designed_by,Bearing,BearingDesignSpec,1.0
8,1,6126,uses_material_batch,Bearing,MaterialBatch,1.0
8,2,6525,manufactured_in,Bearing,ManufacturingBatch,1.0
8,3,7508,assembled_in,Bearing,AssemblyRecord,1.0
8,4,12508,inspected_by,Bearing,InspectionRecord,1.0
8,5,24512,maintained_by,Bearing,MaintenanceRecord,1.0
8,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
8,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
9,0,5596,designed_by,Bearing,BearingDesignSpec,1.0
9,1,6121,uses_material_batch,Bearing,MaterialBatch,1.0
9,2,6660,manufactured_in,Bearing,ManufacturingBatch,1.0
9,3,7509,assembled_in,Bearing,AssemblyRecord,1.0
9,4,12509,inspected_by,Bearing,InspectionRecord,1.0
9,5,24513,maintained_by,Bearing,MaintenanceRecord,1.0
9,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
9,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
10,0,5631,designed_by,Bearing,BearingDesignSpec,1.0
10,1,5908,uses_material_batch,Bearing,MaterialBatch,1.0
10,2,7140,manufactured_in,Bearing,ManufacturingBatch,1.0
10,3,7510,assembled_in,Bearing,AssemblyRecord,1.0
10,4,12510,inspected_by,Bearing,InspectionRecord,1.0
10,5,24514,maintained_by,Bearing,MaintenanceRecord,1.0
10,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
10,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
11,0,5758,designed_by,Bearing,BearingDesignSpec,1.0
11,1,5821,uses_material_batch,Bearing,MaterialBatch,1.0
11,2,7333,manufactured_in,Bearing,ManufacturingBatch,1.0
11,3,7511,assembled_in,Bearing,AssemblyRecord,1.0
11,4,12511,inspected_by,Bearing,InspectionRecord,1.0
11,5,24515,maintained_by,Bearing,MaintenanceRecord,1.0
11,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
11,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
12,0,5265,designed_by,Bearing,BearingDesignSpec,1.0
12,1,6056,uses_material_batch,Bearing,MaterialBatch,1.0
12,2,6549,manufactured_in,Bearing,ManufacturingBatch,1.0
12,3,7512,assembled_in,Bearing,AssemblyRecord,1.0
12,4,12512,inspected_by,Bearing,InspectionRecord,1.0
12,5,24516,maintained_by,Bearing,MaintenanceRecord,1.0
12,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
12,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
13,0,5016,designed_by,Bearing,BearingDesignSpec,1.0
13,1,6241,uses_material_batch,Bearing,MaterialBatch,1.0
13,2,6766,manufactured_in,Bearing,ManufacturingBatch,1.0
13,3,7513,assembled_in,Bearing,AssemblyRecord,1.0
13,4,12513,inspected_by,Bearing,InspectionRecord,1.0
13,5,24517,maintained_by,Bearing,MaintenanceRecord,1.0
13,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
13,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
14,0,5154,designed_by,Bearing,BearingDesignSpec,1.0
14,1,5930,uses_material_batch,Bearing,MaterialBatch,1.0
14,2,6457,manufactured_in,Bearing,ManufacturingBatch,1.0
14,3,7514,assembled_in,Bearing,AssemblyRecord,1.0
14,4,12514,inspected_by,Bearing,InspectionRecord,1.0
14,5,24518,maintained_by,Bearing,MaintenanceRecord,1.0
14,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
14,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
15,0,5124,designed_by,Bearing,BearingDesignSpec,1.0
15,1,5911,uses_material_batch,Bearing,MaterialBatch,1.0
15,2,7120,manufactured_in,Bearing,ManufacturingBatch,1.0
15,3,7515,assembled_in,Bearing,AssemblyRecord,1.0
15,4,12515,inspected_by,Bearing,InspectionRecord,1.0
15,5,24519,maintained_by,Bearing,MaintenanceRecord,1.0
15,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
15,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
16,0,5149,designed_by,Bearing,BearingDesignSpec,1.0
16,1,6022,uses_material_batch,Bearing,MaterialBatch,1.0
16,2,7491,manufactured_in,Bearing,ManufacturingBatch,1.0
16,3,7516,assembled_in,Bearing,AssemblyRecord,1.0
16,4,12516,inspected_by,Bearing,InspectionRecord,1.0
16,5,24520,maintained_by,Bearing,MaintenanceRecord,1.0
16,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
16,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
17,0,5656,designed_by,Bearing,BearingDesignSpec,1.0
17,1,5889,uses_material_batch,Bearing,MaterialBatch,1.0
17,2,7021,manufactured_in,Bearing,ManufacturingBatch,1.0
17,3,7517,assembled_in,Bearing,AssemblyRecord,1.0
17,4,12517,inspected_by,Bearing,InspectionRecord,1.0
17,5,24521,maintained_by,Bearing,MaintenanceRecord,1.0
17,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
17,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
18,0,5006,designed_by,Bearing,BearingDesignSpec,1.0
18,1,6108,uses_material_batch,Bearing,MaterialBatch,1.0
18,2,7316,manufactured_in,Bearing,ManufacturingBatch,1.0
18,3,7518,assembled_in,Bearing,AssemblyRecord,1.0
18,4,12518,inspected_by,Bearing,InspectionRecord,1.0
18,5,24522,maintained_by,Bearing,MaintenanceRecord,1.0
18,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
18,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
19,0,5026,designed_by,Bearing,BearingDesignSpec,1.0
19,1,5898,uses_material_batch,Bearing,MaterialBatch,1.0
19,2,6331,manufactured_in,Bearing,ManufacturingBatch,1.0
19,3,7519,assembled_in,Bearing,AssemblyRecord,1.0
19,4,12519,inspected_by,Bearing,InspectionRecord,1.0
19,5,24523,maintained_by,Bearing,MaintenanceRecord,1.0
19,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
19,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
20,0,5230,designed_by,Bearing,BearingDesignSpec,1.0
20,1,5924,uses_material_batch,Bearing,MaterialBatch,1.0
20,2,6339,manufactured_in,Bearing,ManufacturingBatch,1.0
20,3,7520,assembled_in,Bearing,AssemblyRecord,1.0
20,4,12520,inspected_by,Bearing,InspectionRecord,1.0
20,5,24524,maintained_by,Bearing,MaintenanceRecord,1.0
20,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
20,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
21,0,5362,designed_by,Bearing,BearingDesignSpec,1.0
21,1,6201,uses_material_batch,Bearing,MaterialBatch,1.0
21,2,7229,manufactured_in,Bearing,ManufacturingBatch,1.0
21,3,7521,assembled_in,Bearing,AssemblyRecord,1.0
21,4,12521,inspected_by,Bearing,InspectionRecord,1.0
21,5,24525,maintained_by,Bearing,MaintenanceRecord,1.0
21,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
21,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
22,0,5121,designed_by,Bearing,BearingDesignSpec,1.0
22,1,5834,uses_material_batch,Bearing,MaterialBatch,1.0
22,2,7192,manufactured_in,Bearing,ManufacturingBatch,1.0
22,3,7522,assembled_in,Bearing,AssemblyRecord,1.0
22,4,12522,inspected_by,Bearing,InspectionRecord,1.0
22,5,24526,maintained_by,Bearing,MaintenanceRecord,1.0
22,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
22,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
23,0,5057,designed_by,Bearing,BearingDesignSpec,1.0
23,1,6011,uses_material_batch,Bearing,MaterialBatch,1.0
23,2,7095,manufactured_in,Bearing,ManufacturingBatch,1.0
23,3,7523,assembled_in,Bearing,AssemblyRecord,1.0
23,4,12523,inspected_by,Bearing,InspectionRecord,1.0
23,5,24527,maintained_by,Bearing,MaintenanceRecord,1.0
23,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
23,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
24,0,5519,designed_by,Bearing,BearingDesignSpec,1.0
24,1,6097,uses_material_batch,Bearing,MaterialBatch,1.0
24,2,6505,manufactured_in,Bearing,ManufacturingBatch,1.0
24,3,7524,assembled_in,Bearing,AssemblyRecord,1.0
24,4,12524,inspected_by,Bearing,InspectionRecord,1.0
24,5,24528,maintained_by,Bearing,MaintenanceRecord,1.0
24,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
24,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
25,0,5317,designed_by,Bearing,BearingDesignSpec,1.0
25,1,6278,uses_material_batch,Bearing,MaterialBatch,1.0
25,2,6618,manufactured_in,Bearing,ManufacturingBatch,1.0
25,3,7525,assembled_in,Bearing,AssemblyRecord,1.0
25,4,12525,inspected_by,Bearing,InspectionRecord,1.0
25,5,24529,maintained_by,Bearing,MaintenanceRecord,1.0
25,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
25,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
26,0,5548,designed_by,Bearing,BearingDesignSpec,1.0
26,1,5810,uses_material_batch,Bearing,MaterialBatch,1.0
26,2,7162,manufactured_in,Bearing,ManufacturingBatch,1.0
26,3,7526,assembled_in,Bearing,AssemblyRecord,1.0
26,4,12526,inspected_by,Bearing,InspectionRecord,1.0
26,5,24530,maintained_by,Bearing,MaintenanceRecord,1.0
26,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
26,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
27,0,5244,designed_by,Bearing,BearingDesignSpec,1.0
27,1,5847,uses_material_batch,Bearing,MaterialBatch,1.0
27,2,7318,manufactured_in,Bearing,ManufacturingBatch,1.0
27,3,7527,assembled_in,Bearing,AssemblyRecord,1.0
27,4,12527,inspected_by,Bearing,InspectionRecord,1.0
27,5,24531,maintained_by,Bearing,MaintenanceRecord,1.0
27,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
27,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
28,0,5221,designed_by,Bearing,BearingDesignSpec,1.0
28,1,6236,uses_material_batch,Bearing,MaterialBatch,1.0
28,2,6962,manufactured_in,Bearing,ManufacturingBatch,1.0
28,3,7528,assembled_in,Bearing,AssemblyRecord,1.0
28,4,12528,inspected_by,Bearing,InspectionRecord,1.0
28,5,24532,maintained_by,Bearing,MaintenanceRecord,1.0
28,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
28,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
29,0,5116,designed_by,Bearing,BearingDesignSpec,1.0
29,1,6161,uses_material_batch,Bearing,MaterialBatch,1.0
29,2,6728,manufactured_in,Bearing,ManufacturingBatch,1.0
29,3,7529,assembled_in,Bearing,AssemblyRecord,1.0
29,4,12529,inspected_by,Bearing,InspectionRecord,1.0
29,5,24533,maintained_by,Bearing,MaintenanceRecord,1.0
29,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
29,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
30,0,5622,designed_by,Bearing,BearingDesignSpec,1.0
30,1,5874,uses_material_batch,Bearing,MaterialBatch,1.0
30,2,6516,manufactured_in,Bearing,ManufacturingBatch,1.0
30,3,7530,assembled_in,Bearing,AssemblyRecord,1.0
30,4,12530,inspected_by,Bearing,InspectionRecord,1.0
30,5,24534,maintained_by,Bearing,MaintenanceRecord,1.0
30,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
30,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
31,0,5066,designed_by,Bearing,BearingDesignSpec,1.0
31,1,5969,uses_material_batch,Bearing,MaterialBatch,1.0
31,2,7350,manufactured_in,Bearing,ManufacturingBatch,1.0
31,3,7531,assembled_in,Bearing,AssemblyRecord,1.0
31,4,12531,inspected_by,Bearing,InspectionRecord,1.0
31,5,24535,maintained_by,Bearing,MaintenanceRecord,1.0
31,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
31,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
32,0,5077,designed_by,Bearing,BearingDesignSpec,1.0
32,1,6009,uses_material_batch,Bearing,MaterialBatch,1.0
32,2,6583,manufactured_in,Bearing,ManufacturingBatch,1.0
32,3,7532,assembled_in,Bearing,AssemblyRecord,1.0
32,4,12532,inspected_by,Bearing,InspectionRecord,1.0
32,5,24536,maintained_by,Bearing,MaintenanceRecord,1.0
32,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
32,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
33,0,5026,designed_by,Bearing,BearingDesignSpec,1.0
33,1,6083,uses_material_batch,Bearing,MaterialBatch,1.0
33,2,6880,manufactured_in,Bearing,ManufacturingBatch,1.0
33,3,7533,assembled_in,Bearing,AssemblyRecord,1.0
33,4,12533,inspected_by,Bearing,InspectionRecord,1.0
33,5,24537,maintained_by,Bearing,MaintenanceRecord,1.0
33,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
33,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
34,0,5512,designed_by,Bearing,BearingDesignSpec,1.0
34,1,5948,uses_material_batch,Bearing,MaterialBatch,1.0
34,2,6853,manufactured_in,Bearing,ManufacturingBatch,1.0
34,3,7534,assembled_in,Bearing,AssemblyRecord,1.0
34,4,12534,inspected_by,Bearing,InspectionRecord,1.0
34,5,24538,maintained_by,Bearing,MaintenanceRecord,1.0
34,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
34,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
35,0,5588,designed_by,Bearing,BearingDesignSpec,1.0
35,1,6230,uses_material_batch,Bearing,MaterialBatch,1.0
35,2,7499,manufactured_in,Bearing,ManufacturingBatch,1.0
35,3,7535,assembled_in,Bearing,AssemblyRecord,1.0
35,4,12535,inspected_by,Bearing,InspectionRecord,1.0
35,5,24539,maintained_by,Bearing,MaintenanceRecord,1.0
35,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
35,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
36,0,5369,designed_by,Bearing,BearingDesignSpec,1.0
36,1,6177,uses_material_batch,Bearing,MaterialBatch,1.0
36,2,6304,manufactured_in,Bearing,ManufacturingBatch,1.0
36,3,7536,assembled_in,Bearing,AssemblyRecord,1.0
36,4,12536,inspected_by,Bearing,InspectionRecord,1.0
36,5,24540,maintained_by,Bearing,MaintenanceRecord,1.0
36,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
36,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
37,0,5306,designed_by,Bearing,BearingDesignSpec,1.0
37,1,6092,uses_material_batch,Bearing,MaterialBatch,1.0
37,2,7319,manufactured_in,Bearing,ManufacturingBatch,1.0
37,3,7537,assembled_in,Bearing,AssemblyRecord,1.0
37,4,12537,inspected_by,Bearing,InspectionRecord,1.0
37,5,24541,maintained_by,Bearing,MaintenanceRecord,1.0
37,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
37,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
38,0,5470,designed_by,Bearing,BearingDesignSpec,1.0
38,1,5838,uses_material_batch,Bearing,MaterialBatch,1.0
38,2,6997,manufactured_in,Bearing,ManufacturingBatch,1.0
38,3,7538,assembled_in,Bearing,AssemblyRecord,1.0
38,4,12538,inspected_by,Bearing,InspectionRecord,1.0
38,5,24542,maintained_by,Bearing,MaintenanceRecord,1.0
38,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
38,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
39,0,5018,designed_by,Bearing,BearingDesignSpec,1.0
39,1,6268,uses_material_batch,Bearing,MaterialBatch,1.0
39,2,7224,manufactured_in,Bearing,ManufacturingBatch,1.0
39,3,7539,assembled_in,Bearing,AssemblyRecord,1.0
39,4,12539,inspected_by,Bearing,InspectionRecord,1.0
39,5,24543,maintained_by,Bearing,MaintenanceRecord,1.0
39,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
39,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
40,0,5196,designed_by,Bearing,BearingDesignSpec,1.0
40,1,6154,uses_material_batch,Bearing,MaterialBatch,1.0
40,2,7345,manufactured_in,Bearing,ManufacturingBatch,1.0
40,3,7540,assembled_in,Bearing,AssemblyRecord,1.0
40,4,12540,inspected_by,Bearing,InspectionRecord,1.0
40,5,24544,maintained_by,Bearing,MaintenanceRecord,1.0
40,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
40,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
41,0,5472,designed_by,Bearing,BearingDesignSpec,1.0
41,1,6149,uses_material_batch,Bearing,MaterialBatch,1.0
41,2,6734,manufactured_in,Bearing,ManufacturingBatch,1.0
41,3,7541,assembled_in,Bearing,AssemblyRecord,1.0
41,4,12541,inspected_by,Bearing,InspectionRecord,1.0
41,5,24545,maintained_by,Bearing,MaintenanceRecord,1.0
41,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
41,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
42,0,5528,designed_by,Bearing,BearingDesignSpec,1.0
42,1,5918,uses_material_batch,Bearing,MaterialBatch,1.0
42,2,6542,manufactured_in,Bearing,ManufacturingBatch,1.0
42,3,7542,assembled_in,Bearing,AssemblyRecord,1.0
42,4,12542,inspected_by,Bearing,InspectionRecord,1.0
42,5,24546,maintained_by,Bearing,MaintenanceRecord,1.0
42,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
42,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
43,0,5027,designed_by,Bearing,BearingDesignSpec,1.0
43,1,5983,uses_material_batch,Bearing,MaterialBatch,1.0
43,2,7305,manufactured_in,Bearing,ManufacturingBatch,1.0
43,3,7543,assembled_in,Bearing,AssemblyRecord,1.0
43,4,12543,inspected_by,Bearing,InspectionRecord,1.0
43,5,24547,maintained_by,Bearing,MaintenanceRecord,1.0
43,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
43,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
44,0,5637,designed_by,Bearing,BearingDesignSpec,1.0
44,1,6038,uses_material_batch,Bearing,MaterialBatch,1.0
44,2,7003,manufactured_in,Bearing,ManufacturingBatch,1.0
44,3,7544,assembled_in,Bearing,AssemblyRecord,1.0
44,4,12544,inspected_by,Bearing,InspectionRecord,1.0
44,5,24548,maintained_by,Bearing,MaintenanceRecord,1.0
44,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
44,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
45,0,5446,designed_by,Bearing,BearingDesignSpec,1.0
45,1,5902,uses_material_batch,Bearing,MaterialBatch,1.0
45,2,7484,manufactured_in,Bearing,ManufacturingBatch,1.0
45,3,7545,assembled_in,Bearing,AssemblyRecord,1.0
45,4,12545,inspected_by,Bearing,InspectionRecord,1.0
45,5,24549,maintained_by,Bearing,MaintenanceRecord,1.0
45,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
45,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
46,0,5172,designed_by,Bearing,BearingDesignSpec,1.0
46,1,5927,uses_material_batch,Bearing,MaterialBatch,1.0
46,2,7391,manufactured_in,Bearing,ManufacturingBatch,1.0
46,3,7546,assembled_in,Bearing,AssemblyRecord,1.0
46,4,12546,inspected_by,Bearing,InspectionRecord,1.0
46,5,24550,maintained_by,Bearing,MaintenanceRecord,1.0
46,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
46,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
47,0,5173,designed_by,Bearing,BearingDesignSpec,1.0
47,1,6030,uses_material_batch,Bearing,MaterialBatch,1.0
47,2,6951,manufactured_in,Bearing,ManufacturingBatch,1.0
47,3,7547,assembled_in,Bearing,AssemblyRecord,1.0
47,4,12547,inspected_by,Bearing,InspectionRecord,1.0
47,5,24551,maintained_by,Bearing,MaintenanceRecord,1.0
47,6,24504,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
47,7,24505,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
48,0,5099,designed_by,Bearing,BearingDesignSpec,1.0
48,1,6130,uses_material_batch,Bearing,MaterialBatch,1.0
48,2,7135,manufactured_in,Bearing,ManufacturingBatch,1.0
48,3,7548,assembled_in,Bearing,AssemblyRecord,1.0
48,4,12548,inspected_by,Bearing,InspectionRecord,1.0
48,5,24552,maintained_by,Bearing,MaintenanceRecord,1.0
48,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
48,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
49,0,5683,designed_by,Bearing,BearingDesignSpec,1.0
49,1,6116,uses_material_batch,Bearing,MaterialBatch,1.0
49,2,6437,manufactured_in,Bearing,ManufacturingBatch,1.0
49,3,7549,assembled_in,Bearing,AssemblyRecord,1.0
49,4,12549,inspected_by,Bearing,InspectionRecord,1.0
49,5,24553,maintained_by,Bearing,MaintenanceRecord,1.0
49,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
49,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
50,0,5640,designed_by,Bearing,BearingDesignSpec,1.0
50,1,5847,uses_material_batch,Bearing,MaterialBatch,1.0
50,2,6552,manufactured_in,Bearing,ManufacturingBatch,1.0
50,3,7550,assembled_in,Bearing,AssemblyRecord,1.0
50,4,12550,inspected_by,Bearing,InspectionRecord,1.0
50,5,24554,maintained_by,Bearing,MaintenanceRecord,1.0
50,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
50,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
51,0,5195,designed_by,Bearing,BearingDesignSpec,1.0
51,1,5963,uses_material_batch,Bearing,MaterialBatch,1.0
51,2,6825,manufactured_in,Bearing,ManufacturingBatch,1.0
51,3,7551,assembled_in,Bearing,AssemblyRecord,1.0
51,4,12551,inspected_by,Bearing,InspectionRecord,1.0
51,5,24555,maintained_by,Bearing,MaintenanceRecord,1.0
51,6,24501,has_overall_lifecycle_risk_level,Bearing,RiskLevel,0.5
51,7,24502,has_overall_lifecycle_risk_score,Bearing,RiskScore,0.5
52,0,5709,designed_by,Bearing,BearingDesignSpec,1.0
52,1,6017,uses_material_batch,Bearing,MaterialBatch,1.0
52,2,6774,manufactured_in,Bearing,ManufacturingBatch,1.0
