receipt_id,inv_lot_id,po_line_id,recv_no,recv_time_txt,recv_qty_txt,wh_keeper,iqc_flag,recv_stat_cd
79,79,79,RECVNO-0079,2026/05/31 17:13:00,21.300 MPa,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_CLOSED
80,80,80,RECVNO-0080,2026/06/01 17:20:00,0.020 mL/min,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_HOLD
81,81,81,RECVNO-0081,2026/06/02 17:27:00,154.850 mm,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,N,ERP_OPEN
82,82,82,RECVNO-0082,2026/06/03 17:34:00,4.800 s,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_RUNNING
83,83,83,RECVNO-0083,2026/06/04 17:41:00,38.1 C,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_CLOSED
84,84,84,RECVNO-0084,2026/06/05 17:48:00,0.240 mm,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,N,ERP_HOLD
85,85,85,RECVNO-0085,2026/05/09 17:55:00,20.700 MPa,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_OPEN
86,86,86,RECVNO-0086,2026/05/10 18:02:00,0.050 mL/min,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_RUNNING
87,87,87,RECVNO-0087,2026/05/11 18:09:00,155.000 mm,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,N,ERP_CLOSED
88,88,88,RECVNO-0088,2026/05/12 18:16:00,4.950 s,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_HOLD
89,89,89,RECVNO-0089,2026/05/13 18:23:00,38.3 C,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_OPEN
90,90,90,RECVNO-0090,2026/05/14 18:30:00,0.120 mm,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,N,ERP_RUNNING
91,91,91,RECVNO-0091,2026/05/15 18:37:00,23.400 MPa,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_CLOSED
92,92,92,RECVNO-0092,2026/05/16 18:44:00,0.080 mL/min,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_HOLD
93,93,93,RECVNO-0093,2026/05/17 18:51:00,155.150 mm,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,N,ERP_OPEN
94,94,94,RECVNO-0094,2026/05/18 18:58:00,5.100 s,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_RUNNING
95,95,95,RECVNO-0095,2026/05/19 19:05:00,37.7 C,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_CLOSED
96,96,96,RECVNO-0096,2026/05/20 19:12:00,0.150 mm,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,N,ERP_HOLD
97,97,97,RECVNO-0097,2026/05/21 19:19:00,21.000 MPa,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_OPEN
98,98,98,RECVNO-0098,2026/05/22 19:26:00,0.110 mL/min,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_RUNNING
99,99,99,RECVNO-0099,2026/05/23 19:33:00,155.300 mm,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,N,ERP_CLOSED
100,100,100,RECVNO-0100,2026/05/24 19:40:00,4.500 s,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_HOLD
101,101,101,RECVNO-0101,2026/05/25 19:47:00,37.9 C,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_OPEN
102,102,102,RECVNO-0102,2026/05/26 19:54:00,0.180 mm,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,N,ERP_RUNNING
103,103,103,RECVNO-0103,2026/05/27 20:01:00,21.150 MPa,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_CLOSED
104,104,104,RECVNO-0104,2026/05/28 20:08:00,0.220 mL/min,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_HOLD
105,105,105,RECVNO-0105,2026/05/29 20:15:00,154.700 mm,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,N,ERP_OPEN
106,106,106,RECVNO-0106,2026/05/30 20:22:00,4.650 s,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_RUNNING
107,107,107,RECVNO-0107,2026/05/31 20:29:00,38.0 C,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_CLOSED
108,108,108,RECVNO-0108,2026/06/01 20:36:00,0.210 mm,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,N,ERP_HOLD
109,109,109,RECVNO-0109,2026/06/02 20:43:00,21.300 MPa,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_OPEN
110,110,110,RECVNO-0110,2026/06/03 20:50:00,0.020 mL/min,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_RUNNING
111,111,111,RECVNO-0111,2026/06/04 20:57:00,154.850 mm,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,N,ERP_CLOSED
112,112,112,RECVNO-0112,2026/06/05 21:04:00,4.800 s,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_HOLD
113,113,113,RECVNO-0113,2026/05/09 21:11:00,38.1 C,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_OPEN
114,114,114,RECVNO-0114,2026/05/10 21:18:00,0.240 mm,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,N,ERP_RUNNING
115,115,115,RECVNO-0115,2026/05/11 21:25:00,20.700 MPa,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_CLOSED
116,116,116,RECVNO-0116,2026/05/12 21:32:00,0.050 mL/min,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_HOLD
117,117,117,RECVNO-0117,2026/05/13 21:39:00,158.400 mm,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,N,ERP_OPEN
118,118,118,RECVNO-0118,2026/05/14 21:46:00,4.950 s,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_RUNNING
119,119,119,RECVNO-0119,2026/05/15 21:53:00,38.3 C,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_CLOSED
120,120,120,RECVNO-0120,2026/05/16 22:00:00,0.120 mm,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,N,ERP_HOLD
121,121,121,RECVNO-0121,2026/05/17 22:07:00,20.850 MPa,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_OPEN
122,122,122,RECVNO-0122,2026/05/18 22:14:00,0.080 mL/min,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_RUNNING
123,123,123,RECVNO-0123,2026/05/19 22:21:00,155.150 mm,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,N,ERP_CLOSED
124,124,124,RECVNO-0124,2026/05/20 22:28:00,5.100 s,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_HOLD
125,125,125,RECVNO-0125,2026/05/21 22:35:00,37.7 C,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_OPEN
126,126,126,RECVNO-0126,2026/05/22 22:42:00,0.150 mm,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,N,ERP_RUNNING
127,127,127,RECVNO-0127,2026/05/23 22:49:00,21.000 MPa,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_CLOSED
128,128,128,RECVNO-0128,2026/05/24 22:56:00,0.110 mL/min,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_HOLD
129,129,129,RECVNO-0129,2026/05/25 23:03:00,155.300 mm,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,N,ERP_OPEN
130,130,130,RECVNO-0130,2026/05/26 23:10:00,6.200 s,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_RUNNING
131,131,131,RECVNO-0131,2026/05/27 23:17:00,37.9 C,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_CLOSED
132,132,132,RECVNO-0132,2026/05/28 23:24:00,0.180 mm,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,N,ERP_HOLD
133,133,133,RECVNO-0133,2026/05/29 23:31:00,21.150 MPa,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_OPEN
134,134,134,RECVNO-0134,2026/05/30 23:38:00,0.140 mL/min,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_RUNNING
135,135,135,RECVNO-0135,2026/05/31 23:45:00,154.700 mm,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,N,ERP_CLOSED
136,136,136,RECVNO-0136,2026/06/01 23:52:00,4.650 s,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_HOLD
137,137,137,RECVNO-0137,2026/06/02 23:59:00,38.0 C,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_OPEN
138,138,138,RECVNO-0138,2026/06/04 00:06:00,0.210 mm,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,N,ERP_RUNNING
139,139,139,RECVNO-0139,2026/06/05 00:13:00,21.300 MPa,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_CLOSED
140,140,140,RECVNO-0140,2026/06/06 00:20:00,0.020 mL/min,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_HOLD
141,141,141,RECVNO-0141,2026/05/10 00:27:00,154.850 mm,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,N,ERP_OPEN
142,142,142,RECVNO-0142,2026/05/11 00:34:00,4.800 s,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_RUNNING
143,143,143,RECVNO-0143,2026/05/12 00:41:00,62.0 C,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_CLOSED
144,144,144,RECVNO-0144,2026/05/13 00:48:00,0.240 mm,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,N,ERP_HOLD
145,145,145,RECVNO-0145,2026/05/14 00:55:00,20.700 MPa,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_OPEN
146,146,146,RECVNO-0146,2026/05/15 01:02:00,0.050 mL/min,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_RUNNING
147,147,147,RECVNO-0147,2026/05/16 01:09:00,155.000 mm,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,N,ERP_CLOSED
148,148,148,RECVNO-0148,2026/05/17 01:16:00,4.950 s,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_HOLD
149,149,149,RECVNO-0149,2026/05/18 01:23:00,38.3 C,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_OPEN
150,150,150,RECVNO-0150,2026/05/19 01:30:00,0.120 mm,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,N,ERP_RUNNING
151,151,151,RECVNO-0151,2026/05/20 01:37:00,20.850 MPa,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_CLOSED
152,152,152,RECVNO-0152,2026/05/21 01:44:00,0.080 mL/min,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_HOLD
153,153,153,RECVNO-0153,2026/05/22 01:51:00,155.150 mm,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,N,ERP_OPEN
154,154,154,RECVNO-0154,2026/05/23 01:58:00,5.100 s,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_RUNNING
155,155,155,RECVNO-0155,2026/05/24 02:05:00,37.7 C,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_CLOSED
156,156,156,RECVNO-0156,2026/05/25 02:12:00,0.310 mm,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,N,ERP_HOLD
157,157,157,RECVNO-0157,2026/05/26 02:19:00,21.000 MPa,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_OPEN
158,158,158,RECVNO-0158,2026/05/27 02:26:00,0.110 mL/min,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_RUNNING
159,159,159,RECVNO-0159,2026/05/28 02:33:00,155.300 mm,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,N,ERP_CLOSED
160,160,160,RECVNO-0160,2026/05/29 02:40:00,4.500 s,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_HOLD
161,161,161,RECVNO-0161,2026/05/30 02:47:00,37.9 C,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_OPEN
162,162,162,RECVNO-0162,2026/05/31 02:54:00,0.180 mm,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,N,ERP_RUNNING
163,163,163,RECVNO-0163,2026/06/01 03:01:00,21.150 MPa,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_CLOSED
164,164,164,RECVNO-0164,2026/06/02 03:08:00,0.140 mL/min,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_HOLD
165,165,165,RECVNO-0165,2026/06/03 03:15:00,154.700 mm,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,N,ERP_OPEN
166,166,166,RECVNO-0166,2026/06/04 03:22:00,4.650 s,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_RUNNING
167,167,167,RECVNO-0167,2026/06/05 03:29:00,38.0 C,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_CLOSED
168,168,168,RECVNO-0168,2026/06/06 03:36:00,0.210 mm,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,N,ERP_HOLD
169,169,169,RECVNO-0169,2026/05/10 03:43:00,23.400 MPa,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_OPEN
170,170,170,RECVNO-0170,2026/05/11 03:50:00,0.020 mL/min,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_RUNNING
171,171,171,RECVNO-0171,2026/05/12 03:57:00,154.850 mm,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,N,ERP_CLOSED
172,172,172,RECVNO-0172,2026/05/13 04:04:00,4.800 s,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_HOLD
173,173,173,RECVNO-0173,2026/05/14 04:11:00,38.1 C,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_OPEN
174,174,174,RECVNO-0174,2026/05/15 04:18:00,0.240 mm,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,N,ERP_RUNNING
