iqs_failure_id,quality_event_doc_id,inspection_doc_id,defect_log_id,component_serial_no,part_serial_no,work_order_no,op_no,supplier_code,maintenance_event_no,doc_source,failure_type,quality_code,iqs_failure_order,task_code,product_code,product_name,piece_no,find_dept_code,find_dept_name,doc_status_code,secret_level_code,starttime_text,finishtime_text
14,14,14,14,LGACT-2026-0014,PIN-2026-0014,WO-LG-2026-0014,OP070,SUP-CF-0014,QE-CF-2026-0014,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0014,IQS-CF-0014,TASK-LG-0014,AC-LGACT-PROD-0014,Rear End Cap 014,PIECENO-0014,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/05/22 09:38:00,2026/05/22 09:38:00
15,15,15,15,LGACT-2026-0015,PIN-2026-0015,WO-LG-2026-0015,OP080,SUP-CF-0015,QE-CF-2026-0015,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0015,IQS-CF-0015,TASK-LG-0015,AC-LGACT-PROD-0015,Seal Ring Assembly 015,PIECENO-0015,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/05/23 09:45:00,2026/05/23 09:45:00
16,16,16,16,LGACT-2026-0016,PIN-2026-0016,WO-LG-2026-0016,OP010,SUP-CF-0016,QE-CF-2026-0016,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0016,IQS-CF-0016,TASK-LG-0016,AC-LGACT-PROD-0016,Trunnion Bushing 016,PIECENO-0016,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/05/24 09:52:00,2026/05/24 09:52:00
17,17,17,17,LGACT-2026-0017,PIN-2026-0017,WO-LG-2026-0017,OP020,SUP-CF-0017,QE-CF-2026-0017,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0017,IQS-CF-0017,TASK-LG-0017,AC-LGACT-PROD-0017,Spherical Bearing 017,PIECENO-0017,DEPT-QA-06,Aviation Materials Procurement Department,QMS_OPEN,QMS_A,2026/05/25 09:59:00,2026/05/25 09:59:00
18,18,18,18,LGACT-2026-0018,PIN-2026-0018,WO-LG-2026-0018,OP030,SUP-CF-0018,QE-CF-2026-0018,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0018,IQS-CF-0018,TASK-LG-0018,AC-LGACT-PROD-0018,Throttle Connector 018,PIECENO-0018,DEPT-QA-01,Field Support Department,QMS_RUNNING,QMS_B,2026/05/26 10:06:00,2026/05/26 10:06:00
19,19,19,19,LGACT-2026-0019,PIN-2026-0019,WO-LG-2026-0019,OP040,SUP-CF-0019,QE-CF-2026-0019,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0019,IQS-CF-0019,TASK-LG-0019,AC-LGACT-PROD-0019,Displacement Sensor Bracket 019,PIECENO-0019,DEPT-QA-02,Quality Management Department,QMS_CLOSED,QMS_C,2026/05/27 10:13:00,2026/05/27 10:13:00
20,20,20,20,LGACT-2026-0020,PIN-2026-0020,WO-LG-2026-0020,OP050,SUP-CF-0020,QE-CF-2026-0020,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0020,IQS-CF-0020,TASK-LG-0020,AC-LGACT-PROD-0020,Locking Nut 020,PIECENO-0020,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_HOLD,QMS_D,2026/05/28 10:20:00,2026/05/28 10:20:00
21,21,21,21,LGACT-2026-0021,PIN-2026-0021,WO-LG-2026-0021,OP060,SUP-CF-0021,QE-CF-2026-0021,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0021,IQS-CF-0021,TASK-LG-0021,AC-LGACT-PROD-0021,Piston Rod Assembly 021,PIECENO-0021,DEPT-QA-04,Precision Machining Workshop,QMS_OPEN,QMS_A,2026/05/29 10:27:00,2026/05/29 10:27:00
22,22,22,22,LGACT-2026-0022,PIN-2026-0022,WO-LG-2026-0022,OP070,SUP-CF-0022,QE-CF-2026-0022,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0022,IQS-CF-0022,TASK-LG-0022,AC-LGACT-PROD-0022,Cylinder Barrel Assembly 022,PIECENO-0022,DEPT-QA-05,Outsourcing Quality Office,QMS_RUNNING,QMS_B,2026/05/30 10:34:00,2026/05/30 10:34:00
23,23,23,23,LGACT-2026-0023,PIN-2026-0023,WO-LG-2026-0023,OP080,SUP-CF-0023,QE-CF-2026-0023,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0023,IQS-CF-0023,TASK-LG-0023,AC-LGACT-PROD-0023,Front End Cap 023,PIECENO-0023,DEPT-QA-06,Aviation Materials Procurement Department,QMS_CLOSED,QMS_C,2026/05/31 10:41:00,2026/05/31 10:41:00
24,24,24,24,LGACT-2026-0024,PIN-2026-0024,WO-LG-2026-0024,OP010,SUP-CF-0024,QE-CF-2026-0024,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0024,IQS-CF-0024,TASK-LG-0024,AC-LGACT-PROD-0024,Rear End Cap 024,PIECENO-0024,DEPT-QA-01,Field Support Department,QMS_HOLD,QMS_D,2026/06/01 10:48:00,2026/06/01 10:48:00
25,25,25,25,LGACT-2026-0025,PIN-2026-0025,WO-LG-2026-0025,OP020,SUP-CF-0025,QE-CF-2026-0025,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0025,IQS-CF-0025,TASK-LG-0025,AC-LGACT-PROD-0025,Seal Ring Assembly 025,PIECENO-0025,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/06/02 10:55:00,2026/06/02 10:55:00
26,26,26,26,LGACT-2026-0026,PIN-2026-0026,WO-LG-2026-0026,OP030,SUP-CF-0026,QE-CF-2026-0026,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0026,IQS-CF-0026,TASK-LG-0026,AC-LGACT-PROD-0026,Trunnion Bushing 026,PIECENO-0026,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/06/03 11:02:00,2026/06/03 11:02:00
27,27,27,27,LGACT-2026-0027,PIN-2026-0027,WO-LG-2026-0027,OP040,SUP-CF-0027,QE-CF-2026-0027,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0027,IQS-CF-0027,TASK-LG-0027,AC-LGACT-PROD-0027,Spherical Bearing 027,PIECENO-0027,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/06/04 11:09:00,2026/06/04 11:09:00
28,28,28,28,LGACT-2026-0028,PIN-2026-0028,WO-LG-2026-0028,OP050,SUP-CF-0028,QE-CF-2026-0028,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0028,IQS-CF-0028,TASK-LG-0028,AC-LGACT-PROD-0028,Throttle Connector 028,PIECENO-0028,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/06/05 11:16:00,2026/06/05 11:16:00
29,29,29,29,LGACT-2026-0029,PIN-2026-0029,WO-LG-2026-0029,OP060,SUP-CF-0029,QE-CF-2026-0029,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0029,IQS-CF-0029,TASK-LG-0029,AC-LGACT-PROD-0029,Displacement Sensor Bracket 029,PIECENO-0029,DEPT-QA-06,Aviation Materials Procurement Department,QMS_OPEN,QMS_A,2026/05/09 11:23:00,2026/05/09 11:23:00
30,30,30,30,LGACT-2026-0030,PIN-2026-0030,WO-LG-2026-0030,OP070,SUP-CF-0030,QE-CF-2026-0030,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0030,IQS-CF-0030,TASK-LG-0030,AC-LGACT-PROD-0030,Locking Nut 030,PIECENO-0030,DEPT-QA-01,Field Support Department,QMS_RUNNING,QMS_B,2026/05/10 11:30:00,2026/05/10 11:30:00
31,31,31,31,LGACT-2026-0031,PIN-2026-0031,WO-LG-2026-0031,OP080,SUP-CF-0031,QE-CF-2026-0031,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0031,IQS-CF-0031,TASK-LG-0031,AC-LGACT-PROD-0031,Piston Rod Assembly 031,PIECENO-0031,DEPT-QA-02,Quality Management Department,QMS_CLOSED,QMS_C,2026/05/11 11:37:00,2026/05/11 11:37:00
32,32,32,32,LGACT-2026-0032,PIN-2026-0032,WO-LG-2026-0032,OP010,SUP-CF-0032,QE-CF-2026-0032,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0032,IQS-CF-0032,TASK-LG-0032,AC-LGACT-PROD-0032,Cylinder Barrel Assembly 032,PIECENO-0032,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_HOLD,QMS_D,2026/05/12 11:44:00,2026/05/12 11:44:00
33,33,33,33,LGACT-2026-0033,PIN-2026-0033,WO-LG-2026-0033,OP020,SUP-CF-0033,QE-CF-2026-0033,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0033,IQS-CF-0033,TASK-LG-0033,AC-LGACT-PROD-0033,Front End Cap 033,PIECENO-0033,DEPT-QA-04,Precision Machining Workshop,QMS_OPEN,QMS_A,2026/05/13 11:51:00,2026/05/13 11:51:00
34,34,34,34,LGACT-2026-0034,PIN-2026-0034,WO-LG-2026-0034,OP030,SUP-CF-0034,QE-CF-2026-0034,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0034,IQS-CF-0034,TASK-LG-0034,AC-LGACT-PROD-0034,Rear End Cap 034,PIECENO-0034,DEPT-QA-05,Outsourcing Quality Office,QMS_RUNNING,QMS_B,2026/05/14 11:58:00,2026/05/14 11:58:00
35,35,35,35,LGACT-2026-0035,PIN-2026-0035,WO-LG-2026-0035,OP040,SUP-CF-0035,QE-CF-2026-0035,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0035,IQS-CF-0035,TASK-LG-0035,AC-LGACT-PROD-0035,Seal Ring Assembly 035,PIECENO-0035,DEPT-QA-06,Aviation Materials Procurement Department,QMS_CLOSED,QMS_C,2026/05/15 12:05:00,2026/05/15 12:05:00
36,36,36,36,LGACT-2026-0036,PIN-2026-0036,WO-LG-2026-0036,OP050,SUP-CF-0036,QE-CF-2026-0036,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0036,IQS-CF-0036,TASK-LG-0036,AC-LGACT-PROD-0036,Trunnion Bushing 036,PIECENO-0036,DEPT-QA-01,Field Support Department,QMS_HOLD,QMS_D,2026/05/16 12:12:00,2026/05/16 12:12:00
37,37,37,37,LGACT-2026-0037,PIN-2026-0037,WO-LG-2026-0037,OP060,SUP-CF-0037,QE-CF-2026-0037,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0037,IQS-CF-0037,TASK-LG-0037,AC-LGACT-PROD-0037,Spherical Bearing 037,PIECENO-0037,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/05/17 12:19:00,2026/05/17 12:19:00
38,38,38,38,LGACT-2026-0038,PIN-2026-0038,WO-LG-2026-0038,OP070,SUP-CF-0038,QE-CF-2026-0038,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0038,IQS-CF-0038,TASK-LG-0038,AC-LGACT-PROD-0038,Throttle Connector 038,PIECENO-0038,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/05/18 12:26:00,2026/05/18 12:26:00
39,39,39,39,LGACT-2026-0039,PIN-2026-0039,WO-LG-2026-0039,OP080,SUP-CF-0039,QE-CF-2026-0039,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0039,IQS-CF-0039,TASK-LG-0039,AC-LGACT-PROD-0039,Displacement Sensor Bracket 039,PIECENO-0039,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/05/19 12:33:00,2026/05/19 12:33:00
40,40,40,40,LGACT-2026-0040,PIN-2026-0040,WO-LG-2026-0040,OP010,SUP-CF-0040,QE-CF-2026-0040,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0040,IQS-CF-0040,TASK-LG-0040,AC-LGACT-PROD-0040,Locking Nut 040,PIECENO-0040,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/05/20 12:40:00,2026/05/20 12:40:00
41,41,41,41,LGACT-2026-0041,PIN-2026-0041,WO-LG-2026-0041,OP020,SUP-CF-0041,QE-CF-2026-0041,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0041,IQS-CF-0041,TASK-LG-0041,AC-LGACT-PROD-0041,Piston Rod Assembly 041,PIECENO-0041,DEPT-QA-06,Aviation Materials Procurement Department,QMS_OPEN,QMS_A,2026/05/21 12:47:00,2026/05/21 12:47:00
42,42,42,42,LGACT-2026-0042,PIN-2026-0042,WO-LG-2026-0042,OP030,SUP-CF-0042,QE-CF-2026-0042,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0042,IQS-CF-0042,TASK-LG-0042,AC-LGACT-PROD-0042,Cylinder Barrel Assembly 042,PIECENO-0042,DEPT-QA-01,Field Support Department,QMS_RUNNING,QMS_B,2026/05/22 12:54:00,2026/05/22 12:54:00
43,43,43,43,LGACT-2026-0043,PIN-2026-0043,WO-LG-2026-0043,OP040,SUP-CF-0043,QE-CF-2026-0043,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0043,IQS-CF-0043,TASK-LG-0043,AC-LGACT-PROD-0043,Front End Cap 043,PIECENO-0043,DEPT-QA-02,Quality Management Department,QMS_CLOSED,QMS_C,2026/05/23 13:01:00,2026/05/23 13:01:00
44,44,44,44,LGACT-2026-0044,PIN-2026-0044,WO-LG-2026-0044,OP050,SUP-CF-0044,QE-CF-2026-0044,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0044,IQS-CF-0044,TASK-LG-0044,AC-LGACT-PROD-0044,Rear End Cap 044,PIECENO-0044,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_HOLD,QMS_D,2026/05/24 13:08:00,2026/05/24 13:08:00
45,45,45,45,LGACT-2026-0045,PIN-2026-0045,WO-LG-2026-0045,OP060,SUP-CF-0045,QE-CF-2026-0045,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0045,IQS-CF-0045,TASK-LG-0045,AC-LGACT-PROD-0045,Seal Ring Assembly 045,PIECENO-0045,DEPT-QA-04,Precision Machining Workshop,QMS_OPEN,QMS_A,2026/05/25 13:15:00,2026/05/25 13:15:00
46,46,46,46,LGACT-2026-0046,PIN-2026-0046,WO-LG-2026-0046,OP070,SUP-CF-0046,QE-CF-2026-0046,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0046,IQS-CF-0046,TASK-LG-0046,AC-LGACT-PROD-0046,Trunnion Bushing 046,PIECENO-0046,DEPT-QA-05,Outsourcing Quality Office,QMS_RUNNING,QMS_B,2026/05/26 13:22:00,2026/05/26 13:22:00
47,47,47,47,LGACT-2026-0047,PIN-2026-0047,WO-LG-2026-0047,OP080,SUP-CF-0047,QE-CF-2026-0047,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0047,IQS-CF-0047,TASK-LG-0047,AC-LGACT-PROD-0047,Spherical Bearing 047,PIECENO-0047,DEPT-QA-06,Aviation Materials Procurement Department,QMS_CLOSED,QMS_C,2026/05/27 13:29:00,2026/05/27 13:29:00
48,48,48,48,LGACT-2026-0048,PIN-2026-0048,WO-LG-2026-0048,OP010,SUP-CF-0048,QE-CF-2026-0048,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0048,IQS-CF-0048,TASK-LG-0048,AC-LGACT-PROD-0048,Throttle Connector 048,PIECENO-0048,DEPT-QA-01,Field Support Department,QMS_HOLD,QMS_D,2026/05/28 13:36:00,2026/05/28 13:36:00
49,49,49,49,LGACT-2026-0049,PIN-2026-0049,WO-LG-2026-0049,OP020,SUP-CF-0049,QE-CF-2026-0049,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0049,IQS-CF-0049,TASK-LG-0049,AC-LGACT-PROD-0049,Displacement Sensor Bracket 049,PIECENO-0049,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/05/29 13:43:00,2026/05/29 13:43:00
50,50,50,50,LGACT-2026-0050,PIN-2026-0050,WO-LG-2026-0050,OP030,SUP-CF-0050,QE-CF-2026-0050,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0050,IQS-CF-0050,TASK-LG-0050,AC-LGACT-PROD-0050,Locking Nut 050,PIECENO-0050,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/05/30 13:50:00,2026/05/30 13:50:00
51,51,51,51,LGACT-2026-0051,PIN-2026-0051,WO-LG-2026-0051,OP040,SUP-CF-0051,QE-CF-2026-0051,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0051,IQS-CF-0051,TASK-LG-0051,AC-LGACT-PROD-0051,Piston Rod Assembly 051,PIECENO-0051,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/05/31 13:57:00,2026/05/31 13:57:00
52,52,52,52,LGACT-2026-0052,PIN-2026-0052,WO-LG-2026-0052,OP050,SUP-CF-0052,QE-CF-2026-0052,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0052,IQS-CF-0052,TASK-LG-0052,AC-LGACT-PROD-0052,Cylinder Barrel Assembly 052,PIECENO-0052,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/06/01 14:04:00,2026/06/01 14:04:00
53,53,53,53,LGACT-2026-0053,PIN-2026-0053,WO-LG-2026-0053,OP060,SUP-CF-0053,QE-CF-2026-0053,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0053,IQS-CF-0053,TASK-LG-0053,AC-LGACT-PROD-0053,Front End Cap 053,PIECENO-0053,DEPT-QA-06,Aviation Materials Procurement Department,QMS_OPEN,QMS_A,2026/06/02 14:11:00,2026/06/02 14:11:00
54,54,54,54,LGACT-2026-0054,PIN-2026-0054,WO-LG-2026-0054,OP070,SUP-CF-0054,QE-CF-2026-0054,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0054,IQS-CF-0054,TASK-LG-0054,AC-LGACT-PROD-0054,Rear End Cap 054,PIECENO-0054,DEPT-QA-01,Field Support Department,QMS_RUNNING,QMS_B,2026/06/03 14:18:00,2026/06/03 14:18:00
55,55,55,55,LGACT-2026-0055,PIN-2026-0055,WO-LG-2026-0055,OP080,SUP-CF-0055,QE-CF-2026-0055,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0055,IQS-CF-0055,TASK-LG-0055,AC-LGACT-PROD-0055,Seal Ring Assembly 055,PIECENO-0055,DEPT-QA-02,Quality Management Department,QMS_CLOSED,QMS_C,2026/06/04 14:25:00,2026/06/04 14:25:00
56,56,56,56,LGACT-2026-0056,PIN-2026-0056,WO-LG-2026-0056,OP010,SUP-CF-0056,QE-CF-2026-0056,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0056,IQS-CF-0056,TASK-LG-0056,AC-LGACT-PROD-0056,Trunnion Bushing 056,PIECENO-0056,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_HOLD,QMS_D,2026/06/05 14:32:00,2026/06/05 14:32:00
57,57,57,57,LGACT-2026-0057,PIN-2026-0057,WO-LG-2026-0057,OP020,SUP-CF-0057,QE-CF-2026-0057,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0057,IQS-CF-0057,TASK-LG-0057,AC-LGACT-PROD-0057,Spherical Bearing 057,PIECENO-0057,DEPT-QA-04,Precision Machining Workshop,QMS_OPEN,QMS_A,2026/05/09 14:39:00,2026/05/09 14:39:00
58,58,58,58,LGACT-2026-0058,PIN-2026-0058,WO-LG-2026-0058,OP030,SUP-CF-0058,QE-CF-2026-0058,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0058,IQS-CF-0058,TASK-LG-0058,AC-LGACT-PROD-0058,Throttle Connector 058,PIECENO-0058,DEPT-QA-05,Outsourcing Quality Office,QMS_RUNNING,QMS_B,2026/05/10 14:46:00,2026/05/10 14:46:00
59,59,59,59,LGACT-2026-0059,PIN-2026-0059,WO-LG-2026-0059,OP040,SUP-CF-0059,QE-CF-2026-0059,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0059,IQS-CF-0059,TASK-LG-0059,AC-LGACT-PROD-0059,Displacement Sensor Bracket 059,PIECENO-0059,DEPT-QA-06,Aviation Materials Procurement Department,QMS_CLOSED,QMS_C,2026/05/11 14:53:00,2026/05/11 14:53:00
60,60,60,60,LGACT-2026-0060,PIN-2026-0060,WO-LG-2026-0060,OP050,SUP-CF-0060,QE-CF-2026-0060,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0060,IQS-CF-0060,TASK-LG-0060,AC-LGACT-PROD-0060,Locking Nut 060,PIECENO-0060,DEPT-QA-01,Field Support Department,QMS_HOLD,QMS_D,2026/05/12 15:00:00,2026/05/12 15:00:00
61,61,61,61,LGACT-2026-0061,PIN-2026-0061,WO-LG-2026-0061,OP060,SUP-CF-0061,QE-CF-2026-0061,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0061,IQS-CF-0061,TASK-LG-0061,AC-LGACT-PROD-0061,Piston Rod Assembly 061,PIECENO-0061,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/05/13 15:07:00,2026/05/13 15:07:00
62,62,62,62,LGACT-2026-0062,PIN-2026-0062,WO-LG-2026-0062,OP070,SUP-CF-0062,QE-CF-2026-0062,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0062,IQS-CF-0062,TASK-LG-0062,AC-LGACT-PROD-0062,Cylinder Barrel Assembly 062,PIECENO-0062,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/05/14 15:14:00,2026/05/14 15:14:00
