usage_id,worklog_id,steplog_id,equipment_asset_id,person_id,station_id,tooling_asset_id,use_start_txt,use_end_txt,mastery_txt,use_state
37,37,37,37,37,37,37,2026/05/17 12:19:00,2026/05/17 12:19:00,21.000 MPa,MES_OPEN
38,38,38,38,38,38,38,2026/05/18 12:26:00,2026/05/18 12:26:00,0.110 mL/min,MES_RUNNING
39,39,39,39,39,39,39,2026/05/19 12:33:00,2026/05/19 12:33:00,158.400 mm,MES_CLOSED
40,40,40,40,40,40,40,2026/05/20 12:40:00,2026/05/20 12:40:00,4.500 s,MES_HOLD
41,41,41,41,41,41,41,2026/05/21 12:47:00,2026/05/21 12:47:00,37.9 C,MES_OPEN
42,42,42,42,42,42,42,2026/05/22 12:54:00,2026/05/22 12:54:00,0.180 mm,MES_RUNNING
43,43,43,43,43,43,43,2026/05/23 13:01:00,2026/05/23 13:01:00,21.150 MPa,MES_CLOSED
44,44,44,44,44,44,44,2026/05/24 13:08:00,2026/05/24 13:08:00,0.140 mL/min,MES_HOLD
45,45,45,45,45,45,45,2026/05/25 13:15:00,2026/05/25 13:15:00,154.700 mm,MES_OPEN
46,46,46,46,46,46,46,2026/05/26 13:22:00,2026/05/26 13:22:00,4.650 s,MES_RUNNING
47,47,47,47,47,47,47,2026/05/27 13:29:00,2026/05/27 13:29:00,38.0 C,MES_CLOSED
48,48,48,48,48,48,48,2026/05/28 13:36:00,2026/05/28 13:36:00,0.210 mm,MES_HOLD
49,49,49,49,49,49,49,2026/05/29 13:43:00,2026/05/29 13:43:00,21.300 MPa,MES_OPEN
50,50,50,50,50,50,50,2026/05/30 13:50:00,2026/05/30 13:50:00,0.020 mL/min,MES_RUNNING
51,51,51,51,51,51,51,2026/05/31 13:57:00,2026/05/31 13:57:00,154.850 mm,MES_CLOSED
52,52,52,52,52,52,52,2026/06/01 14:04:00,2026/06/01 14:04:00,6.200 s,MES_HOLD
53,53,53,53,53,53,53,2026/06/02 14:11:00,2026/06/02 14:11:00,38.1 C,MES_OPEN
54,54,54,54,54,54,54,2026/06/03 14:18:00,2026/06/03 14:18:00,0.240 mm,MES_RUNNING
55,55,55,55,55,55,55,2026/06/04 14:25:00,2026/06/04 14:25:00,20.700 MPa,MES_CLOSED
56,56,56,56,56,56,56,2026/06/05 14:32:00,2026/06/05 14:32:00,0.050 mL/min,MES_HOLD
57,57,57,57,57,57,57,2026/05/09 14:39:00,2026/05/09 14:39:00,155.000 mm,MES_OPEN
58,58,58,58,58,58,58,2026/05/10 14:46:00,2026/05/10 14:46:00,4.950 s,MES_RUNNING
59,59,59,59,59,59,59,2026/05/11 14:53:00,2026/05/11 14:53:00,38.3 C,MES_CLOSED
60,60,60,60,60,60,60,2026/05/12 15:00:00,2026/05/12 15:00:00,0.120 mm,MES_HOLD
61,61,61,61,61,61,61,2026/05/13 15:07:00,2026/05/13 15:07:00,20.850 MPa,MES_OPEN
62,62,62,62,62,62,62,2026/05/14 15:14:00,2026/05/14 15:14:00,0.080 mL/min,MES_RUNNING
63,63,63,63,63,63,63,2026/05/15 15:21:00,2026/05/15 15:21:00,155.150 mm,MES_CLOSED
64,64,64,64,64,64,64,2026/05/16 15:28:00,2026/05/16 15:28:00,5.100 s,MES_HOLD
65,65,65,65,65,65,65,2026/05/17 15:35:00,2026/05/17 15:35:00,62.0 C,MES_OPEN
66,66,66,66,66,66,66,2026/05/18 15:42:00,2026/05/18 15:42:00,0.150 mm,MES_RUNNING
67,67,67,67,67,67,67,2026/05/19 15:49:00,2026/05/19 15:49:00,21.000 MPa,MES_CLOSED
68,68,68,68,68,68,68,2026/05/20 15:56:00,2026/05/20 15:56:00,0.110 mL/min,MES_HOLD
69,69,69,69,69,69,69,2026/05/21 16:03:00,2026/05/21 16:03:00,155.300 mm,MES_OPEN
70,70,70,70,70,70,70,2026/05/22 16:10:00,2026/05/22 16:10:00,4.500 s,MES_RUNNING
71,71,71,71,71,71,71,2026/05/23 16:17:00,2026/05/23 16:17:00,37.9 C,MES_CLOSED
72,72,72,72,72,72,72,2026/05/24 16:24:00,2026/05/24 16:24:00,0.180 mm,MES_HOLD
73,73,73,73,73,73,73,2026/05/25 16:31:00,2026/05/25 16:31:00,21.150 MPa,MES_OPEN
74,74,74,74,74,74,74,2026/05/26 16:38:00,2026/05/26 16:38:00,0.140 mL/min,MES_RUNNING
75,75,75,75,75,75,75,2026/05/27 16:45:00,2026/05/27 16:45:00,154.700 mm,MES_CLOSED
76,76,76,76,76,76,76,2026/05/28 16:52:00,2026/05/28 16:52:00,4.650 s,MES_HOLD
77,77,77,77,77,77,77,2026/05/29 16:59:00,2026/05/29 16:59:00,38.0 C,MES_OPEN
78,78,78,78,78,78,78,2026/05/30 17:06:00,2026/05/30 17:06:00,0.310 mm,MES_RUNNING
79,79,79,79,79,79,79,2026/05/31 17:13:00,2026/05/31 17:13:00,21.300 MPa,MES_CLOSED
80,80,80,80,80,80,80,2026/06/01 17:20:00,2026/06/01 17:20:00,0.020 mL/min,MES_HOLD
81,81,81,81,81,81,81,2026/06/02 17:27:00,2026/06/02 17:27:00,154.850 mm,MES_OPEN
82,82,82,82,82,82,82,2026/06/03 17:34:00,2026/06/03 17:34:00,4.800 s,MES_RUNNING
83,83,83,83,83,83,83,2026/06/04 17:41:00,2026/06/04 17:41:00,38.1 C,MES_CLOSED
84,84,84,84,84,84,84,2026/06/05 17:48:00,2026/06/05 17:48:00,0.240 mm,MES_HOLD
85,85,85,85,85,85,85,2026/05/09 17:55:00,2026/05/09 17:55:00,20.700 MPa,MES_OPEN
86,86,86,86,86,86,86,2026/05/10 18:02:00,2026/05/10 18:02:00,0.050 mL/min,MES_RUNNING
87,87,87,87,87,87,87,2026/05/11 18:09:00,2026/05/11 18:09:00,155.000 mm,MES_CLOSED
88,88,88,88,88,88,88,2026/05/12 18:16:00,2026/05/12 18:16:00,4.950 s,MES_HOLD
89,89,89,89,89,89,89,2026/05/13 18:23:00,2026/05/13 18:23:00,38.3 C,MES_OPEN
90,90,90,90,90,90,90,2026/05/14 18:30:00,2026/05/14 18:30:00,0.120 mm,MES_RUNNING
91,91,91,91,91,91,91,2026/05/15 18:37:00,2026/05/15 18:37:00,23.400 MPa,MES_CLOSED
92,92,92,92,92,92,92,2026/05/16 18:44:00,2026/05/16 18:44:00,0.080 mL/min,MES_HOLD
93,93,93,93,93,93,93,2026/05/17 18:51:00,2026/05/17 18:51:00,155.150 mm,MES_OPEN
94,94,94,94,94,94,94,2026/05/18 18:58:00,2026/05/18 18:58:00,5.100 s,MES_RUNNING
95,95,95,95,95,95,95,2026/05/19 19:05:00,2026/05/19 19:05:00,37.7 C,MES_CLOSED
96,96,96,96,96,96,96,2026/05/20 19:12:00,2026/05/20 19:12:00,0.150 mm,MES_HOLD
97,97,97,97,97,97,97,2026/05/21 19:19:00,2026/05/21 19:19:00,21.000 MPa,MES_OPEN
98,98,98,98,98,98,98,2026/05/22 19:26:00,2026/05/22 19:26:00,0.110 mL/min,MES_RUNNING
99,99,99,99,99,99,99,2026/05/23 19:33:00,2026/05/23 19:33:00,155.300 mm,MES_CLOSED
100,100,100,100,100,100,100,2026/05/24 19:40:00,2026/05/24 19:40:00,4.500 s,MES_HOLD
101,101,101,101,101,101,101,2026/05/25 19:47:00,2026/05/25 19:47:00,37.9 C,MES_OPEN
102,102,102,102,102,102,102,2026/05/26 19:54:00,2026/05/26 19:54:00,0.180 mm,MES_RUNNING
103,103,103,103,103,103,103,2026/05/27 20:01:00,2026/05/27 20:01:00,21.150 MPa,MES_CLOSED
104,104,104,104,104,104,104,2026/05/28 20:08:00,2026/05/28 20:08:00,0.220 mL/min,MES_HOLD
105,105,105,105,105,105,105,2026/05/29 20:15:00,2026/05/29 20:15:00,154.700 mm,MES_OPEN
106,106,106,106,106,106,106,2026/05/30 20:22:00,2026/05/30 20:22:00,4.650 s,MES_RUNNING
107,107,107,107,107,107,107,2026/05/31 20:29:00,2026/05/31 20:29:00,38.0 C,MES_CLOSED
108,108,108,108,108,108,108,2026/06/01 20:36:00,2026/06/01 20:36:00,0.210 mm,MES_HOLD
109,109,109,109,109,109,109,2026/06/02 20:43:00,2026/06/02 20:43:00,21.300 MPa,MES_OPEN
110,110,110,110,110,110,110,2026/06/03 20:50:00,2026/06/03 20:50:00,0.020 mL/min,MES_RUNNING
111,111,111,111,111,111,111,2026/06/04 20:57:00,2026/06/04 20:57:00,154.850 mm,MES_CLOSED
112,112,112,112,112,112,112,2026/06/05 21:04:00,2026/06/05 21:04:00,4.800 s,MES_HOLD
113,113,113,113,113,113,113,2026/05/09 21:11:00,2026/05/09 21:11:00,38.1 C,MES_OPEN
114,114,114,114,114,114,114,2026/05/10 21:18:00,2026/05/10 21:18:00,0.240 mm,MES_RUNNING
115,115,115,115,115,115,115,2026/05/11 21:25:00,2026/05/11 21:25:00,20.700 MPa,MES_CLOSED
116,116,116,116,116,116,116,2026/05/12 21:32:00,2026/05/12 21:32:00,0.050 mL/min,MES_HOLD
117,117,117,117,117,117,117,2026/05/13 21:39:00,2026/05/13 21:39:00,158.400 mm,MES_OPEN
118,118,118,118,118,118,118,2026/05/14 21:46:00,2026/05/14 21:46:00,4.950 s,MES_RUNNING
119,119,119,119,119,119,119,2026/05/15 21:53:00,2026/05/15 21:53:00,38.3 C,MES_CLOSED
120,120,120,120,120,120,120,2026/05/16 22:00:00,2026/05/16 22:00:00,0.120 mm,MES_HOLD
121,121,121,121,121,121,121,2026/05/17 22:07:00,2026/05/17 22:07:00,20.850 MPa,MES_OPEN
122,122,122,122,122,122,122,2026/05/18 22:14:00,2026/05/18 22:14:00,0.080 mL/min,MES_RUNNING
123,123,123,123,123,123,123,2026/05/19 22:21:00,2026/05/19 22:21:00,155.150 mm,MES_CLOSED
124,124,124,124,124,124,124,2026/05/20 22:28:00,2026/05/20 22:28:00,5.100 s,MES_HOLD
125,125,125,125,125,125,125,2026/05/21 22:35:00,2026/05/21 22:35:00,37.7 C,MES_OPEN
126,126,126,126,126,126,126,2026/05/22 22:42:00,2026/05/22 22:42:00,0.150 mm,MES_RUNNING
127,127,127,127,127,127,127,2026/05/23 22:49:00,2026/05/23 22:49:00,21.000 MPa,MES_CLOSED
128,128,128,128,128,128,128,2026/05/24 22:56:00,2026/05/24 22:56:00,0.110 mL/min,MES_HOLD
129,129,129,129,129,129,129,2026/05/25 23:03:00,2026/05/25 23:03:00,155.300 mm,MES_OPEN
130,130,130,130,130,130,130,2026/05/26 23:10:00,2026/05/26 23:10:00,6.200 s,MES_RUNNING
131,131,131,131,131,131,131,2026/05/27 23:17:00,2026/05/27 23:17:00,37.9 C,MES_CLOSED
132,132,132,132,132,132,132,2026/05/28 23:24:00,2026/05/28 23:24:00,0.180 mm,MES_HOLD
133,133,133,133,133,133,133,2026/05/29 23:31:00,2026/05/29 23:31:00,21.150 MPa,MES_OPEN
134,134,134,134,134,134,134,2026/05/30 23:38:00,2026/05/30 23:38:00,0.140 mL/min,MES_RUNNING
135,135,135,135,135,135,135,2026/05/31 23:45:00,2026/05/31 23:45:00,154.700 mm,MES_CLOSED
136,136,136,136,136,136,136,2026/06/01 23:52:00,2026/06/01 23:52:00,4.650 s,MES_HOLD
137,137,137,137,137,137,137,2026/06/02 23:59:00,2026/06/02 23:59:00,38.0 C,MES_OPEN
138,138,138,138,138,138,138,2026/06/04 00:06:00,2026/06/04 00:06:00,0.210 mm,MES_RUNNING
139,139,139,139,139,139,139,2026/06/05 00:13:00,2026/06/05 00:13:00,21.300 MPa,MES_CLOSED
140,140,140,140,140,140,140,2026/06/06 00:20:00,2026/06/06 00:20:00,0.020 mL/min,MES_HOLD
141,141,141,141,141,141,141,2026/05/10 00:27:00,2026/05/10 00:27:00,154.850 mm,MES_OPEN
142,142,142,142,142,142,142,2026/05/11 00:34:00,2026/05/11 00:34:00,4.800 s,MES_RUNNING
143,143,143,143,143,143,143,2026/05/12 00:41:00,2026/05/12 00:41:00,62.0 C,MES_CLOSED
144,144,144,144,144,144,144,2026/05/13 00:48:00,2026/05/13 00:48:00,0.240 mm,MES_HOLD
145,145,145,145,145,145,145,2026/05/14 00:55:00,2026/05/14 00:55:00,20.700 MPa,MES_OPEN
146,146,146,146,146,146,146,2026/05/15 01:02:00,2026/05/15 01:02:00,0.050 mL/min,MES_RUNNING
147,147,147,147,147,147,147,2026/05/16 01:09:00,2026/05/16 01:09:00,155.000 mm,MES_CLOSED
148,148,148,148,148,148,148,2026/05/17 01:16:00,2026/05/17 01:16:00,4.950 s,MES_HOLD
149,149,149,149,149,149,149,2026/05/18 01:23:00,2026/05/18 01:23:00,38.3 C,MES_OPEN
150,150,150,150,150,150,150,2026/05/19 01:30:00,2026/05/19 01:30:00,0.120 mm,MES_RUNNING
151,151,151,151,151,151,151,2026/05/20 01:37:00,2026/05/20 01:37:00,20.850 MPa,MES_CLOSED
152,152,152,152,152,152,152,2026/05/21 01:44:00,2026/05/21 01:44:00,0.080 mL/min,MES_HOLD
153,153,153,153,153,153,153,2026/05/22 01:51:00,2026/05/22 01:51:00,155.150 mm,MES_OPEN
154,154,154,154,154,154,154,2026/05/23 01:58:00,2026/05/23 01:58:00,5.100 s,MES_RUNNING
155,155,155,155,155,155,155,2026/05/24 02:05:00,2026/05/24 02:05:00,37.7 C,MES_CLOSED
156,156,156,156,156,156,156,2026/05/25 02:12:00,2026/05/25 02:12:00,0.310 mm,MES_HOLD
157,157,157,157,157,157,157,2026/05/26 02:19:00,2026/05/26 02:19:00,21.000 MPa,MES_OPEN
158,158,158,158,158,158,158,2026/05/27 02:26:00,2026/05/27 02:26:00,0.110 mL/min,MES_RUNNING
159,159,159,159,159,159,159,2026/05/28 02:33:00,2026/05/28 02:33:00,155.300 mm,MES_CLOSED
160,160,160,160,160,160,160,2026/05/29 02:40:00,2026/05/29 02:40:00,4.500 s,MES_HOLD
161,161,161,161,161,161,161,2026/05/30 02:47:00,2026/05/30 02:47:00,37.9 C,MES_OPEN
162,162,162,162,162,162,162,2026/05/31 02:54:00,2026/05/31 02:54:00,0.180 mm,MES_RUNNING
163,163,163,163,163,163,163,2026/06/01 03:01:00,2026/06/01 03:01:00,21.150 MPa,MES_CLOSED
164,164,164,164,164,164,164,2026/06/02 03:08:00,2026/06/02 03:08:00,0.140 mL/min,MES_HOLD
165,165,165,165,165,165,165,2026/06/03 03:15:00,2026/06/03 03:15:00,154.700 mm,MES_OPEN
166,166,166,166,166,166,166,2026/06/04 03:22:00,2026/06/04 03:22:00,4.650 s,MES_RUNNING
167,167,167,167,167,167,167,2026/06/05 03:29:00,2026/06/05 03:29:00,38.0 C,MES_CLOSED
168,168,168,168,168,168,168,2026/06/06 03:36:00,2026/06/06 03:36:00,0.210 mm,MES_HOLD
169,169,169,169,169,169,169,2026/05/10 03:43:00,2026/05/10 03:43:00,23.400 MPa,MES_OPEN
170,170,170,170,170,170,170,2026/05/11 03:50:00,2026/05/11 03:50:00,0.020 mL/min,MES_RUNNING
171,171,171,171,171,171,171,2026/05/12 03:57:00,2026/05/12 03:57:00,154.850 mm,MES_CLOSED
172,172,172,172,172,172,172,2026/05/13 04:04:00,2026/05/13 04:04:00,4.800 s,MES_HOLD
173,173,173,173,173,173,173,2026/05/14 04:11:00,2026/05/14 04:11:00,38.1 C,MES_OPEN
174,174,174,174,174,174,174,2026/05/15 04:18:00,2026/05/15 04:18:00,0.240 mm,MES_RUNNING
175,175,175,175,175,175,175,2026/05/16 04:25:00,2026/05/16 04:25:00,20.700 MPa,MES_CLOSED
176,176,176,176,176,176,176,2026/05/17 04:32:00,2026/05/17 04:32:00,0.050 mL/min,MES_HOLD
177,177,177,177,177,177,177,2026/05/18 04:39:00,2026/05/18 04:39:00,155.000 mm,MES_OPEN
178,178,178,178,178,178,178,2026/05/19 04:46:00,2026/05/19 04:46:00,4.950 s,MES_RUNNING
179,179,179,179,179,179,179,2026/05/20 04:53:00,2026/05/20 04:53:00,38.3 C,MES_CLOSED
180,180,180,180,180,180,180,2026/05/21 05:00:00,2026/05/21 05:00:00,0.120 mm,MES_HOLD
181,181,181,181,181,181,181,2026/05/22 05:07:00,2026/05/22 05:07:00,20.850 MPa,MES_OPEN
182,182,182,182,182,182,182,2026/05/23 05:14:00,2026/05/23 05:14:00,0.220 mL/min,MES_RUNNING
183,183,183,183,183,183,183,2026/05/24 05:21:00,2026/05/24 05:21:00,155.150 mm,MES_CLOSED
184,184,184,184,184,184,184,2026/05/25 05:28:00,2026/05/25 05:28:00,5.100 s,MES_HOLD
185,185,185,185,185,185,185,2026/05/26 05:35:00,2026/05/26 05:35:00,37.7 C,MES_OPEN
186,186,186,186,186,186,186,2026/05/27 05:42:00,2026/05/27 05:42:00,0.150 mm,MES_RUNNING
187,187,187,187,187,187,187,2026/05/28 05:49:00,2026/05/28 05:49:00,21.000 MPa,MES_CLOSED
188,188,188,188,188,188,188,2026/05/29 05:56:00,2026/05/29 05:56:00,0.110 mL/min,MES_HOLD
189,189,189,189,189,189,189,2026/05/30 06:03:00,2026/05/30 06:03:00,155.300 mm,MES_OPEN
190,190,190,190,190,190,190,2026/05/31 06:10:00,2026/05/31 06:10:00,4.500 s,MES_RUNNING
191,191,191,191,191,191,191,2026/06/01 06:17:00,2026/06/01 06:17:00,37.9 C,MES_CLOSED
192,192,192,192,192,192,192,2026/06/02 06:24:00,2026/06/02 06:24:00,0.180 mm,MES_HOLD
193,193,193,193,193,193,193,2026/06/03 06:31:00,2026/06/03 06:31:00,21.150 MPa,MES_OPEN
194,194,194,194,194,194,194,2026/06/04 06:38:00,2026/06/04 06:38:00,0.140 mL/min,MES_RUNNING
195,195,195,195,195,195,195,2026/06/05 06:45:00,2026/06/05 06:45:00,158.400 mm,MES_CLOSED
196,196,196,196,196,196,196,2026/06/06 06:52:00,2026/06/06 06:52:00,4.650 s,MES_HOLD
197,197,197,197,197,197,197,2026/05/10 06:59:00,2026/05/10 06:59:00,38.0 C,MES_OPEN
198,198,198,198,198,198,198,2026/05/11 07:06:00,2026/05/11 07:06:00,0.210 mm,MES_RUNNING
199,199,199,199,199,199,199,2026/05/12 07:13:00,2026/05/12 07:13:00,21.300 MPa,MES_CLOSED
200,200,200,200,200,200,200,2026/05/13 07:20:00,2026/05/13 07:20:00,0.020 mL/min,MES_HOLD
