po_line_id,po_id,item_id,line_seq,req_qty_txt,order_uom,need_dt_char,dlv_dt_txt,line_stat_cd
102,102,102,004,0.180 mm,ERP_SET,20260526,20260526,ERP_RUNNING
103,103,103,005,21.150 MPa,ERP_KG,20260527,20260527,ERP_CLOSED
104,104,104,006,0.220 mL/min,ERP_M,20260528,20260528,ERP_HOLD
105,105,105,007,154.700 mm,ERP_EA,20260529,20260529,ERP_OPEN
106,106,106,008,4.650 s,ERP_SET,20260530,20260530,ERP_RUNNING
107,107,107,009,38.0 C,ERP_KG,20260531,20260531,ERP_CLOSED
108,108,108,001,0.210 mm,ERP_M,20260601,20260601,ERP_HOLD
109,109,109,002,21.300 MPa,ERP_EA,20260602,20260602,ERP_OPEN
110,110,110,003,0.020 mL/min,ERP_SET,20260603,20260603,ERP_RUNNING
111,111,111,004,154.850 mm,ERP_KG,20260604,20260604,ERP_CLOSED
112,112,112,005,4.800 s,ERP_M,20260605,20260605,ERP_HOLD
113,113,113,006,38.1 C,ERP_EA,20260509,20260509,ERP_OPEN
114,114,114,007,0.240 mm,ERP_SET,20260510,20260510,ERP_RUNNING
115,115,115,008,20.700 MPa,ERP_KG,20260511,20260511,ERP_CLOSED
116,116,116,009,0.050 mL/min,ERP_M,20260512,20260512,ERP_HOLD
117,117,117,001,158.400 mm,ERP_EA,20260513,20260513,ERP_OPEN
118,118,118,002,4.950 s,ERP_SET,20260514,20260514,ERP_RUNNING
119,119,119,003,38.3 C,ERP_KG,20260515,20260515,ERP_CLOSED
120,120,120,004,0.120 mm,ERP_M,20260516,20260516,ERP_HOLD
121,121,121,005,20.850 MPa,ERP_EA,20260517,20260517,ERP_OPEN
122,122,122,006,0.080 mL/min,ERP_SET,20260518,20260518,ERP_RUNNING
123,123,123,007,155.150 mm,ERP_KG,20260519,20260519,ERP_CLOSED
124,124,124,008,5.100 s,ERP_M,20260520,20260520,ERP_HOLD
125,125,125,009,37.7 C,ERP_EA,20260521,20260521,ERP_OPEN
126,126,126,001,0.150 mm,ERP_SET,20260522,20260522,ERP_RUNNING
127,127,127,002,21.000 MPa,ERP_KG,20260523,20260523,ERP_CLOSED
128,128,128,003,0.110 mL/min,ERP_M,20260524,20260524,ERP_HOLD
129,129,129,004,155.300 mm,ERP_EA,20260525,20260525,ERP_OPEN
130,130,130,005,6.200 s,ERP_SET,20260526,20260526,ERP_RUNNING
131,131,131,006,37.9 C,ERP_KG,20260527,20260527,ERP_CLOSED
132,132,132,007,0.180 mm,ERP_M,20260528,20260528,ERP_HOLD
133,133,133,008,21.150 MPa,ERP_EA,20260529,20260529,ERP_OPEN
134,134,134,009,0.140 mL/min,ERP_SET,20260530,20260530,ERP_RUNNING
135,135,135,001,154.700 mm,ERP_KG,20260531,20260531,ERP_CLOSED
136,136,136,002,4.650 s,ERP_M,20260601,20260601,ERP_HOLD
137,137,137,003,38.0 C,ERP_EA,20260602,20260602,ERP_OPEN
138,138,138,004,0.210 mm,ERP_SET,20260604,20260604,ERP_RUNNING
139,139,139,005,21.300 MPa,ERP_KG,20260605,20260605,ERP_CLOSED
140,140,140,006,0.020 mL/min,ERP_M,20260606,20260606,ERP_HOLD
141,141,141,007,154.850 mm,ERP_EA,20260510,20260510,ERP_OPEN
142,142,142,008,4.800 s,ERP_SET,20260511,20260511,ERP_RUNNING
143,143,143,009,62.0 C,ERP_KG,20260512,20260512,ERP_CLOSED
144,144,144,001,0.240 mm,ERP_M,20260513,20260513,ERP_HOLD
145,145,145,002,20.700 MPa,ERP_EA,20260514,20260514,ERP_OPEN
146,146,146,003,0.050 mL/min,ERP_SET,20260515,20260515,ERP_RUNNING
147,147,147,004,155.000 mm,ERP_KG,20260516,20260516,ERP_CLOSED
148,148,148,005,4.950 s,ERP_M,20260517,20260517,ERP_HOLD
149,149,149,006,38.3 C,ERP_EA,20260518,20260518,ERP_OPEN
150,150,150,007,0.120 mm,ERP_SET,20260519,20260519,ERP_RUNNING
151,151,151,008,20.850 MPa,ERP_KG,20260520,20260520,ERP_CLOSED
152,152,152,009,0.080 mL/min,ERP_M,20260521,20260521,ERP_HOLD
153,153,153,001,155.150 mm,ERP_EA,20260522,20260522,ERP_OPEN
154,154,154,002,5.100 s,ERP_SET,20260523,20260523,ERP_RUNNING
155,155,155,003,37.7 C,ERP_KG,20260524,20260524,ERP_CLOSED
156,156,156,004,0.310 mm,ERP_M,20260525,20260525,ERP_HOLD
157,157,157,005,21.000 MPa,ERP_EA,20260526,20260526,ERP_OPEN
158,158,158,006,0.110 mL/min,ERP_SET,20260527,20260527,ERP_RUNNING
159,159,159,007,155.300 mm,ERP_KG,20260528,20260528,ERP_CLOSED
160,160,160,008,4.500 s,ERP_M,20260529,20260529,ERP_HOLD
161,161,161,009,37.9 C,ERP_EA,20260530,20260530,ERP_OPEN
162,162,162,001,0.180 mm,ERP_SET,20260531,20260531,ERP_RUNNING
163,163,163,002,21.150 MPa,ERP_KG,20260601,20260601,ERP_CLOSED
164,164,164,003,0.140 mL/min,ERP_M,20260602,20260602,ERP_HOLD
165,165,165,004,154.700 mm,ERP_EA,20260603,20260603,ERP_OPEN
166,166,166,005,4.650 s,ERP_SET,20260604,20260604,ERP_RUNNING
167,167,167,006,38.0 C,ERP_KG,20260605,20260605,ERP_CLOSED
168,168,168,007,0.210 mm,ERP_M,20260606,20260606,ERP_HOLD
169,169,169,008,23.400 MPa,ERP_EA,20260510,20260510,ERP_OPEN
170,170,170,009,0.020 mL/min,ERP_SET,20260511,20260511,ERP_RUNNING
171,171,171,001,154.850 mm,ERP_KG,20260512,20260512,ERP_CLOSED
172,172,172,002,4.800 s,ERP_M,20260513,20260513,ERP_HOLD
173,173,173,003,38.1 C,ERP_EA,20260514,20260514,ERP_OPEN
174,174,174,004,0.240 mm,ERP_SET,20260515,20260515,ERP_RUNNING
175,175,175,005,20.700 MPa,ERP_KG,20260516,20260516,ERP_CLOSED
176,176,176,006,0.050 mL/min,ERP_M,20260517,20260517,ERP_HOLD
177,177,177,007,155.000 mm,ERP_EA,20260518,20260518,ERP_OPEN
178,178,178,008,4.950 s,ERP_SET,20260519,20260519,ERP_RUNNING
179,179,179,009,38.3 C,ERP_KG,20260520,20260520,ERP_CLOSED
180,180,180,001,0.120 mm,ERP_M,20260521,20260521,ERP_HOLD
181,181,181,002,20.850 MPa,ERP_EA,20260522,20260522,ERP_OPEN
182,182,182,003,0.220 mL/min,ERP_SET,20260523,20260523,ERP_RUNNING
183,183,183,004,155.150 mm,ERP_KG,20260524,20260524,ERP_CLOSED
184,184,184,005,5.100 s,ERP_M,20260525,20260525,ERP_HOLD
185,185,185,006,37.7 C,ERP_EA,20260526,20260526,ERP_OPEN
186,186,186,007,0.150 mm,ERP_SET,20260527,20260527,ERP_RUNNING
187,187,187,008,21.000 MPa,ERP_KG,20260528,20260528,ERP_CLOSED
188,188,188,009,0.110 mL/min,ERP_M,20260529,20260529,ERP_HOLD
189,189,189,001,155.300 mm,ERP_EA,20260530,20260530,ERP_OPEN
190,190,190,002,4.500 s,ERP_SET,20260531,20260531,ERP_RUNNING
191,191,191,003,37.9 C,ERP_KG,20260601,20260601,ERP_CLOSED
192,192,192,004,0.180 mm,ERP_M,20260602,20260602,ERP_HOLD
193,193,193,005,21.150 MPa,ERP_EA,20260603,20260603,ERP_OPEN
194,194,194,006,0.140 mL/min,ERP_SET,20260604,20260604,ERP_RUNNING
195,195,195,007,158.400 mm,ERP_KG,20260605,20260605,ERP_CLOSED
196,196,196,008,4.650 s,ERP_M,20260606,20260606,ERP_HOLD
197,197,197,009,38.0 C,ERP_EA,20260510,20260510,ERP_OPEN
198,198,198,001,0.210 mm,ERP_SET,20260511,20260511,ERP_RUNNING
199,199,199,002,21.300 MPa,ERP_KG,20260512,20260512,ERP_CLOSED
200,200,200,003,0.020 mL/min,ERP_M,20260513,20260513,ERP_HOLD
