worklog_id,task_id,batch_id,part_id,assembly_id,station_id,equipment_asset_id,person_id,zzh,op_no,workid,workname,startdate_txt,enddate_txt,status_code
33,33,33,33,33,33,33,33,LGACT-2026-0033,OP020,WO-LG-2026-0033,Cylinder Barrel Rough Machining,2026/05/13 11:51:00,2026/05/13 11:51:00,MES_OP_DONE
34,34,34,34,34,34,34,34,LGACT-2026-0034,OP030,WO-LG-2026-0034,Piston Rod Precision Grinding,2026/05/14 11:58:00,2026/05/14 11:58:00,MES_OP_RUN
35,35,35,35,35,35,35,35,LGACT-2026-0035,OP040,WO-LG-2026-0035,Inner Bore Honing,2026/05/15 12:05:00,2026/05/15 12:05:00,MES_OP_HOLD
36,36,36,36,36,36,36,36,LGACT-2026-0036,OP050,WO-LG-2026-0036,Chrome Plating Layer Grinding,2026/05/16 12:12:00,2026/05/16 12:12:00,MES_OP_REWORK
37,37,37,37,37,37,37,37,LGACT-2026-0037,OP060,WO-LG-2026-0037,Seal Component Assembly,2026/05/17 12:19:00,2026/05/17 12:19:00,MES_OP_DONE
38,38,38,38,38,38,38,38,LGACT-2026-0038,OP070,WO-LG-2026-0038,Actuator Final Assembly,2026/05/18 12:26:00,2026/05/18 12:26:00,MES_OP_RUN
39,39,39,39,39,39,39,39,LGACT-2026-0039,OP080,WO-LG-2026-0039,Pressure Holding Test,2026/05/19 12:33:00,2026/05/19 12:33:00,MES_OP_HOLD
40,40,40,40,40,40,40,40,LGACT-2026-0040,OP010,WO-LG-2026-0040,Extension and Retraction Function Test,2026/05/20 12:40:00,2026/05/20 12:40:00,MES_OP_REWORK
41,41,41,41,41,41,41,41,LGACT-2026-0041,OP020,WO-LG-2026-0041,Cylinder Barrel Rough Machining,2026/05/21 12:47:00,2026/05/21 12:47:00,MES_OP_DONE
42,42,42,42,42,42,42,42,LGACT-2026-0042,OP030,WO-LG-2026-0042,Piston Rod Precision Grinding,2026/05/22 12:54:00,2026/05/22 12:54:00,MES_OP_RUN
43,43,43,43,43,43,43,43,LGACT-2026-0043,OP040,WO-LG-2026-0043,Inner Bore Honing,2026/05/23 13:01:00,2026/05/23 13:01:00,MES_OP_HOLD
44,44,44,44,44,44,44,44,LGACT-2026-0044,OP050,WO-LG-2026-0044,Chrome Plating Layer Grinding,2026/05/24 13:08:00,2026/05/24 13:08:00,MES_OP_REWORK
45,45,45,45,45,45,45,45,LGACT-2026-0045,OP060,WO-LG-2026-0045,Seal Component Assembly,2026/05/25 13:15:00,2026/05/25 13:15:00,MES_OP_DONE
46,46,46,46,46,46,46,46,LGACT-2026-0046,OP070,WO-LG-2026-0046,Actuator Final Assembly,2026/05/26 13:22:00,2026/05/26 13:22:00,MES_OP_RUN
47,47,47,47,47,47,47,47,LGACT-2026-0047,OP080,WO-LG-2026-0047,Pressure Holding Test,2026/05/27 13:29:00,2026/05/27 13:29:00,MES_OP_HOLD
48,48,48,48,48,48,48,48,LGACT-2026-0048,OP010,WO-LG-2026-0048,Extension and Retraction Function Test,2026/05/28 13:36:00,2026/05/28 13:36:00,MES_OP_REWORK
49,49,49,49,49,49,49,49,LGACT-2026-0049,OP020,WO-LG-2026-0049,Cylinder Barrel Rough Machining,2026/05/29 13:43:00,2026/05/29 13:43:00,MES_OP_DONE
50,50,50,50,50,50,50,50,LGACT-2026-0050,OP030,WO-LG-2026-0050,Piston Rod Precision Grinding,2026/05/30 13:50:00,2026/05/30 13:50:00,MES_OP_RUN
51,51,51,51,51,51,51,51,LGACT-2026-0051,OP040,WO-LG-2026-0051,Inner Bore Honing,2026/05/31 13:57:00,2026/05/31 13:57:00,MES_OP_HOLD
52,52,52,52,52,52,52,52,LGACT-2026-0052,OP050,WO-LG-2026-0052,Chrome Plating Layer Grinding,2026/06/01 14:04:00,2026/06/01 14:04:00,MES_OP_REWORK
53,53,53,53,53,53,53,53,LGACT-2026-0053,OP060,WO-LG-2026-0053,Seal Component Assembly,2026/06/02 14:11:00,2026/06/02 14:11:00,MES_OP_DONE
54,54,54,54,54,54,54,54,LGACT-2026-0054,OP070,WO-LG-2026-0054,Actuator Final Assembly,2026/06/03 14:18:00,2026/06/03 14:18:00,MES_OP_RUN
55,55,55,55,55,55,55,55,LGACT-2026-0055,OP080,WO-LG-2026-0055,Pressure Holding Test,2026/06/04 14:25:00,2026/06/04 14:25:00,MES_OP_HOLD
56,56,56,56,56,56,56,56,LGACT-2026-0056,OP010,WO-LG-2026-0056,Extension and Retraction Function Test,2026/06/05 14:32:00,2026/06/05 14:32:00,MES_OP_REWORK
57,57,57,57,57,57,57,57,LGACT-2026-0057,OP020,WO-LG-2026-0057,Cylinder Barrel Rough Machining,2026/05/09 14:39:00,2026/05/09 14:39:00,MES_OP_DONE
58,58,58,58,58,58,58,58,LGACT-2026-0058,OP030,WO-LG-2026-0058,Piston Rod Precision Grinding,2026/05/10 14:46:00,2026/05/10 14:46:00,MES_OP_RUN
59,59,59,59,59,59,59,59,LGACT-2026-0059,OP040,WO-LG-2026-0059,Inner Bore Honing,2026/05/11 14:53:00,2026/05/11 14:53:00,MES_OP_HOLD
60,60,60,60,60,60,60,60,LGACT-2026-0060,OP050,WO-LG-2026-0060,Chrome Plating Layer Grinding,2026/05/12 15:00:00,2026/05/12 15:00:00,MES_OP_REWORK
61,61,61,61,61,61,61,61,LGACT-2026-0061,OP060,WO-LG-2026-0061,Seal Component Assembly,2026/05/13 15:07:00,2026/05/13 15:07:00,MES_OP_DONE
62,62,62,62,62,62,62,62,LGACT-2026-0062,OP070,WO-LG-2026-0062,Actuator Final Assembly,2026/05/14 15:14:00,2026/05/14 15:14:00,MES_OP_RUN
63,63,63,63,63,63,63,63,LGACT-2026-0063,OP080,WO-LG-2026-0063,Pressure Holding Test,2026/05/15 15:21:00,2026/05/15 15:21:00,MES_OP_HOLD
64,64,64,64,64,64,64,64,LGACT-2026-0064,OP010,WO-LG-2026-0064,Extension and Retraction Function Test,2026/05/16 15:28:00,2026/05/16 15:28:00,MES_OP_REWORK
65,65,65,65,65,65,65,65,LGACT-2026-0065,OP020,WO-LG-2026-0065,Cylinder Barrel Rough Machining,2026/05/17 15:35:00,2026/05/17 15:35:00,MES_OP_DONE
66,66,66,66,66,66,66,66,LGACT-2026-0066,OP030,WO-LG-2026-0066,Piston Rod Precision Grinding,2026/05/18 15:42:00,2026/05/18 15:42:00,MES_OP_RUN
67,67,67,67,67,67,67,67,LGACT-2026-0067,OP040,WO-LG-2026-0067,Inner Bore Honing,2026/05/19 15:49:00,2026/05/19 15:49:00,MES_OP_HOLD
68,68,68,68,68,68,68,68,LGACT-2026-0068,OP050,WO-LG-2026-0068,Chrome Plating Layer Grinding,2026/05/20 15:56:00,2026/05/20 15:56:00,MES_OP_REWORK
69,69,69,69,69,69,69,69,LGACT-2026-0069,OP060,WO-LG-2026-0069,Seal Component Assembly,2026/05/21 16:03:00,2026/05/21 16:03:00,MES_OP_DONE
70,70,70,70,70,70,70,70,LGACT-2026-0070,OP070,WO-LG-2026-0070,Actuator Final Assembly,2026/05/22 16:10:00,2026/05/22 16:10:00,MES_OP_RUN
71,71,71,71,71,71,71,71,LGACT-2026-0071,OP080,WO-LG-2026-0071,Pressure Holding Test,2026/05/23 16:17:00,2026/05/23 16:17:00,MES_OP_HOLD
72,72,72,72,72,72,72,72,LGACT-2026-0072,OP010,WO-LG-2026-0072,Extension and Retraction Function Test,2026/05/24 16:24:00,2026/05/24 16:24:00,MES_OP_REWORK
73,73,73,73,73,73,73,73,LGACT-2026-0073,OP020,WO-LG-2026-0073,Cylinder Barrel Rough Machining,2026/05/25 16:31:00,2026/05/25 16:31:00,MES_OP_DONE
74,74,74,74,74,74,74,74,LGACT-2026-0074,OP030,WO-LG-2026-0074,Piston Rod Precision Grinding,2026/05/26 16:38:00,2026/05/26 16:38:00,MES_OP_RUN
75,75,75,75,75,75,75,75,LGACT-2026-0075,OP040,WO-LG-2026-0075,Inner Bore Honing,2026/05/27 16:45:00,2026/05/27 16:45:00,MES_OP_HOLD
76,76,76,76,76,76,76,76,LGACT-2026-0076,OP050,WO-LG-2026-0076,Chrome Plating Layer Grinding,2026/05/28 16:52:00,2026/05/28 16:52:00,MES_OP_REWORK
77,77,77,77,77,77,77,77,LGACT-2026-0077,OP060,WO-LG-2026-0077,Seal Component Assembly,2026/05/29 16:59:00,2026/05/29 16:59:00,MES_OP_DONE
78,78,78,78,78,78,78,78,LGACT-2026-0078,OP070,WO-LG-2026-0078,Actuator Final Assembly,2026/05/30 17:06:00,2026/05/30 17:06:00,MES_OP_RUN
79,79,79,79,79,79,79,79,LGACT-2026-0079,OP080,WO-LG-2026-0079,Pressure Holding Test,2026/05/31 17:13:00,2026/05/31 17:13:00,MES_OP_HOLD
80,80,80,80,80,80,80,80,LGACT-2026-0080,OP010,WO-LG-2026-0080,Extension and Retraction Function Test,2026/06/01 17:20:00,2026/06/01 17:20:00,MES_OP_REWORK
81,81,81,81,81,81,81,81,LGACT-2026-0081,OP020,WO-LG-2026-0081,Cylinder Barrel Rough Machining,2026/06/02 17:27:00,2026/06/02 17:27:00,MES_OP_DONE
82,82,82,82,82,82,82,82,LGACT-2026-0082,OP030,WO-LG-2026-0082,Piston Rod Precision Grinding,2026/06/03 17:34:00,2026/06/03 17:34:00,MES_OP_RUN
83,83,83,83,83,83,83,83,LGACT-2026-0083,OP040,WO-LG-2026-0083,Inner Bore Honing,2026/06/04 17:41:00,2026/06/04 17:41:00,MES_OP_HOLD
84,84,84,84,84,84,84,84,LGACT-2026-0084,OP050,WO-LG-2026-0084,Chrome Plating Layer Grinding,2026/06/05 17:48:00,2026/06/05 17:48:00,MES_OP_REWORK
85,85,85,85,85,85,85,85,LGACT-2026-0085,OP060,WO-LG-2026-0085,Seal Component Assembly,2026/05/09 17:55:00,2026/05/09 17:55:00,MES_OP_DONE
86,86,86,86,86,86,86,86,LGACT-2026-0086,OP070,WO-LG-2026-0086,Actuator Final Assembly,2026/05/10 18:02:00,2026/05/10 18:02:00,MES_OP_RUN
87,87,87,87,87,87,87,87,LGACT-2026-0087,OP080,WO-LG-2026-0087,Pressure Holding Test,2026/05/11 18:09:00,2026/05/11 18:09:00,MES_OP_HOLD
88,88,88,88,88,88,88,88,LGACT-2026-0088,OP010,WO-LG-2026-0088,Extension and Retraction Function Test,2026/05/12 18:16:00,2026/05/12 18:16:00,MES_OP_REWORK
89,89,89,89,89,89,89,89,LGACT-2026-0089,OP020,WO-LG-2026-0089,Cylinder Barrel Rough Machining,2026/05/13 18:23:00,2026/05/13 18:23:00,MES_OP_DONE
90,90,90,90,90,90,90,90,LGACT-2026-0090,OP030,WO-LG-2026-0090,Piston Rod Precision Grinding,2026/05/14 18:30:00,2026/05/14 18:30:00,MES_OP_RUN
91,91,91,91,91,91,91,91,LGACT-2026-0091,OP040,WO-LG-2026-0091,Inner Bore Honing,2026/05/15 18:37:00,2026/05/15 18:37:00,MES_OP_HOLD
92,92,92,92,92,92,92,92,LGACT-2026-0092,OP050,WO-LG-2026-0092,Chrome Plating Layer Grinding,2026/05/16 18:44:00,2026/05/16 18:44:00,MES_OP_REWORK
93,93,93,93,93,93,93,93,LGACT-2026-0093,OP060,WO-LG-2026-0093,Seal Component Assembly,2026/05/17 18:51:00,2026/05/17 18:51:00,MES_OP_DONE
94,94,94,94,94,94,94,94,LGACT-2026-0094,OP070,WO-LG-2026-0094,Actuator Final Assembly,2026/05/18 18:58:00,2026/05/18 18:58:00,MES_OP_RUN
95,95,95,95,95,95,95,95,LGACT-2026-0095,OP080,WO-LG-2026-0095,Pressure Holding Test,2026/05/19 19:05:00,2026/05/19 19:05:00,MES_OP_HOLD
96,96,96,96,96,96,96,96,LGACT-2026-0096,OP010,WO-LG-2026-0096,Extension and Retraction Function Test,2026/05/20 19:12:00,2026/05/20 19:12:00,MES_OP_REWORK
97,97,97,97,97,97,97,97,LGACT-2026-0097,OP020,WO-LG-2026-0097,Cylinder Barrel Rough Machining,2026/05/21 19:19:00,2026/05/21 19:19:00,MES_OP_DONE
98,98,98,98,98,98,98,98,LGACT-2026-0098,OP030,WO-LG-2026-0098,Piston Rod Precision Grinding,2026/05/22 19:26:00,2026/05/22 19:26:00,MES_OP_RUN
99,99,99,99,99,99,99,99,LGACT-2026-0099,OP040,WO-LG-2026-0099,Inner Bore Honing,2026/05/23 19:33:00,2026/05/23 19:33:00,MES_OP_HOLD
100,100,100,100,100,100,100,100,LGACT-2026-0100,OP050,WO-LG-2026-0100,Chrome Plating Layer Grinding,2026/05/24 19:40:00,2026/05/24 19:40:00,MES_OP_REWORK
101,101,101,101,101,101,101,101,LGACT-2026-0101,OP060,WO-LG-2026-0101,Seal Component Assembly,2026/05/25 19:47:00,2026/05/25 19:47:00,MES_OP_DONE
102,102,102,102,102,102,102,102,LGACT-2026-0102,OP070,WO-LG-2026-0102,Actuator Final Assembly,2026/05/26 19:54:00,2026/05/26 19:54:00,MES_OP_RUN
103,103,103,103,103,103,103,103,LGACT-2026-0103,OP080,WO-LG-2026-0103,Pressure Holding Test,2026/05/27 20:01:00,2026/05/27 20:01:00,MES_OP_HOLD
104,104,104,104,104,104,104,104,LGACT-2026-0104,OP010,WO-LG-2026-0104,Extension and Retraction Function Test,2026/05/28 20:08:00,2026/05/28 20:08:00,MES_OP_REWORK
105,105,105,105,105,105,105,105,LGACT-2026-0105,OP020,WO-LG-2026-0105,Cylinder Barrel Rough Machining,2026/05/29 20:15:00,2026/05/29 20:15:00,MES_OP_DONE
106,106,106,106,106,106,106,106,LGACT-2026-0106,OP030,WO-LG-2026-0106,Piston Rod Precision Grinding,2026/05/30 20:22:00,2026/05/30 20:22:00,MES_OP_RUN
107,107,107,107,107,107,107,107,LGACT-2026-0107,OP040,WO-LG-2026-0107,Inner Bore Honing,2026/05/31 20:29:00,2026/05/31 20:29:00,MES_OP_HOLD
108,108,108,108,108,108,108,108,LGACT-2026-0108,OP050,WO-LG-2026-0108,Chrome Plating Layer Grinding,2026/06/01 20:36:00,2026/06/01 20:36:00,MES_OP_REWORK
109,109,109,109,109,109,109,109,LGACT-2026-0109,OP060,WO-LG-2026-0109,Seal Component Assembly,2026/06/02 20:43:00,2026/06/02 20:43:00,MES_OP_DONE
110,110,110,110,110,110,110,110,LGACT-2026-0110,OP070,WO-LG-2026-0110,Actuator Final Assembly,2026/06/03 20:50:00,2026/06/03 20:50:00,MES_OP_RUN
111,111,111,111,111,111,111,111,LGACT-2026-0111,OP080,WO-LG-2026-0111,Pressure Holding Test,2026/06/04 20:57:00,2026/06/04 20:57:00,MES_OP_HOLD
112,112,112,112,112,112,112,112,LGACT-2026-0112,OP010,WO-LG-2026-0112,Extension and Retraction Function Test,2026/06/05 21:04:00,2026/06/05 21:04:00,MES_OP_REWORK
113,113,113,113,113,113,113,113,LGACT-2026-0113,OP020,WO-LG-2026-0113,Cylinder Barrel Rough Machining,2026/05/09 21:11:00,2026/05/09 21:11:00,MES_OP_DONE
114,114,114,114,114,114,114,114,LGACT-2026-0114,OP030,WO-LG-2026-0114,Piston Rod Precision Grinding,2026/05/10 21:18:00,2026/05/10 21:18:00,MES_OP_RUN
115,115,115,115,115,115,115,115,LGACT-2026-0115,OP040,WO-LG-2026-0115,Inner Bore Honing,2026/05/11 21:25:00,2026/05/11 21:25:00,MES_OP_HOLD
116,116,116,116,116,116,116,116,LGACT-2026-0116,OP050,WO-LG-2026-0116,Chrome Plating Layer Grinding,2026/05/12 21:32:00,2026/05/12 21:32:00,MES_OP_REWORK
117,117,117,117,117,117,117,117,LGACT-2026-0117,OP060,WO-LG-2026-0117,Seal Component Assembly,2026/05/13 21:39:00,2026/05/13 21:39:00,MES_OP_DONE
118,118,118,118,118,118,118,118,LGACT-2026-0118,OP070,WO-LG-2026-0118,Actuator Final Assembly,2026/05/14 21:46:00,2026/05/14 21:46:00,MES_OP_RUN
119,119,119,119,119,119,119,119,LGACT-2026-0119,OP080,WO-LG-2026-0119,Pressure Holding Test,2026/05/15 21:53:00,2026/05/15 21:53:00,MES_OP_HOLD
120,120,120,120,120,120,120,120,LGACT-2026-0120,OP010,WO-LG-2026-0120,Extension and Retraction Function Test,2026/05/16 22:00:00,2026/05/16 22:00:00,MES_OP_REWORK
121,121,121,121,121,121,121,121,LGACT-2026-0121,OP020,WO-LG-2026-0121,Cylinder Barrel Rough Machining,2026/05/17 22:07:00,2026/05/17 22:07:00,MES_OP_DONE
122,122,122,122,122,122,122,122,LGACT-2026-0122,OP030,WO-LG-2026-0122,Piston Rod Precision Grinding,2026/05/18 22:14:00,2026/05/18 22:14:00,MES_OP_RUN
123,123,123,123,123,123,123,123,LGACT-2026-0123,OP040,WO-LG-2026-0123,Inner Bore Honing,2026/05/19 22:21:00,2026/05/19 22:21:00,MES_OP_HOLD
124,124,124,124,124,124,124,124,LGACT-2026-0124,OP050,WO-LG-2026-0124,Chrome Plating Layer Grinding,2026/05/20 22:28:00,2026/05/20 22:28:00,MES_OP_REWORK
125,125,125,125,125,125,125,125,LGACT-2026-0125,OP060,WO-LG-2026-0125,Seal Component Assembly,2026/05/21 22:35:00,2026/05/21 22:35:00,MES_OP_DONE
126,126,126,126,126,126,126,126,LGACT-2026-0126,OP070,WO-LG-2026-0126,Actuator Final Assembly,2026/05/22 22:42:00,2026/05/22 22:42:00,MES_OP_RUN
127,127,127,127,127,127,127,127,LGACT-2026-0127,OP080,WO-LG-2026-0127,Pressure Holding Test,2026/05/23 22:49:00,2026/05/23 22:49:00,MES_OP_HOLD
128,128,128,128,128,128,128,128,LGACT-2026-0128,OP010,WO-LG-2026-0128,Extension and Retraction Function Test,2026/05/24 22:56:00,2026/05/24 22:56:00,MES_OP_REWORK
129,129,129,129,129,129,129,129,LGACT-2026-0129,OP020,WO-LG-2026-0129,Cylinder Barrel Rough Machining,2026/05/25 23:03:00,2026/05/25 23:03:00,MES_OP_DONE
130,130,130,130,130,130,130,130,LGACT-2026-0130,OP030,WO-LG-2026-0130,Piston Rod Precision Grinding,2026/05/26 23:10:00,2026/05/26 23:10:00,MES_OP_RUN
131,131,131,131,131,131,131,131,LGACT-2026-0131,OP040,WO-LG-2026-0131,Inner Bore Honing,2026/05/27 23:17:00,2026/05/27 23:17:00,MES_OP_HOLD
132,132,132,132,132,132,132,132,LGACT-2026-0132,OP050,WO-LG-2026-0132,Chrome Plating Layer Grinding,2026/05/28 23:24:00,2026/05/28 23:24:00,MES_OP_REWORK
133,133,133,133,133,133,133,133,LGACT-2026-0133,OP060,WO-LG-2026-0133,Seal Component Assembly,2026/05/29 23:31:00,2026/05/29 23:31:00,MES_OP_DONE
134,134,134,134,134,134,134,134,LGACT-2026-0134,OP070,WO-LG-2026-0134,Actuator Final Assembly,2026/05/30 23:38:00,2026/05/30 23:38:00,MES_OP_RUN
135,135,135,135,135,135,135,135,LGACT-2026-0135,OP080,WO-LG-2026-0135,Pressure Holding Test,2026/05/31 23:45:00,2026/05/31 23:45:00,MES_OP_HOLD
136,136,136,136,136,136,136,136,LGACT-2026-0136,OP010,WO-LG-2026-0136,Extension and Retraction Function Test,2026/06/01 23:52:00,2026/06/01 23:52:00,MES_OP_REWORK
137,137,137,137,137,137,137,137,LGACT-2026-0137,OP020,WO-LG-2026-0137,Cylinder Barrel Rough Machining,2026/06/02 23:59:00,2026/06/02 23:59:00,MES_OP_DONE
138,138,138,138,138,138,138,138,LGACT-2026-0138,OP030,WO-LG-2026-0138,Piston Rod Precision Grinding,2026/06/04 00:06:00,2026/06/04 00:06:00,MES_OP_RUN
139,139,139,139,139,139,139,139,LGACT-2026-0139,OP040,WO-LG-2026-0139,Inner Bore Honing,2026/06/05 00:13:00,2026/06/05 00:13:00,MES_OP_HOLD
140,140,140,140,140,140,140,140,LGACT-2026-0140,OP050,WO-LG-2026-0140,Chrome Plating Layer Grinding,2026/06/06 00:20:00,2026/06/06 00:20:00,MES_OP_REWORK
141,141,141,141,141,141,141,141,LGACT-2026-0141,OP060,WO-LG-2026-0141,Seal Component Assembly,2026/05/10 00:27:00,2026/05/10 00:27:00,MES_OP_DONE
142,142,142,142,142,142,142,142,LGACT-2026-0142,OP070,WO-LG-2026-0142,Actuator Final Assembly,2026/05/11 00:34:00,2026/05/11 00:34:00,MES_OP_RUN
143,143,143,143,143,143,143,143,LGACT-2026-0143,OP080,WO-LG-2026-0143,Pressure Holding Test,2026/05/12 00:41:00,2026/05/12 00:41:00,MES_OP_HOLD
144,144,144,144,144,144,144,144,LGACT-2026-0144,OP010,WO-LG-2026-0144,Extension and Retraction Function Test,2026/05/13 00:48:00,2026/05/13 00:48:00,MES_OP_REWORK
145,145,145,145,145,145,145,145,LGACT-2026-0145,OP020,WO-LG-2026-0145,Cylinder Barrel Rough Machining,2026/05/14 00:55:00,2026/05/14 00:55:00,MES_OP_DONE
146,146,146,146,146,146,146,146,LGACT-2026-0146,OP030,WO-LG-2026-0146,Piston Rod Precision Grinding,2026/05/15 01:02:00,2026/05/15 01:02:00,MES_OP_RUN
147,147,147,147,147,147,147,147,LGACT-2026-0147,OP040,WO-LG-2026-0147,Inner Bore Honing,2026/05/16 01:09:00,2026/05/16 01:09:00,MES_OP_HOLD
148,148,148,148,148,148,148,148,LGACT-2026-0148,OP050,WO-LG-2026-0148,Chrome Plating Layer Grinding,2026/05/17 01:16:00,2026/05/17 01:16:00,MES_OP_REWORK
149,149,149,149,149,149,149,149,LGACT-2026-0149,OP060,WO-LG-2026-0149,Seal Component Assembly,2026/05/18 01:23:00,2026/05/18 01:23:00,MES_OP_DONE
150,150,150,150,150,150,150,150,LGACT-2026-0150,OP070,WO-LG-2026-0150,Actuator Final Assembly,2026/05/19 01:30:00,2026/05/19 01:30:00,MES_OP_RUN
