field_feedback_id,service_event_id,fault_report_id,quality_event_no,component_serial_no,feedback_no,feedback_source_code,feedback_time_text,feedback_content,feedback_state
13,13,13,QE-CF-2026-0013,LGACT-2026-0013,FB-CF-0013,MRO_MAKE,2026/05/21 09:31:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
14,14,14,QE-CF-2026-0014,LGACT-2026-0014,FB-CF-0014,MRO_BUY,2026/05/22 09:38:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
15,15,15,QE-CF-2026-0015,LGACT-2026-0015,FB-CF-0015,MRO_ASSEMBLY,2026/05/23 09:45:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
16,16,16,QE-CF-2026-0016,LGACT-2026-0016,FB-CF-0016,MRO_SERVICE,2026/05/24 09:52:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
17,17,17,QE-CF-2026-0017,LGACT-2026-0017,FB-CF-0017,MRO_MAKE,2026/05/25 09:59:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
18,18,18,QE-CF-2026-0018,LGACT-2026-0018,FB-CF-0018,MRO_BUY,2026/05/26 10:06:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
19,19,19,QE-CF-2026-0019,LGACT-2026-0019,FB-CF-0019,MRO_ASSEMBLY,2026/05/27 10:13:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
20,20,20,QE-CF-2026-0020,LGACT-2026-0020,FB-CF-0020,MRO_SERVICE,2026/05/28 10:20:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
21,21,21,QE-CF-2026-0021,LGACT-2026-0021,FB-CF-0021,MRO_MAKE,2026/05/29 10:27:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
22,22,22,QE-CF-2026-0022,LGACT-2026-0022,FB-CF-0022,MRO_BUY,2026/05/30 10:34:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
23,23,23,QE-CF-2026-0023,LGACT-2026-0023,FB-CF-0023,MRO_ASSEMBLY,2026/05/31 10:41:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
24,24,24,QE-CF-2026-0024,LGACT-2026-0024,FB-CF-0024,MRO_SERVICE,2026/06/01 10:48:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
25,25,25,QE-CF-2026-0025,LGACT-2026-0025,FB-CF-0025,MRO_MAKE,2026/06/02 10:55:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
26,26,26,QE-CF-2026-0026,LGACT-2026-0026,FB-CF-0026,MRO_BUY,2026/06/03 11:02:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
27,27,27,QE-CF-2026-0027,LGACT-2026-0027,FB-CF-0027,MRO_ASSEMBLY,2026/06/04 11:09:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
28,28,28,QE-CF-2026-0028,LGACT-2026-0028,FB-CF-0028,MRO_SERVICE,2026/06/05 11:16:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
29,29,29,QE-CF-2026-0029,LGACT-2026-0029,FB-CF-0029,MRO_MAKE,2026/05/09 11:23:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
30,30,30,QE-CF-2026-0030,LGACT-2026-0030,FB-CF-0030,MRO_BUY,2026/05/10 11:30:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
31,31,31,QE-CF-2026-0031,LGACT-2026-0031,FB-CF-0031,MRO_ASSEMBLY,2026/05/11 11:37:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
32,32,32,QE-CF-2026-0032,LGACT-2026-0032,FB-CF-0032,MRO_SERVICE,2026/05/12 11:44:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
33,33,33,QE-CF-2026-0033,LGACT-2026-0033,FB-CF-0033,MRO_MAKE,2026/05/13 11:51:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
34,34,34,QE-CF-2026-0034,LGACT-2026-0034,FB-CF-0034,MRO_BUY,2026/05/14 11:58:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
35,35,35,QE-CF-2026-0035,LGACT-2026-0035,FB-CF-0035,MRO_ASSEMBLY,2026/05/15 12:05:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
36,36,36,QE-CF-2026-0036,LGACT-2026-0036,FB-CF-0036,MRO_SERVICE,2026/05/16 12:12:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
37,37,37,QE-CF-2026-0037,LGACT-2026-0037,FB-CF-0037,MRO_MAKE,2026/05/17 12:19:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
38,38,38,QE-CF-2026-0038,LGACT-2026-0038,FB-CF-0038,MRO_BUY,2026/05/18 12:26:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
39,39,39,QE-CF-2026-0039,LGACT-2026-0039,FB-CF-0039,MRO_ASSEMBLY,2026/05/19 12:33:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
40,40,40,QE-CF-2026-0040,LGACT-2026-0040,FB-CF-0040,MRO_SERVICE,2026/05/20 12:40:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
41,41,41,QE-CF-2026-0041,LGACT-2026-0041,FB-CF-0041,MRO_MAKE,2026/05/21 12:47:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
42,42,42,QE-CF-2026-0042,LGACT-2026-0042,FB-CF-0042,MRO_BUY,2026/05/22 12:54:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
43,43,43,QE-CF-2026-0043,LGACT-2026-0043,FB-CF-0043,MRO_ASSEMBLY,2026/05/23 13:01:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
44,44,44,QE-CF-2026-0044,LGACT-2026-0044,FB-CF-0044,MRO_SERVICE,2026/05/24 13:08:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
45,45,45,QE-CF-2026-0045,LGACT-2026-0045,FB-CF-0045,MRO_MAKE,2026/05/25 13:15:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
46,46,46,QE-CF-2026-0046,LGACT-2026-0046,FB-CF-0046,MRO_BUY,2026/05/26 13:22:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
47,47,47,QE-CF-2026-0047,LGACT-2026-0047,FB-CF-0047,MRO_ASSEMBLY,2026/05/27 13:29:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
48,48,48,QE-CF-2026-0048,LGACT-2026-0048,FB-CF-0048,MRO_SERVICE,2026/05/28 13:36:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
49,49,49,QE-CF-2026-0049,LGACT-2026-0049,FB-CF-0049,MRO_MAKE,2026/05/29 13:43:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
50,50,50,QE-CF-2026-0050,LGACT-2026-0050,FB-CF-0050,MRO_BUY,2026/05/30 13:50:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
51,51,51,QE-CF-2026-0051,LGACT-2026-0051,FB-CF-0051,MRO_ASSEMBLY,2026/05/31 13:57:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
52,52,52,QE-CF-2026-0052,LGACT-2026-0052,FB-CF-0052,MRO_SERVICE,2026/06/01 14:04:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
53,53,53,QE-CF-2026-0053,LGACT-2026-0053,FB-CF-0053,MRO_MAKE,2026/06/02 14:11:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
54,54,54,QE-CF-2026-0054,LGACT-2026-0054,FB-CF-0054,MRO_BUY,2026/06/03 14:18:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
55,55,55,QE-CF-2026-0055,LGACT-2026-0055,FB-CF-0055,MRO_ASSEMBLY,2026/06/04 14:25:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
56,56,56,QE-CF-2026-0056,LGACT-2026-0056,FB-CF-0056,MRO_SERVICE,2026/06/05 14:32:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
57,57,57,QE-CF-2026-0057,LGACT-2026-0057,FB-CF-0057,MRO_MAKE,2026/05/09 14:39:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
58,58,58,QE-CF-2026-0058,LGACT-2026-0058,FB-CF-0058,MRO_BUY,2026/05/10 14:46:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
59,59,59,QE-CF-2026-0059,LGACT-2026-0059,FB-CF-0059,MRO_ASSEMBLY,2026/05/11 14:53:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
60,60,60,QE-CF-2026-0060,LGACT-2026-0060,FB-CF-0060,MRO_SERVICE,2026/05/12 15:00:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
61,61,61,QE-CF-2026-0061,LGACT-2026-0061,FB-CF-0061,MRO_MAKE,2026/05/13 15:07:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
62,62,62,QE-CF-2026-0062,LGACT-2026-0062,FB-CF-0062,MRO_BUY,2026/05/14 15:14:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
63,63,63,QE-CF-2026-0063,LGACT-2026-0063,FB-CF-0063,MRO_ASSEMBLY,2026/05/15 15:21:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
64,64,64,QE-CF-2026-0064,LGACT-2026-0064,FB-CF-0064,MRO_SERVICE,2026/05/16 15:28:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
65,65,65,QE-CF-2026-0065,LGACT-2026-0065,FB-CF-0065,MRO_MAKE,2026/05/17 15:35:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
66,66,66,QE-CF-2026-0066,LGACT-2026-0066,FB-CF-0066,MRO_BUY,2026/05/18 15:42:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
67,67,67,QE-CF-2026-0067,LGACT-2026-0067,FB-CF-0067,MRO_ASSEMBLY,2026/05/19 15:49:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
68,68,68,QE-CF-2026-0068,LGACT-2026-0068,FB-CF-0068,MRO_SERVICE,2026/05/20 15:56:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
69,69,69,QE-CF-2026-0069,LGACT-2026-0069,FB-CF-0069,MRO_MAKE,2026/05/21 16:03:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
70,70,70,QE-CF-2026-0070,LGACT-2026-0070,FB-CF-0070,MRO_BUY,2026/05/22 16:10:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
71,71,71,QE-CF-2026-0071,LGACT-2026-0071,FB-CF-0071,MRO_ASSEMBLY,2026/05/23 16:17:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
72,72,72,QE-CF-2026-0072,LGACT-2026-0072,FB-CF-0072,MRO_SERVICE,2026/05/24 16:24:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
73,73,73,QE-CF-2026-0073,LGACT-2026-0073,FB-CF-0073,MRO_MAKE,2026/05/25 16:31:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
74,74,74,QE-CF-2026-0074,LGACT-2026-0074,FB-CF-0074,MRO_BUY,2026/05/26 16:38:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
75,75,75,QE-CF-2026-0075,LGACT-2026-0075,FB-CF-0075,MRO_ASSEMBLY,2026/05/27 16:45:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
76,76,76,QE-CF-2026-0076,LGACT-2026-0076,FB-CF-0076,MRO_SERVICE,2026/05/28 16:52:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
77,77,77,QE-CF-2026-0077,LGACT-2026-0077,FB-CF-0077,MRO_MAKE,2026/05/29 16:59:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
78,78,78,QE-CF-2026-0078,LGACT-2026-0078,FB-CF-0078,MRO_BUY,2026/05/30 17:06:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
79,79,79,QE-CF-2026-0079,LGACT-2026-0079,FB-CF-0079,MRO_ASSEMBLY,2026/05/31 17:13:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
80,80,80,QE-CF-2026-0080,LGACT-2026-0080,FB-CF-0080,MRO_SERVICE,2026/06/01 17:20:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
81,81,81,QE-CF-2026-0081,LGACT-2026-0081,FB-CF-0081,MRO_MAKE,2026/06/02 17:27:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
82,82,82,QE-CF-2026-0082,LGACT-2026-0082,FB-CF-0082,MRO_BUY,2026/06/03 17:34:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
83,83,83,QE-CF-2026-0083,LGACT-2026-0083,FB-CF-0083,MRO_ASSEMBLY,2026/06/04 17:41:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
84,84,84,QE-CF-2026-0084,LGACT-2026-0084,FB-CF-0084,MRO_SERVICE,2026/06/05 17:48:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
85,85,85,QE-CF-2026-0085,LGACT-2026-0085,FB-CF-0085,MRO_MAKE,2026/05/09 17:55:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
86,86,86,QE-CF-2026-0086,LGACT-2026-0086,FB-CF-0086,MRO_BUY,2026/05/10 18:02:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
87,87,87,QE-CF-2026-0087,LGACT-2026-0087,FB-CF-0087,MRO_ASSEMBLY,2026/05/11 18:09:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
88,88,88,QE-CF-2026-0088,LGACT-2026-0088,FB-CF-0088,MRO_SERVICE,2026/05/12 18:16:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
89,89,89,QE-CF-2026-0089,LGACT-2026-0089,FB-CF-0089,MRO_MAKE,2026/05/13 18:23:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
90,90,90,QE-CF-2026-0090,LGACT-2026-0090,FB-CF-0090,MRO_BUY,2026/05/14 18:30:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
91,91,91,QE-CF-2026-0091,LGACT-2026-0091,FB-CF-0091,MRO_ASSEMBLY,2026/05/15 18:37:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
92,92,92,QE-CF-2026-0092,LGACT-2026-0092,FB-CF-0092,MRO_SERVICE,2026/05/16 18:44:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
93,93,93,QE-CF-2026-0093,LGACT-2026-0093,FB-CF-0093,MRO_MAKE,2026/05/17 18:51:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
94,94,94,QE-CF-2026-0094,LGACT-2026-0094,FB-CF-0094,MRO_BUY,2026/05/18 18:58:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
95,95,95,QE-CF-2026-0095,LGACT-2026-0095,FB-CF-0095,MRO_ASSEMBLY,2026/05/19 19:05:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
96,96,96,QE-CF-2026-0096,LGACT-2026-0096,FB-CF-0096,MRO_SERVICE,2026/05/20 19:12:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
97,97,97,QE-CF-2026-0097,LGACT-2026-0097,FB-CF-0097,MRO_MAKE,2026/05/21 19:19:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
98,98,98,QE-CF-2026-0098,LGACT-2026-0098,FB-CF-0098,MRO_BUY,2026/05/22 19:26:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
99,99,99,QE-CF-2026-0099,LGACT-2026-0099,FB-CF-0099,MRO_ASSEMBLY,2026/05/23 19:33:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
100,100,100,QE-CF-2026-0100,LGACT-2026-0100,FB-CF-0100,MRO_SERVICE,2026/05/24 19:40:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
101,101,101,QE-CF-2026-0101,LGACT-2026-0101,FB-CF-0101,MRO_MAKE,2026/05/25 19:47:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
102,102,102,QE-CF-2026-0102,LGACT-2026-0102,FB-CF-0102,MRO_BUY,2026/05/26 19:54:00,Field feedback reported Minor Leakage at Hydraulic Fitting; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
103,103,103,QE-CF-2026-0103,LGACT-2026-0103,FB-CF-0103,MRO_ASSEMBLY,2026/05/27 20:01:00,Field feedback reported Excessive Trunnion Bushing Clearance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
104,104,104,QE-CF-2026-0104,LGACT-2026-0104,FB-CF-0104,MRO_SERVICE,2026/05/28 20:08:00,Field feedback reported Loose Displacement Sensor Bracket; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
105,105,105,QE-CF-2026-0105,LGACT-2026-0105,FB-CF-0105,MRO_MAKE,2026/05/29 20:15:00,Field feedback reported Chrome Plating Scratch on Piston Rod; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
106,106,106,QE-CF-2026-0106,LGACT-2026-0106,FB-CF-0106,MRO_BUY,2026/05/30 20:22:00,Field feedback reported Seal Ring Compression Damage; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_ANALYZE
107,107,107,QE-CF-2026-0107,LGACT-2026-0107,FB-CF-0107,MRO_ASSEMBLY,2026/05/31 20:29:00,Field feedback reported Scratch on Cylinder Barrel Inner Wall; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_DISPOSE
108,108,108,QE-CF-2026-0108,LGACT-2026-0108,FB-CF-0108,MRO_SERVICE,2026/06/01 20:36:00,Field feedback reported Pressure Holding Leakage Rate Out of Tolerance; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_CLOSED
109,109,109,QE-CF-2026-0109,LGACT-2026-0109,FB-CF-0109,MRO_MAKE,2026/06/02 20:43:00,Field feedback reported Actuation Hysteresis; the maintenance record has been linked to the replaced part and the original manufacturing batch.,MRO_EV_OPEN
