iqs_failure_duty_id,iqs_failure_id,iqs_failure_content_id,duty_user_code,duty_user_name,duty_dept_code,duty_dept_name,supplier_code,duty_person_ratio_text,responsibility_date_text
22,22,22,PERS-0022,Cylinder Barrel Assembly 022,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0022,72%,2026/05/30 10:34:00
23,23,23,PERS-0023,Front End Cap 023,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0023,73%,2026/05/31 10:41:00
24,24,24,PERS-0024,Rear End Cap 024,DEPT-QA-01,Field Support Department,SUP-CF-0024,74%,2026/06/01 10:48:00
25,25,25,PERS-0025,Seal Ring Assembly 025,DEPT-QA-02,Quality Management Department,SUP-CF-0025,75%,2026/06/02 10:55:00
26,26,26,PERS-0026,Trunnion Bushing 026,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0026,76%,2026/06/03 11:02:00
27,27,27,PERS-0027,Spherical Bearing 027,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0027,77%,2026/06/04 11:09:00
28,28,28,PERS-0028,Throttle Connector 028,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0028,78%,2026/06/05 11:16:00
29,29,29,PERS-0029,Displacement Sensor Bracket 029,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0029,79%,2026/05/09 11:23:00
30,30,30,PERS-0030,Locking Nut 030,DEPT-QA-01,Field Support Department,SUP-CF-0030,80%,2026/05/10 11:30:00
31,31,31,PERS-0031,Piston Rod Assembly 031,DEPT-QA-02,Quality Management Department,SUP-CF-0031,81%,2026/05/11 11:37:00
32,32,32,PERS-0032,Cylinder Barrel Assembly 032,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0032,82%,2026/05/12 11:44:00
33,33,33,PERS-0033,Front End Cap 033,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0033,83%,2026/05/13 11:51:00
34,34,34,PERS-0034,Rear End Cap 034,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0034,84%,2026/05/14 11:58:00
35,35,35,PERS-0035,Seal Ring Assembly 035,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0035,85%,2026/05/15 12:05:00
36,36,36,PERS-0036,Trunnion Bushing 036,DEPT-QA-01,Field Support Department,SUP-CF-0036,86%,2026/05/16 12:12:00
37,37,37,PERS-0037,Spherical Bearing 037,DEPT-QA-02,Quality Management Department,SUP-CF-0037,87%,2026/05/17 12:19:00
38,38,38,PERS-0038,Throttle Connector 038,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0038,88%,2026/05/18 12:26:00
39,39,39,PERS-0039,Displacement Sensor Bracket 039,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0039,89%,2026/05/19 12:33:00
40,40,40,PERS-0040,Locking Nut 040,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0040,90%,2026/05/20 12:40:00
41,41,41,PERS-0041,Piston Rod Assembly 041,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0041,91%,2026/05/21 12:47:00
42,42,42,PERS-0042,Cylinder Barrel Assembly 042,DEPT-QA-01,Field Support Department,SUP-CF-0042,92%,2026/05/22 12:54:00
43,43,43,PERS-0043,Front End Cap 043,DEPT-QA-02,Quality Management Department,SUP-CF-0043,93%,2026/05/23 13:01:00
44,44,44,PERS-0044,Rear End Cap 044,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0044,94%,2026/05/24 13:08:00
45,45,45,PERS-0045,Seal Ring Assembly 045,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0045,95%,2026/05/25 13:15:00
46,46,46,PERS-0046,Trunnion Bushing 046,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0046,96%,2026/05/26 13:22:00
47,47,47,PERS-0047,Spherical Bearing 047,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0047,97%,2026/05/27 13:29:00
48,48,48,PERS-0048,Throttle Connector 048,DEPT-QA-01,Field Support Department,SUP-CF-0048,98%,2026/05/28 13:36:00
49,49,49,PERS-0049,Displacement Sensor Bracket 049,DEPT-QA-02,Quality Management Department,SUP-CF-0049,99%,2026/05/29 13:43:00
50,50,50,PERS-0050,Locking Nut 050,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0050,100%,2026/05/30 13:50:00
51,51,51,PERS-0051,Piston Rod Assembly 051,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0051,101%,2026/05/31 13:57:00
52,52,52,PERS-0052,Cylinder Barrel Assembly 052,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0052,102%,2026/06/01 14:04:00
53,53,53,PERS-0053,Front End Cap 053,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0053,103%,2026/06/02 14:11:00
54,54,54,PERS-0054,Rear End Cap 054,DEPT-QA-01,Field Support Department,SUP-CF-0054,104%,2026/06/03 14:18:00
55,55,55,PERS-0055,Seal Ring Assembly 055,DEPT-QA-02,Quality Management Department,SUP-CF-0055,105%,2026/06/04 14:25:00
56,56,56,PERS-0056,Trunnion Bushing 056,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0056,106%,2026/06/05 14:32:00
57,57,57,PERS-0057,Spherical Bearing 057,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0057,107%,2026/05/09 14:39:00
58,58,58,PERS-0058,Throttle Connector 058,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0058,108%,2026/05/10 14:46:00
59,59,59,PERS-0059,Displacement Sensor Bracket 059,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0059,109%,2026/05/11 14:53:00
60,60,60,PERS-0060,Locking Nut 060,DEPT-QA-01,Field Support Department,SUP-CF-0060,110%,2026/05/12 15:00:00
61,61,61,PERS-0061,Piston Rod Assembly 061,DEPT-QA-02,Quality Management Department,SUP-CF-0061,111%,2026/05/13 15:07:00
62,62,62,PERS-0062,Cylinder Barrel Assembly 062,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0062,112%,2026/05/14 15:14:00
63,63,63,PERS-0063,Front End Cap 063,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0063,113%,2026/05/15 15:21:00
64,64,64,PERS-0064,Rear End Cap 064,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0064,114%,2026/05/16 15:28:00
65,65,65,PERS-0065,Seal Ring Assembly 065,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0065,115%,2026/05/17 15:35:00
66,66,66,PERS-0066,Trunnion Bushing 066,DEPT-QA-01,Field Support Department,SUP-CF-0066,116%,2026/05/18 15:42:00
67,67,67,PERS-0067,Spherical Bearing 067,DEPT-QA-02,Quality Management Department,SUP-CF-0067,117%,2026/05/19 15:49:00
68,68,68,PERS-0068,Throttle Connector 068,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0068,118%,2026/05/20 15:56:00
69,69,69,PERS-0069,Displacement Sensor Bracket 069,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0069,119%,2026/05/21 16:03:00
70,70,70,PERS-0070,Locking Nut 070,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0070,120%,2026/05/22 16:10:00
71,71,71,PERS-0071,Piston Rod Assembly 071,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0071,121%,2026/05/23 16:17:00
72,72,72,PERS-0072,Cylinder Barrel Assembly 072,DEPT-QA-01,Field Support Department,SUP-CF-0072,122%,2026/05/24 16:24:00
73,73,73,PERS-0073,Front End Cap 073,DEPT-QA-02,Quality Management Department,SUP-CF-0073,123%,2026/05/25 16:31:00
74,74,74,PERS-0074,Rear End Cap 074,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0074,124%,2026/05/26 16:38:00
75,75,75,PERS-0075,Seal Ring Assembly 075,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0075,125%,2026/05/27 16:45:00
76,76,76,PERS-0076,Trunnion Bushing 076,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0076,126%,2026/05/28 16:52:00
77,77,77,PERS-0077,Spherical Bearing 077,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0077,127%,2026/05/29 16:59:00
78,78,78,PERS-0078,Throttle Connector 078,DEPT-QA-01,Field Support Department,SUP-CF-0078,128%,2026/05/30 17:06:00
79,79,79,PERS-0079,Displacement Sensor Bracket 079,DEPT-QA-02,Quality Management Department,SUP-CF-0079,129%,2026/05/31 17:13:00
80,80,80,PERS-0080,Locking Nut 080,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0080,130%,2026/06/01 17:20:00
81,81,81,PERS-0081,Piston Rod Assembly 081,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0081,131%,2026/06/02 17:27:00
82,82,82,PERS-0082,Cylinder Barrel Assembly 082,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0082,132%,2026/06/03 17:34:00
83,83,83,PERS-0083,Front End Cap 083,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0083,133%,2026/06/04 17:41:00
84,84,84,PERS-0084,Rear End Cap 084,DEPT-QA-01,Field Support Department,SUP-CF-0084,134%,2026/06/05 17:48:00
85,85,85,PERS-0085,Seal Ring Assembly 085,DEPT-QA-02,Quality Management Department,SUP-CF-0085,135%,2026/05/09 17:55:00
86,86,86,PERS-0086,Trunnion Bushing 086,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0086,136%,2026/05/10 18:02:00
87,87,87,PERS-0087,Spherical Bearing 087,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0087,137%,2026/05/11 18:09:00
88,88,88,PERS-0088,Throttle Connector 088,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0088,138%,2026/05/12 18:16:00
89,89,89,PERS-0089,Displacement Sensor Bracket 089,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0089,139%,2026/05/13 18:23:00
90,90,90,PERS-0090,Locking Nut 090,DEPT-QA-01,Field Support Department,SUP-CF-0090,140%,2026/05/14 18:30:00
91,91,91,PERS-0091,Piston Rod Assembly 091,DEPT-QA-02,Quality Management Department,SUP-CF-0091,141%,2026/05/15 18:37:00
92,92,92,PERS-0092,Cylinder Barrel Assembly 092,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0092,142%,2026/05/16 18:44:00
93,93,93,PERS-0093,Front End Cap 093,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0093,143%,2026/05/17 18:51:00
94,94,94,PERS-0094,Rear End Cap 094,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0094,144%,2026/05/18 18:58:00
95,95,95,PERS-0095,Seal Ring Assembly 095,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0095,145%,2026/05/19 19:05:00
96,96,96,PERS-0096,Trunnion Bushing 096,DEPT-QA-01,Field Support Department,SUP-CF-0096,146%,2026/05/20 19:12:00
97,97,97,PERS-0097,Spherical Bearing 097,DEPT-QA-02,Quality Management Department,SUP-CF-0097,147%,2026/05/21 19:19:00
98,98,98,PERS-0098,Throttle Connector 098,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0098,148%,2026/05/22 19:26:00
99,99,99,PERS-0099,Displacement Sensor Bracket 099,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0099,149%,2026/05/23 19:33:00
100,100,100,PERS-0100,Locking Nut 100,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0100,150%,2026/05/24 19:40:00
101,101,101,PERS-0101,Piston Rod Assembly 101,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0101,151%,2026/05/25 19:47:00
102,102,102,PERS-0102,Cylinder Barrel Assembly 102,DEPT-QA-01,Field Support Department,SUP-CF-0102,152%,2026/05/26 19:54:00
103,103,103,PERS-0103,Front End Cap 103,DEPT-QA-02,Quality Management Department,SUP-CF-0103,153%,2026/05/27 20:01:00
104,104,104,PERS-0104,Rear End Cap 104,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0104,154%,2026/05/28 20:08:00
105,105,105,PERS-0105,Seal Ring Assembly 105,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0105,155%,2026/05/29 20:15:00
106,106,106,PERS-0106,Trunnion Bushing 106,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0106,156%,2026/05/30 20:22:00
107,107,107,PERS-0107,Spherical Bearing 107,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0107,157%,2026/05/31 20:29:00
108,108,108,PERS-0108,Throttle Connector 108,DEPT-QA-01,Field Support Department,SUP-CF-0108,158%,2026/06/01 20:36:00
109,109,109,PERS-0109,Displacement Sensor Bracket 109,DEPT-QA-02,Quality Management Department,SUP-CF-0109,159%,2026/06/02 20:43:00
110,110,110,PERS-0110,Locking Nut 110,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0110,160%,2026/06/03 20:50:00
111,111,111,PERS-0111,Piston Rod Assembly 111,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0111,161%,2026/06/04 20:57:00
112,112,112,PERS-0112,Cylinder Barrel Assembly 112,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0112,162%,2026/06/05 21:04:00
113,113,113,PERS-0113,Front End Cap 113,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0113,163%,2026/05/09 21:11:00
114,114,114,PERS-0114,Rear End Cap 114,DEPT-QA-01,Field Support Department,SUP-CF-0114,164%,2026/05/10 21:18:00
115,115,115,PERS-0115,Seal Ring Assembly 115,DEPT-QA-02,Quality Management Department,SUP-CF-0115,165%,2026/05/11 21:25:00
116,116,116,PERS-0116,Trunnion Bushing 116,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0116,166%,2026/05/12 21:32:00
117,117,117,PERS-0117,Spherical Bearing 117,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0117,167%,2026/05/13 21:39:00
118,118,118,PERS-0118,Throttle Connector 118,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0118,168%,2026/05/14 21:46:00
119,119,119,PERS-0119,Displacement Sensor Bracket 119,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0119,169%,2026/05/15 21:53:00
120,120,120,PERS-0120,Locking Nut 120,DEPT-QA-01,Field Support Department,SUP-CF-0120,170%,2026/05/16 22:00:00
121,121,121,PERS-0121,Piston Rod Assembly 121,DEPT-QA-02,Quality Management Department,SUP-CF-0121,171%,2026/05/17 22:07:00
122,122,122,PERS-0122,Cylinder Barrel Assembly 122,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0122,172%,2026/05/18 22:14:00
123,123,123,PERS-0123,Front End Cap 123,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0123,173%,2026/05/19 22:21:00
124,124,124,PERS-0124,Rear End Cap 124,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0124,174%,2026/05/20 22:28:00
125,125,125,PERS-0125,Seal Ring Assembly 125,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0125,175%,2026/05/21 22:35:00
126,126,126,PERS-0126,Trunnion Bushing 126,DEPT-QA-01,Field Support Department,SUP-CF-0126,176%,2026/05/22 22:42:00
127,127,127,PERS-0127,Spherical Bearing 127,DEPT-QA-02,Quality Management Department,SUP-CF-0127,177%,2026/05/23 22:49:00
128,128,128,PERS-0128,Throttle Connector 128,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0128,178%,2026/05/24 22:56:00
129,129,129,PERS-0129,Displacement Sensor Bracket 129,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0129,179%,2026/05/25 23:03:00
130,130,130,PERS-0130,Locking Nut 130,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0130,180%,2026/05/26 23:10:00
131,131,131,PERS-0131,Piston Rod Assembly 131,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0131,181%,2026/05/27 23:17:00
132,132,132,PERS-0132,Cylinder Barrel Assembly 132,DEPT-QA-01,Field Support Department,SUP-CF-0132,182%,2026/05/28 23:24:00
133,133,133,PERS-0133,Front End Cap 133,DEPT-QA-02,Quality Management Department,SUP-CF-0133,183%,2026/05/29 23:31:00
134,134,134,PERS-0134,Rear End Cap 134,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0134,184%,2026/05/30 23:38:00
135,135,135,PERS-0135,Seal Ring Assembly 135,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0135,185%,2026/05/31 23:45:00
136,136,136,PERS-0136,Trunnion Bushing 136,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0136,186%,2026/06/01 23:52:00
137,137,137,PERS-0137,Spherical Bearing 137,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0137,187%,2026/06/02 23:59:00
138,138,138,PERS-0138,Throttle Connector 138,DEPT-QA-01,Field Support Department,SUP-CF-0138,188%,2026/06/04 00:06:00
139,139,139,PERS-0139,Displacement Sensor Bracket 139,DEPT-QA-02,Quality Management Department,SUP-CF-0139,189%,2026/06/05 00:13:00
140,140,140,PERS-0140,Locking Nut 140,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0140,190%,2026/06/06 00:20:00
141,141,141,PERS-0141,Piston Rod Assembly 141,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0141,191%,2026/05/10 00:27:00
142,142,142,PERS-0142,Cylinder Barrel Assembly 142,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0142,192%,2026/05/11 00:34:00
143,143,143,PERS-0143,Front End Cap 143,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0143,193%,2026/05/12 00:41:00
144,144,144,PERS-0144,Rear End Cap 144,DEPT-QA-01,Field Support Department,SUP-CF-0144,194%,2026/05/13 00:48:00
145,145,145,PERS-0145,Seal Ring Assembly 145,DEPT-QA-02,Quality Management Department,SUP-CF-0145,195%,2026/05/14 00:55:00
146,146,146,PERS-0146,Trunnion Bushing 146,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0146,196%,2026/05/15 01:02:00
147,147,147,PERS-0147,Spherical Bearing 147,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0147,197%,2026/05/16 01:09:00
148,148,148,PERS-0148,Throttle Connector 148,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0148,198%,2026/05/17 01:16:00
149,149,149,PERS-0149,Displacement Sensor Bracket 149,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0149,199%,2026/05/18 01:23:00
150,150,150,PERS-0150,Locking Nut 150,DEPT-QA-01,Field Support Department,SUP-CF-0150,200%,2026/05/19 01:30:00
151,151,151,PERS-0151,Piston Rod Assembly 151,DEPT-QA-02,Quality Management Department,SUP-CF-0151,201%,2026/05/20 01:37:00
152,152,152,PERS-0152,Cylinder Barrel Assembly 152,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0152,202%,2026/05/21 01:44:00
153,153,153,PERS-0153,Front End Cap 153,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0153,203%,2026/05/22 01:51:00
154,154,154,PERS-0154,Rear End Cap 154,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0154,204%,2026/05/23 01:58:00
155,155,155,PERS-0155,Seal Ring Assembly 155,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0155,205%,2026/05/24 02:05:00
156,156,156,PERS-0156,Trunnion Bushing 156,DEPT-QA-01,Field Support Department,SUP-CF-0156,206%,2026/05/25 02:12:00
157,157,157,PERS-0157,Spherical Bearing 157,DEPT-QA-02,Quality Management Department,SUP-CF-0157,207%,2026/05/26 02:19:00
158,158,158,PERS-0158,Throttle Connector 158,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0158,208%,2026/05/27 02:26:00
159,159,159,PERS-0159,Displacement Sensor Bracket 159,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0159,209%,2026/05/28 02:33:00
160,160,160,PERS-0160,Locking Nut 160,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0160,210%,2026/05/29 02:40:00
161,161,161,PERS-0161,Piston Rod Assembly 161,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0161,211%,2026/05/30 02:47:00
162,162,162,PERS-0162,Cylinder Barrel Assembly 162,DEPT-QA-01,Field Support Department,SUP-CF-0162,212%,2026/05/31 02:54:00
163,163,163,PERS-0163,Front End Cap 163,DEPT-QA-02,Quality Management Department,SUP-CF-0163,213%,2026/06/01 03:01:00
164,164,164,PERS-0164,Rear End Cap 164,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0164,214%,2026/06/02 03:08:00
165,165,165,PERS-0165,Seal Ring Assembly 165,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0165,215%,2026/06/03 03:15:00
166,166,166,PERS-0166,Trunnion Bushing 166,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0166,216%,2026/06/04 03:22:00
167,167,167,PERS-0167,Spherical Bearing 167,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0167,217%,2026/06/05 03:29:00
168,168,168,PERS-0168,Throttle Connector 168,DEPT-QA-01,Field Support Department,SUP-CF-0168,218%,2026/06/06 03:36:00
169,169,169,PERS-0169,Displacement Sensor Bracket 169,DEPT-QA-02,Quality Management Department,SUP-CF-0169,219%,2026/05/10 03:43:00
170,170,170,PERS-0170,Locking Nut 170,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0170,220%,2026/05/11 03:50:00
171,171,171,PERS-0171,Piston Rod Assembly 171,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0171,221%,2026/05/12 03:57:00
172,172,172,PERS-0172,Cylinder Barrel Assembly 172,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0172,222%,2026/05/13 04:04:00
173,173,173,PERS-0173,Front End Cap 173,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0173,223%,2026/05/14 04:11:00
174,174,174,PERS-0174,Rear End Cap 174,DEPT-QA-01,Field Support Department,SUP-CF-0174,224%,2026/05/15 04:18:00
175,175,175,PERS-0175,Seal Ring Assembly 175,DEPT-QA-02,Quality Management Department,SUP-CF-0175,225%,2026/05/16 04:25:00
176,176,176,PERS-0176,Trunnion Bushing 176,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0176,226%,2026/05/17 04:32:00
177,177,177,PERS-0177,Spherical Bearing 177,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0177,227%,2026/05/18 04:39:00
178,178,178,PERS-0178,Throttle Connector 178,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0178,228%,2026/05/19 04:46:00
179,179,179,PERS-0179,Displacement Sensor Bracket 179,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0179,229%,2026/05/20 04:53:00
180,180,180,PERS-0180,Locking Nut 180,DEPT-QA-01,Field Support Department,SUP-CF-0180,230%,2026/05/21 05:00:00
181,181,181,PERS-0181,Piston Rod Assembly 181,DEPT-QA-02,Quality Management Department,SUP-CF-0181,231%,2026/05/22 05:07:00
182,182,182,PERS-0182,Cylinder Barrel Assembly 182,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0182,232%,2026/05/23 05:14:00
183,183,183,PERS-0183,Front End Cap 183,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0183,233%,2026/05/24 05:21:00
184,184,184,PERS-0184,Rear End Cap 184,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0184,234%,2026/05/25 05:28:00
185,185,185,PERS-0185,Seal Ring Assembly 185,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0185,235%,2026/05/26 05:35:00
186,186,186,PERS-0186,Trunnion Bushing 186,DEPT-QA-01,Field Support Department,SUP-CF-0186,236%,2026/05/27 05:42:00
187,187,187,PERS-0187,Spherical Bearing 187,DEPT-QA-02,Quality Management Department,SUP-CF-0187,237%,2026/05/28 05:49:00
188,188,188,PERS-0188,Throttle Connector 188,DEPT-QA-03,Hydraulic Assembly Workshop,SUP-CF-0188,238%,2026/05/29 05:56:00
189,189,189,PERS-0189,Displacement Sensor Bracket 189,DEPT-QA-04,Precision Machining Workshop,SUP-CF-0189,239%,2026/05/30 06:03:00
190,190,190,PERS-0190,Locking Nut 190,DEPT-QA-05,Outsourcing Quality Office,SUP-CF-0190,240%,2026/05/31 06:10:00
191,191,191,PERS-0191,Piston Rod Assembly 191,DEPT-QA-06,Aviation Materials Procurement Department,SUP-CF-0191,241%,2026/06/01 06:17:00
192,192,192,PERS-0192,Cylinder Barrel Assembly 192,DEPT-QA-01,Field Support Department,SUP-CF-0192,242%,2026/06/02 06:24:00
