iqs_failure_content_id,iqs_failure_id,start_piece_no_text,end_piece_no_text,failure_desc,failure_place_brief,find_type_code,find_date_text,finder_type_code,find_user_code,find_user_name,duty_worksec_code,duty_worksec_name,duty_dept_code,duty_dept_name,actual_method,doc_no
11,11,003,003,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/19 09:17:00,QMS_ASSEMBLY,PERS-0011,Piston Rod Assembly 011,WS-HYD-04,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0011
12,12,004,004,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/20 09:24:00,QMS_SERVICE,PERS-0012,Cylinder Barrel Assembly 012,WS-HYD-05,Repair Processing Section,DEPT-QA-01,Field Support Department,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0012
13,13,005,005,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/21 09:31:00,QMS_MAKE,PERS-0013,Front End Cap 013,WS-HYD-06,Machining Section 1,DEPT-QA-02,Quality Management Department,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0013
14,14,006,006,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/22 09:38:00,QMS_BUY,PERS-0014,Rear End Cap 014,WS-HYD-07,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0014
15,15,007,007,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/23 09:45:00,QMS_ASSEMBLY,PERS-0015,Seal Ring Assembly 015,WS-HYD-08,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0015
16,16,008,008,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/24 09:52:00,QMS_SERVICE,PERS-0016,Trunnion Bushing 016,WS-HYD-01,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0016
17,17,009,009,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/25 09:59:00,QMS_MAKE,PERS-0017,Spherical Bearing 017,WS-HYD-02,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0017
18,18,001,001,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/26 10:06:00,QMS_BUY,PERS-0018,Throttle Connector 018,WS-HYD-03,Repair Processing Section,DEPT-QA-01,Field Support Department,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0018
19,19,002,002,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/27 10:13:00,QMS_ASSEMBLY,PERS-0019,Displacement Sensor Bracket 019,WS-HYD-04,Machining Section 1,DEPT-QA-02,Quality Management Department,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0019
20,20,003,003,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/28 10:20:00,QMS_SERVICE,PERS-0020,Locking Nut 020,WS-HYD-05,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0020
21,21,004,004,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/29 10:27:00,QMS_MAKE,PERS-0021,Piston Rod Assembly 021,WS-HYD-06,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0021
22,22,005,005,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/30 10:34:00,QMS_BUY,PERS-0022,Cylinder Barrel Assembly 022,WS-HYD-07,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0022
23,23,006,006,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/31 10:41:00,QMS_ASSEMBLY,PERS-0023,Front End Cap 023,WS-HYD-08,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0023
24,24,007,007,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/01 10:48:00,QMS_SERVICE,PERS-0024,Rear End Cap 024,WS-HYD-01,Repair Processing Section,DEPT-QA-01,Field Support Department,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0024
25,25,008,008,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/06/02 10:55:00,QMS_MAKE,PERS-0025,Seal Ring Assembly 025,WS-HYD-02,Machining Section 1,DEPT-QA-02,Quality Management Department,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0025
26,26,009,009,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/06/03 11:02:00,QMS_BUY,PERS-0026,Trunnion Bushing 026,WS-HYD-03,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0026
27,27,001,001,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/06/04 11:09:00,QMS_ASSEMBLY,PERS-0027,Spherical Bearing 027,WS-HYD-04,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0027
28,28,002,002,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/05 11:16:00,QMS_SERVICE,PERS-0028,Throttle Connector 028,WS-HYD-05,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0028
29,29,003,003,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/09 11:23:00,QMS_MAKE,PERS-0029,Displacement Sensor Bracket 029,WS-HYD-06,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0029
30,30,004,004,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/10 11:30:00,QMS_BUY,PERS-0030,Locking Nut 030,WS-HYD-07,Repair Processing Section,DEPT-QA-01,Field Support Department,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0030
31,31,005,005,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/11 11:37:00,QMS_ASSEMBLY,PERS-0031,Piston Rod Assembly 031,WS-HYD-08,Machining Section 1,DEPT-QA-02,Quality Management Department,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0031
32,32,006,006,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/12 11:44:00,QMS_SERVICE,PERS-0032,Cylinder Barrel Assembly 032,WS-HYD-01,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0032
33,33,007,007,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/13 11:51:00,QMS_MAKE,PERS-0033,Front End Cap 033,WS-HYD-02,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0033
34,34,008,008,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/14 11:58:00,QMS_BUY,PERS-0034,Rear End Cap 034,WS-HYD-03,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0034
35,35,009,009,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/15 12:05:00,QMS_ASSEMBLY,PERS-0035,Seal Ring Assembly 035,WS-HYD-04,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0035
36,36,001,001,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/16 12:12:00,QMS_SERVICE,PERS-0036,Trunnion Bushing 036,WS-HYD-05,Repair Processing Section,DEPT-QA-01,Field Support Department,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0036
37,37,002,002,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/17 12:19:00,QMS_MAKE,PERS-0037,Spherical Bearing 037,WS-HYD-06,Machining Section 1,DEPT-QA-02,Quality Management Department,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0037
38,38,003,003,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/18 12:26:00,QMS_BUY,PERS-0038,Throttle Connector 038,WS-HYD-07,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0038
39,39,004,004,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/19 12:33:00,QMS_ASSEMBLY,PERS-0039,Displacement Sensor Bracket 039,WS-HYD-08,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0039
40,40,005,005,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/20 12:40:00,QMS_SERVICE,PERS-0040,Locking Nut 040,WS-HYD-01,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0040
41,41,006,006,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/21 12:47:00,QMS_MAKE,PERS-0041,Piston Rod Assembly 041,WS-HYD-02,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0041
42,42,007,007,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/22 12:54:00,QMS_BUY,PERS-0042,Cylinder Barrel Assembly 042,WS-HYD-03,Repair Processing Section,DEPT-QA-01,Field Support Department,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0042
43,43,008,008,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/23 13:01:00,QMS_ASSEMBLY,PERS-0043,Front End Cap 043,WS-HYD-04,Machining Section 1,DEPT-QA-02,Quality Management Department,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0043
44,44,009,009,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/24 13:08:00,QMS_SERVICE,PERS-0044,Rear End Cap 044,WS-HYD-05,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0044
45,45,001,001,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/25 13:15:00,QMS_MAKE,PERS-0045,Seal Ring Assembly 045,WS-HYD-06,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0045
46,46,002,002,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/26 13:22:00,QMS_BUY,PERS-0046,Trunnion Bushing 046,WS-HYD-07,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0046
47,47,003,003,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/27 13:29:00,QMS_ASSEMBLY,PERS-0047,Spherical Bearing 047,WS-HYD-08,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0047
48,48,004,004,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/28 13:36:00,QMS_SERVICE,PERS-0048,Throttle Connector 048,WS-HYD-01,Repair Processing Section,DEPT-QA-01,Field Support Department,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0048
49,49,005,005,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/29 13:43:00,QMS_MAKE,PERS-0049,Displacement Sensor Bracket 049,WS-HYD-02,Machining Section 1,DEPT-QA-02,Quality Management Department,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0049
50,50,006,006,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/30 13:50:00,QMS_BUY,PERS-0050,Locking Nut 050,WS-HYD-03,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0050
51,51,007,007,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/31 13:57:00,QMS_ASSEMBLY,PERS-0051,Piston Rod Assembly 051,WS-HYD-04,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0051
52,52,008,008,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/01 14:04:00,QMS_SERVICE,PERS-0052,Cylinder Barrel Assembly 052,WS-HYD-05,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0052
53,53,009,009,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/06/02 14:11:00,QMS_MAKE,PERS-0053,Front End Cap 053,WS-HYD-06,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0053
54,54,001,001,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/06/03 14:18:00,QMS_BUY,PERS-0054,Rear End Cap 054,WS-HYD-07,Repair Processing Section,DEPT-QA-01,Field Support Department,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0054
55,55,002,002,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/06/04 14:25:00,QMS_ASSEMBLY,PERS-0055,Seal Ring Assembly 055,WS-HYD-08,Machining Section 1,DEPT-QA-02,Quality Management Department,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0055
