vendor_batch_id,po_line_id,vendor_id,item_id,ven_lot_no,cert_doc_no,mfg_dt_txt,exp_dt_txt,batch_stat_cd
43,43,43,43,SUP-LOT-2026-0043,CERTDOCN-0043,20260523,20260523,ERP_CLOSED
44,44,44,44,SUP-LOT-2026-0044,CERTDOCN-0044,20260524,20260524,ERP_HOLD
45,45,45,45,SUP-LOT-2026-0045,CERTDOCN-0045,20260525,20260525,ERP_OPEN
46,46,46,46,SUP-LOT-2026-0046,CERTDOCN-0046,20260526,20260526,ERP_RUNNING
47,47,47,47,SUP-LOT-2026-0047,CERTDOCN-0047,20260527,20260527,ERP_CLOSED
48,48,48,48,SUP-LOT-2026-0048,CERTDOCN-0048,20260528,20260528,ERP_HOLD
49,49,49,49,SUP-LOT-2026-0049,CERTDOCN-0049,20260529,20260529,ERP_OPEN
50,50,50,50,SUP-LOT-2026-0050,CERTDOCN-0050,20260530,20260530,ERP_RUNNING
51,51,51,51,SUP-LOT-2026-0051,CERTDOCN-0051,20260531,20260531,ERP_CLOSED
52,52,52,52,SUP-LOT-2026-0052,CERTDOCN-0052,20260601,20260601,ERP_HOLD
53,53,53,53,SUP-LOT-2026-0053,CERTDOCN-0053,20260602,20260602,ERP_OPEN
54,54,54,54,SUP-LOT-2026-0054,CERTDOCN-0054,20260603,20260603,ERP_RUNNING
55,55,55,55,SUP-LOT-2026-0055,CERTDOCN-0055,20260604,20260604,ERP_CLOSED
56,56,56,56,SUP-LOT-2026-0056,CERTDOCN-0056,20260605,20260605,ERP_HOLD
57,57,57,57,SUP-LOT-2026-0057,CERTDOCN-0057,20260509,20260509,ERP_OPEN
58,58,58,58,SUP-LOT-2026-0058,CERTDOCN-0058,20260510,20260510,ERP_RUNNING
59,59,59,59,SUP-LOT-2026-0059,CERTDOCN-0059,20260511,20260511,ERP_CLOSED
60,60,60,60,SUP-LOT-2026-0060,CERTDOCN-0060,20260512,20260512,ERP_HOLD
61,61,61,61,SUP-LOT-2026-0061,CERTDOCN-0061,20260513,20260513,ERP_OPEN
62,62,62,62,SUP-LOT-2026-0062,CERTDOCN-0062,20260514,20260514,ERP_RUNNING
63,63,63,63,SUP-LOT-2026-0063,CERTDOCN-0063,20260515,20260515,ERP_CLOSED
64,64,64,64,SUP-LOT-2026-0064,CERTDOCN-0064,20260516,20260516,ERP_HOLD
65,65,65,65,SUP-LOT-2026-0065,CERTDOCN-0065,20260517,20260517,ERP_OPEN
66,66,66,66,SUP-LOT-2026-0066,CERTDOCN-0066,20260518,20260518,ERP_RUNNING
67,67,67,67,SUP-LOT-2026-0067,CERTDOCN-0067,20260519,20260519,ERP_CLOSED
68,68,68,68,SUP-LOT-2026-0068,CERTDOCN-0068,20260520,20260520,ERP_HOLD
69,69,69,69,SUP-LOT-2026-0069,CERTDOCN-0069,20260521,20260521,ERP_OPEN
70,70,70,70,SUP-LOT-2026-0070,CERTDOCN-0070,20260522,20260522,ERP_RUNNING
71,71,71,71,SUP-LOT-2026-0071,CERTDOCN-0071,20260523,20260523,ERP_CLOSED
72,72,72,72,SUP-LOT-2026-0072,CERTDOCN-0072,20260524,20260524,ERP_HOLD
73,73,73,73,SUP-LOT-2026-0073,CERTDOCN-0073,20260525,20260525,ERP_OPEN
74,74,74,74,SUP-LOT-2026-0074,CERTDOCN-0074,20260526,20260526,ERP_RUNNING
75,75,75,75,SUP-LOT-2026-0075,CERTDOCN-0075,20260527,20260527,ERP_CLOSED
76,76,76,76,SUP-LOT-2026-0076,CERTDOCN-0076,20260528,20260528,ERP_HOLD
77,77,77,77,SUP-LOT-2026-0077,CERTDOCN-0077,20260529,20260529,ERP_OPEN
78,78,78,78,SUP-LOT-2026-0078,CERTDOCN-0078,20260530,20260530,ERP_RUNNING
79,79,79,79,SUP-LOT-2026-0079,CERTDOCN-0079,20260531,20260531,ERP_CLOSED
80,80,80,80,SUP-LOT-2026-0080,CERTDOCN-0080,20260601,20260601,ERP_HOLD
81,81,81,81,SUP-LOT-2026-0081,CERTDOCN-0081,20260602,20260602,ERP_OPEN
82,82,82,82,SUP-LOT-2026-0082,CERTDOCN-0082,20260603,20260603,ERP_RUNNING
83,83,83,83,SUP-LOT-2026-0083,CERTDOCN-0083,20260604,20260604,ERP_CLOSED
84,84,84,84,SUP-LOT-2026-0084,CERTDOCN-0084,20260605,20260605,ERP_HOLD
85,85,85,85,SUP-LOT-2026-0085,CERTDOCN-0085,20260509,20260509,ERP_OPEN
86,86,86,86,SUP-LOT-2026-0086,CERTDOCN-0086,20260510,20260510,ERP_RUNNING
87,87,87,87,SUP-LOT-2026-0087,CERTDOCN-0087,20260511,20260511,ERP_CLOSED
88,88,88,88,SUP-LOT-2026-0088,CERTDOCN-0088,20260512,20260512,ERP_HOLD
89,89,89,89,SUP-LOT-2026-0089,CERTDOCN-0089,20260513,20260513,ERP_OPEN
90,90,90,90,SUP-LOT-2026-0090,CERTDOCN-0090,20260514,20260514,ERP_RUNNING
91,91,91,91,SUP-LOT-2026-0091,CERTDOCN-0091,20260515,20260515,ERP_CLOSED
92,92,92,92,SUP-LOT-2026-0092,CERTDOCN-0092,20260516,20260516,ERP_HOLD
93,93,93,93,SUP-LOT-2026-0093,CERTDOCN-0093,20260517,20260517,ERP_OPEN
94,94,94,94,SUP-LOT-2026-0094,CERTDOCN-0094,20260518,20260518,ERP_RUNNING
95,95,95,95,SUP-LOT-2026-0095,CERTDOCN-0095,20260519,20260519,ERP_CLOSED
96,96,96,96,SUP-LOT-2026-0096,CERTDOCN-0096,20260520,20260520,ERP_HOLD
97,97,97,97,SUP-LOT-2026-0097,CERTDOCN-0097,20260521,20260521,ERP_OPEN
98,98,98,98,SUP-LOT-2026-0098,CERTDOCN-0098,20260522,20260522,ERP_RUNNING
99,99,99,99,SUP-LOT-2026-0099,CERTDOCN-0099,20260523,20260523,ERP_CLOSED
100,100,100,100,SUP-LOT-2026-0100,CERTDOCN-0100,20260524,20260524,ERP_HOLD
101,101,101,101,SUP-LOT-2026-0101,CERTDOCN-0101,20260525,20260525,ERP_OPEN
102,102,102,102,SUP-LOT-2026-0102,CERTDOCN-0102,20260526,20260526,ERP_RUNNING
103,103,103,103,SUP-LOT-2026-0103,CERTDOCN-0103,20260527,20260527,ERP_CLOSED
104,104,104,104,SUP-LOT-2026-0104,CERTDOCN-0104,20260528,20260528,ERP_HOLD
105,105,105,105,SUP-LOT-2026-0105,CERTDOCN-0105,20260529,20260529,ERP_OPEN
106,106,106,106,SUP-LOT-2026-0106,CERTDOCN-0106,20260530,20260530,ERP_RUNNING
107,107,107,107,SUP-LOT-2026-0107,CERTDOCN-0107,20260531,20260531,ERP_CLOSED
108,108,108,108,SUP-LOT-2026-0108,CERTDOCN-0108,20260601,20260601,ERP_HOLD
109,109,109,109,SUP-LOT-2026-0109,CERTDOCN-0109,20260602,20260602,ERP_OPEN
110,110,110,110,SUP-LOT-2026-0110,CERTDOCN-0110,20260603,20260603,ERP_RUNNING
111,111,111,111,SUP-LOT-2026-0111,CERTDOCN-0111,20260604,20260604,ERP_CLOSED
112,112,112,112,SUP-LOT-2026-0112,CERTDOCN-0112,20260605,20260605,ERP_HOLD
113,113,113,113,SUP-LOT-2026-0113,CERTDOCN-0113,20260509,20260509,ERP_OPEN
114,114,114,114,SUP-LOT-2026-0114,CERTDOCN-0114,20260510,20260510,ERP_RUNNING
115,115,115,115,SUP-LOT-2026-0115,CERTDOCN-0115,20260511,20260511,ERP_CLOSED
116,116,116,116,SUP-LOT-2026-0116,CERTDOCN-0116,20260512,20260512,ERP_HOLD
117,117,117,117,SUP-LOT-2026-0117,CERTDOCN-0117,20260513,20260513,ERP_OPEN
118,118,118,118,SUP-LOT-2026-0118,CERTDOCN-0118,20260514,20260514,ERP_RUNNING
119,119,119,119,SUP-LOT-2026-0119,CERTDOCN-0119,20260515,20260515,ERP_CLOSED
120,120,120,120,SUP-LOT-2026-0120,CERTDOCN-0120,20260516,20260516,ERP_HOLD
121,121,121,121,SUP-LOT-2026-0121,CERTDOCN-0121,20260517,20260517,ERP_OPEN
122,122,122,122,SUP-LOT-2026-0122,CERTDOCN-0122,20260518,20260518,ERP_RUNNING
123,123,123,123,SUP-LOT-2026-0123,CERTDOCN-0123,20260519,20260519,ERP_CLOSED
124,124,124,124,SUP-LOT-2026-0124,CERTDOCN-0124,20260520,20260520,ERP_HOLD
125,125,125,125,SUP-LOT-2026-0125,CERTDOCN-0125,20260521,20260521,ERP_OPEN
126,126,126,126,SUP-LOT-2026-0126,CERTDOCN-0126,20260522,20260522,ERP_RUNNING
127,127,127,127,SUP-LOT-2026-0127,CERTDOCN-0127,20260523,20260523,ERP_CLOSED
128,128,128,128,SUP-LOT-2026-0128,CERTDOCN-0128,20260524,20260524,ERP_HOLD
129,129,129,129,SUP-LOT-2026-0129,CERTDOCN-0129,20260525,20260525,ERP_OPEN
130,130,130,130,SUP-LOT-2026-0130,CERTDOCN-0130,20260526,20260526,ERP_RUNNING
131,131,131,131,SUP-LOT-2026-0131,CERTDOCN-0131,20260527,20260527,ERP_CLOSED
132,132,132,132,SUP-LOT-2026-0132,CERTDOCN-0132,20260528,20260528,ERP_HOLD
133,133,133,133,SUP-LOT-2026-0133,CERTDOCN-0133,20260529,20260529,ERP_OPEN
134,134,134,134,SUP-LOT-2026-0134,CERTDOCN-0134,20260530,20260530,ERP_RUNNING
135,135,135,135,SUP-LOT-2026-0135,CERTDOCN-0135,20260531,20260531,ERP_CLOSED
136,136,136,136,SUP-LOT-2026-0136,CERTDOCN-0136,20260601,20260601,ERP_HOLD
137,137,137,137,SUP-LOT-2026-0137,CERTDOCN-0137,20260602,20260602,ERP_OPEN
138,138,138,138,SUP-LOT-2026-0138,CERTDOCN-0138,20260604,20260604,ERP_RUNNING
139,139,139,139,SUP-LOT-2026-0139,CERTDOCN-0139,20260605,20260605,ERP_CLOSED
140,140,140,140,SUP-LOT-2026-0140,CERTDOCN-0140,20260606,20260606,ERP_HOLD
141,141,141,141,SUP-LOT-2026-0141,CERTDOCN-0141,20260510,20260510,ERP_OPEN
142,142,142,142,SUP-LOT-2026-0142,CERTDOCN-0142,20260511,20260511,ERP_RUNNING
143,143,143,143,SUP-LOT-2026-0143,CERTDOCN-0143,20260512,20260512,ERP_CLOSED
144,144,144,144,SUP-LOT-2026-0144,CERTDOCN-0144,20260513,20260513,ERP_HOLD
145,145,145,145,SUP-LOT-2026-0145,CERTDOCN-0145,20260514,20260514,ERP_OPEN
146,146,146,146,SUP-LOT-2026-0146,CERTDOCN-0146,20260515,20260515,ERP_RUNNING
147,147,147,147,SUP-LOT-2026-0147,CERTDOCN-0147,20260516,20260516,ERP_CLOSED
148,148,148,148,SUP-LOT-2026-0148,CERTDOCN-0148,20260517,20260517,ERP_HOLD
149,149,149,149,SUP-LOT-2026-0149,CERTDOCN-0149,20260518,20260518,ERP_OPEN
150,150,150,150,SUP-LOT-2026-0150,CERTDOCN-0150,20260519,20260519,ERP_RUNNING
151,151,151,151,SUP-LOT-2026-0151,CERTDOCN-0151,20260520,20260520,ERP_CLOSED
152,152,152,152,SUP-LOT-2026-0152,CERTDOCN-0152,20260521,20260521,ERP_HOLD
153,153,153,153,SUP-LOT-2026-0153,CERTDOCN-0153,20260522,20260522,ERP_OPEN
154,154,154,154,SUP-LOT-2026-0154,CERTDOCN-0154,20260523,20260523,ERP_RUNNING
155,155,155,155,SUP-LOT-2026-0155,CERTDOCN-0155,20260524,20260524,ERP_CLOSED
156,156,156,156,SUP-LOT-2026-0156,CERTDOCN-0156,20260525,20260525,ERP_HOLD
157,157,157,157,SUP-LOT-2026-0157,CERTDOCN-0157,20260526,20260526,ERP_OPEN
158,158,158,158,SUP-LOT-2026-0158,CERTDOCN-0158,20260527,20260527,ERP_RUNNING
159,159,159,159,SUP-LOT-2026-0159,CERTDOCN-0159,20260528,20260528,ERP_CLOSED
160,160,160,160,SUP-LOT-2026-0160,CERTDOCN-0160,20260529,20260529,ERP_HOLD
161,161,161,161,SUP-LOT-2026-0161,CERTDOCN-0161,20260530,20260530,ERP_OPEN
162,162,162,162,SUP-LOT-2026-0162,CERTDOCN-0162,20260531,20260531,ERP_RUNNING
163,163,163,163,SUP-LOT-2026-0163,CERTDOCN-0163,20260601,20260601,ERP_CLOSED
164,164,164,164,SUP-LOT-2026-0164,CERTDOCN-0164,20260602,20260602,ERP_HOLD
165,165,165,165,SUP-LOT-2026-0165,CERTDOCN-0165,20260603,20260603,ERP_OPEN
166,166,166,166,SUP-LOT-2026-0166,CERTDOCN-0166,20260604,20260604,ERP_RUNNING
167,167,167,167,SUP-LOT-2026-0167,CERTDOCN-0167,20260605,20260605,ERP_CLOSED
168,168,168,168,SUP-LOT-2026-0168,CERTDOCN-0168,20260606,20260606,ERP_HOLD
169,169,169,169,SUP-LOT-2026-0169,CERTDOCN-0169,20260510,20260510,ERP_OPEN
170,170,170,170,SUP-LOT-2026-0170,CERTDOCN-0170,20260511,20260511,ERP_RUNNING
171,171,171,171,SUP-LOT-2026-0171,CERTDOCN-0171,20260512,20260512,ERP_CLOSED
172,172,172,172,SUP-LOT-2026-0172,CERTDOCN-0172,20260513,20260513,ERP_HOLD
173,173,173,173,SUP-LOT-2026-0173,CERTDOCN-0173,20260514,20260514,ERP_OPEN
174,174,174,174,SUP-LOT-2026-0174,CERTDOCN-0174,20260515,20260515,ERP_RUNNING
175,175,175,175,SUP-LOT-2026-0175,CERTDOCN-0175,20260516,20260516,ERP_CLOSED
176,176,176,176,SUP-LOT-2026-0176,CERTDOCN-0176,20260517,20260517,ERP_HOLD
177,177,177,177,SUP-LOT-2026-0177,CERTDOCN-0177,20260518,20260518,ERP_OPEN
178,178,178,178,SUP-LOT-2026-0178,CERTDOCN-0178,20260519,20260519,ERP_RUNNING
179,179,179,179,SUP-LOT-2026-0179,CERTDOCN-0179,20260520,20260520,ERP_CLOSED
180,180,180,180,SUP-LOT-2026-0180,CERTDOCN-0180,20260521,20260521,ERP_HOLD
181,181,181,181,SUP-LOT-2026-0181,CERTDOCN-0181,20260522,20260522,ERP_OPEN
182,182,182,182,SUP-LOT-2026-0182,CERTDOCN-0182,20260523,20260523,ERP_RUNNING
183,183,183,183,SUP-LOT-2026-0183,CERTDOCN-0183,20260524,20260524,ERP_CLOSED
184,184,184,184,SUP-LOT-2026-0184,CERTDOCN-0184,20260525,20260525,ERP_HOLD
185,185,185,185,SUP-LOT-2026-0185,CERTDOCN-0185,20260526,20260526,ERP_OPEN
186,186,186,186,SUP-LOT-2026-0186,CERTDOCN-0186,20260527,20260527,ERP_RUNNING
187,187,187,187,SUP-LOT-2026-0187,CERTDOCN-0187,20260528,20260528,ERP_CLOSED
188,188,188,188,SUP-LOT-2026-0188,CERTDOCN-0188,20260529,20260529,ERP_HOLD
189,189,189,189,SUP-LOT-2026-0189,CERTDOCN-0189,20260530,20260530,ERP_OPEN
190,190,190,190,SUP-LOT-2026-0190,CERTDOCN-0190,20260531,20260531,ERP_RUNNING
191,191,191,191,SUP-LOT-2026-0191,CERTDOCN-0191,20260601,20260601,ERP_CLOSED
192,192,192,192,SUP-LOT-2026-0192,CERTDOCN-0192,20260602,20260602,ERP_HOLD
193,193,193,193,SUP-LOT-2026-0193,CERTDOCN-0193,20260603,20260603,ERP_OPEN
194,194,194,194,SUP-LOT-2026-0194,CERTDOCN-0194,20260604,20260604,ERP_RUNNING
195,195,195,195,SUP-LOT-2026-0195,CERTDOCN-0195,20260605,20260605,ERP_CLOSED
196,196,196,196,SUP-LOT-2026-0196,CERTDOCN-0196,20260606,20260606,ERP_HOLD
197,197,197,197,SUP-LOT-2026-0197,CERTDOCN-0197,20260510,20260510,ERP_OPEN
198,198,198,198,SUP-LOT-2026-0198,CERTDOCN-0198,20260511,20260511,ERP_RUNNING
199,199,199,199,SUP-LOT-2026-0199,CERTDOCN-0199,20260512,20260512,ERP_CLOSED
200,200,200,200,SUP-LOT-2026-0200,CERTDOCN-0200,20260513,20260513,ERP_HOLD
