quality_event_doc_id,quality_event_no,event_source_code,event_type_code,event_title,event_desc,event_time_text,severity_code,event_status_code,trigger_source_no,component_serial_no,part_serial_no,work_order_no,subject_type_code,subject_role_code,impact_desc
12,QE-CF-2026-0012,QMS_SERVICE,QMS_QE_PUR,Cylinder Barrel Assembly 012,"Pressure Holding Leakage Rate Out of Tolerance was found on Cylinder Barrel Assembly during Locking Clearance inspection, and the issue has entered the quality event closure process.",2026/05/20 09:24:00,QMS_SEV_WARN,QMS_EV_CLOSED,QMS_SERVICE,LGACT-2026-0012,PIN-2026-0012,WO-LG-2026-0012,QMS_SERVICE,QMS_CLOSED,"Pressure Holding Leakage Rate Out of Tolerance was found on Cylinder Barrel Assembly during Locking Clearance inspection, and the issue has entered the quality event closure process."
13,QE-CF-2026-0013,QMS_MAKE,QMS_QE_ASM,Front End Cap 013,"Actuation Hysteresis was found on Front End Cap during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026/05/21 09:31:00,QMS_SEV_MINOR,QMS_EV_OPEN,QMS_MAKE,LGACT-2026-0013,PIN-2026-0013,WO-LG-2026-0013,QMS_MAKE,QMS_NORMAL,"Actuation Hysteresis was found on Front End Cap during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process."
14,QE-CF-2026-0014,QMS_BUY,QMS_QE_PARAM,Rear End Cap 014,"Minor Leakage at Hydraulic Fitting was found on Rear End Cap during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026/05/22 09:38:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,QMS_BUY,LGACT-2026-0014,PIN-2026-0014,WO-LG-2026-0014,QMS_BUY,QMS_WARNING,"Minor Leakage at Hydraulic Fitting was found on Rear End Cap during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process."
15,QE-CF-2026-0015,QMS_ASSEMBLY,QMS_QE_MRO,Seal Ring Assembly 015,"Excessive Trunnion Bushing Clearance was found on Seal Ring Assembly during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process.",2026/05/23 09:45:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,QMS_ASSEMBLY,LGACT-2026-0015,PIN-2026-0015,WO-LG-2026-0015,QMS_ASSEMBLY,QMS_QUALIFIED,"Excessive Trunnion Bushing Clearance was found on Seal Ring Assembly during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process."
16,QE-CF-2026-0016,QMS_SERVICE,QMS_QE_MFG,Trunnion Bushing 016,"Loose Displacement Sensor Bracket was found on Trunnion Bushing during Actuation Time inspection, and the issue has entered the quality event closure process.",2026/05/24 09:52:00,QMS_SEV_WARN,QMS_EV_CLOSED,QMS_SERVICE,LGACT-2026-0016,PIN-2026-0016,WO-LG-2026-0016,QMS_SERVICE,QMS_CLOSED,"Loose Displacement Sensor Bracket was found on Trunnion Bushing during Actuation Time inspection, and the issue has entered the quality event closure process."
17,QE-CF-2026-0017,QMS_MAKE,QMS_QE_PUR,Spherical Bearing 017,"Chrome Plating Scratch on Piston Rod was found on Spherical Bearing during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process.",2026/05/25 09:59:00,QMS_SEV_MINOR,QMS_EV_OPEN,QMS_MAKE,LGACT-2026-0017,PIN-2026-0017,WO-LG-2026-0017,QMS_MAKE,QMS_NORMAL,"Chrome Plating Scratch on Piston Rod was found on Spherical Bearing during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process."
18,QE-CF-2026-0018,QMS_BUY,QMS_QE_ASM,Throttle Connector 018,"Seal Ring Compression Damage was found on Throttle Connector during Locking Clearance inspection, and the issue has entered the quality event closure process.",2026/05/26 10:06:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,QMS_BUY,LGACT-2026-0018,PIN-2026-0018,WO-LG-2026-0018,QMS_BUY,QMS_WARNING,"Seal Ring Compression Damage was found on Throttle Connector during Locking Clearance inspection, and the issue has entered the quality event closure process."
19,QE-CF-2026-0019,QMS_ASSEMBLY,QMS_QE_PARAM,Displacement Sensor Bracket 019,"Scratch on Cylinder Barrel Inner Wall was found on Displacement Sensor Bracket during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026/05/27 10:13:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,QMS_ASSEMBLY,LGACT-2026-0019,PIN-2026-0019,WO-LG-2026-0019,QMS_ASSEMBLY,QMS_QUALIFIED,"Scratch on Cylinder Barrel Inner Wall was found on Displacement Sensor Bracket during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process."
20,QE-CF-2026-0020,QMS_SERVICE,QMS_QE_MRO,Locking Nut 020,"Pressure Holding Leakage Rate Out of Tolerance was found on Locking Nut during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026/05/28 10:20:00,QMS_SEV_WARN,QMS_EV_CLOSED,QMS_SERVICE,LGACT-2026-0020,PIN-2026-0020,WO-LG-2026-0020,QMS_SERVICE,QMS_CLOSED,"Pressure Holding Leakage Rate Out of Tolerance was found on Locking Nut during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process."
21,QE-CF-2026-0021,QMS_MAKE,QMS_QE_MFG,Piston Rod Assembly 021,"Actuation Hysteresis was found on Piston Rod Assembly during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process.",2026/05/29 10:27:00,QMS_SEV_MINOR,QMS_EV_OPEN,QMS_MAKE,LGACT-2026-0021,PIN-2026-0021,WO-LG-2026-0021,QMS_MAKE,QMS_NORMAL,"Actuation Hysteresis was found on Piston Rod Assembly during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process."
22,QE-CF-2026-0022,QMS_BUY,QMS_QE_PUR,Cylinder Barrel Assembly 022,"Minor Leakage at Hydraulic Fitting was found on Cylinder Barrel Assembly during Actuation Time inspection, and the issue has entered the quality event closure process.",2026/05/30 10:34:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,QMS_BUY,LGACT-2026-0022,PIN-2026-0022,WO-LG-2026-0022,QMS_BUY,QMS_WARNING,"Minor Leakage at Hydraulic Fitting was found on Cylinder Barrel Assembly during Actuation Time inspection, and the issue has entered the quality event closure process."
23,QE-CF-2026-0023,QMS_ASSEMBLY,QMS_QE_ASM,Front End Cap 023,"Excessive Trunnion Bushing Clearance was found on Front End Cap during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process.",2026/05/31 10:41:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,QMS_ASSEMBLY,LGACT-2026-0023,PIN-2026-0023,WO-LG-2026-0023,QMS_ASSEMBLY,QMS_QUALIFIED,"Excessive Trunnion Bushing Clearance was found on Front End Cap during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process."
24,QE-CF-2026-0024,QMS_SERVICE,QMS_QE_PARAM,Rear End Cap 024,"Loose Displacement Sensor Bracket was found on Rear End Cap during Locking Clearance inspection, and the issue has entered the quality event closure process.",2026/06/01 10:48:00,QMS_SEV_WARN,QMS_EV_CLOSED,QMS_SERVICE,LGACT-2026-0024,PIN-2026-0024,WO-LG-2026-0024,QMS_SERVICE,QMS_CLOSED,"Loose Displacement Sensor Bracket was found on Rear End Cap during Locking Clearance inspection, and the issue has entered the quality event closure process."
25,QE-CF-2026-0025,QMS_MAKE,QMS_QE_MRO,Seal Ring Assembly 025,"Chrome Plating Scratch on Piston Rod was found on Seal Ring Assembly during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026/06/02 10:55:00,QMS_SEV_MINOR,QMS_EV_OPEN,QMS_MAKE,LGACT-2026-0025,PIN-2026-0025,WO-LG-2026-0025,QMS_MAKE,QMS_NORMAL,"Chrome Plating Scratch on Piston Rod was found on Seal Ring Assembly during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process."
26,QE-CF-2026-0026,QMS_BUY,QMS_QE_MFG,Trunnion Bushing 026,"Seal Ring Compression Damage was found on Trunnion Bushing during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026/06/03 11:02:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,QMS_BUY,LGACT-2026-0026,PIN-2026-0026,WO-LG-2026-0026,QMS_BUY,QMS_WARNING,"Seal Ring Compression Damage was found on Trunnion Bushing during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process."
27,QE-CF-2026-0027,QMS_ASSEMBLY,QMS_QE_PUR,Spherical Bearing 027,"Scratch on Cylinder Barrel Inner Wall was found on Spherical Bearing during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process.",2026/06/04 11:09:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,QMS_ASSEMBLY,LGACT-2026-0027,PIN-2026-0027,WO-LG-2026-0027,QMS_ASSEMBLY,QMS_QUALIFIED,"Scratch on Cylinder Barrel Inner Wall was found on Spherical Bearing during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process."
28,QE-CF-2026-0028,QMS_SERVICE,QMS_QE_ASM,Throttle Connector 028,"Pressure Holding Leakage Rate Out of Tolerance was found on Throttle Connector during Actuation Time inspection, and the issue has entered the quality event closure process.",2026/06/05 11:16:00,QMS_SEV_WARN,QMS_EV_CLOSED,QMS_SERVICE,LGACT-2026-0028,PIN-2026-0028,WO-LG-2026-0028,QMS_SERVICE,QMS_CLOSED,"Pressure Holding Leakage Rate Out of Tolerance was found on Throttle Connector during Actuation Time inspection, and the issue has entered the quality event closure process."
29,QE-CF-2026-0029,QMS_MAKE,QMS_QE_PARAM,Displacement Sensor Bracket 029,"Actuation Hysteresis was found on Displacement Sensor Bracket during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process.",2026/05/09 11:23:00,QMS_SEV_MINOR,QMS_EV_OPEN,QMS_MAKE,LGACT-2026-0029,PIN-2026-0029,WO-LG-2026-0029,QMS_MAKE,QMS_NORMAL,"Actuation Hysteresis was found on Displacement Sensor Bracket during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process."
30,QE-CF-2026-0030,QMS_BUY,QMS_QE_MRO,Locking Nut 030,"Minor Leakage at Hydraulic Fitting was found on Locking Nut during Locking Clearance inspection, and the issue has entered the quality event closure process.",2026/05/10 11:30:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,QMS_BUY,LGACT-2026-0030,PIN-2026-0030,WO-LG-2026-0030,QMS_BUY,QMS_WARNING,"Minor Leakage at Hydraulic Fitting was found on Locking Nut during Locking Clearance inspection, and the issue has entered the quality event closure process."
31,QE-CF-2026-0031,QMS_ASSEMBLY,QMS_QE_MFG,Piston Rod Assembly 031,"Excessive Trunnion Bushing Clearance was found on Piston Rod Assembly during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026/05/11 11:37:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,QMS_ASSEMBLY,LGACT-2026-0031,PIN-2026-0031,WO-LG-2026-0031,QMS_ASSEMBLY,QMS_QUALIFIED,"Excessive Trunnion Bushing Clearance was found on Piston Rod Assembly during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process."
32,QE-CF-2026-0032,QMS_SERVICE,QMS_QE_PUR,Cylinder Barrel Assembly 032,"Loose Displacement Sensor Bracket was found on Cylinder Barrel Assembly during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026/05/12 11:44:00,QMS_SEV_WARN,QMS_EV_CLOSED,QMS_SERVICE,LGACT-2026-0032,PIN-2026-0032,WO-LG-2026-0032,QMS_SERVICE,QMS_CLOSED,"Loose Displacement Sensor Bracket was found on Cylinder Barrel Assembly during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process."
33,QE-CF-2026-0033,QMS_MAKE,QMS_QE_ASM,Front End Cap 033,"Chrome Plating Scratch on Piston Rod was found on Front End Cap during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process.",2026/05/13 11:51:00,QMS_SEV_MINOR,QMS_EV_OPEN,QMS_MAKE,LGACT-2026-0033,PIN-2026-0033,WO-LG-2026-0033,QMS_MAKE,QMS_NORMAL,"Chrome Plating Scratch on Piston Rod was found on Front End Cap during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process."
34,QE-CF-2026-0034,QMS_BUY,QMS_QE_PARAM,Rear End Cap 034,"Seal Ring Compression Damage was found on Rear End Cap during Actuation Time inspection, and the issue has entered the quality event closure process.",2026/05/14 11:58:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,QMS_BUY,LGACT-2026-0034,PIN-2026-0034,WO-LG-2026-0034,QMS_BUY,QMS_WARNING,"Seal Ring Compression Damage was found on Rear End Cap during Actuation Time inspection, and the issue has entered the quality event closure process."
35,QE-CF-2026-0035,QMS_ASSEMBLY,QMS_QE_MRO,Seal Ring Assembly 035,"Scratch on Cylinder Barrel Inner Wall was found on Seal Ring Assembly during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process.",2026/05/15 12:05:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,QMS_ASSEMBLY,LGACT-2026-0035,PIN-2026-0035,WO-LG-2026-0035,QMS_ASSEMBLY,QMS_QUALIFIED,"Scratch on Cylinder Barrel Inner Wall was found on Seal Ring Assembly during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process."
36,QE-CF-2026-0036,QMS_SERVICE,QMS_QE_MFG,Trunnion Bushing 036,"Pressure Holding Leakage Rate Out of Tolerance was found on Trunnion Bushing during Locking Clearance inspection, and the issue has entered the quality event closure process.",2026/05/16 12:12:00,QMS_SEV_WARN,QMS_EV_CLOSED,QMS_SERVICE,LGACT-2026-0036,PIN-2026-0036,WO-LG-2026-0036,QMS_SERVICE,QMS_CLOSED,"Pressure Holding Leakage Rate Out of Tolerance was found on Trunnion Bushing during Locking Clearance inspection, and the issue has entered the quality event closure process."
37,QE-CF-2026-0037,QMS_MAKE,QMS_QE_PUR,Spherical Bearing 037,"Actuation Hysteresis was found on Spherical Bearing during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026/05/17 12:19:00,QMS_SEV_MINOR,QMS_EV_OPEN,QMS_MAKE,LGACT-2026-0037,PIN-2026-0037,WO-LG-2026-0037,QMS_MAKE,QMS_NORMAL,"Actuation Hysteresis was found on Spherical Bearing during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process."
38,QE-CF-2026-0038,QMS_BUY,QMS_QE_ASM,Throttle Connector 038,"Minor Leakage at Hydraulic Fitting was found on Throttle Connector during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026/05/18 12:26:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,QMS_BUY,LGACT-2026-0038,PIN-2026-0038,WO-LG-2026-0038,QMS_BUY,QMS_WARNING,"Minor Leakage at Hydraulic Fitting was found on Throttle Connector during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process."
39,QE-CF-2026-0039,QMS_ASSEMBLY,QMS_QE_PARAM,Displacement Sensor Bracket 039,"Excessive Trunnion Bushing Clearance was found on Displacement Sensor Bracket during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process.",2026/05/19 12:33:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,QMS_ASSEMBLY,LGACT-2026-0039,PIN-2026-0039,WO-LG-2026-0039,QMS_ASSEMBLY,QMS_QUALIFIED,"Excessive Trunnion Bushing Clearance was found on Displacement Sensor Bracket during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process."
40,QE-CF-2026-0040,QMS_SERVICE,QMS_QE_MRO,Locking Nut 040,"Loose Displacement Sensor Bracket was found on Locking Nut during Actuation Time inspection, and the issue has entered the quality event closure process.",2026/05/20 12:40:00,QMS_SEV_WARN,QMS_EV_CLOSED,QMS_SERVICE,LGACT-2026-0040,PIN-2026-0040,WO-LG-2026-0040,QMS_SERVICE,QMS_CLOSED,"Loose Displacement Sensor Bracket was found on Locking Nut during Actuation Time inspection, and the issue has entered the quality event closure process."
41,QE-CF-2026-0041,QMS_MAKE,QMS_QE_MFG,Piston Rod Assembly 041,"Chrome Plating Scratch on Piston Rod was found on Piston Rod Assembly during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process.",2026/05/21 12:47:00,QMS_SEV_MINOR,QMS_EV_OPEN,QMS_MAKE,LGACT-2026-0041,PIN-2026-0041,WO-LG-2026-0041,QMS_MAKE,QMS_NORMAL,"Chrome Plating Scratch on Piston Rod was found on Piston Rod Assembly during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process."
42,QE-CF-2026-0042,QMS_BUY,QMS_QE_PUR,Cylinder Barrel Assembly 042,"Seal Ring Compression Damage was found on Cylinder Barrel Assembly during Locking Clearance inspection, and the issue has entered the quality event closure process.",2026/05/22 12:54:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,QMS_BUY,LGACT-2026-0042,PIN-2026-0042,WO-LG-2026-0042,QMS_BUY,QMS_WARNING,"Seal Ring Compression Damage was found on Cylinder Barrel Assembly during Locking Clearance inspection, and the issue has entered the quality event closure process."
43,QE-CF-2026-0043,QMS_ASSEMBLY,QMS_QE_ASM,Front End Cap 043,"Scratch on Cylinder Barrel Inner Wall was found on Front End Cap during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026/05/23 13:01:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,QMS_ASSEMBLY,LGACT-2026-0043,PIN-2026-0043,WO-LG-2026-0043,QMS_ASSEMBLY,QMS_QUALIFIED,"Scratch on Cylinder Barrel Inner Wall was found on Front End Cap during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process."
44,QE-CF-2026-0044,QMS_SERVICE,QMS_QE_PARAM,Rear End Cap 044,"Pressure Holding Leakage Rate Out of Tolerance was found on Rear End Cap during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026/05/24 13:08:00,QMS_SEV_WARN,QMS_EV_CLOSED,QMS_SERVICE,LGACT-2026-0044,PIN-2026-0044,WO-LG-2026-0044,QMS_SERVICE,QMS_CLOSED,"Pressure Holding Leakage Rate Out of Tolerance was found on Rear End Cap during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process."
45,QE-CF-2026-0045,QMS_MAKE,QMS_QE_MRO,Seal Ring Assembly 045,"Actuation Hysteresis was found on Seal Ring Assembly during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process.",2026/05/25 13:15:00,QMS_SEV_MINOR,QMS_EV_OPEN,QMS_MAKE,LGACT-2026-0045,PIN-2026-0045,WO-LG-2026-0045,QMS_MAKE,QMS_NORMAL,"Actuation Hysteresis was found on Seal Ring Assembly during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process."
46,QE-CF-2026-0046,QMS_BUY,QMS_QE_MFG,Trunnion Bushing 046,"Minor Leakage at Hydraulic Fitting was found on Trunnion Bushing during Actuation Time inspection, and the issue has entered the quality event closure process.",2026/05/26 13:22:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,QMS_BUY,LGACT-2026-0046,PIN-2026-0046,WO-LG-2026-0046,QMS_BUY,QMS_WARNING,"Minor Leakage at Hydraulic Fitting was found on Trunnion Bushing during Actuation Time inspection, and the issue has entered the quality event closure process."
47,QE-CF-2026-0047,QMS_ASSEMBLY,QMS_QE_PUR,Spherical Bearing 047,"Excessive Trunnion Bushing Clearance was found on Spherical Bearing during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process.",2026/05/27 13:29:00,QMS_SEV_CRITICAL,QMS_EV_DISPOSE,QMS_ASSEMBLY,LGACT-2026-0047,PIN-2026-0047,WO-LG-2026-0047,QMS_ASSEMBLY,QMS_QUALIFIED,"Excessive Trunnion Bushing Clearance was found on Spherical Bearing during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process."
48,QE-CF-2026-0048,QMS_SERVICE,QMS_QE_ASM,Throttle Connector 048,"Loose Displacement Sensor Bracket was found on Throttle Connector during Locking Clearance inspection, and the issue has entered the quality event closure process.",2026/05/28 13:36:00,QMS_SEV_WARN,QMS_EV_CLOSED,QMS_SERVICE,LGACT-2026-0048,PIN-2026-0048,WO-LG-2026-0048,QMS_SERVICE,QMS_CLOSED,"Loose Displacement Sensor Bracket was found on Throttle Connector during Locking Clearance inspection, and the issue has entered the quality event closure process."
49,QE-CF-2026-0049,QMS_MAKE,QMS_QE_PARAM,Displacement Sensor Bracket 049,"Chrome Plating Scratch on Piston Rod was found on Displacement Sensor Bracket during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026/05/29 13:43:00,QMS_SEV_MINOR,QMS_EV_OPEN,QMS_MAKE,LGACT-2026-0049,PIN-2026-0049,WO-LG-2026-0049,QMS_MAKE,QMS_NORMAL,"Chrome Plating Scratch on Piston Rod was found on Displacement Sensor Bracket during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process."
50,QE-CF-2026-0050,QMS_BUY,QMS_QE_MRO,Locking Nut 050,"Seal Ring Compression Damage was found on Locking Nut during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026/05/30 13:50:00,QMS_SEV_MAJOR,QMS_EV_ANALYZE,QMS_BUY,LGACT-2026-0050,PIN-2026-0050,WO-LG-2026-0050,QMS_BUY,QMS_WARNING,"Seal Ring Compression Damage was found on Locking Nut during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process."
