disposal_order_id,quality_event_doc_id,iqs_failure_id,iqs_failure_content_id,work_order_no,responsible_user_code,disposal_no,deal_type_find_code,deal_type_pass_code,deal_type_tech_code,disposal_type_code,disposal_desc,disposal_date_text,disposal_status_code
11,11,11,11,WO-LG-2026-0011,PERS-0011,DSP-CF-0011,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/19 09:17:00,QMS_CLOSED
12,12,12,12,WO-LG-2026-0012,PERS-0012,DSP-CF-0012,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Locking Clearance was rechecked against acceptance requirements.",2026/05/20 09:24:00,QMS_HOLD
13,13,13,13,WO-LG-2026-0013,PERS-0013,DSP-CF-0013,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/21 09:31:00,QMS_OPEN
14,14,14,14,WO-LG-2026-0014,PERS-0014,DSP-CF-0014,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/22 09:38:00,QMS_RUNNING
15,15,15,15,WO-LG-2026-0015,PERS-0015,DSP-CF-0015,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Excessive Trunnion Bushing Clearance, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/23 09:45:00,QMS_CLOSED
16,16,16,16,WO-LG-2026-0016,PERS-0016,DSP-CF-0016,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Loose Displacement Sensor Bracket, and Actuation Time was rechecked against acceptance requirements.",2026/05/24 09:52:00,QMS_HOLD
17,17,17,17,WO-LG-2026-0017,PERS-0017,DSP-CF-0017,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/25 09:59:00,QMS_OPEN
18,18,18,18,WO-LG-2026-0018,PERS-0018,DSP-CF-0018,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Locking Clearance was rechecked against acceptance requirements.",2026/05/26 10:06:00,QMS_RUNNING
19,19,19,19,WO-LG-2026-0019,PERS-0019,DSP-CF-0019,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/27 10:13:00,QMS_CLOSED
20,20,20,20,WO-LG-2026-0020,PERS-0020,DSP-CF-0020,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/28 10:20:00,QMS_HOLD
21,21,21,21,WO-LG-2026-0021,PERS-0021,DSP-CF-0021,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/29 10:27:00,QMS_OPEN
22,22,22,22,WO-LG-2026-0022,PERS-0022,DSP-CF-0022,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Actuation Time was rechecked against acceptance requirements.",2026/05/30 10:34:00,QMS_RUNNING
23,23,23,23,WO-LG-2026-0023,PERS-0023,DSP-CF-0023,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Excessive Trunnion Bushing Clearance, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/31 10:41:00,QMS_CLOSED
24,24,24,24,WO-LG-2026-0024,PERS-0024,DSP-CF-0024,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Loose Displacement Sensor Bracket, and Locking Clearance was rechecked against acceptance requirements.",2026/06/01 10:48:00,QMS_HOLD
25,25,25,25,WO-LG-2026-0025,PERS-0025,DSP-CF-0025,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/06/02 10:55:00,QMS_OPEN
26,26,26,26,WO-LG-2026-0026,PERS-0026,DSP-CF-0026,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/06/03 11:02:00,QMS_RUNNING
27,27,27,27,WO-LG-2026-0027,PERS-0027,DSP-CF-0027,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/06/04 11:09:00,QMS_CLOSED
28,28,28,28,WO-LG-2026-0028,PERS-0028,DSP-CF-0028,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Actuation Time was rechecked against acceptance requirements.",2026/06/05 11:16:00,QMS_HOLD
29,29,29,29,WO-LG-2026-0029,PERS-0029,DSP-CF-0029,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/09 11:23:00,QMS_OPEN
30,30,30,30,WO-LG-2026-0030,PERS-0030,DSP-CF-0030,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Locking Clearance was rechecked against acceptance requirements.",2026/05/10 11:30:00,QMS_RUNNING
31,31,31,31,WO-LG-2026-0031,PERS-0031,DSP-CF-0031,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Excessive Trunnion Bushing Clearance, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/11 11:37:00,QMS_CLOSED
32,32,32,32,WO-LG-2026-0032,PERS-0032,DSP-CF-0032,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Loose Displacement Sensor Bracket, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/12 11:44:00,QMS_HOLD
33,33,33,33,WO-LG-2026-0033,PERS-0033,DSP-CF-0033,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/13 11:51:00,QMS_OPEN
34,34,34,34,WO-LG-2026-0034,PERS-0034,DSP-CF-0034,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Actuation Time was rechecked against acceptance requirements.",2026/05/14 11:58:00,QMS_RUNNING
35,35,35,35,WO-LG-2026-0035,PERS-0035,DSP-CF-0035,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/15 12:05:00,QMS_CLOSED
36,36,36,36,WO-LG-2026-0036,PERS-0036,DSP-CF-0036,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Locking Clearance was rechecked against acceptance requirements.",2026/05/16 12:12:00,QMS_HOLD
37,37,37,37,WO-LG-2026-0037,PERS-0037,DSP-CF-0037,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/17 12:19:00,QMS_OPEN
38,38,38,38,WO-LG-2026-0038,PERS-0038,DSP-CF-0038,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/18 12:26:00,QMS_RUNNING
39,39,39,39,WO-LG-2026-0039,PERS-0039,DSP-CF-0039,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Excessive Trunnion Bushing Clearance, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/19 12:33:00,QMS_CLOSED
40,40,40,40,WO-LG-2026-0040,PERS-0040,DSP-CF-0040,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Loose Displacement Sensor Bracket, and Actuation Time was rechecked against acceptance requirements.",2026/05/20 12:40:00,QMS_HOLD
41,41,41,41,WO-LG-2026-0041,PERS-0041,DSP-CF-0041,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/21 12:47:00,QMS_OPEN
42,42,42,42,WO-LG-2026-0042,PERS-0042,DSP-CF-0042,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Locking Clearance was rechecked against acceptance requirements.",2026/05/22 12:54:00,QMS_RUNNING
43,43,43,43,WO-LG-2026-0043,PERS-0043,DSP-CF-0043,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/23 13:01:00,QMS_CLOSED
44,44,44,44,WO-LG-2026-0044,PERS-0044,DSP-CF-0044,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/24 13:08:00,QMS_HOLD
45,45,45,45,WO-LG-2026-0045,PERS-0045,DSP-CF-0045,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/25 13:15:00,QMS_OPEN
46,46,46,46,WO-LG-2026-0046,PERS-0046,DSP-CF-0046,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Actuation Time was rechecked against acceptance requirements.",2026/05/26 13:22:00,QMS_RUNNING
47,47,47,47,WO-LG-2026-0047,PERS-0047,DSP-CF-0047,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Excessive Trunnion Bushing Clearance, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/27 13:29:00,QMS_CLOSED
48,48,48,48,WO-LG-2026-0048,PERS-0048,DSP-CF-0048,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Loose Displacement Sensor Bracket, and Locking Clearance was rechecked against acceptance requirements.",2026/05/28 13:36:00,QMS_HOLD
49,49,49,49,WO-LG-2026-0049,PERS-0049,DSP-CF-0049,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/29 13:43:00,QMS_OPEN
50,50,50,50,WO-LG-2026-0050,PERS-0050,DSP-CF-0050,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/30 13:50:00,QMS_RUNNING
51,51,51,51,WO-LG-2026-0051,PERS-0051,DSP-CF-0051,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/31 13:57:00,QMS_CLOSED
52,52,52,52,WO-LG-2026-0052,PERS-0052,DSP-CF-0052,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Actuation Time was rechecked against acceptance requirements.",2026/06/01 14:04:00,QMS_HOLD
53,53,53,53,WO-LG-2026-0053,PERS-0053,DSP-CF-0053,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/06/02 14:11:00,QMS_OPEN
54,54,54,54,WO-LG-2026-0054,PERS-0054,DSP-CF-0054,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Locking Clearance was rechecked against acceptance requirements.",2026/06/03 14:18:00,QMS_RUNNING
55,55,55,55,WO-LG-2026-0055,PERS-0055,DSP-CF-0055,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Excessive Trunnion Bushing Clearance, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/06/04 14:25:00,QMS_CLOSED
56,56,56,56,WO-LG-2026-0056,PERS-0056,DSP-CF-0056,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Loose Displacement Sensor Bracket, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/06/05 14:32:00,QMS_HOLD
57,57,57,57,WO-LG-2026-0057,PERS-0057,DSP-CF-0057,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/09 14:39:00,QMS_OPEN
58,58,58,58,WO-LG-2026-0058,PERS-0058,DSP-CF-0058,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Actuation Time was rechecked against acceptance requirements.",2026/05/10 14:46:00,QMS_RUNNING
59,59,59,59,WO-LG-2026-0059,PERS-0059,DSP-CF-0059,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/11 14:53:00,QMS_CLOSED
60,60,60,60,WO-LG-2026-0060,PERS-0060,DSP-CF-0060,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Locking Clearance was rechecked against acceptance requirements.",2026/05/12 15:00:00,QMS_HOLD
61,61,61,61,WO-LG-2026-0061,PERS-0061,DSP-CF-0061,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/13 15:07:00,QMS_OPEN
62,62,62,62,WO-LG-2026-0062,PERS-0062,DSP-CF-0062,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/14 15:14:00,QMS_RUNNING
63,63,63,63,WO-LG-2026-0063,PERS-0063,DSP-CF-0063,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Excessive Trunnion Bushing Clearance, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/15 15:21:00,QMS_CLOSED
64,64,64,64,WO-LG-2026-0064,PERS-0064,DSP-CF-0064,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Loose Displacement Sensor Bracket, and Actuation Time was rechecked against acceptance requirements.",2026/05/16 15:28:00,QMS_HOLD
65,65,65,65,WO-LG-2026-0065,PERS-0065,DSP-CF-0065,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/17 15:35:00,QMS_OPEN
66,66,66,66,WO-LG-2026-0066,PERS-0066,DSP-CF-0066,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Locking Clearance was rechecked against acceptance requirements.",2026/05/18 15:42:00,QMS_RUNNING
67,67,67,67,WO-LG-2026-0067,PERS-0067,DSP-CF-0067,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/19 15:49:00,QMS_CLOSED
68,68,68,68,WO-LG-2026-0068,PERS-0068,DSP-CF-0068,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/20 15:56:00,QMS_HOLD
69,69,69,69,WO-LG-2026-0069,PERS-0069,DSP-CF-0069,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/21 16:03:00,QMS_OPEN
70,70,70,70,WO-LG-2026-0070,PERS-0070,DSP-CF-0070,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Actuation Time was rechecked against acceptance requirements.",2026/05/22 16:10:00,QMS_RUNNING
71,71,71,71,WO-LG-2026-0071,PERS-0071,DSP-CF-0071,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Excessive Trunnion Bushing Clearance, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/23 16:17:00,QMS_CLOSED
72,72,72,72,WO-LG-2026-0072,PERS-0072,DSP-CF-0072,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Loose Displacement Sensor Bracket, and Locking Clearance was rechecked against acceptance requirements.",2026/05/24 16:24:00,QMS_HOLD
73,73,73,73,WO-LG-2026-0073,PERS-0073,DSP-CF-0073,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Chrome Plating Scratch on Piston Rod, and Extension and Retraction Pressure was rechecked against acceptance requirements.",2026/05/25 16:31:00,QMS_OPEN
74,74,74,74,WO-LG-2026-0074,PERS-0074,DSP-CF-0074,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Seal Ring Compression Damage, and Pressure Holding Leakage Rate was rechecked against acceptance requirements.",2026/05/26 16:38:00,QMS_RUNNING
75,75,75,75,WO-LG-2026-0075,PERS-0075,DSP-CF-0075,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,QMS_DSP_SCRAP,"Repair and reinspection measures were taken for Scratch on Cylinder Barrel Inner Wall, and Piston Rod Extension Stroke was rechecked against acceptance requirements.",2026/05/27 16:45:00,QMS_CLOSED
76,76,76,76,WO-LG-2026-0076,PERS-0076,DSP-CF-0076,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,QMS_DSP_CONCESSION,"Repair and reinspection measures were taken for Pressure Holding Leakage Rate Out of Tolerance, and Actuation Time was rechecked against acceptance requirements.",2026/05/28 16:52:00,QMS_HOLD
77,77,77,77,WO-LG-2026-0077,PERS-0077,DSP-CF-0077,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,QMS_DSP_REWORK,"Repair and reinspection measures were taken for Actuation Hysteresis, and Hydraulic Oil Temperature was rechecked against acceptance requirements.",2026/05/29 16:59:00,QMS_OPEN
78,78,78,78,WO-LG-2026-0078,PERS-0078,DSP-CF-0078,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,QMS_DSP_REPAIR,"Repair and reinspection measures were taken for Minor Leakage at Hydraulic Fitting, and Locking Clearance was rechecked against acceptance requirements.",2026/05/30 17:06:00,QMS_RUNNING
