batch_id,task_id,batchno,partno,batch_qty,starttime_txt,fintime_txt,zhuangtai,quality_code
44,44,BATCHNO-0044,LGACT-PART-005,009,2026/05/24 13:08:00,2026/05/24 13:08:00,MES_HOLD,QC-LG-0044
45,45,BATCHNO-0045,LGACT-PART-006,001,2026/05/25 13:15:00,2026/05/25 13:15:00,MES_OPEN,QC-LG-0045
46,46,BATCHNO-0046,LGACT-PART-007,002,2026/05/26 13:22:00,2026/05/26 13:22:00,MES_RUNNING,QC-LG-0046
47,47,BATCHNO-0047,LGACT-PART-008,003,2026/05/27 13:29:00,2026/05/27 13:29:00,MES_CLOSED,QC-LG-0047
48,48,BATCHNO-0048,LGACT-PART-009,004,2026/05/28 13:36:00,2026/05/28 13:36:00,MES_HOLD,QC-LG-0048
49,49,BATCHNO-0049,LGACT-PART-010,005,2026/05/29 13:43:00,2026/05/29 13:43:00,MES_OPEN,QC-LG-0049
50,50,BATCHNO-0050,LGACT-PART-011,006,2026/05/30 13:50:00,2026/05/30 13:50:00,MES_RUNNING,QC-LG-0050
51,51,BATCHNO-0051,LGACT-PART-012,007,2026/05/31 13:57:00,2026/05/31 13:57:00,MES_CLOSED,QC-LG-0051
52,52,BATCHNO-0052,LGACT-PART-013,008,2026/06/01 14:04:00,2026/06/01 14:04:00,MES_HOLD,QC-LG-0052
53,53,BATCHNO-0053,LGACT-PART-014,009,2026/06/02 14:11:00,2026/06/02 14:11:00,MES_OPEN,QC-LG-0053
54,54,BATCHNO-0054,LGACT-PART-015,001,2026/06/03 14:18:00,2026/06/03 14:18:00,MES_RUNNING,QC-LG-0054
55,55,BATCHNO-0055,LGACT-PART-016,002,2026/06/04 14:25:00,2026/06/04 14:25:00,MES_CLOSED,QC-LG-0055
56,56,BATCHNO-0056,LGACT-PART-017,003,2026/06/05 14:32:00,2026/06/05 14:32:00,MES_HOLD,QC-LG-0056
57,57,BATCHNO-0057,LGACT-PART-018,004,2026/05/09 14:39:00,2026/05/09 14:39:00,MES_OPEN,QC-LG-0057
58,58,BATCHNO-0058,LGACT-PART-019,005,2026/05/10 14:46:00,2026/05/10 14:46:00,MES_RUNNING,QC-LG-0058
59,59,BATCHNO-0059,LGACT-PART-020,006,2026/05/11 14:53:00,2026/05/11 14:53:00,MES_CLOSED,QC-LG-0059
60,60,BATCHNO-0060,LGACT-PART-001,007,2026/05/12 15:00:00,2026/05/12 15:00:00,MES_HOLD,QC-LG-0060
61,61,BATCHNO-0061,LGACT-PART-002,008,2026/05/13 15:07:00,2026/05/13 15:07:00,MES_OPEN,QC-LG-0061
62,62,BATCHNO-0062,LGACT-PART-003,009,2026/05/14 15:14:00,2026/05/14 15:14:00,MES_RUNNING,QC-LG-0062
63,63,BATCHNO-0063,LGACT-PART-004,001,2026/05/15 15:21:00,2026/05/15 15:21:00,MES_CLOSED,QC-LG-0063
64,64,BATCHNO-0064,LGACT-PART-005,002,2026/05/16 15:28:00,2026/05/16 15:28:00,MES_HOLD,QC-LG-0064
65,65,BATCHNO-0065,LGACT-PART-006,003,2026/05/17 15:35:00,2026/05/17 15:35:00,MES_OPEN,QC-LG-0065
66,66,BATCHNO-0066,LGACT-PART-007,004,2026/05/18 15:42:00,2026/05/18 15:42:00,MES_RUNNING,QC-LG-0066
67,67,BATCHNO-0067,LGACT-PART-008,005,2026/05/19 15:49:00,2026/05/19 15:49:00,MES_CLOSED,QC-LG-0067
68,68,BATCHNO-0068,LGACT-PART-009,006,2026/05/20 15:56:00,2026/05/20 15:56:00,MES_HOLD,QC-LG-0068
69,69,BATCHNO-0069,LGACT-PART-010,007,2026/05/21 16:03:00,2026/05/21 16:03:00,MES_OPEN,QC-LG-0069
70,70,BATCHNO-0070,LGACT-PART-011,008,2026/05/22 16:10:00,2026/05/22 16:10:00,MES_RUNNING,QC-LG-0070
71,71,BATCHNO-0071,LGACT-PART-012,009,2026/05/23 16:17:00,2026/05/23 16:17:00,MES_CLOSED,QC-LG-0071
72,72,BATCHNO-0072,LGACT-PART-013,001,2026/05/24 16:24:00,2026/05/24 16:24:00,MES_HOLD,QC-LG-0072
73,73,BATCHNO-0073,LGACT-PART-014,002,2026/05/25 16:31:00,2026/05/25 16:31:00,MES_OPEN,QC-LG-0073
74,74,BATCHNO-0074,LGACT-PART-015,003,2026/05/26 16:38:00,2026/05/26 16:38:00,MES_RUNNING,QC-LG-0074
75,75,BATCHNO-0075,LGACT-PART-016,004,2026/05/27 16:45:00,2026/05/27 16:45:00,MES_CLOSED,QC-LG-0075
76,76,BATCHNO-0076,LGACT-PART-017,005,2026/05/28 16:52:00,2026/05/28 16:52:00,MES_HOLD,QC-LG-0076
77,77,BATCHNO-0077,LGACT-PART-018,006,2026/05/29 16:59:00,2026/05/29 16:59:00,MES_OPEN,QC-LG-0077
78,78,BATCHNO-0078,LGACT-PART-019,007,2026/05/30 17:06:00,2026/05/30 17:06:00,MES_RUNNING,QC-LG-0078
79,79,BATCHNO-0079,LGACT-PART-020,008,2026/05/31 17:13:00,2026/05/31 17:13:00,MES_CLOSED,QC-LG-0079
80,80,BATCHNO-0080,LGACT-PART-001,009,2026/06/01 17:20:00,2026/06/01 17:20:00,MES_HOLD,QC-LG-0080
81,81,BATCHNO-0081,LGACT-PART-002,001,2026/06/02 17:27:00,2026/06/02 17:27:00,MES_OPEN,QC-LG-0081
82,82,BATCHNO-0082,LGACT-PART-003,002,2026/06/03 17:34:00,2026/06/03 17:34:00,MES_RUNNING,QC-LG-0082
83,83,BATCHNO-0083,LGACT-PART-004,003,2026/06/04 17:41:00,2026/06/04 17:41:00,MES_CLOSED,QC-LG-0083
84,84,BATCHNO-0084,LGACT-PART-005,004,2026/06/05 17:48:00,2026/06/05 17:48:00,MES_HOLD,QC-LG-0084
85,85,BATCHNO-0085,LGACT-PART-006,005,2026/05/09 17:55:00,2026/05/09 17:55:00,MES_OPEN,QC-LG-0085
86,86,BATCHNO-0086,LGACT-PART-007,006,2026/05/10 18:02:00,2026/05/10 18:02:00,MES_RUNNING,QC-LG-0086
87,87,BATCHNO-0087,LGACT-PART-008,007,2026/05/11 18:09:00,2026/05/11 18:09:00,MES_CLOSED,QC-LG-0087
88,88,BATCHNO-0088,LGACT-PART-009,008,2026/05/12 18:16:00,2026/05/12 18:16:00,MES_HOLD,QC-LG-0088
89,89,BATCHNO-0089,LGACT-PART-010,009,2026/05/13 18:23:00,2026/05/13 18:23:00,MES_OPEN,QC-LG-0089
90,90,BATCHNO-0090,LGACT-PART-011,001,2026/05/14 18:30:00,2026/05/14 18:30:00,MES_RUNNING,QC-LG-0090
91,91,BATCHNO-0091,LGACT-PART-012,002,2026/05/15 18:37:00,2026/05/15 18:37:00,MES_CLOSED,QC-LG-0091
92,92,BATCHNO-0092,LGACT-PART-013,003,2026/05/16 18:44:00,2026/05/16 18:44:00,MES_HOLD,QC-LG-0092
93,93,BATCHNO-0093,LGACT-PART-014,004,2026/05/17 18:51:00,2026/05/17 18:51:00,MES_OPEN,QC-LG-0093
94,94,BATCHNO-0094,LGACT-PART-015,005,2026/05/18 18:58:00,2026/05/18 18:58:00,MES_RUNNING,QC-LG-0094
95,95,BATCHNO-0095,LGACT-PART-016,006,2026/05/19 19:05:00,2026/05/19 19:05:00,MES_CLOSED,QC-LG-0095
96,96,BATCHNO-0096,LGACT-PART-017,007,2026/05/20 19:12:00,2026/05/20 19:12:00,MES_HOLD,QC-LG-0096
97,97,BATCHNO-0097,LGACT-PART-018,008,2026/05/21 19:19:00,2026/05/21 19:19:00,MES_OPEN,QC-LG-0097
98,98,BATCHNO-0098,LGACT-PART-019,009,2026/05/22 19:26:00,2026/05/22 19:26:00,MES_RUNNING,QC-LG-0098
99,99,BATCHNO-0099,LGACT-PART-020,001,2026/05/23 19:33:00,2026/05/23 19:33:00,MES_CLOSED,QC-LG-0099
100,100,BATCHNO-0100,LGACT-PART-001,002,2026/05/24 19:40:00,2026/05/24 19:40:00,MES_HOLD,QC-LG-0100
101,101,BATCHNO-0101,LGACT-PART-002,003,2026/05/25 19:47:00,2026/05/25 19:47:00,MES_OPEN,QC-LG-0101
102,102,BATCHNO-0102,LGACT-PART-003,004,2026/05/26 19:54:00,2026/05/26 19:54:00,MES_RUNNING,QC-LG-0102
103,103,BATCHNO-0103,LGACT-PART-004,005,2026/05/27 20:01:00,2026/05/27 20:01:00,MES_CLOSED,QC-LG-0103
104,104,BATCHNO-0104,LGACT-PART-005,006,2026/05/28 20:08:00,2026/05/28 20:08:00,MES_HOLD,QC-LG-0104
105,105,BATCHNO-0105,LGACT-PART-006,007,2026/05/29 20:15:00,2026/05/29 20:15:00,MES_OPEN,QC-LG-0105
106,106,BATCHNO-0106,LGACT-PART-007,008,2026/05/30 20:22:00,2026/05/30 20:22:00,MES_RUNNING,QC-LG-0106
107,107,BATCHNO-0107,LGACT-PART-008,009,2026/05/31 20:29:00,2026/05/31 20:29:00,MES_CLOSED,QC-LG-0107
108,108,BATCHNO-0108,LGACT-PART-009,001,2026/06/01 20:36:00,2026/06/01 20:36:00,MES_HOLD,QC-LG-0108
109,109,BATCHNO-0109,LGACT-PART-010,002,2026/06/02 20:43:00,2026/06/02 20:43:00,MES_OPEN,QC-LG-0109
110,110,BATCHNO-0110,LGACT-PART-011,003,2026/06/03 20:50:00,2026/06/03 20:50:00,MES_RUNNING,QC-LG-0110
111,111,BATCHNO-0111,LGACT-PART-012,004,2026/06/04 20:57:00,2026/06/04 20:57:00,MES_CLOSED,QC-LG-0111
112,112,BATCHNO-0112,LGACT-PART-013,005,2026/06/05 21:04:00,2026/06/05 21:04:00,MES_HOLD,QC-LG-0112
113,113,BATCHNO-0113,LGACT-PART-014,006,2026/05/09 21:11:00,2026/05/09 21:11:00,MES_OPEN,QC-LG-0113
114,114,BATCHNO-0114,LGACT-PART-015,007,2026/05/10 21:18:00,2026/05/10 21:18:00,MES_RUNNING,QC-LG-0114
115,115,BATCHNO-0115,LGACT-PART-016,008,2026/05/11 21:25:00,2026/05/11 21:25:00,MES_CLOSED,QC-LG-0115
116,116,BATCHNO-0116,LGACT-PART-017,009,2026/05/12 21:32:00,2026/05/12 21:32:00,MES_HOLD,QC-LG-0116
117,117,BATCHNO-0117,LGACT-PART-018,001,2026/05/13 21:39:00,2026/05/13 21:39:00,MES_OPEN,QC-LG-0117
118,118,BATCHNO-0118,LGACT-PART-019,002,2026/05/14 21:46:00,2026/05/14 21:46:00,MES_RUNNING,QC-LG-0118
119,119,BATCHNO-0119,LGACT-PART-020,003,2026/05/15 21:53:00,2026/05/15 21:53:00,MES_CLOSED,QC-LG-0119
120,120,BATCHNO-0120,LGACT-PART-001,004,2026/05/16 22:00:00,2026/05/16 22:00:00,MES_HOLD,QC-LG-0120
121,121,BATCHNO-0121,LGACT-PART-002,005,2026/05/17 22:07:00,2026/05/17 22:07:00,MES_OPEN,QC-LG-0121
122,122,BATCHNO-0122,LGACT-PART-003,006,2026/05/18 22:14:00,2026/05/18 22:14:00,MES_RUNNING,QC-LG-0122
123,123,BATCHNO-0123,LGACT-PART-004,007,2026/05/19 22:21:00,2026/05/19 22:21:00,MES_CLOSED,QC-LG-0123
124,124,BATCHNO-0124,LGACT-PART-005,008,2026/05/20 22:28:00,2026/05/20 22:28:00,MES_HOLD,QC-LG-0124
125,125,BATCHNO-0125,LGACT-PART-006,009,2026/05/21 22:35:00,2026/05/21 22:35:00,MES_OPEN,QC-LG-0125
126,126,BATCHNO-0126,LGACT-PART-007,001,2026/05/22 22:42:00,2026/05/22 22:42:00,MES_RUNNING,QC-LG-0126
127,127,BATCHNO-0127,LGACT-PART-008,002,2026/05/23 22:49:00,2026/05/23 22:49:00,MES_CLOSED,QC-LG-0127
128,128,BATCHNO-0128,LGACT-PART-009,003,2026/05/24 22:56:00,2026/05/24 22:56:00,MES_HOLD,QC-LG-0128
129,129,BATCHNO-0129,LGACT-PART-010,004,2026/05/25 23:03:00,2026/05/25 23:03:00,MES_OPEN,QC-LG-0129
130,130,BATCHNO-0130,LGACT-PART-011,005,2026/05/26 23:10:00,2026/05/26 23:10:00,MES_RUNNING,QC-LG-0130
131,131,BATCHNO-0131,LGACT-PART-012,006,2026/05/27 23:17:00,2026/05/27 23:17:00,MES_CLOSED,QC-LG-0131
132,132,BATCHNO-0132,LGACT-PART-013,007,2026/05/28 23:24:00,2026/05/28 23:24:00,MES_HOLD,QC-LG-0132
133,133,BATCHNO-0133,LGACT-PART-014,008,2026/05/29 23:31:00,2026/05/29 23:31:00,MES_OPEN,QC-LG-0133
134,134,BATCHNO-0134,LGACT-PART-015,009,2026/05/30 23:38:00,2026/05/30 23:38:00,MES_RUNNING,QC-LG-0134
135,135,BATCHNO-0135,LGACT-PART-016,001,2026/05/31 23:45:00,2026/05/31 23:45:00,MES_CLOSED,QC-LG-0135
136,136,BATCHNO-0136,LGACT-PART-017,002,2026/06/01 23:52:00,2026/06/01 23:52:00,MES_HOLD,QC-LG-0136
137,137,BATCHNO-0137,LGACT-PART-018,003,2026/06/02 23:59:00,2026/06/02 23:59:00,MES_OPEN,QC-LG-0137
138,138,BATCHNO-0138,LGACT-PART-019,004,2026/06/04 00:06:00,2026/06/04 00:06:00,MES_RUNNING,QC-LG-0138
139,139,BATCHNO-0139,LGACT-PART-020,005,2026/06/05 00:13:00,2026/06/05 00:13:00,MES_CLOSED,QC-LG-0139
140,140,BATCHNO-0140,LGACT-PART-001,006,2026/06/06 00:20:00,2026/06/06 00:20:00,MES_HOLD,QC-LG-0140
141,141,BATCHNO-0141,LGACT-PART-002,007,2026/05/10 00:27:00,2026/05/10 00:27:00,MES_OPEN,QC-LG-0141
142,142,BATCHNO-0142,LGACT-PART-003,008,2026/05/11 00:34:00,2026/05/11 00:34:00,MES_RUNNING,QC-LG-0142
143,143,BATCHNO-0143,LGACT-PART-004,009,2026/05/12 00:41:00,2026/05/12 00:41:00,MES_CLOSED,QC-LG-0143
144,144,BATCHNO-0144,LGACT-PART-005,001,2026/05/13 00:48:00,2026/05/13 00:48:00,MES_HOLD,QC-LG-0144
145,145,BATCHNO-0145,LGACT-PART-006,002,2026/05/14 00:55:00,2026/05/14 00:55:00,MES_OPEN,QC-LG-0145
146,146,BATCHNO-0146,LGACT-PART-007,003,2026/05/15 01:02:00,2026/05/15 01:02:00,MES_RUNNING,QC-LG-0146
147,147,BATCHNO-0147,LGACT-PART-008,004,2026/05/16 01:09:00,2026/05/16 01:09:00,MES_CLOSED,QC-LG-0147
148,148,BATCHNO-0148,LGACT-PART-009,005,2026/05/17 01:16:00,2026/05/17 01:16:00,MES_HOLD,QC-LG-0148
149,149,BATCHNO-0149,LGACT-PART-010,006,2026/05/18 01:23:00,2026/05/18 01:23:00,MES_OPEN,QC-LG-0149
150,150,BATCHNO-0150,LGACT-PART-011,007,2026/05/19 01:30:00,2026/05/19 01:30:00,MES_RUNNING,QC-LG-0150
151,151,BATCHNO-0151,LGACT-PART-012,008,2026/05/20 01:37:00,2026/05/20 01:37:00,MES_CLOSED,QC-LG-0151
152,152,BATCHNO-0152,LGACT-PART-013,009,2026/05/21 01:44:00,2026/05/21 01:44:00,MES_HOLD,QC-LG-0152
153,153,BATCHNO-0153,LGACT-PART-014,001,2026/05/22 01:51:00,2026/05/22 01:51:00,MES_OPEN,QC-LG-0153
154,154,BATCHNO-0154,LGACT-PART-015,002,2026/05/23 01:58:00,2026/05/23 01:58:00,MES_RUNNING,QC-LG-0154
155,155,BATCHNO-0155,LGACT-PART-016,003,2026/05/24 02:05:00,2026/05/24 02:05:00,MES_CLOSED,QC-LG-0155
156,156,BATCHNO-0156,LGACT-PART-017,004,2026/05/25 02:12:00,2026/05/25 02:12:00,MES_HOLD,QC-LG-0156
157,157,BATCHNO-0157,LGACT-PART-018,005,2026/05/26 02:19:00,2026/05/26 02:19:00,MES_OPEN,QC-LG-0157
158,158,BATCHNO-0158,LGACT-PART-019,006,2026/05/27 02:26:00,2026/05/27 02:26:00,MES_RUNNING,QC-LG-0158
159,159,BATCHNO-0159,LGACT-PART-020,007,2026/05/28 02:33:00,2026/05/28 02:33:00,MES_CLOSED,QC-LG-0159
160,160,BATCHNO-0160,LGACT-PART-001,008,2026/05/29 02:40:00,2026/05/29 02:40:00,MES_HOLD,QC-LG-0160
161,161,BATCHNO-0161,LGACT-PART-002,009,2026/05/30 02:47:00,2026/05/30 02:47:00,MES_OPEN,QC-LG-0161
162,162,BATCHNO-0162,LGACT-PART-003,001,2026/05/31 02:54:00,2026/05/31 02:54:00,MES_RUNNING,QC-LG-0162
163,163,BATCHNO-0163,LGACT-PART-004,002,2026/06/01 03:01:00,2026/06/01 03:01:00,MES_CLOSED,QC-LG-0163
164,164,BATCHNO-0164,LGACT-PART-005,003,2026/06/02 03:08:00,2026/06/02 03:08:00,MES_HOLD,QC-LG-0164
165,165,BATCHNO-0165,LGACT-PART-006,004,2026/06/03 03:15:00,2026/06/03 03:15:00,MES_OPEN,QC-LG-0165
166,166,BATCHNO-0166,LGACT-PART-007,005,2026/06/04 03:22:00,2026/06/04 03:22:00,MES_RUNNING,QC-LG-0166
167,167,BATCHNO-0167,LGACT-PART-008,006,2026/06/05 03:29:00,2026/06/05 03:29:00,MES_CLOSED,QC-LG-0167
168,168,BATCHNO-0168,LGACT-PART-009,007,2026/06/06 03:36:00,2026/06/06 03:36:00,MES_HOLD,QC-LG-0168
169,169,BATCHNO-0169,LGACT-PART-010,008,2026/05/10 03:43:00,2026/05/10 03:43:00,MES_OPEN,QC-LG-0169
170,170,BATCHNO-0170,LGACT-PART-011,009,2026/05/11 03:50:00,2026/05/11 03:50:00,MES_RUNNING,QC-LG-0170
171,171,BATCHNO-0171,LGACT-PART-012,001,2026/05/12 03:57:00,2026/05/12 03:57:00,MES_CLOSED,QC-LG-0171
172,172,BATCHNO-0172,LGACT-PART-013,002,2026/05/13 04:04:00,2026/05/13 04:04:00,MES_HOLD,QC-LG-0172
173,173,BATCHNO-0173,LGACT-PART-014,003,2026/05/14 04:11:00,2026/05/14 04:11:00,MES_OPEN,QC-LG-0173
174,174,BATCHNO-0174,LGACT-PART-015,004,2026/05/15 04:18:00,2026/05/15 04:18:00,MES_RUNNING,QC-LG-0174
175,175,BATCHNO-0175,LGACT-PART-016,005,2026/05/16 04:25:00,2026/05/16 04:25:00,MES_CLOSED,QC-LG-0175
176,176,BATCHNO-0176,LGACT-PART-017,006,2026/05/17 04:32:00,2026/05/17 04:32:00,MES_HOLD,QC-LG-0176
177,177,BATCHNO-0177,LGACT-PART-018,007,2026/05/18 04:39:00,2026/05/18 04:39:00,MES_OPEN,QC-LG-0177
178,178,BATCHNO-0178,LGACT-PART-019,008,2026/05/19 04:46:00,2026/05/19 04:46:00,MES_RUNNING,QC-LG-0178
179,179,BATCHNO-0179,LGACT-PART-020,009,2026/05/20 04:53:00,2026/05/20 04:53:00,MES_CLOSED,QC-LG-0179
180,180,BATCHNO-0180,LGACT-PART-001,001,2026/05/21 05:00:00,2026/05/21 05:00:00,MES_HOLD,QC-LG-0180
181,181,BATCHNO-0181,LGACT-PART-002,002,2026/05/22 05:07:00,2026/05/22 05:07:00,MES_OPEN,QC-LG-0181
182,182,BATCHNO-0182,LGACT-PART-003,003,2026/05/23 05:14:00,2026/05/23 05:14:00,MES_RUNNING,QC-LG-0182
183,183,BATCHNO-0183,LGACT-PART-004,004,2026/05/24 05:21:00,2026/05/24 05:21:00,MES_CLOSED,QC-LG-0183
184,184,BATCHNO-0184,LGACT-PART-005,005,2026/05/25 05:28:00,2026/05/25 05:28:00,MES_HOLD,QC-LG-0184
185,185,BATCHNO-0185,LGACT-PART-006,006,2026/05/26 05:35:00,2026/05/26 05:35:00,MES_OPEN,QC-LG-0185
186,186,BATCHNO-0186,LGACT-PART-007,007,2026/05/27 05:42:00,2026/05/27 05:42:00,MES_RUNNING,QC-LG-0186
187,187,BATCHNO-0187,LGACT-PART-008,008,2026/05/28 05:49:00,2026/05/28 05:49:00,MES_CLOSED,QC-LG-0187
188,188,BATCHNO-0188,LGACT-PART-009,009,2026/05/29 05:56:00,2026/05/29 05:56:00,MES_HOLD,QC-LG-0188
189,189,BATCHNO-0189,LGACT-PART-010,001,2026/05/30 06:03:00,2026/05/30 06:03:00,MES_OPEN,QC-LG-0189
190,190,BATCHNO-0190,LGACT-PART-011,002,2026/05/31 06:10:00,2026/05/31 06:10:00,MES_RUNNING,QC-LG-0190
191,191,BATCHNO-0191,LGACT-PART-012,003,2026/06/01 06:17:00,2026/06/01 06:17:00,MES_CLOSED,QC-LG-0191
192,192,BATCHNO-0192,LGACT-PART-013,004,2026/06/02 06:24:00,2026/06/02 06:24:00,MES_HOLD,QC-LG-0192
193,193,BATCHNO-0193,LGACT-PART-014,005,2026/06/03 06:31:00,2026/06/03 06:31:00,MES_OPEN,QC-LG-0193
194,194,BATCHNO-0194,LGACT-PART-015,006,2026/06/04 06:38:00,2026/06/04 06:38:00,MES_RUNNING,QC-LG-0194
195,195,BATCHNO-0195,LGACT-PART-016,007,2026/06/05 06:45:00,2026/06/05 06:45:00,MES_CLOSED,QC-LG-0195
196,196,BATCHNO-0196,LGACT-PART-017,008,2026/06/06 06:52:00,2026/06/06 06:52:00,MES_HOLD,QC-LG-0196
197,197,BATCHNO-0197,LGACT-PART-018,009,2026/05/10 06:59:00,2026/05/10 06:59:00,MES_OPEN,QC-LG-0197
198,198,BATCHNO-0198,LGACT-PART-019,001,2026/05/11 07:06:00,2026/05/11 07:06:00,MES_RUNNING,QC-LG-0198
199,199,BATCHNO-0199,LGACT-PART-020,002,2026/05/12 07:13:00,2026/05/12 07:13:00,MES_CLOSED,QC-LG-0199
200,200,BATCHNO-0200,LGACT-PART-001,003,2026/05/13 07:20:00,2026/05/13 07:20:00,MES_HOLD,QC-LG-0200
