technical_parameter_id,operation_card_id,para_code,para_short_name,unit_txt,nominal_txt,lsl_txt,usl_txt,ctrl_grade_cd,spec_expr
57,57,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 155.000 mm, with standard range from 153.000 mm to 157.000 mm."
58,58,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.950 s, with standard range from 4.000 s to 5.500 s."
59,59,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 38.3 C, with standard range from 20.0 C to 55.0 C."
60,60,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.120 mm, with standard range from 0.100 mm to 0.250 mm."
61,61,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 20.850 MPa, with standard range from 19.500 MPa to 22.500 MPa."
62,62,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.080 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
63,63,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 155.150 mm, with standard range from 153.000 mm to 157.000 mm."
64,64,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 5.100 s, with standard range from 4.000 s to 5.500 s."
65,65,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 62.0 C, with standard range from 20.0 C to 55.0 C."
66,66,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.150 mm, with standard range from 0.100 mm to 0.250 mm."
67,67,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 21.000 MPa, with standard range from 19.500 MPa to 22.500 MPa."
68,68,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.110 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
69,69,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 155.300 mm, with standard range from 153.000 mm to 157.000 mm."
70,70,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.500 s, with standard range from 4.000 s to 5.500 s."
71,71,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 37.9 C, with standard range from 20.0 C to 55.0 C."
72,72,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.180 mm, with standard range from 0.100 mm to 0.250 mm."
73,73,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 21.150 MPa, with standard range from 19.500 MPa to 22.500 MPa."
74,74,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.140 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
75,75,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 154.700 mm, with standard range from 153.000 mm to 157.000 mm."
76,76,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.650 s, with standard range from 4.000 s to 5.500 s."
77,77,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 38.0 C, with standard range from 20.0 C to 55.0 C."
78,78,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.310 mm, with standard range from 0.100 mm to 0.250 mm."
79,79,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 21.300 MPa, with standard range from 19.500 MPa to 22.500 MPa."
80,80,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.020 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
81,81,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 154.850 mm, with standard range from 153.000 mm to 157.000 mm."
82,82,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.800 s, with standard range from 4.000 s to 5.500 s."
83,83,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 38.1 C, with standard range from 20.0 C to 55.0 C."
84,84,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.240 mm, with standard range from 0.100 mm to 0.250 mm."
85,85,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 20.700 MPa, with standard range from 19.500 MPa to 22.500 MPa."
86,86,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.050 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
87,87,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 155.000 mm, with standard range from 153.000 mm to 157.000 mm."
88,88,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.950 s, with standard range from 4.000 s to 5.500 s."
89,89,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 38.3 C, with standard range from 20.0 C to 55.0 C."
90,90,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.120 mm, with standard range from 0.100 mm to 0.250 mm."
91,91,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 23.400 MPa, with standard range from 19.500 MPa to 22.500 MPa."
92,92,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.080 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
93,93,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 155.150 mm, with standard range from 153.000 mm to 157.000 mm."
94,94,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 5.100 s, with standard range from 4.000 s to 5.500 s."
95,95,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 37.7 C, with standard range from 20.0 C to 55.0 C."
96,96,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.150 mm, with standard range from 0.100 mm to 0.250 mm."
97,97,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 21.000 MPa, with standard range from 19.500 MPa to 22.500 MPa."
98,98,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.110 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
99,99,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 155.300 mm, with standard range from 153.000 mm to 157.000 mm."
100,100,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.500 s, with standard range from 4.000 s to 5.500 s."
101,101,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 37.9 C, with standard range from 20.0 C to 55.0 C."
102,102,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.180 mm, with standard range from 0.100 mm to 0.250 mm."
103,103,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 21.150 MPa, with standard range from 19.500 MPa to 22.500 MPa."
104,104,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.220 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
105,105,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 154.700 mm, with standard range from 153.000 mm to 157.000 mm."
106,106,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.650 s, with standard range from 4.000 s to 5.500 s."
107,107,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 38.0 C, with standard range from 20.0 C to 55.0 C."
108,108,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.210 mm, with standard range from 0.100 mm to 0.250 mm."
109,109,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 21.300 MPa, with standard range from 19.500 MPa to 22.500 MPa."
110,110,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.020 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
111,111,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 154.850 mm, with standard range from 153.000 mm to 157.000 mm."
112,112,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.800 s, with standard range from 4.000 s to 5.500 s."
113,113,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 38.1 C, with standard range from 20.0 C to 55.0 C."
114,114,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.240 mm, with standard range from 0.100 mm to 0.250 mm."
115,115,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 20.700 MPa, with standard range from 19.500 MPa to 22.500 MPa."
116,116,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.050 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
117,117,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 158.400 mm, with standard range from 153.000 mm to 157.000 mm."
118,118,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.950 s, with standard range from 4.000 s to 5.500 s."
119,119,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 38.3 C, with standard range from 20.0 C to 55.0 C."
120,120,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.120 mm, with standard range from 0.100 mm to 0.250 mm."
121,121,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 20.850 MPa, with standard range from 19.500 MPa to 22.500 MPa."
122,122,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.080 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
123,123,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 155.150 mm, with standard range from 153.000 mm to 157.000 mm."
124,124,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 5.100 s, with standard range from 4.000 s to 5.500 s."
125,125,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 37.7 C, with standard range from 20.0 C to 55.0 C."
126,126,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.150 mm, with standard range from 0.100 mm to 0.250 mm."
127,127,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 21.000 MPa, with standard range from 19.500 MPa to 22.500 MPa."
