po_id,vendor_id,po_no,task_no,order_dt_txt,plan_arrive_yyyymmdd,po_stat_cd,pri_lvl,urgent_tab
34,34,PO-CF-2026-0034,TASKNO-0034,20260514,20260514,ERP_RUNNING,008,Y
35,35,PO-CF-2026-0035,TASKNO-0035,20260515,20260515,ERP_CLOSED,009,Y
36,36,PO-CF-2026-0036,TASKNO-0036,20260516,20260516,ERP_HOLD,001,N
37,37,PO-CF-2026-0037,TASKNO-0037,20260517,20260517,ERP_OPEN,002,Y
38,38,PO-CF-2026-0038,TASKNO-0038,20260518,20260518,ERP_RUNNING,003,Y
39,39,PO-CF-2026-0039,TASKNO-0039,20260519,20260519,ERP_CLOSED,004,N
40,40,PO-CF-2026-0040,TASKNO-0040,20260520,20260520,ERP_HOLD,005,Y
41,41,PO-CF-2026-0041,TASKNO-0041,20260521,20260521,ERP_OPEN,006,Y
42,42,PO-CF-2026-0042,TASKNO-0042,20260522,20260522,ERP_RUNNING,007,N
43,43,PO-CF-2026-0043,TASKNO-0043,20260523,20260523,ERP_CLOSED,008,Y
44,44,PO-CF-2026-0044,TASKNO-0044,20260524,20260524,ERP_HOLD,009,Y
45,45,PO-CF-2026-0045,TASKNO-0045,20260525,20260525,ERP_OPEN,001,N
46,46,PO-CF-2026-0046,TASKNO-0046,20260526,20260526,ERP_RUNNING,002,Y
47,47,PO-CF-2026-0047,TASKNO-0047,20260527,20260527,ERP_CLOSED,003,Y
48,48,PO-CF-2026-0048,TASKNO-0048,20260528,20260528,ERP_HOLD,004,N
49,49,PO-CF-2026-0049,TASKNO-0049,20260529,20260529,ERP_OPEN,005,Y
50,50,PO-CF-2026-0050,TASKNO-0050,20260530,20260530,ERP_RUNNING,006,Y
51,51,PO-CF-2026-0051,TASKNO-0051,20260531,20260531,ERP_CLOSED,007,N
52,52,PO-CF-2026-0052,TASKNO-0052,20260601,20260601,ERP_HOLD,008,Y
53,53,PO-CF-2026-0053,TASKNO-0053,20260602,20260602,ERP_OPEN,009,Y
54,54,PO-CF-2026-0054,TASKNO-0054,20260603,20260603,ERP_RUNNING,001,N
55,55,PO-CF-2026-0055,TASKNO-0055,20260604,20260604,ERP_CLOSED,002,Y
56,56,PO-CF-2026-0056,TASKNO-0056,20260605,20260605,ERP_HOLD,003,Y
57,57,PO-CF-2026-0057,TASKNO-0057,20260509,20260509,ERP_OPEN,004,N
58,58,PO-CF-2026-0058,TASKNO-0058,20260510,20260510,ERP_RUNNING,005,Y
59,59,PO-CF-2026-0059,TASKNO-0059,20260511,20260511,ERP_CLOSED,006,Y
60,60,PO-CF-2026-0060,TASKNO-0060,20260512,20260512,ERP_HOLD,007,N
61,61,PO-CF-2026-0061,TASKNO-0061,20260513,20260513,ERP_OPEN,008,Y
62,62,PO-CF-2026-0062,TASKNO-0062,20260514,20260514,ERP_RUNNING,009,Y
63,63,PO-CF-2026-0063,TASKNO-0063,20260515,20260515,ERP_CLOSED,001,N
64,64,PO-CF-2026-0064,TASKNO-0064,20260516,20260516,ERP_HOLD,002,Y
65,65,PO-CF-2026-0065,TASKNO-0065,20260517,20260517,ERP_OPEN,003,Y
66,66,PO-CF-2026-0066,TASKNO-0066,20260518,20260518,ERP_RUNNING,004,N
67,67,PO-CF-2026-0067,TASKNO-0067,20260519,20260519,ERP_CLOSED,005,Y
68,68,PO-CF-2026-0068,TASKNO-0068,20260520,20260520,ERP_HOLD,006,Y
69,69,PO-CF-2026-0069,TASKNO-0069,20260521,20260521,ERP_OPEN,007,N
70,70,PO-CF-2026-0070,TASKNO-0070,20260522,20260522,ERP_RUNNING,008,Y
71,71,PO-CF-2026-0071,TASKNO-0071,20260523,20260523,ERP_CLOSED,009,Y
72,72,PO-CF-2026-0072,TASKNO-0072,20260524,20260524,ERP_HOLD,001,N
73,73,PO-CF-2026-0073,TASKNO-0073,20260525,20260525,ERP_OPEN,002,Y
74,74,PO-CF-2026-0074,TASKNO-0074,20260526,20260526,ERP_RUNNING,003,Y
75,75,PO-CF-2026-0075,TASKNO-0075,20260527,20260527,ERP_CLOSED,004,N
76,76,PO-CF-2026-0076,TASKNO-0076,20260528,20260528,ERP_HOLD,005,Y
77,77,PO-CF-2026-0077,TASKNO-0077,20260529,20260529,ERP_OPEN,006,Y
78,78,PO-CF-2026-0078,TASKNO-0078,20260530,20260530,ERP_RUNNING,007,N
79,79,PO-CF-2026-0079,TASKNO-0079,20260531,20260531,ERP_CLOSED,008,Y
80,80,PO-CF-2026-0080,TASKNO-0080,20260601,20260601,ERP_HOLD,009,Y
81,81,PO-CF-2026-0081,TASKNO-0081,20260602,20260602,ERP_OPEN,001,N
82,82,PO-CF-2026-0082,TASKNO-0082,20260603,20260603,ERP_RUNNING,002,Y
83,83,PO-CF-2026-0083,TASKNO-0083,20260604,20260604,ERP_CLOSED,003,Y
84,84,PO-CF-2026-0084,TASKNO-0084,20260605,20260605,ERP_HOLD,004,N
85,85,PO-CF-2026-0085,TASKNO-0085,20260509,20260509,ERP_OPEN,005,Y
86,86,PO-CF-2026-0086,TASKNO-0086,20260510,20260510,ERP_RUNNING,006,Y
87,87,PO-CF-2026-0087,TASKNO-0087,20260511,20260511,ERP_CLOSED,007,N
88,88,PO-CF-2026-0088,TASKNO-0088,20260512,20260512,ERP_HOLD,008,Y
89,89,PO-CF-2026-0089,TASKNO-0089,20260513,20260513,ERP_OPEN,009,Y
90,90,PO-CF-2026-0090,TASKNO-0090,20260514,20260514,ERP_RUNNING,001,N
91,91,PO-CF-2026-0091,TASKNO-0091,20260515,20260515,ERP_CLOSED,002,Y
92,92,PO-CF-2026-0092,TASKNO-0092,20260516,20260516,ERP_HOLD,003,Y
93,93,PO-CF-2026-0093,TASKNO-0093,20260517,20260517,ERP_OPEN,004,N
94,94,PO-CF-2026-0094,TASKNO-0094,20260518,20260518,ERP_RUNNING,005,Y
95,95,PO-CF-2026-0095,TASKNO-0095,20260519,20260519,ERP_CLOSED,006,Y
96,96,PO-CF-2026-0096,TASKNO-0096,20260520,20260520,ERP_HOLD,007,N
97,97,PO-CF-2026-0097,TASKNO-0097,20260521,20260521,ERP_OPEN,008,Y
98,98,PO-CF-2026-0098,TASKNO-0098,20260522,20260522,ERP_RUNNING,009,Y
99,99,PO-CF-2026-0099,TASKNO-0099,20260523,20260523,ERP_CLOSED,001,N
100,100,PO-CF-2026-0100,TASKNO-0100,20260524,20260524,ERP_HOLD,002,Y
101,101,PO-CF-2026-0101,TASKNO-0101,20260525,20260525,ERP_OPEN,003,Y
102,102,PO-CF-2026-0102,TASKNO-0102,20260526,20260526,ERP_RUNNING,004,N
103,103,PO-CF-2026-0103,TASKNO-0103,20260527,20260527,ERP_CLOSED,005,Y
104,104,PO-CF-2026-0104,TASKNO-0104,20260528,20260528,ERP_HOLD,006,Y
105,105,PO-CF-2026-0105,TASKNO-0105,20260529,20260529,ERP_OPEN,007,N
106,106,PO-CF-2026-0106,TASKNO-0106,20260530,20260530,ERP_RUNNING,008,Y
107,107,PO-CF-2026-0107,TASKNO-0107,20260531,20260531,ERP_CLOSED,009,Y
108,108,PO-CF-2026-0108,TASKNO-0108,20260601,20260601,ERP_HOLD,001,N
109,109,PO-CF-2026-0109,TASKNO-0109,20260602,20260602,ERP_OPEN,002,Y
110,110,PO-CF-2026-0110,TASKNO-0110,20260603,20260603,ERP_RUNNING,003,Y
111,111,PO-CF-2026-0111,TASKNO-0111,20260604,20260604,ERP_CLOSED,004,N
112,112,PO-CF-2026-0112,TASKNO-0112,20260605,20260605,ERP_HOLD,005,Y
113,113,PO-CF-2026-0113,TASKNO-0113,20260509,20260509,ERP_OPEN,006,Y
114,114,PO-CF-2026-0114,TASKNO-0114,20260510,20260510,ERP_RUNNING,007,N
115,115,PO-CF-2026-0115,TASKNO-0115,20260511,20260511,ERP_CLOSED,008,Y
116,116,PO-CF-2026-0116,TASKNO-0116,20260512,20260512,ERP_HOLD,009,Y
117,117,PO-CF-2026-0117,TASKNO-0117,20260513,20260513,ERP_OPEN,001,N
118,118,PO-CF-2026-0118,TASKNO-0118,20260514,20260514,ERP_RUNNING,002,Y
119,119,PO-CF-2026-0119,TASKNO-0119,20260515,20260515,ERP_CLOSED,003,Y
120,120,PO-CF-2026-0120,TASKNO-0120,20260516,20260516,ERP_HOLD,004,N
121,121,PO-CF-2026-0121,TASKNO-0121,20260517,20260517,ERP_OPEN,005,Y
122,122,PO-CF-2026-0122,TASKNO-0122,20260518,20260518,ERP_RUNNING,006,Y
123,123,PO-CF-2026-0123,TASKNO-0123,20260519,20260519,ERP_CLOSED,007,N
124,124,PO-CF-2026-0124,TASKNO-0124,20260520,20260520,ERP_HOLD,008,Y
125,125,PO-CF-2026-0125,TASKNO-0125,20260521,20260521,ERP_OPEN,009,Y
126,126,PO-CF-2026-0126,TASKNO-0126,20260522,20260522,ERP_RUNNING,001,N
127,127,PO-CF-2026-0127,TASKNO-0127,20260523,20260523,ERP_CLOSED,002,Y
128,128,PO-CF-2026-0128,TASKNO-0128,20260524,20260524,ERP_HOLD,003,Y
129,129,PO-CF-2026-0129,TASKNO-0129,20260525,20260525,ERP_OPEN,004,N
130,130,PO-CF-2026-0130,TASKNO-0130,20260526,20260526,ERP_RUNNING,005,Y
131,131,PO-CF-2026-0131,TASKNO-0131,20260527,20260527,ERP_CLOSED,006,Y
132,132,PO-CF-2026-0132,TASKNO-0132,20260528,20260528,ERP_HOLD,007,N
133,133,PO-CF-2026-0133,TASKNO-0133,20260529,20260529,ERP_OPEN,008,Y
134,134,PO-CF-2026-0134,TASKNO-0134,20260530,20260530,ERP_RUNNING,009,Y
135,135,PO-CF-2026-0135,TASKNO-0135,20260531,20260531,ERP_CLOSED,001,N
136,136,PO-CF-2026-0136,TASKNO-0136,20260601,20260601,ERP_HOLD,002,Y
137,137,PO-CF-2026-0137,TASKNO-0137,20260602,20260602,ERP_OPEN,003,Y
138,138,PO-CF-2026-0138,TASKNO-0138,20260604,20260604,ERP_RUNNING,004,N
139,139,PO-CF-2026-0139,TASKNO-0139,20260605,20260605,ERP_CLOSED,005,Y
140,140,PO-CF-2026-0140,TASKNO-0140,20260606,20260606,ERP_HOLD,006,Y
141,141,PO-CF-2026-0141,TASKNO-0141,20260510,20260510,ERP_OPEN,007,N
142,142,PO-CF-2026-0142,TASKNO-0142,20260511,20260511,ERP_RUNNING,008,Y
143,143,PO-CF-2026-0143,TASKNO-0143,20260512,20260512,ERP_CLOSED,009,Y
144,144,PO-CF-2026-0144,TASKNO-0144,20260513,20260513,ERP_HOLD,001,N
145,145,PO-CF-2026-0145,TASKNO-0145,20260514,20260514,ERP_OPEN,002,Y
146,146,PO-CF-2026-0146,TASKNO-0146,20260515,20260515,ERP_RUNNING,003,Y
147,147,PO-CF-2026-0147,TASKNO-0147,20260516,20260516,ERP_CLOSED,004,N
148,148,PO-CF-2026-0148,TASKNO-0148,20260517,20260517,ERP_HOLD,005,Y
149,149,PO-CF-2026-0149,TASKNO-0149,20260518,20260518,ERP_OPEN,006,Y
150,150,PO-CF-2026-0150,TASKNO-0150,20260519,20260519,ERP_RUNNING,007,N
151,151,PO-CF-2026-0151,TASKNO-0151,20260520,20260520,ERP_CLOSED,008,Y
152,152,PO-CF-2026-0152,TASKNO-0152,20260521,20260521,ERP_HOLD,009,Y
153,153,PO-CF-2026-0153,TASKNO-0153,20260522,20260522,ERP_OPEN,001,N
154,154,PO-CF-2026-0154,TASKNO-0154,20260523,20260523,ERP_RUNNING,002,Y
155,155,PO-CF-2026-0155,TASKNO-0155,20260524,20260524,ERP_CLOSED,003,Y
156,156,PO-CF-2026-0156,TASKNO-0156,20260525,20260525,ERP_HOLD,004,N
157,157,PO-CF-2026-0157,TASKNO-0157,20260526,20260526,ERP_OPEN,005,Y
158,158,PO-CF-2026-0158,TASKNO-0158,20260527,20260527,ERP_RUNNING,006,Y
159,159,PO-CF-2026-0159,TASKNO-0159,20260528,20260528,ERP_CLOSED,007,N
160,160,PO-CF-2026-0160,TASKNO-0160,20260529,20260529,ERP_HOLD,008,Y
161,161,PO-CF-2026-0161,TASKNO-0161,20260530,20260530,ERP_OPEN,009,Y
162,162,PO-CF-2026-0162,TASKNO-0162,20260531,20260531,ERP_RUNNING,001,N
163,163,PO-CF-2026-0163,TASKNO-0163,20260601,20260601,ERP_CLOSED,002,Y
164,164,PO-CF-2026-0164,TASKNO-0164,20260602,20260602,ERP_HOLD,003,Y
165,165,PO-CF-2026-0165,TASKNO-0165,20260603,20260603,ERP_OPEN,004,N
166,166,PO-CF-2026-0166,TASKNO-0166,20260604,20260604,ERP_RUNNING,005,Y
167,167,PO-CF-2026-0167,TASKNO-0167,20260605,20260605,ERP_CLOSED,006,Y
168,168,PO-CF-2026-0168,TASKNO-0168,20260606,20260606,ERP_HOLD,007,N
169,169,PO-CF-2026-0169,TASKNO-0169,20260510,20260510,ERP_OPEN,008,Y
170,170,PO-CF-2026-0170,TASKNO-0170,20260511,20260511,ERP_RUNNING,009,Y
171,171,PO-CF-2026-0171,TASKNO-0171,20260512,20260512,ERP_CLOSED,001,N
172,172,PO-CF-2026-0172,TASKNO-0172,20260513,20260513,ERP_HOLD,002,Y
173,173,PO-CF-2026-0173,TASKNO-0173,20260514,20260514,ERP_OPEN,003,Y
174,174,PO-CF-2026-0174,TASKNO-0174,20260515,20260515,ERP_RUNNING,004,N
175,175,PO-CF-2026-0175,TASKNO-0175,20260516,20260516,ERP_CLOSED,005,Y
176,176,PO-CF-2026-0176,TASKNO-0176,20260517,20260517,ERP_HOLD,006,Y
177,177,PO-CF-2026-0177,TASKNO-0177,20260518,20260518,ERP_OPEN,007,N
178,178,PO-CF-2026-0178,TASKNO-0178,20260519,20260519,ERP_RUNNING,008,Y
179,179,PO-CF-2026-0179,TASKNO-0179,20260520,20260520,ERP_CLOSED,009,Y
180,180,PO-CF-2026-0180,TASKNO-0180,20260521,20260521,ERP_HOLD,001,N
181,181,PO-CF-2026-0181,TASKNO-0181,20260522,20260522,ERP_OPEN,002,Y
182,182,PO-CF-2026-0182,TASKNO-0182,20260523,20260523,ERP_RUNNING,003,Y
183,183,PO-CF-2026-0183,TASKNO-0183,20260524,20260524,ERP_CLOSED,004,N
184,184,PO-CF-2026-0184,TASKNO-0184,20260525,20260525,ERP_HOLD,005,Y
185,185,PO-CF-2026-0185,TASKNO-0185,20260526,20260526,ERP_OPEN,006,Y
186,186,PO-CF-2026-0186,TASKNO-0186,20260527,20260527,ERP_RUNNING,007,N
187,187,PO-CF-2026-0187,TASKNO-0187,20260528,20260528,ERP_CLOSED,008,Y
188,188,PO-CF-2026-0188,TASKNO-0188,20260529,20260529,ERP_HOLD,009,Y
189,189,PO-CF-2026-0189,TASKNO-0189,20260530,20260530,ERP_OPEN,001,N
190,190,PO-CF-2026-0190,TASKNO-0190,20260531,20260531,ERP_RUNNING,002,Y
191,191,PO-CF-2026-0191,TASKNO-0191,20260601,20260601,ERP_CLOSED,003,Y
192,192,PO-CF-2026-0192,TASKNO-0192,20260602,20260602,ERP_HOLD,004,N
193,193,PO-CF-2026-0193,TASKNO-0193,20260603,20260603,ERP_OPEN,005,Y
194,194,PO-CF-2026-0194,TASKNO-0194,20260604,20260604,ERP_RUNNING,006,Y
195,195,PO-CF-2026-0195,TASKNO-0195,20260605,20260605,ERP_CLOSED,007,N
196,196,PO-CF-2026-0196,TASKNO-0196,20260606,20260606,ERP_HOLD,008,Y
197,197,PO-CF-2026-0197,TASKNO-0197,20260510,20260510,ERP_OPEN,009,Y
198,198,PO-CF-2026-0198,TASKNO-0198,20260511,20260511,ERP_RUNNING,001,N
199,199,PO-CF-2026-0199,TASKNO-0199,20260512,20260512,ERP_CLOSED,002,Y
200,200,PO-CF-2026-0200,TASKNO-0200,20260513,20260513,ERP_HOLD,003,Y
