recheck_record_id,disposal_order_id,inspection_doc_id,inspector_no,recheck_no,recheck_date_text,recheck_result_code,conclusion_desc
19,19,19,PERS-0019,RCHK-CF-0019,2026/05/27 10:13:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 21.300 MPa."
20,20,20,PERS-0020,RCHK-CF-0020,2026/05/28 10:20:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.020 mL/min."
21,21,21,PERS-0021,RCHK-CF-0021,2026/05/29 10:27:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 154.850 mm."
22,22,22,PERS-0022,RCHK-CF-0022,2026/05/30 10:34:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 4.800 s."
23,23,23,PERS-0023,RCHK-CF-0023,2026/05/31 10:41:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 38.1 C."
24,24,24,PERS-0024,RCHK-CF-0024,2026/06/01 10:48:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.240 mm."
25,25,25,PERS-0025,RCHK-CF-0025,2026/06/02 10:55:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 20.700 MPa."
26,26,26,PERS-0026,RCHK-CF-0026,2026/06/03 11:02:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is nonconforming, with recorded value 0.220 mL/min."
27,27,27,PERS-0027,RCHK-CF-0027,2026/06/04 11:09:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 155.000 mm."
28,28,28,PERS-0028,RCHK-CF-0028,2026/06/05 11:16:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 4.950 s."
29,29,29,PERS-0029,RCHK-CF-0029,2026/05/09 11:23:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 38.3 C."
30,30,30,PERS-0030,RCHK-CF-0030,2026/05/10 11:30:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.120 mm."
31,31,31,PERS-0031,RCHK-CF-0031,2026/05/11 11:37:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 20.850 MPa."
32,32,32,PERS-0032,RCHK-CF-0032,2026/05/12 11:44:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.080 mL/min."
33,33,33,PERS-0033,RCHK-CF-0033,2026/05/13 11:51:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 155.150 mm."
34,34,34,PERS-0034,RCHK-CF-0034,2026/05/14 11:58:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 5.100 s."
35,35,35,PERS-0035,RCHK-CF-0035,2026/05/15 12:05:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 37.7 C."
36,36,36,PERS-0036,RCHK-CF-0036,2026/05/16 12:12:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.150 mm."
37,37,37,PERS-0037,RCHK-CF-0037,2026/05/17 12:19:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 21.000 MPa."
38,38,38,PERS-0038,RCHK-CF-0038,2026/05/18 12:26:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.110 mL/min."
39,39,39,PERS-0039,RCHK-CF-0039,2026/05/19 12:33:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is nonconforming, with recorded value 158.400 mm."
40,40,40,PERS-0040,RCHK-CF-0040,2026/05/20 12:40:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 4.500 s."
41,41,41,PERS-0041,RCHK-CF-0041,2026/05/21 12:47:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 37.9 C."
42,42,42,PERS-0042,RCHK-CF-0042,2026/05/22 12:54:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.180 mm."
43,43,43,PERS-0043,RCHK-CF-0043,2026/05/23 13:01:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 21.150 MPa."
44,44,44,PERS-0044,RCHK-CF-0044,2026/05/24 13:08:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.140 mL/min."
45,45,45,PERS-0045,RCHK-CF-0045,2026/05/25 13:15:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 154.700 mm."
46,46,46,PERS-0046,RCHK-CF-0046,2026/05/26 13:22:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 4.650 s."
47,47,47,PERS-0047,RCHK-CF-0047,2026/05/27 13:29:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 38.0 C."
48,48,48,PERS-0048,RCHK-CF-0048,2026/05/28 13:36:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.210 mm."
49,49,49,PERS-0049,RCHK-CF-0049,2026/05/29 13:43:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 21.300 MPa."
50,50,50,PERS-0050,RCHK-CF-0050,2026/05/30 13:50:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.020 mL/min."
51,51,51,PERS-0051,RCHK-CF-0051,2026/05/31 13:57:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 154.850 mm."
52,52,52,PERS-0052,RCHK-CF-0052,2026/06/01 14:04:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is nonconforming, with recorded value 6.200 s."
53,53,53,PERS-0053,RCHK-CF-0053,2026/06/02 14:11:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 38.1 C."
54,54,54,PERS-0054,RCHK-CF-0054,2026/06/03 14:18:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.240 mm."
55,55,55,PERS-0055,RCHK-CF-0055,2026/06/04 14:25:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 20.700 MPa."
56,56,56,PERS-0056,RCHK-CF-0056,2026/06/05 14:32:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.050 mL/min."
57,57,57,PERS-0057,RCHK-CF-0057,2026/05/09 14:39:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 155.000 mm."
58,58,58,PERS-0058,RCHK-CF-0058,2026/05/10 14:46:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 4.950 s."
59,59,59,PERS-0059,RCHK-CF-0059,2026/05/11 14:53:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 38.3 C."
60,60,60,PERS-0060,RCHK-CF-0060,2026/05/12 15:00:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.120 mm."
61,61,61,PERS-0061,RCHK-CF-0061,2026/05/13 15:07:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 20.850 MPa."
62,62,62,PERS-0062,RCHK-CF-0062,2026/05/14 15:14:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.080 mL/min."
63,63,63,PERS-0063,RCHK-CF-0063,2026/05/15 15:21:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 155.150 mm."
64,64,64,PERS-0064,RCHK-CF-0064,2026/05/16 15:28:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 5.100 s."
65,65,65,PERS-0065,RCHK-CF-0065,2026/05/17 15:35:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is nonconforming, with recorded value 62.0 C."
66,66,66,PERS-0066,RCHK-CF-0066,2026/05/18 15:42:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.150 mm."
67,67,67,PERS-0067,RCHK-CF-0067,2026/05/19 15:49:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 21.000 MPa."
68,68,68,PERS-0068,RCHK-CF-0068,2026/05/20 15:56:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.110 mL/min."
69,69,69,PERS-0069,RCHK-CF-0069,2026/05/21 16:03:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 155.300 mm."
70,70,70,PERS-0070,RCHK-CF-0070,2026/05/22 16:10:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 4.500 s."
71,71,71,PERS-0071,RCHK-CF-0071,2026/05/23 16:17:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 37.9 C."
72,72,72,PERS-0072,RCHK-CF-0072,2026/05/24 16:24:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.180 mm."
73,73,73,PERS-0073,RCHK-CF-0073,2026/05/25 16:31:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 21.150 MPa."
74,74,74,PERS-0074,RCHK-CF-0074,2026/05/26 16:38:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.140 mL/min."
75,75,75,PERS-0075,RCHK-CF-0075,2026/05/27 16:45:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 154.700 mm."
76,76,76,PERS-0076,RCHK-CF-0076,2026/05/28 16:52:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 4.650 s."
77,77,77,PERS-0077,RCHK-CF-0077,2026/05/29 16:59:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 38.0 C."
78,78,78,PERS-0078,RCHK-CF-0078,2026/05/30 17:06:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is nonconforming, with recorded value 0.310 mm."
79,79,79,PERS-0079,RCHK-CF-0079,2026/05/31 17:13:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 21.300 MPa."
80,80,80,PERS-0080,RCHK-CF-0080,2026/06/01 17:20:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.020 mL/min."
81,81,81,PERS-0081,RCHK-CF-0081,2026/06/02 17:27:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 154.850 mm."
82,82,82,PERS-0082,RCHK-CF-0082,2026/06/03 17:34:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 4.800 s."
83,83,83,PERS-0083,RCHK-CF-0083,2026/06/04 17:41:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 38.1 C."
84,84,84,PERS-0084,RCHK-CF-0084,2026/06/05 17:48:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.240 mm."
85,85,85,PERS-0085,RCHK-CF-0085,2026/05/09 17:55:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 20.700 MPa."
86,86,86,PERS-0086,RCHK-CF-0086,2026/05/10 18:02:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.050 mL/min."
87,87,87,PERS-0087,RCHK-CF-0087,2026/05/11 18:09:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 155.000 mm."
88,88,88,PERS-0088,RCHK-CF-0088,2026/05/12 18:16:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 4.950 s."
89,89,89,PERS-0089,RCHK-CF-0089,2026/05/13 18:23:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 38.3 C."
90,90,90,PERS-0090,RCHK-CF-0090,2026/05/14 18:30:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.120 mm."
91,91,91,PERS-0091,RCHK-CF-0091,2026/05/15 18:37:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is nonconforming, with recorded value 23.400 MPa."
92,92,92,PERS-0092,RCHK-CF-0092,2026/05/16 18:44:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.080 mL/min."
93,93,93,PERS-0093,RCHK-CF-0093,2026/05/17 18:51:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 155.150 mm."
94,94,94,PERS-0094,RCHK-CF-0094,2026/05/18 18:58:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 5.100 s."
95,95,95,PERS-0095,RCHK-CF-0095,2026/05/19 19:05:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 37.7 C."
96,96,96,PERS-0096,RCHK-CF-0096,2026/05/20 19:12:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.150 mm."
97,97,97,PERS-0097,RCHK-CF-0097,2026/05/21 19:19:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 21.000 MPa."
98,98,98,PERS-0098,RCHK-CF-0098,2026/05/22 19:26:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.110 mL/min."
99,99,99,PERS-0099,RCHK-CF-0099,2026/05/23 19:33:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 155.300 mm."
100,100,100,PERS-0100,RCHK-CF-0100,2026/05/24 19:40:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 4.500 s."
101,101,101,PERS-0101,RCHK-CF-0101,2026/05/25 19:47:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 37.9 C."
102,102,102,PERS-0102,RCHK-CF-0102,2026/05/26 19:54:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.180 mm."
103,103,103,PERS-0103,RCHK-CF-0103,2026/05/27 20:01:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 21.150 MPa."
104,104,104,PERS-0104,RCHK-CF-0104,2026/05/28 20:08:00,QMS_Q_WAIT,"Final Functional Test result is nonconforming, with recorded value 0.220 mL/min."
105,105,105,PERS-0105,RCHK-CF-0105,2026/05/29 20:15:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 154.700 mm."
106,106,106,PERS-0106,RCHK-CF-0106,2026/05/30 20:22:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 4.650 s."
107,107,107,PERS-0107,RCHK-CF-0107,2026/05/31 20:29:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 38.0 C."
108,108,108,PERS-0108,RCHK-CF-0108,2026/06/01 20:36:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.210 mm."
109,109,109,PERS-0109,RCHK-CF-0109,2026/06/02 20:43:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 21.300 MPa."
110,110,110,PERS-0110,RCHK-CF-0110,2026/06/03 20:50:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.020 mL/min."
111,111,111,PERS-0111,RCHK-CF-0111,2026/06/04 20:57:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 154.850 mm."
112,112,112,PERS-0112,RCHK-CF-0112,2026/06/05 21:04:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 4.800 s."
113,113,113,PERS-0113,RCHK-CF-0113,2026/05/09 21:11:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 38.1 C."
114,114,114,PERS-0114,RCHK-CF-0114,2026/05/10 21:18:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.240 mm."
115,115,115,PERS-0115,RCHK-CF-0115,2026/05/11 21:25:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 20.700 MPa."
116,116,116,PERS-0116,RCHK-CF-0116,2026/05/12 21:32:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.050 mL/min."
117,117,117,PERS-0117,RCHK-CF-0117,2026/05/13 21:39:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is nonconforming, with recorded value 158.400 mm."
118,118,118,PERS-0118,RCHK-CF-0118,2026/05/14 21:46:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 4.950 s."
119,119,119,PERS-0119,RCHK-CF-0119,2026/05/15 21:53:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 38.3 C."
120,120,120,PERS-0120,RCHK-CF-0120,2026/05/16 22:00:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.120 mm."
121,121,121,PERS-0121,RCHK-CF-0121,2026/05/17 22:07:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 20.850 MPa."
122,122,122,PERS-0122,RCHK-CF-0122,2026/05/18 22:14:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.080 mL/min."
123,123,123,PERS-0123,RCHK-CF-0123,2026/05/19 22:21:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 155.150 mm."
124,124,124,PERS-0124,RCHK-CF-0124,2026/05/20 22:28:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 5.100 s."
125,125,125,PERS-0125,RCHK-CF-0125,2026/05/21 22:35:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 37.7 C."
126,126,126,PERS-0126,RCHK-CF-0126,2026/05/22 22:42:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.150 mm."
127,127,127,PERS-0127,RCHK-CF-0127,2026/05/23 22:49:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 21.000 MPa."
128,128,128,PERS-0128,RCHK-CF-0128,2026/05/24 22:56:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.110 mL/min."
129,129,129,PERS-0129,RCHK-CF-0129,2026/05/25 23:03:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 155.300 mm."
130,130,130,PERS-0130,RCHK-CF-0130,2026/05/26 23:10:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is nonconforming, with recorded value 6.200 s."
131,131,131,PERS-0131,RCHK-CF-0131,2026/05/27 23:17:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 37.9 C."
132,132,132,PERS-0132,RCHK-CF-0132,2026/05/28 23:24:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.180 mm."
133,133,133,PERS-0133,RCHK-CF-0133,2026/05/29 23:31:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 21.150 MPa."
134,134,134,PERS-0134,RCHK-CF-0134,2026/05/30 23:38:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.140 mL/min."
135,135,135,PERS-0135,RCHK-CF-0135,2026/05/31 23:45:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 154.700 mm."
136,136,136,PERS-0136,RCHK-CF-0136,2026/06/01 23:52:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 4.650 s."
137,137,137,PERS-0137,RCHK-CF-0137,2026/06/02 23:59:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 38.0 C."
138,138,138,PERS-0138,RCHK-CF-0138,2026/06/04 00:06:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.210 mm."
139,139,139,PERS-0139,RCHK-CF-0139,2026/06/05 00:13:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 21.300 MPa."
140,140,140,PERS-0140,RCHK-CF-0140,2026/06/06 00:20:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.020 mL/min."
141,141,141,PERS-0141,RCHK-CF-0141,2026/05/10 00:27:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 154.850 mm."
142,142,142,PERS-0142,RCHK-CF-0142,2026/05/11 00:34:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 4.800 s."
143,143,143,PERS-0143,RCHK-CF-0143,2026/05/12 00:41:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is nonconforming, with recorded value 62.0 C."
144,144,144,PERS-0144,RCHK-CF-0144,2026/05/13 00:48:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.240 mm."
145,145,145,PERS-0145,RCHK-CF-0145,2026/05/14 00:55:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 20.700 MPa."
146,146,146,PERS-0146,RCHK-CF-0146,2026/05/15 01:02:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.050 mL/min."
147,147,147,PERS-0147,RCHK-CF-0147,2026/05/16 01:09:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 155.000 mm."
148,148,148,PERS-0148,RCHK-CF-0148,2026/05/17 01:16:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 4.950 s."
149,149,149,PERS-0149,RCHK-CF-0149,2026/05/18 01:23:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 38.3 C."
150,150,150,PERS-0150,RCHK-CF-0150,2026/05/19 01:30:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.120 mm."
151,151,151,PERS-0151,RCHK-CF-0151,2026/05/20 01:37:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 20.850 MPa."
152,152,152,PERS-0152,RCHK-CF-0152,2026/05/21 01:44:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.080 mL/min."
153,153,153,PERS-0153,RCHK-CF-0153,2026/05/22 01:51:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 155.150 mm."
154,154,154,PERS-0154,RCHK-CF-0154,2026/05/23 01:58:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 5.100 s."
155,155,155,PERS-0155,RCHK-CF-0155,2026/05/24 02:05:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 37.7 C."
156,156,156,PERS-0156,RCHK-CF-0156,2026/05/25 02:12:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is nonconforming, with recorded value 0.310 mm."
157,157,157,PERS-0157,RCHK-CF-0157,2026/05/26 02:19:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 21.000 MPa."
158,158,158,PERS-0158,RCHK-CF-0158,2026/05/27 02:26:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.110 mL/min."
159,159,159,PERS-0159,RCHK-CF-0159,2026/05/28 02:33:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 155.300 mm."
