actuator_model_id,gear_system_def_id,actuator_code,actuator_name,actuator_spec,dwg_no,config_no,model_status_cd,secret_lvl_cd,tech_status_text
69,69,CF-ACTUATORCO-0069,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0069,CONFIGNO-0069,PLM_OPEN,Displacement Sensor ,PLM_OPEN
70,70,CF-ACTUATORCO-0070,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0070,CONFIGNO-0070,PLM_RUNNING,Locking Nut aviation,PLM_RUNNING
71,71,CF-ACTUATORCO-0071,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0071,CONFIGNO-0071,PLM_CLOSED,Piston Rod Assembly ,PLM_CLOSED
72,72,CF-ACTUATORCO-0072,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0072,CONFIGNO-0072,PLM_HOLD,Cylinder Barrel Asse,PLM_HOLD
73,73,CF-ACTUATORCO-0073,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0073,CONFIGNO-0073,PLM_OPEN,Front End Cap aviati,PLM_OPEN
74,74,CF-ACTUATORCO-0074,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0074,CONFIGNO-0074,PLM_RUNNING,Rear End Cap aviatio,PLM_RUNNING
75,75,CF-ACTUATORCO-0075,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0075,CONFIGNO-0075,PLM_CLOSED,Seal Ring Assembly a,PLM_CLOSED
76,76,CF-ACTUATORCO-0076,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0076,CONFIGNO-0076,PLM_HOLD,Trunnion Bushing avi,PLM_HOLD
77,77,CF-ACTUATORCO-0077,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0077,CONFIGNO-0077,PLM_OPEN,Spherical Bearing av,PLM_OPEN
78,78,CF-ACTUATORCO-0078,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0078,CONFIGNO-0078,PLM_RUNNING,Throttle Connector a,PLM_RUNNING
79,79,CF-ACTUATORCO-0079,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0079,CONFIGNO-0079,PLM_CLOSED,Displacement Sensor ,PLM_CLOSED
80,80,CF-ACTUATORCO-0080,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0080,CONFIGNO-0080,PLM_HOLD,Locking Nut aviation,PLM_HOLD
81,81,CF-ACTUATORCO-0081,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0081,CONFIGNO-0081,PLM_OPEN,Piston Rod Assembly ,PLM_OPEN
82,82,CF-ACTUATORCO-0082,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0082,CONFIGNO-0082,PLM_RUNNING,Cylinder Barrel Asse,PLM_RUNNING
83,83,CF-ACTUATORCO-0083,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0083,CONFIGNO-0083,PLM_CLOSED,Front End Cap aviati,PLM_CLOSED
84,84,CF-ACTUATORCO-0084,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0084,CONFIGNO-0084,PLM_HOLD,Rear End Cap aviatio,PLM_HOLD
85,85,CF-ACTUATORCO-0085,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0085,CONFIGNO-0085,PLM_OPEN,Seal Ring Assembly a,PLM_OPEN
86,86,CF-ACTUATORCO-0086,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0086,CONFIGNO-0086,PLM_RUNNING,Trunnion Bushing avi,PLM_RUNNING
87,87,CF-ACTUATORCO-0087,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0087,CONFIGNO-0087,PLM_CLOSED,Spherical Bearing av,PLM_CLOSED
88,88,CF-ACTUATORCO-0088,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0088,CONFIGNO-0088,PLM_HOLD,Throttle Connector a,PLM_HOLD
89,89,CF-ACTUATORCO-0089,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0089,CONFIGNO-0089,PLM_OPEN,Displacement Sensor ,PLM_OPEN
90,90,CF-ACTUATORCO-0090,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0090,CONFIGNO-0090,PLM_RUNNING,Locking Nut aviation,PLM_RUNNING
91,91,CF-ACTUATORCO-0091,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0091,CONFIGNO-0091,PLM_CLOSED,Piston Rod Assembly ,PLM_CLOSED
92,92,CF-ACTUATORCO-0092,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0092,CONFIGNO-0092,PLM_HOLD,Cylinder Barrel Asse,PLM_HOLD
93,93,CF-ACTUATORCO-0093,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0093,CONFIGNO-0093,PLM_OPEN,Front End Cap aviati,PLM_OPEN
94,94,CF-ACTUATORCO-0094,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0094,CONFIGNO-0094,PLM_RUNNING,Rear End Cap aviatio,PLM_RUNNING
95,95,CF-ACTUATORCO-0095,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0095,CONFIGNO-0095,PLM_CLOSED,Seal Ring Assembly a,PLM_CLOSED
96,96,CF-ACTUATORCO-0096,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0096,CONFIGNO-0096,PLM_HOLD,Trunnion Bushing avi,PLM_HOLD
97,97,CF-ACTUATORCO-0097,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0097,CONFIGNO-0097,PLM_OPEN,Spherical Bearing av,PLM_OPEN
98,98,CF-ACTUATORCO-0098,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0098,CONFIGNO-0098,PLM_RUNNING,Throttle Connector a,PLM_RUNNING
99,99,CF-ACTUATORCO-0099,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0099,CONFIGNO-0099,PLM_CLOSED,Displacement Sensor ,PLM_CLOSED
100,100,CF-ACTUATORCO-0100,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0100,CONFIGNO-0100,PLM_HOLD,Locking Nut aviation,PLM_HOLD
101,101,CF-ACTUATORCO-0101,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0101,CONFIGNO-0101,PLM_OPEN,Piston Rod Assembly ,PLM_OPEN
102,102,CF-ACTUATORCO-0102,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0102,CONFIGNO-0102,PLM_RUNNING,Cylinder Barrel Asse,PLM_RUNNING
103,103,CF-ACTUATORCO-0103,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0103,CONFIGNO-0103,PLM_CLOSED,Front End Cap aviati,PLM_CLOSED
104,104,CF-ACTUATORCO-0104,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0104,CONFIGNO-0104,PLM_HOLD,Rear End Cap aviatio,PLM_HOLD
105,105,CF-ACTUATORCO-0105,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0105,CONFIGNO-0105,PLM_OPEN,Seal Ring Assembly a,PLM_OPEN
106,106,CF-ACTUATORCO-0106,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0106,CONFIGNO-0106,PLM_RUNNING,Trunnion Bushing avi,PLM_RUNNING
107,107,CF-ACTUATORCO-0107,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0107,CONFIGNO-0107,PLM_CLOSED,Spherical Bearing av,PLM_CLOSED
108,108,CF-ACTUATORCO-0108,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0108,CONFIGNO-0108,PLM_HOLD,Throttle Connector a,PLM_HOLD
109,109,CF-ACTUATORCO-0109,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0109,CONFIGNO-0109,PLM_OPEN,Displacement Sensor ,PLM_OPEN
