issue_id,inv_lot_id,mo_no,issue_no,issue_time_txt,issue_qty_txt,picker_name,use_for,issue_stat_cd
63,63,WO-LG-2026-0063,ISSUENO-0063,2026/05/15 15:21:00,155.150 mm,Front End Cap 063,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
64,64,WO-LG-2026-0064,ISSUENO-0064,2026/05/16 15:28:00,5.100 s,Rear End Cap 064,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
65,65,WO-LG-2026-0065,ISSUENO-0065,2026/05/17 15:35:00,62.0 C,Seal Ring Assembly 065,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
66,66,WO-LG-2026-0066,ISSUENO-0066,2026/05/18 15:42:00,0.150 mm,Trunnion Bushing 066,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
67,67,WO-LG-2026-0067,ISSUENO-0067,2026/05/19 15:49:00,21.000 MPa,Spherical Bearing 067,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
68,68,WO-LG-2026-0068,ISSUENO-0068,2026/05/20 15:56:00,0.110 mL/min,Throttle Connector 068,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
69,69,WO-LG-2026-0069,ISSUENO-0069,2026/05/21 16:03:00,155.300 mm,Displacement Sensor Bracket 069,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
70,70,WO-LG-2026-0070,ISSUENO-0070,2026/05/22 16:10:00,4.500 s,Locking Nut 070,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
71,71,WO-LG-2026-0071,ISSUENO-0071,2026/05/23 16:17:00,37.9 C,Piston Rod Assembly 071,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
72,72,WO-LG-2026-0072,ISSUENO-0072,2026/05/24 16:24:00,0.180 mm,Cylinder Barrel Assembly 072,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
73,73,WO-LG-2026-0073,ISSUENO-0073,2026/05/25 16:31:00,21.150 MPa,Front End Cap 073,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
74,74,WO-LG-2026-0074,ISSUENO-0074,2026/05/26 16:38:00,0.140 mL/min,Rear End Cap 074,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
75,75,WO-LG-2026-0075,ISSUENO-0075,2026/05/27 16:45:00,154.700 mm,Seal Ring Assembly 075,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
76,76,WO-LG-2026-0076,ISSUENO-0076,2026/05/28 16:52:00,4.650 s,Trunnion Bushing 076,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
77,77,WO-LG-2026-0077,ISSUENO-0077,2026/05/29 16:59:00,38.0 C,Spherical Bearing 077,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
78,78,WO-LG-2026-0078,ISSUENO-0078,2026/05/30 17:06:00,0.310 mm,Throttle Connector 078,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
79,79,WO-LG-2026-0079,ISSUENO-0079,2026/05/31 17:13:00,21.300 MPa,Displacement Sensor Bracket 079,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
80,80,WO-LG-2026-0080,ISSUENO-0080,2026/06/01 17:20:00,0.020 mL/min,Locking Nut 080,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
81,81,WO-LG-2026-0081,ISSUENO-0081,2026/06/02 17:27:00,154.850 mm,Piston Rod Assembly 081,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
82,82,WO-LG-2026-0082,ISSUENO-0082,2026/06/03 17:34:00,4.800 s,Cylinder Barrel Assembly 082,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
83,83,WO-LG-2026-0083,ISSUENO-0083,2026/06/04 17:41:00,38.1 C,Front End Cap 083,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
84,84,WO-LG-2026-0084,ISSUENO-0084,2026/06/05 17:48:00,0.240 mm,Rear End Cap 084,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
85,85,WO-LG-2026-0085,ISSUENO-0085,2026/05/09 17:55:00,20.700 MPa,Seal Ring Assembly 085,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
86,86,WO-LG-2026-0086,ISSUENO-0086,2026/05/10 18:02:00,0.050 mL/min,Trunnion Bushing 086,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
87,87,WO-LG-2026-0087,ISSUENO-0087,2026/05/11 18:09:00,155.000 mm,Spherical Bearing 087,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
88,88,WO-LG-2026-0088,ISSUENO-0088,2026/05/12 18:16:00,4.950 s,Throttle Connector 088,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
89,89,WO-LG-2026-0089,ISSUENO-0089,2026/05/13 18:23:00,38.3 C,Displacement Sensor Bracket 089,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
90,90,WO-LG-2026-0090,ISSUENO-0090,2026/05/14 18:30:00,0.120 mm,Locking Nut 090,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
91,91,WO-LG-2026-0091,ISSUENO-0091,2026/05/15 18:37:00,23.400 MPa,Piston Rod Assembly 091,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
92,92,WO-LG-2026-0092,ISSUENO-0092,2026/05/16 18:44:00,0.080 mL/min,Cylinder Barrel Assembly 092,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
93,93,WO-LG-2026-0093,ISSUENO-0093,2026/05/17 18:51:00,155.150 mm,Front End Cap 093,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
94,94,WO-LG-2026-0094,ISSUENO-0094,2026/05/18 18:58:00,5.100 s,Rear End Cap 094,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
95,95,WO-LG-2026-0095,ISSUENO-0095,2026/05/19 19:05:00,37.7 C,Seal Ring Assembly 095,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
96,96,WO-LG-2026-0096,ISSUENO-0096,2026/05/20 19:12:00,0.150 mm,Trunnion Bushing 096,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
97,97,WO-LG-2026-0097,ISSUENO-0097,2026/05/21 19:19:00,21.000 MPa,Spherical Bearing 097,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
98,98,WO-LG-2026-0098,ISSUENO-0098,2026/05/22 19:26:00,0.110 mL/min,Throttle Connector 098,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
99,99,WO-LG-2026-0099,ISSUENO-0099,2026/05/23 19:33:00,155.300 mm,Displacement Sensor Bracket 099,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
100,100,WO-LG-2026-0100,ISSUENO-0100,2026/05/24 19:40:00,4.500 s,Locking Nut 100,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
101,101,WO-LG-2026-0101,ISSUENO-0101,2026/05/25 19:47:00,37.9 C,Piston Rod Assembly 101,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
102,102,WO-LG-2026-0102,ISSUENO-0102,2026/05/26 19:54:00,0.180 mm,Cylinder Barrel Assembly 102,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
103,103,WO-LG-2026-0103,ISSUENO-0103,2026/05/27 20:01:00,21.150 MPa,Front End Cap 103,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
104,104,WO-LG-2026-0104,ISSUENO-0104,2026/05/28 20:08:00,0.220 mL/min,Rear End Cap 104,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
105,105,WO-LG-2026-0105,ISSUENO-0105,2026/05/29 20:15:00,154.700 mm,Seal Ring Assembly 105,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
106,106,WO-LG-2026-0106,ISSUENO-0106,2026/05/30 20:22:00,4.650 s,Trunnion Bushing 106,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
107,107,WO-LG-2026-0107,ISSUENO-0107,2026/05/31 20:29:00,38.0 C,Spherical Bearing 107,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
108,108,WO-LG-2026-0108,ISSUENO-0108,2026/06/01 20:36:00,0.210 mm,Throttle Connector 108,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
109,109,WO-LG-2026-0109,ISSUENO-0109,2026/06/02 20:43:00,21.300 MPa,Displacement Sensor Bracket 109,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
110,110,WO-LG-2026-0110,ISSUENO-0110,2026/06/03 20:50:00,0.020 mL/min,Locking Nut 110,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
111,111,WO-LG-2026-0111,ISSUENO-0111,2026/06/04 20:57:00,154.850 mm,Piston Rod Assembly 111,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
112,112,WO-LG-2026-0112,ISSUENO-0112,2026/06/05 21:04:00,4.800 s,Cylinder Barrel Assembly 112,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
113,113,WO-LG-2026-0113,ISSUENO-0113,2026/05/09 21:11:00,38.1 C,Front End Cap 113,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
114,114,WO-LG-2026-0114,ISSUENO-0114,2026/05/10 21:18:00,0.240 mm,Rear End Cap 114,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
115,115,WO-LG-2026-0115,ISSUENO-0115,2026/05/11 21:25:00,20.700 MPa,Seal Ring Assembly 115,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
116,116,WO-LG-2026-0116,ISSUENO-0116,2026/05/12 21:32:00,0.050 mL/min,Trunnion Bushing 116,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
117,117,WO-LG-2026-0117,ISSUENO-0117,2026/05/13 21:39:00,158.400 mm,Spherical Bearing 117,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
118,118,WO-LG-2026-0118,ISSUENO-0118,2026/05/14 21:46:00,4.950 s,Throttle Connector 118,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
119,119,WO-LG-2026-0119,ISSUENO-0119,2026/05/15 21:53:00,38.3 C,Displacement Sensor Bracket 119,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
120,120,WO-LG-2026-0120,ISSUENO-0120,2026/05/16 22:00:00,0.120 mm,Locking Nut 120,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
121,121,WO-LG-2026-0121,ISSUENO-0121,2026/05/17 22:07:00,20.850 MPa,Piston Rod Assembly 121,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
122,122,WO-LG-2026-0122,ISSUENO-0122,2026/05/18 22:14:00,0.080 mL/min,Cylinder Barrel Assembly 122,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
123,123,WO-LG-2026-0123,ISSUENO-0123,2026/05/19 22:21:00,155.150 mm,Front End Cap 123,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
124,124,WO-LG-2026-0124,ISSUENO-0124,2026/05/20 22:28:00,5.100 s,Rear End Cap 124,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
125,125,WO-LG-2026-0125,ISSUENO-0125,2026/05/21 22:35:00,37.7 C,Seal Ring Assembly 125,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
126,126,WO-LG-2026-0126,ISSUENO-0126,2026/05/22 22:42:00,0.150 mm,Trunnion Bushing 126,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
127,127,WO-LG-2026-0127,ISSUENO-0127,2026/05/23 22:49:00,21.000 MPa,Spherical Bearing 127,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
128,128,WO-LG-2026-0128,ISSUENO-0128,2026/05/24 22:56:00,0.110 mL/min,Throttle Connector 128,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
129,129,WO-LG-2026-0129,ISSUENO-0129,2026/05/25 23:03:00,155.300 mm,Displacement Sensor Bracket 129,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
130,130,WO-LG-2026-0130,ISSUENO-0130,2026/05/26 23:10:00,6.200 s,Locking Nut 130,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
131,131,WO-LG-2026-0131,ISSUENO-0131,2026/05/27 23:17:00,37.9 C,Piston Rod Assembly 131,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
132,132,WO-LG-2026-0132,ISSUENO-0132,2026/05/28 23:24:00,0.180 mm,Cylinder Barrel Assembly 132,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
133,133,WO-LG-2026-0133,ISSUENO-0133,2026/05/29 23:31:00,21.150 MPa,Front End Cap 133,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
