case_id,feedback_id,fault_type,fault_position,true_reason_id,true_reason_type,true_stage,top1_candidate_id,top1_candidate_type,top1_stage,top1_score,top1_hit,top3_hit,top6_hit,type_hit,stage_hit,mrr,primary_stage,primary_stage_name,feedback_target_subsystem,top6_ids,top6_types,top6_scopes,top6_score_sum,root_component_different,has_rca_root_candidate,error
BFB-00671,BFB-00671,rolling_element_fault,rolling_element,BMAN-00952,ManufacturingBatch,manufacturing,BMAN-00952,ManufacturingBatch,manufacturing,0.8515,True,True,True,True,True,1.0,manufacturing,制造阶段,制造工艺子系统,BMAN-00952|BOPR-00671|BASM-00671|BINSP-00671|BMAT-00152|BMAN-00961,ManufacturingBatch|MaintenanceRecord|AssemblyRecord|InspectionRecord|MaterialBatch|ManufacturingBatch,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate,3.68946,False,False,
BFB-01908,BFB-01908,rolling_element_fault,rolling_element,BDES-00794,BearingDesignSpec,design,BDES-00794,BearingDesignSpec,design,0.8275,True,True,True,True,True,1.0,design,设计阶段,设计子系统,BDES-00794|BASM-01908|BOPR-01908|BINSP-01908|BMAN-00099|BMAT-00181,BearingDesignSpec|AssemblyRecord|MaintenanceRecord|InspectionRecord|ManufacturingBatch|MaterialBatch,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate,3.9253050000000003,False,False,
BFB-04314,BFB-04314,inner_race_fault,inner_race,BMAN-00014,ManufacturingBatch,manufacturing,BMAN-00014,ManufacturingBatch,manufacturing,0.8545,True,True,True,True,True,1.0,manufacturing,制造阶段,制造工艺子系统,BMAN-00014|BASM-04314|BMAT-00483|BOPR-04314|BINSP-04314|BMAN-00964,ManufacturingBatch|AssemblyRecord|MaterialBatch|MaintenanceRecord|InspectionRecord|ManufacturingBatch,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate,3.7628080000000006,False,False,
BFB-00668,BFB-00668,outer_race_fault,outer_race,BMAT-00015,MaterialBatch,material,BMAT-00015,MaterialBatch,material,0.8365,True,True,True,True,False,1.0,manufacturing,制造阶段,制造工艺子系统,BMAT-00015|BMAN-00934|BASM-00668|BINSP-00668|BOPR-00668|BMAN-00428,MaterialBatch|ManufacturingBatch|AssemblyRecord|InspectionRecord|MaintenanceRecord|ManufacturingBatch,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate,3.66285,False,False,
BFB-01788,BFB-01788,inner_race_fault,inner_race,BMAT-00451,MaterialBatch,material,BMAT-00451,MaterialBatch,material,0.8395,True,True,True,True,False,1.0,manufacturing,制造阶段,制造工艺子系统,BMAT-00451|BMAN-00495|BASM-01788|BINSP-01788|BOPR-01788|BMAN-00519,MaterialBatch|ManufacturingBatch|AssemblyRecord|InspectionRecord|MaintenanceRecord|ManufacturingBatch,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate,3.7985320000000002,False,False,
BFB-01463,BFB-01463,outer_race_fault,outer_race,BINSP-01463,InspectionRecord,inspection,BINSP-01463,InspectionRecord,inspection,0.8275,True,True,True,True,True,1.0,inspection,检测阶段,检测子系统,BINSP-01463|BOPR-01463|BMAN-01043|BASM-01463|BMAT-00431|BDES-00382,InspectionRecord|MaintenanceRecord|ManufacturingBatch|AssemblyRecord|MaterialBatch|BearingDesignSpec,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate,3.70776,False,False,
BFB-02335,BFB-02335,outer_race_fault,outer_race,BMAN-01167,ManufacturingBatch,manufacturing,BMAN-01167,ManufacturingBatch,manufacturing,0.8485,True,True,True,True,True,1.0,manufacturing,制造阶段,制造工艺子系统,BMAN-01167|BMAT-00374|BOPR-02335|BASM-02335|BINSP-02335|BDES-00320,ManufacturingBatch|MaterialBatch|MaintenanceRecord|AssemblyRecord|InspectionRecord|BearingDesignSpec,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate,3.586112,False,False,
BFB-04588,BFB-04588,outer_race_fault,outer_race,BASM-04588,AssemblyRecord,assembly,BASM-04588,AssemblyRecord,assembly,0.8395,True,True,True,True,True,1.0,assembly,装配阶段,装配子系统,BASM-04588|BINSP-04588|BMAT-00008|BOPR-04588|BMAN-01062|BDES-00755,AssemblyRecord|InspectionRecord|MaterialBatch|MaintenanceRecord|ManufacturingBatch|BearingDesignSpec,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate,3.8998,False,False,
BFB-04563,BFB-04563,inner_race_fault,inner_race,BMAN-00117,ManufacturingBatch,manufacturing,BMAN-00117,ManufacturingBatch,manufacturing,0.8545,True,True,True,True,True,1.0,manufacturing,制造阶段,制造工艺子系统,BMAN-00117|BOPR-04563|BASM-04563|BDES-00246|BMAT-00023|BINSP-04563,ManufacturingBatch|MaintenanceRecord|AssemblyRecord|BearingDesignSpec|MaterialBatch|InspectionRecord,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate,3.6050250000000004,False,False,
BFB-02368,BFB-02368,inner_race_fault,inner_race,BMAN-00196,ManufacturingBatch,manufacturing,BMAN-00196,ManufacturingBatch,manufacturing,0.8545,True,True,True,True,True,1.0,manufacturing,制造阶段,制造工艺子系统,BMAN-00196|BMAT-00403|BASM-02368|BOPR-02368|BMAN-01149|BMAN-00519,ManufacturingBatch|MaterialBatch|AssemblyRecord|MaintenanceRecord|ManufacturingBatch|ManufacturingBatch,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|global_same_type_candidate,3.4971430000000003,False,False,
