time,ch1,ch2
4.20E-06,0,0.0016
4.20E-06,0,0
4.30E-06,0,0
4.30E-06,0,0
4.40E-06,0,0
4.40E-06,0,0
4.50E-06,0,0
4.50E-06,0,0
4.60E-06,0,-0.0016
4.60E-06,0,-0.0032
4.70E-06,0,-0.0016
4.70E-06,0,-0.0056
4.80E-06,0,-0.004
4.80E-06,0,-0.0048
4.90E-06,0,-0.0032
4.90E-06,0,-0.0056
5.00E-06,0,-0.0032
5.00E-06,0,-0.0032
5.10E-06,0,-0.0024
5.10E-06,0,-0.004
5.20E-06,0,0
5.20E-06,0,-0.0016
5.30E-06,0,0
5.30E-06,0,0
5.40E-06,0,0
5.40E-06,0,0.004
5.50E-06,0,0
5.50E-06,0,0.0016
5.60E-06,0,0
5.60E-06,0,0
5.70E-06,0,-0.0016
5.70E-06,0,0
5.80E-06,0,-0.0024
5.80E-06,0,0
5.90E-06,0,0
5.90E-06,0,-0.0048
6.00E-06,0,-0.0016
6.00E-06,0,-0.0032
6.10E-06,0,-0.0048
6.10E-06,0,-0.0048
6.20E-06,0,-0.0024
6.20E-06,0,-0.004
6.30E-06,0,-0.0016
6.30E-06,0,-0.0024
6.40E-06,0,-0.0016
6.40E-06,0,-0.0016
6.50E-06,0,0
6.50E-06,0,-0.0016
6.60E-06,0,0
6.60E-06,0,0
6.70E-06,0,-0.0016
6.70E-06,0,-0.0016
6.80E-06,0,0
6.80E-06,0,-0.0032
6.90E-06,0,-0.0016
6.90E-06,0,-0.0048
7.00E-06,0,0
7.00E-06,0,-0.0024
7.10E-06,0,-0.0032
7.10E-06,0,-0.004
7.20E-06,0,-0.0024
7.20E-06,0,-0.0024
7.30E-06,0,-0.004
7.30E-06,0,-0.0016
7.40E-06,0,-0.0024
7.40E-06,0,-0.0016
7.50E-06,0,0
7.50E-06,0,-0.0016
7.60E-06,0,0
7.60E-06,0,0
7.70E-06,0,0
7.70E-06,0,0
7.80E-06,0,0
7.80E-06,0,0
7.90E-06,0,-0.0016
7.90E-06,0,0
8.00E-06,0,-0.0024
8.00E-06,0,-0.0016
8.10E-06,0,-0.0024
8.10E-06,0,-0.0016
8.20E-06,0,-0.004
8.20E-06,0,0
8.30E-06,0,-0.0056
8.30E-06,0,0
8.40E-06,0,-0.0048
8.40E-06,0,-0.0024
8.50E-06,0,-0.0024
8.50E-06,0,-0.0016
8.60E-06,0,-0.0032
8.60E-06,0,0.0016
8.70E-06,0,-0.0024
8.70E-06,0,-0.0024
8.80E-06,0,0
8.80E-06,0,0
8.90E-06,0,0
8.90E-06,0,0
9.00E-06,0,-0.0032
9.00E-06,0,-0.0024
9.10E-06,0,-0.0024
9.10E-06,0,-0.0024
9.20E-06,0,-0.0016
9.20E-06,0,-0.0024
9.30E-06,0,-0.0024
9.30E-06,0,-0.004
9.40E-06,0,-0.0024
9.40E-06,0,-0.0032
9.50E-06,0,0
9.50E-06,0,-0.0032
9.60E-06,0.04,0.0032
9.60E-06,0,-0.0016
9.70E-06,0,0
9.70E-06,0,0
9.80E-06,0,0.004
9.80E-06,0,0
9.90E-06,0,0.0016
9.90E-06,0,0
1.00E-05,0,0
1.00E-05,0,0.0064
1.01E-05,0,-0.0064
1.01E-05,0,0.0016
1.02E-05,0,-0.004
1.02E-05,0,0
1.03E-05,0,-0.0064
1.03E-05,0,-0.0016
1.04E-05,0,-0.0032
1.04E-05,0,0.0024
1.05E-05,0,-0.0048
1.05E-05,0,-0.0016
1.06E-05,0,-0.0016
1.06E-05,0,-0.0024
1.07E-05,0,0
1.07E-05,0,-0.0024
1.08E-05,0,-0.0024
1.08E-05,0,0
1.09E-05,0,0
1.09E-05,0,0
1.10E-05,0,0
1.10E-05,0,0.0016
1.11E-05,0,-0.0032
1.11E-05,0,0
1.12E-05,0,0
1.12E-05,0,0
1.13E-05,0,-0.0016
1.13E-05,0,-0.0048
1.14E-05,0,0
1.14E-05,0,-0.0064
1.15E-05,0,0.0032
1.15E-05,0,-0.0064
1.16E-05,0,0
1.16E-05,0,-0.0048
1.17E-05,0,0
1.17E-05,0,-0.0056
1.18E-05,0,0
1.18E-05,0.04,-0.0056
1.19E-05,0.04,-0.0016
1.19E-05,0,-0.0024
1.20E-05,0,0
1.20E-05,0,-0.0016
1.21E-05,0,0
1.21E-05,0,0.0016
1.22E-05,0,0
1.22E-05,0,-0.0016
1.23E-05,0,0.0016
1.23E-05,0,-0.0024
1.24E-05,0,-0.0024
1.24E-05,0,-0.0024
1.25E-05,0,0
1.25E-05,0,-0.0024
1.26E-05,0,-0.004
1.26E-05,0.04,0.0016
1.27E-05,0,-0.0064
1.27E-05,0,0
1.28E-05,0,-0.0024
1.28E-05,0.04,-0.0016
1.29E-05,0,-0.0056
1.29E-05,0,0
1.30E-05,0,-0.0024
1.30E-05,0,-0.0032
1.31E-05,0,0
1.31E-05,0,-0.0024
1.32E-05,0,-0.0024
1.32E-05,0,0
1.33E-05,0,0
1.33E-05,0,0
1.34E-05,0,-0.0024
1.34E-05,0,-0.0032
1.35E-05,0,0
1.35E-05,0,0.0032
1.36E-05,0,-0.008
1.36E-05,0,0.0024
1.37E-05,0,-0.0048
1.37E-05,0,-0.0024
1.38E-05,0,-0.0048
1.38E-05,0,-0.0024
1.39E-05,0,-0.0032
1.39E-05,0,0.0016
1.40E-05,0,-0.0096
1.40E-05,0,-0.0032
1.41E-05,0,0.0016
1.41E-05,0,-0.0048
1.42E-05,0,-0.004
1.42E-05,0,0
1.43E-05,0,-0.0016
1.43E-05,0,-0.004
1.44E-05,0,0.0024
1.44E-05,0,-0.0024
1.45E-05,0,0
1.45E-05,0,0
1.46E-05,0,0.0016
1.46E-05,0,-0.0016
1.47E-05,0,0
1.47E-05,0,0
1.48E-05,0,-0.0024
1.48E-05,0,0
1.49E-05,0,-0.0024
1.49E-05,0,-0.0016
1.50E-05,0,0
1.50E-05,0,-0.0048
1.51E-05,0,-0.0032
1.51E-05,0,-0.0032
1.52E-05,0,-0.0016
1.52E-05,0,-0.0016
1.53E-05,0,-0.0048
1.53E-05,0,-0.0016
1.54E-05,0,-0.0024
1.54E-05,0,0
1.55E-05,0,-0.0016
1.55E-05,0,0.0016
1.56E-05,0,-0.0056
1.56E-05,0,0.004
1.57E-05,0,-0.0032
1.57E-05,0,0
1.58E-05,0,0.0016
1.58E-05,0,0
1.59E-05,0,-0.0088
1.59E-05,0,0.0016
1.60E-05,0,0
1.60E-05,0,-0.0024
1.61E-05,0,-0.012
1.61E-05,0,0.004
1.62E-05,0,0
1.62E-05,0,-0.0048
1.63E-05,0,-0.0064
1.63E-05,0,-0.0064
1.64E-05,0,-0.004
1.64E-05,0,0
1.65E-05,0,0.0048
1.65E-05,0,-0.0024
1.66E-05,0,-0.0064
1.66E-05,0,-0.0064
1.67E-05,0,-0.0048
1.67E-05,0,0.0032
1.68E-05,0,0.0048
1.68E-05,0,0
1.69E-05,0,-0.0016
1.69E-05,0,-0.0048
1.70E-05,0,0.0032
1.70E-05,0,-0.0056
1.71E-05,0,0.0024
1.71E-05,0,0.0032
1.72E-05,0,-0.0048
1.72E-05,0,-0.0032
1.73E-05,0,-0.0048
1.73E-05,0,0
1.74E-05,0,-0.0064
1.74E-05,0,0
1.75E-05,0,-0.0016
1.75E-05,0,-0.0024
1.76E-05,0,-0.0016
1.76E-05,0,-0.0032
1.77E-05,0,-0.0048
1.77E-05,0,0
1.78E-05,0,-0.0016
1.78E-05,0,0
1.79E-05,0,-0.0016
1.79E-05,0,-0.0024
1.80E-05,0,-0.0048
1.80E-05,0,0
1.81E-05,0,0
1.81E-05,0.04,0
1.82E-05,0,-0.0016
1.82E-05,0,0
1.83E-05,0,-0.0048
1.83E-05,0,-0.0024
1.84E-05,0.04,-0.0024
1.84E-05,0,0
1.85E-05,0,-0.0024
1.85E-05,0,-0.0024
1.86E-05,0,-0.0032
1.86E-05,0,-0.0048
1.87E-05,0,-0.0024
1.87E-05,0,-0.0048
1.88E-05,0,-0.0032
1.88E-05,0,-0.0024
1.89E-05,0,-0.0024
1.89E-05,0,-0.0016
1.90E-05,0,0
1.90E-05,0,-0.0048
1.91E-05,0,-0.0016
1.91E-05,0,-0.0048
1.92E-05,0,0
1.92E-05,0,-0.0024
1.93E-05,0,0
1.93E-05,0,-0.0048
1.94E-05,0,0.0016
1.94E-05,0,-0.0048
1.95E-05,0,0
1.95E-05,0,-0.0048
1.96E-05,0,0
1.96E-05,0,-0.0032
1.97E-05,0,-0.0016
1.97E-05,0,-0.0024
1.98E-05,0.04,-0.0048
1.98E-05,0,0
1.99E-05,0,-0.0056
1.99E-05,0,0
2.00E-05,0.04,-0.0016
2.00E-05,0,0
2.01E-05,0,-0.004
2.01E-05,0,-0.0016
2.02E-05,0,-0.0016
2.02E-05,0,-0.0016
2.03E-05,0,0
2.03E-05,0,-0.0048
2.04E-05,0,0.0016
2.04E-05,0.04,-0.0048
2.05E-05,0,0.0016
2.05E-05,0,-0.0048
2.06E-05,0,0
2.06E-05,0.04,-0.0032
2.07E-05,0,-0.0024
2.07E-05,0,-0.0032
2.08E-05,0,-0.0024
2.08E-05,0,0
2.09E-05,0,-0.0056
2.09E-05,0,-0.0016
2.10E-05,0,-0.0048
2.10E-05,0,-0.0024
2.11E-05,0,-0.0016
2.11E-05,0,-0.004
2.12E-05,0,-0.0024
2.12E-05,0,-0.0032
2.13E-05,0,-0.0016
2.13E-05,0,-0.0016
2.14E-05,0,-0.0024
2.14E-05,0,-0.0024
2.15E-05,0,-0.0024
2.15E-05,0,-0.0016
2.16E-05,0,-0.0016
2.16E-05,0,-0.0016
2.17E-05,0,-0.0024
2.17E-05,0,0
2.18E-05,0,-0.0016
2.18E-05,0,-0.0024
2.19E-05,0,-0.0024
2.19E-05,0,-0.0016
2.20E-05,0,-0.0024
2.20E-05,0,-0.0032
2.21E-05,0,0
2.21E-05,0,-0.0024
2.22E-05,0,-0.0024
2.22E-05,0,-0.0024
2.23E-05,0,-0.0024
2.23E-05,0,-0.0024
2.24E-05,0,0
2.24E-05,0,0
2.25E-05,0,-0.0056
2.25E-05,0,0
2.26E-05,0,-0.0032
2.26E-05,0,0
2.27E-05,0,0
2.27E-05,0,0
2.28E-05,0,-0.0032
2.28E-05,0,0
2.29E-05,0,0
2.29E-05,0,-0.0048
2.30E-05,0,0
2.30E-05,0,-0.0048
2.31E-05,0,-0.0048
2.31E-05,0,-0.0024
2.32E-05,0,-0.0024
2.32E-05,0,-0.0024
2.33E-05,0,-0.0024
2.33E-05,0,-0.0024
2.34E-05,0.04,-0.0032
2.34E-05,0,-0.0016
2.35E-05,0,-0.0016
2.35E-05,0,-0.0016
2.36E-05,0,-0.0032
2.36E-05,0,-0.0016
2.37E-05,0,0
2.37E-05,0,-0.0016
2.38E-05,0,-0.0024
2.38E-05,0,-0.0016
2.39E-05,0,-0.004
2.39E-05,0,-0.0024
2.40E-05,0.04,0
2.40E-05,0,-0.004
2.41E-05,0,0
2.41E-05,0,-0.0032
2.42E-05,0,-0.0016
2.42E-05,0,-0.0024
2.43E-05,0,-0.0032
2.43E-05,0,-0.0016
2.44E-05,0,-0.0032
2.44E-05,0,-0.0016
2.45E-05,0,-0.004
2.45E-05,0,0
2.46E-05,0,-0.0016
2.46E-05,0,-0.0048
2.47E-05,0,0
2.47E-05,0,-0.0024
2.48E-05,0,0
2.48E-05,0,-0.0016
2.49E-05,0,0
2.49E-05,0,-0.0048
2.50E-05,0,0.0016
2.50E-05,0,-0.0032
2.51E-05,0,0
2.51E-05,0,-0.0032
2.52E-05,0,-0.0024
2.52E-05,0,-0.004
2.53E-05,0,0.0016
2.53E-05,0,-0.0048
2.54E-05,0,-0.0016
2.54E-05,0,-0.0024
2.55E-05,0,-0.0024
2.55E-05,0,-0.0056
2.56E-05,0,0
2.56E-05,0,-0.0016
2.57E-05,0,-0.0024
2.57E-05,0,-0.0016
2.58E-05,0,-0.0024
2.58E-05,0,-0.0016
2.59E-05,0,0
2.59E-05,0.04,-0.0016
2.60E-05,0,-0.004
2.60E-05,0,0
2.61E-05,0,-0.0024
2.61E-05,0,0
2.62E-05,0,-0.0024
2.62E-05,0,-0.0024
2.63E-05,0,-0.0048
2.63E-05,0,-0.0024
2.64E-05,0.04,-0.0024
2.64E-05,0,-0.0032
2.65E-05,0,-0.0016
2.65E-05,0,-0.0048
2.66E-05,0,0
2.66E-05,0,-0.004
2.67E-05,0,0
2.67E-05,0,-0.0024
2.68E-05,0,-0.0024
2.68E-05,0,0
2.69E-05,0,-0.0024
2.69E-05,0,0.0024
2.70E-05,0,-0.0032
2.70E-05,0,0.0024
2.71E-05,0,-0.0048
2.71E-05,0,0
2.72E-05,0,-0.0016
2.72E-05,0,0.0024
2.73E-05,0,-0.0048
2.73E-05,0,0
2.74E-05,0,-0.0024
2.74E-05,0,-0.0016
2.75E-05,0.04,-0.0024
2.75E-05,0,-0.0032
2.76E-05,0,-0.0032
2.76E-05,0,-0.0024
2.77E-05,0,-0.0016
2.77E-05,0,-0.0048
2.78E-05,0,-0.0064
2.78E-05,0,0.0016
2.79E-05,0,-0.0048
2.79E-05,0,-0.0088
2.80E-05,0,0.0032
2.80E-05,0,0.0032
2.81E-05,0,-0.0096
2.81E-05,0,0.0056
2.82E-05,0,-0.0032
2.82E-05,0,-0.0016
2.83E-05,0,0.0016
2.83E-05,0.04,-0.0048
2.84E-05,0,-0.0024
2.84E-05,0,0.0048
2.85E-05,0,-0.008
2.85E-05,0,-0.0024
2.86E-05,0,0
2.86E-05,0,-0.0056
2.87E-05,0,-0.0064
2.87E-05,0,0.0016
2.88E-05,0,-0.0056
2.88E-05,0,0
2.89E-05,0,0
2.89E-05,0,-0.0048
2.90E-05,0,-0.0016
2.90E-05,0,-0.0024
2.91E-05,0,0.0016
2.91E-05,0,0
2.92E-05,0,-0.0016
2.92E-05,0,-0.0032
2.93E-05,0,0.0016
2.93E-05,0,0
2.94E-05,0,0
2.94E-05,0,0
2.95E-05,0.04,0
2.95E-05,0,-0.0048
2.96E-05,0.04,0
2.96E-05,0,-0.0016
2.97E-05,0,-0.0024
2.97E-05,0,0
2.98E-05,0,-0.0048
2.98E-05,0.04,0
2.99E-05,0.04,-0.0024
2.99E-05,0,-0.0016
3.00E-05,0,-0.0016
3.00E-05,0,-0.0024
3.01E-05,0,-0.0032
3.01E-05,0,0
3.02E-05,0,-0.0024
3.02E-05,0,0
3.03E-05,0,-0.0024
3.03E-05,0,-0.0024
3.04E-05,0,-0.0024
3.04E-05,0,0.0016
3.05E-05,0,-0.0032
3.05E-05,0,-0.0016
3.06E-05,0,-0.004
3.06E-05,0.04,-0.0024
3.07E-05,0,-0.0024
3.07E-05,0,-0.0024
3.08E-05,0,-0.0024
3.08E-05,0,-0.0024
3.09E-05,0,-0.0032
3.09E-05,0,-0.0024
3.10E-05,0,-0.0024
3.10E-05,0,-0.0016
3.11E-05,0,-0.0032
3.11E-05,0,0
3.12E-05,0,-0.0024
3.12E-05,0,0
3.13E-05,0,-0.0024
3.13E-05,0,-0.0016
3.14E-05,0,-0.0016
3.14E-05,0,0
3.15E-05,0,0
3.15E-05,0,0
3.16E-05,0,-0.0016
3.16E-05,0.04,-0.0016
3.17E-05,0,-0.0016
3.17E-05,0,-0.0016
3.18E-05,0.04,-0.0016
3.18E-05,0,-0.0016
3.19E-05,0,-0.0024
3.19E-05,0,-0.0024
3.20E-05,0,0
3.20E-05,0,-0.0024
3.21E-05,0,0
3.21E-05,0,-0.0032
3.22E-05,0,0
3.22E-05,0,-0.0024
3.23E-05,0,0
3.23E-05,0,0
3.24E-05,0,-0.0024
3.24E-05,0,0.0024
3.25E-05,0,-0.0024
3.25E-05,0,0
3.26E-05,0,0
3.26E-05,0,0
3.27E-05,0.04,0
3.27E-05,0,-0.0016
3.28E-05,0,0
3.28E-05,0,-0.0016
3.29E-05,0,-0.0016
3.29E-05,0,-0.0024
3.30E-05,0,-0.0016
3.30E-05,0,-0.0024
3.31E-05,0,-0.0032
3.31E-05,0,-0.0024
3.32E-05,0,-0.0024
3.32E-05,0,-0.0024
3.33E-05,0,-0.0024
3.33E-05,0,-0.0016
3.34E-05,0,-0.0024
3.34E-05,0,-0.0016
3.35E-05,0,-0.0016
3.35E-05,0,-0.0016
3.36E-05,0,-0.0016
3.36E-05,0,0
3.37E-05,0,-0.0024
3.37E-05,0,0
3.38E-05,0,-0.0016
3.38E-05,0,-0.0024
3.39E-05,0,0
3.39E-05,0,-0.0032
3.40E-05,0,0
3.40E-05,0,-0.0032
3.41E-05,0,-0.0016
3.41E-05,0,-0.0016
3.42E-05,0,-0.0016
3.42E-05,0,0
3.43E-05,0,0
3.43E-05,0,-0.0048
3.44E-05,0,0
3.44E-05,0,-0.0032
3.45E-05,0,0
3.45E-05,0,-0.004
3.46E-05,0,0
3.46E-05,0,-0.004
3.47E-05,0,0.0016
3.47E-05,0,-0.0048
3.48E-05,0,0
3.48E-05,0,0.0032
3.49E-05,0,-0.0064
3.49E-05,0,0.0016
3.50E-05,0,0
3.50E-05,0,-0.0024
3.51E-05,0,0
3.51E-05,0,-0.0064
3.52E-05,0,0.0016
3.52E-05,0,0
3.53E-05,0,-0.0032
3.53E-05,0,-0.0024
3.54E-05,0,-0.0032
3.54E-05,0,0
3.55E-05,0,-0.0024
3.55E-05,0,-0.0024
3.56E-05,0,0
3.56E-05,0,-0.0056
3.57E-05,0,-0.0016
3.57E-05,0,-0.0032
3.58E-05,0,0
3.58E-05,0,0
3.59E-05,0,-0.0032
3.59E-05,0,-0.0016
3.60E-05,0,-0.0016
3.60E-05,0,0
3.61E-05,0,0
3.61E-05,0,0
3.62E-05,0,-0.0024
3.62E-05,0,0.0016
3.63E-05,0,-0.0032
3.63E-05,0.04,0
3.64E-05,0,-0.0016
3.64E-05,0,-0.0016
3.65E-05,0,-0.0016
3.65E-05,0,-0.0024
3.66E-05,0,0
3.66E-05,0,-0.0024
3.67E-05,0,-0.004
3.67E-05,0,-0.0016
3.68E-05,0,-0.0016
3.68E-05,0,0.0016
3.69E-05,0,-0.0024
3.69E-05,0,0
3.70E-05,0,-0.0024
3.70E-05,0,0.0016
3.71E-05,0,0
3.71E-05,0,0
3.72E-05,0,0
3.72E-05,0,0
3.73E-05,0.04,-0.0032
3.73E-05,0,0
3.74E-05,0,-0.0024
3.74E-05,0,-0.0024
3.75E-05,0,0.0016
3.75E-05,0,-0.0048
3.76E-05,0,0
3.76E-05,0,0
3.77E-05,0,-0.0032
3.77E-05,0,0
3.78E-05,0,-0.0048
3.78E-05,0,0
3.79E-05,0,-0.0032
3.79E-05,0,0
3.80E-05,0,-0.0048
3.80E-05,0.04,0.0024
3.81E-05,0,-0.0032
3.81E-05,0.04,-0.0016
3.82E-05,0,-0.0016
3.82E-05,0,0
3.83E-05,0,-0.0032
3.83E-05,0,0
3.84E-05,0,0
3.84E-05,0,0
3.85E-05,0,-0.0032
3.85E-05,0,0
3.86E-05,0,0
3.86E-05,0,-0.0016
3.87E-05,0,-0.0016
3.87E-05,0,0
3.88E-05,0.04,-0.0024
3.88E-05,0,0.0064
3.89E-05,0,-0.0056
3.89E-05,0,0
3.90E-05,0,-0.0032
3.90E-05,0,0
3.91E-05,0,-0.0032
3.91E-05,0,-0.0024
3.92E-05,0,0
3.92E-05,0,0.0016
3.93E-05,0,-0.0032
3.93E-05,0,0.0016
3.94E-05,0,-0.0024
3.94E-05,0,-0.0024
3.95E-05,0,0
3.95E-05,0,-0.0032
3.96E-05,0,-0.0024
3.96E-05,0,0
3.97E-05,0,-0.0016
3.97E-05,0,-0.0016
3.98E-05,0,-0.0024
3.98E-05,0,-0.0024
3.99E-05,0,-0.0024
3.99E-05,0,-0.0048
4.00E-05,0,0
4.00E-05,0,-0.0016
4.01E-05,0,-0.0024
4.01E-05,0,-0.0024
4.02E-05,0,-0.0024
4.02E-05,0,-0.0016
4.03E-05,0,0
4.03E-05,0,-0.0024
4.04E-05,0,-0.0024
4.04E-05,0,0
4.05E-05,0,-0.0032
4.05E-05,0,0
4.06E-05,0.04,-0.004
4.06E-05,0,-0.0016
4.07E-05,0,-0.0056
4.08E-05,0,-0.0016
4.08E-05,0,0
4.09E-05,0,-0.0024
4.09E-05,0,-0.0016
4.10E-05,0,-0.0024
4.10E-05,0,0
4.11E-05,0,-0.0024
4.11E-05,0,0
4.12E-05,0,-0.0024
4.12E-05,0,-0.0024
4.13E-05,0,0
4.13E-05,0,-0.0032
4.14E-05,0,0.0032
4.14E-05,0,-0.004
4.15E-05,0,0
4.15E-05,0,-0.0032
4.16E-05,0,0
4.16E-05,0,-0.0016
4.17E-05,0,0.0016
4.17E-05,0,-0.0048
4.18E-05,0,0
4.18E-05,0,-0.0024
4.19E-05,0,-0.0016
4.19E-05,0,-0.0024
4.20E-05,0,-0.0016
4.20E-05,0,-0.0032
4.21E-05,0,0
4.21E-05,0,-0.0032
4.22E-05,0,-0.0016
4.22E-05,0,-0.0024
4.23E-05,0,0
4.23E-05,0,-0.0024
4.24E-05,0,-0.0048
4.24E-05,0,0.0048
4.25E-05,0,-0.0112
4.25E-05,0,-0.0024
4.26E-05,0,0.0048
4.26E-05,0.04,-0.008
4.27E-05,0,0
4.27E-05,0,-0.0016
4.28E-05,0,0
4.28E-05,0,-0.0032
4.29E-05,0,-0.004
4.29E-05,0,0
4.30E-05,0,0.0032
4.30E-05,0,-0.012
4.31E-05,0,0.0032
4.31E-05,0,-0.0032
4.32E-05,0,-0.0016
4.32E-05,0.04,-0.0048
4.33E-05,0,0.004
4.33E-05,0,-0.0064
4.34E-05,0,0
4.34E-05,0,-0.0016
4.35E-05,0,-0.0016
4.35E-05,0,0
4.36E-05,0,-0.0016
4.36E-05,0,-0.0016
4.37E-05,0,-0.0024
4.37E-05,0,0
4.38E-05,0,0
4.38E-05,0,-0.0032
4.39E-05,0,0
4.39E-05,0.04,-0.0032
4.40E-05,0,-0.0024
4.40E-05,0,-0.0024
4.41E-05,0,0.0016
4.41E-05,0,-0.0056
4.42E-05,0,-0.0016
4.42E-05,0,-0.0024
4.43E-05,0,0
4.43E-05,0,-0.0024
4.44E-05,0,-0.0032
4.44E-05,0,-0.0016
4.45E-05,0,-0.0032
4.45E-05,0,0.0016
4.46E-05,0,-0.0048
4.46E-05,0,0
4.47E-05,0,-0.0024
4.47E-05,0,-0.0016
4.48E-05,0,-0.0032
4.48E-05,0,0
4.49E-05,0,-0.0016
4.49E-05,0,-0.0024
4.50E-05,0,-0.0016
4.50E-05,0,-0.0024
4.51E-05,0,-0.0016
4.51E-05,0,0
4.52E-05,0,-0.0032
4.52E-05,0,-0.0016
4.53E-05,0,-0.0024
4.53E-05,0,-0.0016
4.54E-05,0,0
4.54E-05,0,-0.0024
4.55E-05,0,-0.0024
4.55E-05,0,-0.0016
4.56E-05,0,-0.0024
4.56E-05,0,-0.0016
4.57E-05,0,-0.0016
4.57E-05,0,-0.0024
4.58E-05,0,0
4.58E-05,0,-0.0016
4.59E-05,0,-0.0016
4.59E-05,0,-0.0016
4.60E-05,0,0.0016
4.60E-05,0,-0.0056
4.61E-05,0,0.0016
4.61E-05,0,-0.004
4.62E-05,0,0.0024
4.62E-05,0,-0.0056
4.63E-05,0,0
4.63E-05,0,-0.004
4.64E-05,0.04,-0.0016
4.64E-05,0.04,0
4.65E-05,0.04,0
4.65E-05,0.04,-0.0032
4.66E-05,0.04,0
4.66E-05,0.04,-0.0024
4.67E-05,0.04,0
4.67E-05,0.04,0
4.68E-05,0.04,0
4.68E-05,0.04,-0.0024
4.69E-05,0.04,0.0032
4.69E-05,0.04,0
4.70E-05,0.08,0
4.70E-05,0.04,0
4.71E-05,0.04,0
4.71E-05,0.08,-0.0016
4.72E-05,0.08,0
4.72E-05,0.08,0
4.73E-05,0.08,0
4.73E-05,0.08,0
4.74E-05,0.08,-0.0016
4.74E-05,0.08,0
4.75E-05,0.08,0.0016
4.75E-05,0.08,-0.0016
4.76E-05,0.12,0.0016
4.76E-05,0.08,-0.0016
4.77E-05,0.12,0.004
4.77E-05,0.12,-0.0016
4.78E-05,0.08,0.0064
4.78E-05,0.12,-0.0016
4.79E-05,0.08,0.0016
4.79E-05,0.08,0
4.80E-05,0.08,0
4.80E-05,0.08,0.004
4.81E-05,0.08,0
4.81E-05,0.08,0.0016
4.82E-05,0.04,0
4.82E-05,0.04,0.0024
4.83E-05,0.04,0
4.83E-05,0,0
4.84E-05,0,0
4.84E-05,0,-0.0032
4.85E-05,-0.04,-0.0016
4.85E-05,-0.08,-0.0032
4.86E-05,-0.08,-0.0016
4.86E-05,-0.12,-0.0056
4.87E-05,-0.12,-0.0024
4.87E-05,-0.16,-0.0088
4.88E-05,-0.16,-0.0032
4.88E-05,-0.24,-0.0072
4.89E-05,-0.24,-0.0056
4.89E-05,-0.28,-0.0104
4.90E-05,-0.28,-0.0088
4.90E-05,-0.32,-0.0112
4.91E-05,-0.4,-0.0096
4.91E-05,-0.4,-0.012
4.92E-05,-0.44,-0.0152
4.92E-05,-0.48,-0.0128
4.93E-05,-0.48,-0.016
4.93E-05,-0.52,-0.0128
4.94E-05,-0.56,-0.0176
4.94E-05,-0.56,-0.0168
4.95E-05,-0.6,-0.0184
4.95E-05,-0.6,-0.0192
4.96E-05,-0.64,-0.0232
4.96E-05,-0.64,-0.0184
4.97E-05,-0.64,-0.0208
4.97E-05,-0.68,-0.0216
4.98E-05,-0.72,-0.0224
4.98E-05,-0.68,-0.0208
4.99E-05,-0.72,-0.0248
4.99E-05,-0.72,-0.0184
